from,to,relation
Port_Hudson_1863-06-14,http://dbpedia.org/resource/Siege_of_Port_Hudson,<
Stone's_River_1862-12-31,http://dbpedia.org/resource/Battle_of_Stones_River,=
Boydton_Plank_Road_1864-10-27,http://dbpedia.org/resource/Battle_of_Boydton_Plank_Road,=
Cold_Harbor_1864-06-01,http://dbpedia.org/resource/Battle_of_Cold_Harbor,=
Perryville_1862-10-08,http://dbpedia.org/resource/Battle_of_Perryville,=
Jonesborough_1864-08-31,http://dbpedia.org/resource/Battle_of_Jonesborough,<
Wilderness_1864-05-05,http://dbpedia.org/resource/Battle_of_the_Wilderness,=
Wilson's_Creek_1861-08-10,http://dbpedia.org/resource/Battle_of_Wilson's_Creek,=
Spottsylvania_1864-05-10,http://dbpedia.org/resource/Battle_of_Spotsylvania_Court_House,<
Spottsylvania_1864-05-12,http://dbpedia.org/resource/Battle_of_Spotsylvania_Court_House,<
Tupelo_1864-07-13,http://dbpedia.org/resource/Battle_of_Tupelo,=
Vicksburg_1863-05-22,http://dbpedia.org/resource/Siege_of_Vicksburg,=
Bull_Run_1861-07-21,http://dbpedia.org/resource/First_Battle_of_Bull_Run,=
Dinwiddie_1865-03-29,http://dbpedia.org/resource/Battle_of_Dinwiddie_Court_House,=
Pleasant_Hill_1864-04-09,http://dbpedia.org/resource/Battle_of_Pleasant_Hill,=
Bentonville_1865-03-19,http://dbpedia.org/resource/Battle_of_Bentonville,=
Cedar_Mountain_1862-08-09,http://dbpedia.org/resource/Battle_of_Cedar_Mountain,=
Port_Hudson_1863-05-27,http://dbpedia.org/resource/Siege_of_Port_Hudson,<
Williamsburg_1862-05-04,http://dbpedia.org/resource/Battle_of_Williamsburg,=
Shiloh_1862-04-06,http://dbpedia.org/resource/Battle_of_Shiloh,=
Fort_Donelson_1862-02-12,http://dbpedia.org/resource/Battle_of_Fort_Donelson,=
Peach_Orchard_to_Malvern_Hill_1862-06-29,http://dbpedia.org/resource/Battle_of_Garnett's_&_Golding's_Farm,>
Peach_Orchard_to_Malvern_Hill_1862-06-29,http://dbpedia.org/resource/Battle_of_Savage's_Station,>
Peach_Orchard_to_Malvern_Hill_1862-06-29,http://dbpedia.org/resource/Battle_of_White_Oak_Swamp,>
Peach_Orchard_to_Malvern_Hill_1862-06-29,http://dbpedia.org/resource/Battle_of_Glendale,>
Peach_Orchard_to_Malvern_Hill_1862-06-29,http://dbpedia.org/resource/Battle_of_Malvern_Hill,>
Petersburg_1864-06-15,http://dbpedia.org/resource/Second_Battle_of_Petersburg,=
Winchester_1864-09-19,http://dbpedia.org/resource/Battle_of_Opequon,=
Antietam_1862-09-16,http://dbpedia.org/resource/Battle_of_Antietam,=
Prairie_Grove_1862-12-07,http://dbpedia.org/resource/Battle_of_Prairie_Grove,=
Nashville_1864-12-15,http://dbpedia.org/resource/Battle_of_Nashville,=
Petersburg_1865-04-02,http://dbpedia.org/resource/Third_Battle_of_Petersburg,=
Jonesborough_1864-09-01,http://dbpedia.org/resource/Battle_of_Jonesborough,<
Appomattox_Camp_1865-03-29,http://dbpedia.org/resource/Battle_of_Amelia_Springs,>
Appomattox_Camp_1865-03-29,http://dbpedia.org/resource/Battle_of_Dinwiddie_Court_House,>
Appomattox_Camp_1865-03-29,http://dbpedia.org/resource/Battle_of_Five_Forks,>
Appomattox_Camp_1865-03-29,http://dbpedia.org/resource/Battle_of_Lewis's_Farm,>
Appomattox_Camp_1865-03-29,http://dbpedia.org/resource/Battle_of_Namozine_Church,>
Appomattox_Camp_1865-03-29,http://dbpedia.org/resource/Battle_of_Sutherland's_Station,>
Appomattox_Camp_1865-03-29,http://dbpedia.org/resource/Battle_of_White_Oak_Road,>
Appomattox_Camp_1865-03-29,http://dbpedia.org/resource/Third_Battle_of_Petersburg,>
Fort_Wagner_1863-07-18,http://dbpedia.org/resource/Second_Battle_of_Fort_Wagner,=
Gettysburg_1863-07-01,http://dbpedia.org/resource/Battle_of_Gettysburg,=
Hatcher's_Run_1865-02-05,http://dbpedia.org/resource/Battle_of_Hatcher's_Run,=
Deep_Bottom_1864-08-14,http://dbpedia.org/resource/Second_Battle_of_Deep_Bottom,=
Franklin_1864-11-30,http://dbpedia.org/resource/Battle_of_Franklin_(1864),=
Arkansas_Post_1863-01-11,http://dbpedia.org/resource/Battle_of_Fort_Hindman,=
