battle_id,belligerent,casualties_min,casualties_max,killed_wounded_min,killed_wounded_max,missing
AL001,Confederate,65,65,,,
AL001,US,23,23,,,
AL002,Confederate,30,30,,,
AL002,US,20,20,,,
AL003,Confederate,1500,1500,,,
AL003,US,327,327,,,
AL004,Confederate,200,200,,,
AL004,US,155,155,,,
AL005,Confederate,741,741,,,
AL005,US,657,657,,,
AL006,Confederate,3700,3700,500,500,3200
AL006,US,775,775,,,
AL007,Confederate,2700,2700,,,
AL007,US,359,359,,,
AR001,Confederate,2000,2000,,,
AR001,US,1384,1384,,,
AR002,Confederate,40,40,,,
AR002,US,160,160,,,
AR003,Confederate,250,250,,,
AR003,US,63,63,,,
AR004,Confederate,45,45,,,
AR004,US,41,41,,,
AR005,Confederate,1317,1317,,,
AR005,US,1251,1251,,,
AR006,Confederate,5004,5004,,,
AR006,US,1092,1092,,,
AR007,Confederate,,,,,
AR007,US,,,,,
AR008,Confederate,1636,1636,,,
AR008,US,239,239,,,
AR009,Confederate,17,17,,,
AR009,US,14,14,,,
AR010,Confederate,64,64,,,
AR010,US,72,72,,,
AR011,Confederate,40,40,,,
AR011,US,56,56,,,
AR012,Confederate,29,29,,,
AR012,US,26,26,,,
AR013,Confederate,50,50,,,
AR013,US,100,100,,,
AR014,Confederate,114,114,,,
AR014,US,301,301,,,
AR015,Confederate,293,293,,,
AR015,US,1500,1500,,,
AR016,Confederate,1000,1000,,,
AR016,US,700,700,,,
AR017,Confederate,37,37,,,
AR017,US,133,133,,,
CO001,Native American,150,150,,,
CO001,US,48,48,,,
DC001,Confederate,500,500,,,
DC001,US,373,373,,,
FL001,Confederate,87,87,,,
FL001,US,67,67,,,
FL002,Confederate,0,0,0,0,0
FL002,US,0,0,0,0,0
FL003,Confederate,,,,,
FL003,US,,,,,
FL004,Confederate,,,,,
FL004,US,16,16,,,
FL005,Confederate,946,946,,,
FL005,US,1861,1861,,,
FL006,Confederate,25,25,,,
FL006,US,148,148,,,
GA001,Confederate,364,364,,,
GA001,US,1,1,,,
GA002,Confederate,1,1,,,
GA002,US,0,0,,,
GA003,Confederate,,,,,
GA003,US,,,,,
GA004,Confederate,18454,18454,,,
GA004,US,16170,16170,,,
GA005,Confederate,221,221,,,
GA005,US,507,507,,,
GA006,Confederate,140,140,,,
GA006,US,289,289,,,
GA007,Confederate,600,600,,,
GA007,US,837,837,,,
GA008,Confederate,2800,2800,,,
GA008,US,2747,2747,,,
GA009,Confederate,,,,,
GA009,US,200,200,,,
GA010,Confederate,350,350,,,
GA010,US,665,665,,,
GA011,Confederate,1500,1000,,,
GA011,US,380,380,,,
GA012,Confederate,450,450,,,
GA012,US,1600,1600,,,
GA013,Confederate,,,,,
GA013,US,,,,,
GA014,Confederate,1000,1000,,,
GA014,US,350,350,,,
GA015,Confederate,1000,1000,,,
GA015,US,3000,3000,,,
GA016,Confederate,4796,4796,,,
GA016,US,1710,1710,,,
GA017,Confederate,8499,8499,,,
GA017,US,3641,3641,,,
GA018,Confederate,4642,4642,,,
GA018,US,700,700,,,
GA019,Confederate,225,225,,,
GA019,US,400,400,,,
GA020,Confederate,,,,,
GA020,US,,,,,
GA021,Confederate,240,240,,,
GA021,US,237,237,,,
GA022,Confederate,2000,2000,,,
GA022,US,1149,1149,,,
GA023,Confederate,897,897,,,
GA023,US,706,706,,,
GA024,Confederate,0,0,0,0,0
GA024,US,,,,,751
GA025,Confederate,650,650,,,
GA025,US,62,62,,,
GA026,Confederate,600,600,,,
GA026,US,46,46,,,
GA027,Confederate,250,250,,,
GA027,US,190,190,,,
GA028,Confederate,230,230,,,
GA028,US,134,134,,,
ID001,Native American,250,250,,,
ID001,US,65,65,,,
IN001,Confederate,51,51,,,
IN001,US,360,360,,,
KS001,Confederate,,,,,
KS001,US,150,150,,,
KS002,Confederate,3,3,,,
KS002,US,103,103,,,
KS003,Confederate,1200,1200,,,
KS003,US,110,110,,,
KS004,Confederate,,,,,
KS004,US,,,,,
KY001,Confederate,5,5,,,
KY001,US,15,15,,,
KY002,Confederate,53,53,,,
KY002,US,43,43,,,
KY003,Confederate,263,263,,,
KY003,US,30,30,,,
KY004,Confederate,91,91,,,
KY004,US,40,40,,,
KY005,Confederate,65,65,,,
KY005,US,27,27,,,
KY006,Confederate,529,529,,,
KY006,US,262,262,,,
KY007,Confederate,600,600,,,
KY007,US,5623,5623,,,
KY008,Confederate,285,285,,,
KY008,US,4148,4148,,,
KY009,Confederate,3396,3396,,,
KY009,US,4211,4211,,,
KY010,Confederate,50,50,,,
KY010,US,90,90,,,
KY011,Confederate,1000,1000,,,
KY011,US,1092,1092,,,
LA001,Confederate,782,782,,,
LA001,US,229,229,,,
LA002,Confederate,0,0,0,0,0
LA002,US,0,0,0,0,0
LA003,Confederate,478,478,,,
LA003,US,371,371,,,
LA004,Confederate,,,,,
LA004,US,,,,,
LA005,Confederate,229,229,,,
LA005,US,86,86,,,
LA006,Confederate,450,450,,,
LA006,US,224,224,,,
LA007,Confederate,,,,,
LA007,US,353,353,,,
LA008,Confederate,,,,,
LA008,US,,,,,
LA009,Confederate,100,100,,,
LA009,US,150,150,,,
LA010,Confederate,7500,7500,,,
LA010,US,10000,10000,,,
LA011,Confederate,185,185,,,
LA011,US,652,652,,,
LA012,Confederate,219,219,,,
LA012,US,49,49,,,
LA013,Confederate,301,301,,,
LA013,US,23,23,,,
LA014,Confederate,6,6,,,
LA014,US,150,150,,,
LA015,Confederate,33,33,,,
LA015,US,465,465,,,
LA016,Confederate,121,121,,,
LA016,US,515,515,,,
LA017,Confederate,269,269,,,
LA017,US,48,48,,,
LA018,Confederate,1000,1000,,,
LA018,US,2235,2235,,,
LA019,Confederate,1626,1626,,,
LA019,US,1369,1369,,,
LA020,Confederate,57,57,,,
LA020,US,60,60,,,
LA021,Confederate,400,400,,,
LA021,US,200,200,,,
LA022,Confederate,,,,,
LA022,US,,,,,
LA023,Confederate,500,500,,,
LA023,US,360,360,,,
MD001,Confederate,,,,,
MD001,US,,,,,
MD002,Confederate,2300,2300,,,
MD002,US,2325,2325,,,
MD003,Confederate,10300,10300,,,
MD003,US,12400,12400,,,
MD004,Confederate,254,254,,,
MD004,US,400,400,,,
MD006,Confederate,920,920,,,
MD006,US,158,158,,,
MD007,Confederate,700,900,,,
MD007,US,1294,1294,,,
MD008,Confederate,30,30,,,
MD008,US,30,30,,,
MN001,Native American,,,,,
MN001,US,26,26,,,
MN002,Native American,25,25,,,
MN002,US,41,41,,,
MO001,Confederate,8,12,,,
MO001,US,12,12,,,
MO002,Confederate,74,74,,,
MO002,US,44,44,,,
MO003,Confederate,70,70,,,
MO003,US,56,56,,,
MO004,Confederate,464,464,,,
MO004,US,1317,1317,,,
MO005,Confederate,,,,,
MO005,US,14,14,,,
MO006,Confederate,100,100,,,
MO006,US,3500,3500,,,
MO007,Confederate,62,62,,,
MO007,US,,,,,
MO008,Confederate,133,133,,,
MO008,US,85,85,,,
MO009,Confederate,641,641,,,
MO009,US,607,607,,,
MO010,Confederate,210,210,,,
MO010,US,72,72,,,
MO011,Confederate,80,80,,,
MO011,US,11,11,,,
MO012,Confederate,,,,,7000
MO012,US,51,51,,,
MO013,Confederate,368,368,,,
MO013,US,88,88,,,
MO014,Confederate,,,,,
MO014,US,344,344,,,
MO015,Confederate,,,,,
MO015,US,272,272,,,
MO016,Confederate,78,78,,,
MO016,US,245,245,,,
MO017,Confederate,34,34,,,
MO017,US,119,119,6,6,113
MO018,Confederate,240,240,,,
MO018,US,163,163,,,
MO019,Confederate,329,329,,,
MO019,US,78,78,,,
MO020,Confederate,325,325,,,
MO020,US,12,12,,,
MO021,Confederate,800,1000,,,
MO021,US,213,213,,,
MO022,Confederate,50,50,,,
MO022,US,400,400,,,
MO023,Confederate,,,,,
MO023,US,,,,,
MO024,Confederate,,,,,
MO024,US,,,,,
MO025,Confederate,140,140,,,
MO025,US,,,,,
MO026,Confederate,,,,,
MO026,US,,,,,
MO027,Confederate,1500,1500,,,
MO027,US,1500,1500,,,
MO028,Confederate,,,,,
MO028,US,,,,,
MO029,Confederate,24,24,,,
MO029,US,26,26,,,
MS001,Confederate,594,594,,,
MS001,US,790,790,,,
MS002,Confederate,4800,4800,,,
MS002,US,2350,2350,,,
MS003,Confederate,187,187,,,
MS003,US,1176,1176,,,
MS004,Confederate,,,,,
MS004,US,80,80,,,
MS005,Confederate,,,,,
MS005,US,,,,,
MS006,Confederate,787,787,,,
MS006,US,875,875,,,
MS007,Confederate,514,514,,,
MS007,US,442,442,,,
MS008,Confederate,850,850,,,
MS008,US,286,286,,,
MS009,Confederate,3840,3840,,,
MS009,US,2441,2441,,,
MS010,Confederate,1751,1751,,,
MS010,US,276,276,,,
MS011,Confederate,32697,32697,3202,3202,29495
MS011,US,4835,4835,,,
MS012,Confederate,,,,,
MS012,US,170,170,,,
MS013,Confederate,144,144,,,
MS013,US,388,388,,,
MS014,Confederate,493,493,,,
MS014,US,2612,2612,,,
MS015,Confederate,1326,1326,,,
MS015,US,674,674,,,
MS016,Confederate,1000,1000,,,
MS016,US,1000,1000,,,
NC001,Confederate,670,670,,,
NC001,US,3,3,,,
NC002,Confederate,2643,2643,,,
NC002,US,264,264,,,
NC003,Confederate,609,609,,,
NC003,US,476,476,,,
NC004,Confederate,439,439,,,
NC004,US,3,3,,,
NC005,Confederate,25,25,,,
NC005,US,114,114,,,
NC006,Confederate,,,,,
NC006,US,,,,,
NC007,Confederate,525,525,,,
NC007,US,160,160,,,
NC008,Confederate,,,,,
NC008,US,,,,,
NC009,Confederate,,,,,
NC009,US,,,,,
NC010,Confederate,,,,,
NC010,US,,,,,
NC011,Confederate,,,,,
NC011,US,,,,,
NC012,Confederate,300,300,,,
NC012,US,2900,2900,66,66,2834
NC013,Confederate,,,,,
NC013,US,,,,,
NC014,Confederate,,,,,
NC014,US,,,,,
NC015,Confederate,2483,2583,400,500,2083
NC015,US,1059,1059,,,
NC016,Confederate,,,,,
NC016,US,,,,,
NC017,Confederate,1500,1500,,,
NC017,US,1300,1300,,,
NC018,Confederate,86,86,,,
NC018,US,183,183,,,
NC019,Confederate,865,865,,,
NC019,US,682,682,,,
NC020,Confederate,2606,2606,,,
NC020,US,1527,1527,,,
ND001,Native American,80,80,,,
ND001,US,7,7,,,
ND002,Native American,9,9,,,
ND002,US,1,1,,,
ND003,Native American,,,,,
ND003,US,0,0,,,
ND004,Native American,550,550,,,
ND004,US,70,70,,,
ND005,Native American,31,31,,,
ND005,US,15,15,,,
NM001,Confederate,187,187,,,
NM001,US,263,263,,,
NM002,Confederate,227,227,,,
NM002,US,132,132,,,
OH001,Confederate,900,900,,,
OH001,US,25,25,,,
OH002,Confederate,364,364,,,
OH002,US,0,0,,,
OK001,Confederate,10,10,,,
OK001,Native American,,,,,
OK002,Confederate,52,52,,,
OK002,Native American,412,412,,,
OK003,Confederate,40,40,,,
OK003,Native American,211,211,,,
OK005,Confederate,47,47,,,
OK005,US,0,0,,,
OK006,Confederate,59,59,,,
OK006,US,21,21,,,
OK007,Confederate,134,134,,,
OK007,US,77,77,,,
PA001,Confederate,74,74,,,
PA001,US,154,154,,,
PA002,Confederate,28000,28000,,,
PA002,US,23000,23000,,,
SC001,Confederate,4,4,,,
SC001,US,11,11,,,
SC002,Confederate,204,204,,,
SC002,US,683,683,,,
SC003,Confederate,0,0,,,
SC003,US,0,0,,,
SC004,Confederate,14,14,,,
SC004,US,22,22,,,
SC005,Confederate,12,12,,,
SC005,US,339,339,,,
SC006,Confederate,18,18,,,
SC006,US,46,46,,,
SC007,Confederate,222,222,,,
SC007,US,1515,1515,,,
SC008,Confederate,,,,,
SC008,US,,,,,
SC009,Confederate,100,100,,,
SC009,US,117,117,,,
SC010,Confederate,50,50,,,
SC010,US,746,746,,,
SC011,Confederate,170,170,,,
SC011,US,92,92,,,
TN001,Confederate,99,99,,,
TN001,US,47,47,,,
TN002,Confederate,17000,17000,,,
TN002,US,2832,2832,,,
TN003,Confederate,10699,10699,,,
TN003,US,13047,13047,,,
TN004,Confederate,180,180,,,
TN004,US,1,1,,,
TN005,Confederate,3,3,,,
TN005,US,,,,,
TN006,Confederate,150,150,,,
TN006,US,1200,1200,,,
TN007,Confederate,400,400,,,
TN007,US,500,500,,,
TN008,Confederate,139,139,,,
TN008,US,2096,2096,,,
TN009,Confederate,,,,,
TN009,US,6,6,,,
TN010,Confederate,10000,10000,,,
TN010,US,13000,13000,,,
TN011,Confederate,500,500,,,
TN011,US,237,237,,,
TN012,Confederate,855,855,,,
TN012,US,110,110,,,
TN013,Confederate,357,357,,,
TN013,US,1600,1600,,,
TN014,Confederate,150,150,,,
TN014,US,38,38,,,
TN015,Confederate,3,3,,,
TN015,US,529,529,,,
TN016,Confederate,137,137,,,
TN016,US,100,100,,,
TN017,Confederate,,,,,
TN017,US,583,583,,,
TN018,Confederate,,,,,
TN018,US,,,,,
TN019,Confederate,165,165,,,
TN019,US,27,27,,,
TN020,Confederate,216,216,,,
TN020,US,100,100,,,
TN021,Confederate,356,356,,,
TN021,US,216,216,,,
TN022,Confederate,95,95,,,
TN022,US,60,60,,,
TN023,Confederate,570,570,,,
TN023,US,400,400,,,
TN024,Confederate,6667,6667,,,
TN024,US,5815,5815,,,
TN025,Confederate,800,800,,,
TN025,US,15,15,,,
TN026,Confederate,222,222,,,
TN026,US,115,115,,,
TN027,Confederate,,,,,
TN027,US,151,151,,,
TN028,Confederate,,,,,
TN028,US,150,150,,,
TN029,Confederate,165,165,,,
TN029,US,100,100,,,
TN030,Confederate,100,100,,,
TN030,US,549,549,,,
TN031,Confederate,62,62,,,
TN031,US,480,480,80,80,400
TN032,Confederate,,,,,
TN032,US,,,,,
TN033,Confederate,100,100,,,
TN033,US,324,324,24,24,300
TN034,Confederate,,,,,
TN034,US,,,,,
TN035,Confederate,500,500,,,
TN035,US,350,350,,,
TN036,Confederate,7300,7300,,,
TN036,US,2633,2633,,,
TN037,Confederate,214,214,,,
TN037,US,208,208,,,
TN038,Confederate,6500,6500,,,
TN038,US,3061,3061,,,
TX001,Confederate,,,,,
TX001,US,,,,,
TX002,Confederate,,,,,
TX002,US,,,,,
TX003,Confederate,50,50,,,
TX003,US,600,600,,,
TX005,Confederate,30,30,,,
TX005,US,118,118,,,
TX006,Confederate,0,0,,,
TX006,US,350,350,,,
VA001,Confederate,,,,,
VA001,US,,,,,
VA002,Confederate,0,0,,,
VA002,US,0,0,,,
VA003,Confederate,8,8,,,
VA003,US,76,76,,,
VA004,Confederate,68,68,,,
VA004,US,83,83,,,
VA005,Confederate,1982,1982,,,
VA005,US,2896,2896,,,
VA006,Confederate,149,149,,,
VA006,US,921,921,,,
VA007,Confederate,230,230,,,
VA007,US,71,71,,,
VA008,Confederate,24,24,,,
VA008,US,409,409,,,
VA009,Confederate,300,300,,,
VA009,US,182,182,,,
VA010,Confederate,1560,1560,,,
VA010,US,2283,2283,,,
VA011,Confederate,48,48,,,
VA011,US,186,186,,,
VA012,Confederate,15,15,,,
VA012,US,24,24,,,
VA013,Confederate,746,746,,,
VA013,US,355,355,,,
VA014,Confederate,6100,6100,,,
VA014,US,5000,5000,,,
VA015,Confederate,441,441,,,
VA015,US,626,626,,,
VA016,Confederate,1484,1484,,,
VA016,US,361,361,,,
VA017,Confederate,8750,8750,,,
VA017,US,6837,6837,,,
VA018,Confederate,438,438,,,
VA018,US,189,189,,,
VA019,Confederate,444,444,,,
VA019,US,919,919,,,
VA020,Confederate,3600,3600,,,
VA020,US,2700,2700,,,
VA021,Confederate,5355,5355,,,
VA021,US,3000,3000,,,
VA022,Confederate,1400,1400,,,
VA022,US,2500,2500,,,
VA023,Confederate,,,,,
VA023,US,,,,,
VA024,Confederate,,,,,
VA024,US,,,,,
VA025,Confederate,,,,,
VA025,US,,,,,
VA026,Confederate,8353,8353,,,
VA026,US,13826,13826,,,
VA027,Confederate,800,800,,,
VA027,US,1300,1300,,,
VA028,Confederate,5300,5300,,,
VA028,US,12600,12600,,,
VA029,Confederate,80,80,,,
VA029,US,99,99,,,
VA031,Confederate,900,900,,,
VA031,US,260,260,,,
VA032 VA033 VA034,Confederate,12800,12800,,,
VA032 VA033 VA034,US,18000,18000,,,
VA035,Confederate,515,515,,,
VA035,US,868,868,,,
VA036 VA037 VA038,Confederate,510,510,,,
VA036 VA037 VA038,US,827,827,,,
VA039,Confederate,,,,,
VA039,US,,,,,
VA040,Confederate,1380,1380,,,
VA040,US,540,540,,,
VA041,Confederate,,,,,
VA041,US,,,,,
