battle_id,belligerent,full_name,last_name,first_name,middle_name,suffix,rank,date,dbpedia
30,Confederate,A. G. Jenkins,Jenkins,A.,G.,,Brig. Gen.,,https://dbpedia.org/resource/Albert_Gallatin_Jenkins
30,Confederate,J. M. Jones,Jones,J.,M.,,Brig. Gen.,,https://dbpedia.org/resource/John_M._Jones
30,US,A. Hays,Hays,A.,,,Maj. Gen.,,https://dbpedia.org/resource/Alexander_Hays
30,US,J. S. Wadsworth,Wadsworth,J.,S.,,Maj. Gen.,,https://dbpedia.org/resource/James_S._Wadsworth
31,Confederate,J. E. B. Stuart,Stuart,J.,E. B.,,Lt. Gen.,,https://dbpedia.org/resource/J.E.B._Stuart
31,Confederate,J. Daniel,Daniel,J.,,,Brig. Gen.,,https://dbpedia.org/resource/Junius_Daniel
31,Confederate,A. Perrin,Perrin,A.,,,Brig. Gen.,,https://dbpedia.org/resource/Abner_Monroe_Perrin
31,Confederate,L. A. Stafford,Stafford,L.,A.,,Brig. Gen.,,https://dbpedia.org/resource/Leroy_A._Stafford
31,US,J. Sedgwick,Sedgwick,J.,,,Maj. Gen.,,https://dbpedia.org/resource/John_Sedgwick
31,US,J. C. Rice,Rice,J.,C.,,Brig. Gen.,,https://dbpedia.org/resource/James_Clay_Rice
31,US,T. G. Stevenson,Stevenson,T.,G.,,Brig. Gen.,,https://dbpedia.org/resource/Thomas_G._Stevenson
39,Confederate,W. H. T. Walker,Walker,W.,H. T.,,Maj. Gen.,,https://dbpedia.org/resource/William_H.T._Walker
39,US,J. B. McPherson,McPherson,J.,B.,,Maj. Gen.,,https://dbpedia.org/resource/James_B._McPherson
39,US,D. McCook,McCook,D.,,,Brig. Gen.,,"https://dbpedia.org/resource/Daniel_McCook,_Jr."
41,Confederate,R. E. Rodes,Rodes,R.,E.,,Maj. Gen.,,https://dbpedia.org/resource/Robert_E._Rodes
41,Confederate,A. C. Godwin,Godwin,A.,C.,,Brig. Gen.,,https://dbpedia.org/resource/Archibald_C._Godwin
41,US,D. A. Russell,Russell,D.,A.,,Maj. Gen.,,https://dbpedia.org/resource/David_Allen_Russell
42,Confederate,S. D. Ramseur,Ramseur,S.,D.,,Maj. Gen.,,https://dbpedia.org/resource/Stephen_Dodson_Ramseur
42,US,D. D. Bidwell,Bidwell,D.,D.,,Brig. Gen.,,https://dbpedia.org/resource/Daniel_Davidson_Bidwell
42,US,C. R. Lowell,Lowell,C.,R.,,Brig. Gen.,,https://dbpedia.org/resource/Charles_Russell_Lowell
43,Confederate,P. R. Cleburne,Cleburne,P.,R.,,Maj. Gen.,,https://dbpedia.org/resource/Patrick_Cleburne
43,Confederate,J. Adams,Adams,J.,,,Brig. Gen.,,https://dbpedia.org/resource/None
43,Confederate,S. R. Gist,Gist,S.,R.,,Brig. Gen.,,https://dbpedia.org/resource/States_Rights_Gist
43,Confederate,H. B. Gransbury,Gransbury,H.,B.,,Brig. Gen.,,https://dbpedia.org/resource/Hiram_B._Granbury
43,Confederate,O. F. Strahl,Strahl,O.,F.,,Brig. Gen.,,https://dbpedia.org/resource/Otho_F._Strahl
44,US,S. G. Hill,Hill,S.,G.,,Brig. Gen.,,https://dbpedia.org/resource/nullo
47,Confederate,A. P. Hill,Hill,A.,P.,,Lt. Gen.,1865-04-02,https://dbpedia.org/resource/Ambrose_Powell_Hill
47,Confederate,J. Pegram,Pegram,J.,,,Maj. Gen.,1865-02-06,https://dbpedia.org/resource/John_Pegram_(general)
47,US,H. Burnham,Burnham,H.,,,Brig. Gen.,1864-06-28,https://dbpedia.org/resource/Hiram_Burnham
47,US,D. Bates,Bates,D.,,,Brig. Gen.,1864-06-29,
47,US,G. A. Stedman,Stedman,G.,A.,,Brig. Gen.,1864-08-05,
