battle_id,battle_name,url,start_date,end_date,alternate_names,location,state,campaign,result,total_casualties,total_strength,cwsac_id,dbpedia_url
brandy-station,Brandy Station,http://www.civilwar.org/battlefields/brandy-station.html,1863-06-09,1863-06-09,Fleetwood Hill,Culpeper County,VA,Gettysburg Campaign,Inconclusive,1451,20500,VA035,http://dbpedia.org/resource/Battle_of_Brandy_Station
elkins-ferry,Elkin's Ferry,http://www.civilwar.org/battlefields/elkins-ferry.html,1864-04-03,1864-04-04,,Nevada County,AR,,Union Victory,,,AR012,http://dbpedia.org/resource/Battle_of_Elkin's_Ferry
fredericksburg,Fredericksburg,http://www.civilwar.org/battlefields/fredericksburg.html,1862-12-11,1862-12-15,,Fredericksburg,VA,,Confederate Victory,17929,172504,VA028,http://dbpedia.org/resource/Battle_of_Fredericksburg
thoroughfaregap,Thoroughfare Gap,http://www.civilwar.org/battlefields/thoroughfaregap.html,1862-08-28,1862-08-28,,Prince William County,VA,Northern Virginia Campaign 1862,Confederate Victory,,,VA025,http://dbpedia.org/resource/Battle_of_Thoroughfare_Gap
port-hudson,Port Hudson,http://www.civilwar.org/battlefields/port-hudson.html,1863-05-21,1863-07-09,,East Baton Rouge Parish and East Feliciana Parish,LA,,Union Victory,,,LA010,http://dbpedia.org/resource/Siege_of_Port_Hudson
richmond,Richmond,http://www.civilwar.org/battlefields/richmond.html,1862-08-29,1862-08-30,,Madison County,KY,Confederate Heartland Offensive,Confederate Victory,,,KY007,http://dbpedia.org/resource/Battle_of_Richmond
second-manassas,Second Manassas,http://www.civilwar.org/battlefields/second-manassas.html,1862-08-28,1862-08-30,"Second Bull Run, Groveton, Brawner's Farm",Prince William County,VA,Northern Virginia Campaign 1862,Confederate Victory,22177,125000,VA026,http://dbpedia.org/resource/Second_Battle_of_Bull_Run
raymond,Raymond,http://www.civilwar.org/battlefields/raymond.html,1863-05-12,1863-05-12,,Hinds County,MS,Grant's Operations against Vicksburg,Union Victory,,,MS007,http://dbpedia.org/resource/Battle_of_Raymond
mansfield,Mansfield,http://www.civilwar.org/battlefields/mansfield.html,1864-04-08,1864-04-08,"Sabine Cross-Roads, Pleasant Grove",DeSoto Parish,LA,Red River Campaign,Confederate Victory,4400,19000,LA018,http://dbpedia.org/resource/Battle_of_Mansfield
corinth,Corinth,http://www.civilwar.org/battlefields/corinth.html,1862-10-03,1862-10-04,,Alcorn County,MS,Iuka and Corinth Campaign,Union Victory,,,MS002,http://dbpedia.org/resource/Second_Battle_of_Corinth
new-market,New Market,http://www.civilwar.org/battlefields/new-market.html,1864-05-15,1864-05-15,,Shenandoah County,VA,,Confederate Victory,,,VA110,http://dbpedia.org/resource/Battle_of_New_Market
ringgold-gap,Ringgold Gap,http://www.civilwar.org/battlefields/ringgold-gap.html,1863-11-27,1863-11-27,,Catoosa County,GA,,Confederate Victory,,,GA005,http://dbpedia.org/resource/Battle_of_Ringgold_Gap
hatcher-s-run,Hatcher's Run,http://www.civilwar.org/battlefields/hatcher-s-run.html,1865-02-05,1865-02-07,,Dinwiddie County,VA,Richmond-Petersburg Campaign,Inconclusive,,,VA083,http://dbpedia.org/resource/Battle_of_Hatcher's_Run
jonesborough,Jonesborough,http://www.civilwar.org/battlefields/jonesborough.html,1864-08-31,1864-09-01,,Clayton County,GA,Atlanta Campaign,Union Victory,,,GA022,http://dbpedia.org/resource/Battle_of_Jonesborough
averasborough,Averasborough,http://www.civilwar.org/battlefields/averasborough.html,1865-03-16,1865-03-16,,Harnett County and Cumberland County,NC,Carolina Campaign,Inconclusive,,,NC019,http://dbpedia.org/resource/Battle_of_Averasborough
fort-donelson,Fort Donelson,http://www.civilwar.org/battlefields/fort-donelson.html,1862-02-11,1862-02-16,,Stewart County,TN,Federal Penetration up the Cumberland and Tennessee Rivers,Union Victory,16537,40702,TN002,http://dbpedia.org/resource/Battle_of_Fort_Donelson
trevilian-station,Trevilian Station,http://www.civilwar.org/battlefields/trevilian-station.html,1864-06-11,1864-06-12,Trevilians,Louisa County,VA,Grant's Overland Campaign,Confederate Victory,2000,,VA099,http://dbpedia.org/resource/Battle_of_Trevilian_Station
champion-hill,Champion Hill,http://www.civilwar.org/battlefields/champion-hill.html,1863-05-16,1863-05-16,"Champion's Hill, Bakers Creek",Hinds County,MS,Grant's Operations against Vicksburg,Union Victory,6297,54000,MS009,http://dbpedia.org/resource/Battle_of_Champion_Hill
peachtree-creek,Peach Tree Creek,http://www.civilwar.org/battlefields/peachtree-creek.html,1864-07-20,1864-07-20,,Fulton County,GA,Atlanta Campaign,Union Victory,4250,41905,GA016,http://dbpedia.org/resource/Battle_of_Peachtree_Creek
secessionville,Secessionville,http://www.civilwar.org/battlefields/secessionville.html,1862-06-16,1862-06-16,,City of Charleston,SC,,Confederate Victory,,,SC002,http://dbpedia.org/resource/Battle_of_James_Island
rocky-face-ridge,Rocky Face Ridge,http://www.civilwar.org/battlefields/rocky-face-ridge.html,1864-05-07,1864-05-13,,Whitfield County,GA,Atlanta Campaign,Union Victory,,,GA007,http://dbpedia.org/resource/Battle_of_Rocky_Face_Ridge
petersburg-breakthrough,Petersburg Breakthrough,http://www.civilwar.org/battlefields/petersburg-breakthrough.html,1865-04-02,1865-04-02,"The Breakthrough, The Third Battle of Petersburg, Fall of Petersburg",Petersburg,VA,Richmond-Petersburg Campaign,Union Victory,7750,134513,VA089,http://dbpedia.org/resource/Third_Battle_of_Petersburg
