PersonID,Keyword
d17d8043-2102-4329-8363-06b6a3dc04c0,Commanders - Army
d17d8043-2102-4329-8363-06b6a3dc04c0,Military
d17d8043-2102-4329-8363-06b6a3dc04c0,US - Commander - MD008
d17d8043-2102-4329-8363-06b6a3dc04c0,Male
d17d8043-2102-4329-8363-06b6a3dc04c0,Brigadier General
a1119257-117f-4c06-adbd-07895c4ff3da,European American
a1119257-117f-4c06-adbd-07895c4ff3da,Commanders
a1119257-117f-4c06-adbd-07895c4ff3da,Commanders - Army
a1119257-117f-4c06-adbd-07895c4ff3da,Soldier
a1119257-117f-4c06-adbd-07895c4ff3da,Military
a1119257-117f-4c06-adbd-07895c4ff3da,Lieutenant Colonel
a1119257-117f-4c06-adbd-07895c4ff3da,CS - Commander - LA017
a1119257-117f-4c06-adbd-07895c4ff3da,Male
a1119257-117f-4c06-adbd-07895c4ff3da,Confederate
8898d2e3-eb7a-498c-8d4f-0886008fbd28,European American
8898d2e3-eb7a-498c-8d4f-0886008fbd28,Union
8898d2e3-eb7a-498c-8d4f-0886008fbd28,Commanders
8898d2e3-eb7a-498c-8d4f-0886008fbd28,Soldiers
8898d2e3-eb7a-498c-8d4f-0886008fbd28,Commanders - Army
8898d2e3-eb7a-498c-8d4f-0886008fbd28,Military
8898d2e3-eb7a-498c-8d4f-0886008fbd28,US - Commander - AR002
8898d2e3-eb7a-498c-8d4f-0886008fbd28,Male
8898d2e3-eb7a-498c-8d4f-0886008fbd28,Colonel
03c2a063-2c1f-4006-9be2-08bcb50ee9ea,European American
03c2a063-2c1f-4006-9be2-08bcb50ee9ea,Lieutenant General
03c2a063-2c1f-4006-9be2-08bcb50ee9ea,Commanders
03c2a063-2c1f-4006-9be2-08bcb50ee9ea,Soldiers
03c2a063-2c1f-4006-9be2-08bcb50ee9ea,Commanders - Army
03c2a063-2c1f-4006-9be2-08bcb50ee9ea,Military
03c2a063-2c1f-4006-9be2-08bcb50ee9ea,CS - Commander - MS003
03c2a063-2c1f-4006-9be2-08bcb50ee9ea,MWV
03c2a063-2c1f-4006-9be2-08bcb50ee9ea,Male
03c2a063-2c1f-4006-9be2-08bcb50ee9ea,Confederate
03c2a063-2c1f-4006-9be2-08bcb50ee9ea,CS - Commander - MS009
1f939341-eedd-41d7-8805-0927336ebd5f,Male
1f939341-eedd-41d7-8805-0927336ebd5f,Military
1f939341-eedd-41d7-8805-0927336ebd5f,Politician
1f939341-eedd-41d7-8805-0927336ebd5f,Union
6420b474-c728-4537-84ce-09ae419a5398,European American
6420b474-c728-4537-84ce-09ae419a5398,Commanders
6420b474-c728-4537-84ce-09ae419a5398,Soldiers
6420b474-c728-4537-84ce-09ae419a5398,Commanders - Army
