theater,dbp_resource,dbp_category
Western,http://dbpedia.org/resource/Western_Theater_of_the_American_Civil_War,Category:Main_Western_Theater_of_the_American_Civil_War
Trans-Mississippi,http://dbpedia.org/resource/Trans-Mississippi_Theater_of_the_American_Civil_War,Category:Trans-Mississippi_Theater_of_the_American_Civil_War
Pacific Coast,http://dbpedia.org/resource/Pacific_Coast_Theater_of_the_American_Civil_War,Category:Pacific_Coast_Theater_of_the_American_Civil_War
Lower Seaboard,http://dbpedia.org/resource/Lower_Seaboard_Theater_of_the_American_Civil_War,Category:Lower_Seaboard_Theater_and_Gulf_Approach_of_the_American_Civil_War
Eastern,http://dbpedia.org/resource/Eastern_Theater_of_the_American_Civil_War,Category:Main_Eastern_Theater_of_the_American_Civil_War
