cwsac_id,battle_name,cwss,cwsac,cws2,aad,notall
AL001,Day's Gap,TRUE,TRUE,TRUE,TRUE,FALSE
AL002,Athens,TRUE,TRUE,TRUE,TRUE,FALSE
AL003,Mobile Bay,TRUE,TRUE,TRUE,TRUE,FALSE
AL004,Decatur,TRUE,TRUE,TRUE,TRUE,FALSE
AL005,Spanish Fort,TRUE,TRUE,TRUE,TRUE,FALSE
AL006,Fort Blakely,TRUE,TRUE,TRUE,TRUE,FALSE
AL007,Selma,TRUE,TRUE,TRUE,TRUE,FALSE
AR001,Pea Ridge,TRUE,TRUE,TRUE,TRUE,FALSE
AR002,Saint Charles,TRUE,TRUE,TRUE,TRUE,FALSE
AR003,Hill's Plantation,TRUE,TRUE,TRUE,TRUE,FALSE
AR004,Cane Hill,TRUE,TRUE,TRUE,TRUE,FALSE
AR005,Prairie Grove,TRUE,TRUE,TRUE,TRUE,FALSE
AR006,Arkansas Post,TRUE,TRUE,TRUE,TRUE,FALSE
AR007,Chalk Bluff,TRUE,TRUE,TRUE,TRUE,FALSE
AR008,Helena,TRUE,TRUE,TRUE,TRUE,FALSE
AR009,Devil's Backbone,TRUE,TRUE,TRUE,TRUE,FALSE
AR010,Bayou Fourche,TRUE,TRUE,TRUE,TRUE,FALSE
AR011,Pine Bluff,TRUE,TRUE,TRUE,TRUE,FALSE
AR012,Elkin's Ferry,TRUE,TRUE,TRUE,TRUE,FALSE
AR013,Prairie D'Ane,TRUE,TRUE,TRUE,TRUE,FALSE
AR014,Poison Spring,TRUE,TRUE,TRUE,TRUE,FALSE
AR015,Marks' Mills,TRUE,TRUE,TRUE,TRUE,FALSE
AR016,Jenkin's Ferry,TRUE,TRUE,TRUE,TRUE,FALSE
AR017,Old River Lake,TRUE,TRUE,TRUE,TRUE,FALSE
CO001,Sand Creek,TRUE,TRUE,TRUE,TRUE,FALSE
DC001,Fort Stevens,TRUE,TRUE,TRUE,TRUE,FALSE
FL001,Santa Rosa Island,TRUE,TRUE,TRUE,TRUE,FALSE
FL002,Tampa,TRUE,TRUE,TRUE,TRUE,FALSE
FL003,Saint John's Bluff,TRUE,TRUE,TRUE,TRUE,FALSE
FL004,Fort Brooke,TRUE,TRUE,TRUE,TRUE,FALSE
FL005,Olustee,TRUE,TRUE,TRUE,TRUE,FALSE
FL006,Natural Bridge,TRUE,TRUE,TRUE,TRUE,FALSE
GA001,Fort Pulaski,TRUE,TRUE,TRUE,TRUE,FALSE
GA002,Fort Mcallister I,TRUE,TRUE,TRUE,TRUE,FALSE
GA003,Davis' Cross Roads,TRUE,TRUE,TRUE,TRUE,FALSE
GA004,Chickamauga,TRUE,TRUE,TRUE,TRUE,FALSE
GA005,Ringgold Gap,TRUE,TRUE,TRUE,TRUE,FALSE
GA006,Dalton I,TRUE,TRUE,TRUE,TRUE,FALSE
GA007,Rocky Face Ridge,TRUE,TRUE,TRUE,TRUE,FALSE
GA008,Resaca,TRUE,TRUE,TRUE,TRUE,FALSE
GA009,Adairsville,TRUE,TRUE,TRUE,TRUE,FALSE
GA010,New Hope Church,TRUE,TRUE,TRUE,TRUE,FALSE
