cwsac_id,battle_name,cwss,cwsac,cws2,aad,notall
GA011,Dallas,TRUE,TRUE,TRUE,TRUE,FALSE
GA012,Pickett's Mill,TRUE,TRUE,TRUE,TRUE,FALSE
GA013,Marietta Operations,TRUE,TRUE,TRUE,TRUE,FALSE
GA014,Kolb's Farm,TRUE,TRUE,TRUE,TRUE,FALSE
GA015,Kennesaw Mountain,TRUE,TRUE,TRUE,TRUE,FALSE
GA016,Peachtree Creek,TRUE,TRUE,TRUE,TRUE,FALSE
GA017,Atlanta,TRUE,TRUE,TRUE,TRUE,FALSE
GA018,Ezra Church,TRUE,TRUE,TRUE,TRUE,FALSE
GA019,Utoy Creek,TRUE,TRUE,TRUE,TRUE,FALSE
GA020,Dalton II,TRUE,TRUE,TRUE,TRUE,FALSE
GA021,Lovejoy's Station,TRUE,TRUE,TRUE,TRUE,FALSE
GA022,Jonesborough,TRUE,TRUE,TRUE,TRUE,FALSE
GA023,Allatoona,TRUE,TRUE,TRUE,TRUE,FALSE
GA025,Griswoldville,TRUE,TRUE,TRUE,TRUE,FALSE
GA026,Buck Head Creek,TRUE,TRUE,TRUE,TRUE,FALSE
GA027,Waynesborough,TRUE,TRUE,TRUE,TRUE,FALSE
GA028,Fort Mcallister II,TRUE,TRUE,TRUE,TRUE,FALSE
ID001,Bear River,TRUE,TRUE,TRUE,TRUE,FALSE
IN001,Corydon,TRUE,TRUE,TRUE,TRUE,FALSE
KS001,Lawrence,TRUE,TRUE,TRUE,TRUE,FALSE
KS002,Baxter Springs,TRUE,TRUE,TRUE,TRUE,FALSE
KS003,Mine Creek,TRUE,TRUE,TRUE,TRUE,FALSE
KS004,Marais Des Cygnes,TRUE,TRUE,TRUE,TRUE,FALSE
KY001,Barbourville,TRUE,TRUE,TRUE,TRUE,FALSE
KY002,Camp Wildcat,TRUE,TRUE,TRUE,TRUE,FALSE
KY003,Ivy Mountain,TRUE,TRUE,TRUE,TRUE,FALSE
KY004,Rowlett's Station,TRUE,TRUE,TRUE,TRUE,FALSE
KY005,Middle Creek,TRUE,TRUE,TRUE,TRUE,FALSE
KY006,Mill Springs,TRUE,TRUE,TRUE,TRUE,FALSE
KY007,Richmond,TRUE,TRUE,TRUE,TRUE,FALSE
KY008,Munfordville,TRUE,TRUE,TRUE,TRUE,FALSE
KY009,Perryville,TRUE,TRUE,TRUE,TRUE,FALSE
KY010,Paducah,TRUE,TRUE,TRUE,TRUE,FALSE
KY011,Cynthiana,TRUE,TRUE,TRUE,TRUE,FALSE
LA001,Forts Jackson and Saint Philip,TRUE,TRUE,TRUE,TRUE,FALSE
LA002,New Orleans,TRUE,TRUE,TRUE,TRUE,FALSE
LA003,Baton Rouge,TRUE,TRUE,TRUE,TRUE,FALSE
LA004,Donaldsonville I,TRUE,TRUE,TRUE,TRUE,FALSE
LA005,Georgia Landing,TRUE,TRUE,TRUE,TRUE,FALSE
LA006,Fort Bisland,TRUE,TRUE,TRUE,TRUE,FALSE
LA007,Irish Bend,TRUE,TRUE,TRUE,TRUE,FALSE
LA008,Vermillion Bayou,TRUE,TRUE,TRUE,TRUE,FALSE
LA009,Plains Store,TRUE,TRUE,TRUE,TRUE,FALSE
LA010,Port Hudson,TRUE,TRUE,TRUE,TRUE,FALSE
LA011,Milliken's Bend,TRUE,TRUE,TRUE,TRUE,FALSE
LA012,LaFourche Crossing,TRUE,TRUE,TRUE,TRUE,FALSE
LA013,Donaldsonville II,TRUE,TRUE,TRUE,TRUE,FALSE
LA014,Goddrich's Landing,TRUE,TRUE,TRUE,TRUE,FALSE
LA015,Kock's Plantation,TRUE,TRUE,TRUE,TRUE,FALSE
LA016,Stirling's Plantation,TRUE,TRUE,TRUE,TRUE,FALSE
LA017,Fort DeRussy,TRUE,TRUE,TRUE,TRUE,FALSE
LA018,Mansfield,TRUE,TRUE,TRUE,TRUE,FALSE
LA019,Pleasant Hill,TRUE,TRUE,TRUE,TRUE,FALSE
LA020,Blair's Landing,TRUE,TRUE,TRUE,TRUE,FALSE
LA021,Monett's Ferry,TRUE,TRUE,TRUE,TRUE,FALSE
LA022,Mansura,TRUE,TRUE,TRUE,TRUE,FALSE
LA023,Yellow Bayou,TRUE,TRUE,TRUE,TRUE,FALSE
MD001,Hancock,TRUE,TRUE,TRUE,TRUE,FALSE
MD002,South Mountain,TRUE,TRUE,TRUE,TRUE,FALSE
MD003,Antietam,TRUE,TRUE,TRUE,TRUE,FALSE
MD004,Williamsport,TRUE,TRUE,TRUE,TRUE,FALSE
MD006,Boonsboro,TRUE,TRUE,TRUE,TRUE,FALSE
MD007,Monocacy,TRUE,TRUE,TRUE,TRUE,FALSE
MD008,Folck's Mill,TRUE,TRUE,TRUE,TRUE,FALSE
MN001,Fort Ridgley,TRUE,TRUE,TRUE,TRUE,FALSE
MN002,Wood Lake,TRUE,TRUE,TRUE,TRUE,FALSE
MO001,Boonville,TRUE,TRUE,TRUE,TRUE,FALSE
MO002,Carthage,TRUE,TRUE,TRUE,TRUE,FALSE
MO003,Liberty,TRUE,TRUE,TRUE,TRUE,FALSE
MO004,Wilson's Creek,TRUE,TRUE,TRUE,TRUE,FALSE
MO005,Dry Wood Creek,TRUE,TRUE,TRUE,TRUE,FALSE
MO006,Lexington I,TRUE,TRUE,TRUE,TRUE,FALSE
MO007,Fredericktown,TRUE,TRUE,TRUE,TRUE,FALSE
MO008,Springfield I,TRUE,TRUE,TRUE,TRUE,FALSE
MO009,Belmont,TRUE,TRUE,TRUE,TRUE,FALSE
MO011,Roan's Tan Yard,TRUE,TRUE,TRUE,TRUE,FALSE
MO013,Kirksville,TRUE,TRUE,TRUE,TRUE,FALSE
MO014,Independence I,TRUE,TRUE,TRUE,TRUE,FALSE
MO015,Lone Jack,TRUE,TRUE,TRUE,TRUE,FALSE
MO016,Newtonia I,TRUE,TRUE,TRUE,TRUE,FALSE
MO017,Clark's Mill,TRUE,TRUE,TRUE,TRUE,FALSE
MO018,Springfield II,TRUE,TRUE,TRUE,TRUE,FALSE
MO019,Hartville,TRUE,TRUE,TRUE,TRUE,FALSE
MO020,Cape Girardeau,TRUE,TRUE,TRUE,TRUE,FALSE
MO021,Fort Davidson,TRUE,TRUE,TRUE,TRUE,FALSE
MO023,Lexington II,TRUE,TRUE,TRUE,TRUE,FALSE
MO024,Little Blue River,TRUE,TRUE,TRUE,TRUE,FALSE
MO025,Independence II,TRUE,TRUE,TRUE,TRUE,FALSE
MO026,Byram's Ford,TRUE,TRUE,TRUE,TRUE,FALSE
MO027,Westport,TRUE,TRUE,TRUE,TRUE,FALSE
MO028,Marmiton River,TRUE,TRUE,TRUE,TRUE,FALSE
MO029,Newtonia II,TRUE,TRUE,TRUE,TRUE,FALSE
MS001,Iuka,TRUE,TRUE,TRUE,TRUE,FALSE
MS002,Corinth II,TRUE,TRUE,TRUE,TRUE,FALSE
MS003,Chickasaw Bayou,TRUE,TRUE,TRUE,TRUE,FALSE
MS004,Grand Gulf,TRUE,TRUE,TRUE,TRUE,FALSE
MS005,Snyder's Bluff,TRUE,TRUE,TRUE,TRUE,FALSE
MS006,Port Gibson,TRUE,TRUE,TRUE,TRUE,FALSE
MS007,Raymond,TRUE,TRUE,TRUE,TRUE,FALSE
MS008,Jackson,TRUE,TRUE,TRUE,TRUE,FALSE
MS009,Champion Hill,TRUE,TRUE,TRUE,TRUE,FALSE
MS010,Big Black River Bridge,TRUE,TRUE,TRUE,TRUE,FALSE
MS011,Vicksburg,TRUE,TRUE,TRUE,TRUE,FALSE
MS012,Meridian,TRUE,TRUE,TRUE,TRUE,FALSE
MS013,Okolona,TRUE,TRUE,TRUE,TRUE,FALSE
MS014,Brices Cross Roads,TRUE,TRUE,TRUE,TRUE,FALSE
MS015,Tupelo,TRUE,TRUE,TRUE,TRUE,FALSE
MS016,Corinth I,TRUE,TRUE,TRUE,TRUE,FALSE
NC001,Hatteras Inlet Batteries,TRUE,TRUE,TRUE,TRUE,FALSE
NC002,Roanoke Island,TRUE,TRUE,TRUE,TRUE,FALSE
NC003,New Berne,TRUE,TRUE,TRUE,TRUE,FALSE
NC004,Fort Macon,TRUE,TRUE,TRUE,TRUE,FALSE
NC005,South Mills,TRUE,TRUE,TRUE,TRUE,FALSE
NC006,Tranter's Creek,TRUE,TRUE,TRUE,TRUE,FALSE
NC007,Kinston,TRUE,TRUE,TRUE,TRUE,FALSE
NC008,White Hall,TRUE,TRUE,TRUE,TRUE,FALSE
NC009,Goldsborough Bridge,TRUE,TRUE,TRUE,TRUE,FALSE
NC010,Fort Anderson,TRUE,TRUE,TRUE,TRUE,FALSE
NC011,Washington,TRUE,TRUE,TRUE,TRUE,FALSE
NC012,Plymouth,TRUE,TRUE,TRUE,TRUE,FALSE
NC013,Albemarle Sound,TRUE,TRUE,TRUE,TRUE,FALSE
NC014,Fort Fisher I,TRUE,TRUE,TRUE,TRUE,FALSE
NC015,Fort Fisher II,TRUE,TRUE,TRUE,TRUE,FALSE
NC016,Wilmington,TRUE,TRUE,TRUE,TRUE,FALSE
NC017,Wyse Fork,TRUE,TRUE,TRUE,TRUE,FALSE
NC018,Monroe's Cross Roads,TRUE,TRUE,TRUE,TRUE,FALSE
NC019,Averasborough,TRUE,TRUE,TRUE,TRUE,FALSE
NC020,Bentonville,TRUE,TRUE,TRUE,TRUE,FALSE
ND001,Big Mound,TRUE,TRUE,TRUE,TRUE,FALSE
ND002,Dead Buffalo Lake,TRUE,TRUE,TRUE,TRUE,FALSE
ND003,Stony Lake,TRUE,TRUE,TRUE,TRUE,FALSE
ND004,Whitestone Hill,TRUE,TRUE,TRUE,TRUE,FALSE
ND005,Killdeer Mountain,TRUE,TRUE,TRUE,TRUE,FALSE
NM001,Valverde,TRUE,TRUE,TRUE,TRUE,FALSE
NM002,Glorieta Pass,TRUE,TRUE,TRUE,TRUE,FALSE
OH001,Buffington Island,TRUE,TRUE,TRUE,TRUE,FALSE
OH002,Salineville,TRUE,TRUE,TRUE,TRUE,FALSE
OK001,Round Mountain,TRUE,TRUE,TRUE,TRUE,FALSE
OK002,Chusto-Talasah,TRUE,TRUE,TRUE,TRUE,FALSE
OK003,Chustenahlah,TRUE,TRUE,TRUE,TRUE,FALSE
OK004,Old Fort Wayne,TRUE,TRUE,TRUE,TRUE,FALSE
OK005,Middle Boggy Depot,TRUE,TRUE,TRUE,TRUE,FALSE
OK006,Cabin Creek,TRUE,TRUE,TRUE,TRUE,FALSE
OK007,Honey Springs,TRUE,TRUE,TRUE,TRUE,FALSE
PA001,Hanover,TRUE,TRUE,TRUE,TRUE,FALSE
PA002,Gettysburg,TRUE,TRUE,TRUE,TRUE,FALSE
SC001,Fort Sumter I,TRUE,TRUE,TRUE,TRUE,FALSE
SC002,Secessionville,TRUE,TRUE,TRUE,TRUE,FALSE
SC003,Simmon's Bluff,TRUE,TRUE,TRUE,TRUE,FALSE
SC004,Charleston Harbor I,TRUE,TRUE,TRUE,TRUE,FALSE
SC005,Fort Wagner I,TRUE,TRUE,TRUE,TRUE,FALSE
SC006,Grimball's Island,TRUE,TRUE,TRUE,TRUE,FALSE
SC007,Fort Wagner II/Morris Island,TRUE,TRUE,TRUE,TRUE,FALSE
SC008,Fort Sumter II,TRUE,TRUE,TRUE,TRUE,FALSE
SC009,Charleston Harbor II,TRUE,TRUE,TRUE,TRUE,FALSE
SC010,Honey Hill,TRUE,TRUE,TRUE,TRUE,FALSE
SC011,Rivers' Bridge,TRUE,TRUE,TRUE,TRUE,FALSE
TN001,Fort Henry,TRUE,TRUE,TRUE,TRUE,FALSE
TN002,Fort Donelson,TRUE,TRUE,TRUE,TRUE,FALSE
TN003,Shiloh,TRUE,TRUE,TRUE,TRUE,FALSE
TN004,Memphis I,TRUE,TRUE,TRUE,TRUE,FALSE
TN005,Chattanooga I,TRUE,TRUE,TRUE,TRUE,FALSE
TN006,Murfreesboro I,TRUE,TRUE,TRUE,TRUE,FALSE
TN007,Hatchie's Bridge,TRUE,TRUE,TRUE,TRUE,FALSE
TN008,Hartsville,TRUE,TRUE,TRUE,TRUE,FALSE
TN009,Jackson,TRUE,TRUE,TRUE,TRUE,FALSE
TN010,Stones River,TRUE,TRUE,TRUE,TRUE,FALSE
TN011,Parker's Cross Roads,TRUE,TRUE,TRUE,TRUE,FALSE
TN012,Dover,TRUE,TRUE,TRUE,TRUE,FALSE
TN013,Thompson's Station,TRUE,TRUE,TRUE,TRUE,FALSE
TN014,Vaught's Hill,TRUE,TRUE,TRUE,TRUE,FALSE
TN015,Brentwood,TRUE,TRUE,TRUE,TRUE,FALSE
TN016,Franklin I,TRUE,TRUE,TRUE,TRUE,FALSE
TN017,Hoover's Gap,TRUE,TRUE,TRUE,TRUE,FALSE
TN018,Chattanooga II,TRUE,TRUE,TRUE,TRUE,FALSE
TN019,Blountsville,TRUE,TRUE,TRUE,TRUE,FALSE
TN020,Blue Springs,TRUE,TRUE,TRUE,TRUE,FALSE
TN021,Wauhatchie,TRUE,TRUE,TRUE,TRUE,FALSE
TN022,Collierville,TRUE,TRUE,TRUE,TRUE,FALSE
TN023,Campbell's Station,TRUE,TRUE,TRUE,TRUE,FALSE
TN024,Chattanooga III,TRUE,TRUE,TRUE,TRUE,FALSE
TN025,Fort Sanders,TRUE,TRUE,TRUE,TRUE,FALSE
TN026,Bean's Station,TRUE,TRUE,TRUE,TRUE,FALSE
TN027,Mossy Creek,TRUE,TRUE,TRUE,TRUE,FALSE
TN028,Dandridge,TRUE,TRUE,TRUE,TRUE,FALSE
TN029,Fair Garden,TRUE,TRUE,TRUE,TRUE,FALSE
TN030,Fort Pillow,TRUE,TRUE,TRUE,TRUE,FALSE
TN031,Memphis II,TRUE,TRUE,TRUE,TRUE,FALSE
TN032,Johnsonville,TRUE,TRUE,TRUE,TRUE,FALSE
TN033,Bull's Gap,TRUE,TRUE,TRUE,TRUE,FALSE
TN034,Columbia,TRUE,TRUE,TRUE,TRUE,FALSE
TN035,Spring Hill,TRUE,TRUE,TRUE,TRUE,FALSE
TN036,Franklin II,TRUE,TRUE,TRUE,TRUE,FALSE
TN037,Murfreesboro II,TRUE,TRUE,TRUE,TRUE,FALSE
TN038,Nashville,TRUE,TRUE,TRUE,TRUE,FALSE
TX001,Sabine Pass I,TRUE,TRUE,TRUE,TRUE,FALSE
TX002,Galveston I,TRUE,TRUE,TRUE,TRUE,FALSE
TX003,Galveston II,TRUE,TRUE,TRUE,TRUE,FALSE
TX005,Palmito Ranch,TRUE,TRUE,TRUE,TRUE,FALSE
TX006,Sabine Pass II,TRUE,TRUE,TRUE,TRUE,FALSE
VA001,Sewell's Point,TRUE,TRUE,TRUE,TRUE,FALSE
VA002,Aquia Creek,TRUE,TRUE,TRUE,TRUE,FALSE
VA003,Big Bethel,TRUE,TRUE,TRUE,TRUE,FALSE
VA004,Blackburn's Ford,TRUE,TRUE,TRUE,TRUE,FALSE
VA005,Manassas I,TRUE,TRUE,TRUE,TRUE,FALSE
VA006,Ball's Bluff,TRUE,TRUE,TRUE,TRUE,FALSE
VA007,Dranesville,TRUE,TRUE,TRUE,TRUE,FALSE
VA008,Hampton Roads,TRUE,TRUE,TRUE,TRUE,FALSE
VA009,Yorktown,TRUE,TRUE,TRUE,TRUE,FALSE
VA010,Williamsburg,TRUE,TRUE,TRUE,TRUE,FALSE
VA011,Eltham's Landing,TRUE,TRUE,TRUE,TRUE,FALSE
VA012,Drewry's Bluff,TRUE,TRUE,TRUE,TRUE,FALSE
VA013,Hanover Court House,TRUE,TRUE,TRUE,TRUE,FALSE
VA014,Seven Pines,TRUE,TRUE,TRUE,TRUE,FALSE
VA015,Oak Grove,TRUE,TRUE,TRUE,TRUE,FALSE
VA016,Beaver Dam Creek,TRUE,TRUE,TRUE,TRUE,FALSE
VA017,Gaines' Mill,TRUE,TRUE,TRUE,TRUE,FALSE
VA018,Garnett's & Golding's Farms,TRUE,TRUE,TRUE,TRUE,FALSE
VA019,Savage's Station,TRUE,TRUE,TRUE,TRUE,FALSE
VA020A,White Oak Swamp,TRUE,TRUE,FALSE,TRUE,TRUE
VA020B,Glendale,TRUE,TRUE,FALSE,TRUE,TRUE
VA021,Malvern Hill,TRUE,TRUE,TRUE,TRUE,FALSE
VA022,Cedar Mountain,TRUE,TRUE,TRUE,TRUE,FALSE
VA023,Rappahannock Station I,TRUE,TRUE,TRUE,TRUE,FALSE
VA024,Manassas Station Operations,TRUE,TRUE,TRUE,TRUE,FALSE
VA025,Thoroughfare Gap,TRUE,TRUE,TRUE,TRUE,FALSE
VA026,Manassas II,TRUE,TRUE,TRUE,TRUE,FALSE
VA027,Chantilly,TRUE,TRUE,TRUE,TRUE,FALSE
VA028,Fredericksburg I,TRUE,TRUE,TRUE,TRUE,FALSE
VA029,Kelly's Ford,TRUE,TRUE,TRUE,TRUE,FALSE
VA030,Suffolk II,TRUE,TRUE,TRUE,TRUE,FALSE
VA031,Suffolk I,TRUE,TRUE,TRUE,TRUE,FALSE
VA032,Chancellorsville,TRUE,TRUE,TRUE,TRUE,FALSE
VA033,Salem Church,TRUE,TRUE,TRUE,TRUE,FALSE
VA034,Fredericksburg II,TRUE,TRUE,TRUE,TRUE,FALSE
VA035,Brandy Station,TRUE,TRUE,TRUE,TRUE,FALSE
VA036,Aldie,TRUE,TRUE,TRUE,TRUE,FALSE
VA037,Middleburg,TRUE,TRUE,TRUE,TRUE,FALSE
VA038,Upperville,TRUE,TRUE,TRUE,TRUE,FALSE
VA039,Auburn I,TRUE,TRUE,TRUE,TRUE,FALSE
VA040,Bristoe Station,TRUE,TRUE,TRUE,TRUE,FALSE
VA041,Auburn II,TRUE,TRUE,TRUE,TRUE,FALSE
VA042,Buckland Mills,TRUE,TRUE,TRUE,TRUE,FALSE
VA043,Rappahannock Station II,TRUE,TRUE,TRUE,TRUE,FALSE
VA044,Mine Run,TRUE,TRUE,TRUE,TRUE,FALSE
VA045,Morton's Ford,TRUE,TRUE,TRUE,TRUE,FALSE
VA046,Wilderness,TRUE,TRUE,TRUE,TRUE,FALSE
VA047,Port Walthall Junction,TRUE,TRUE,TRUE,TRUE,FALSE
VA048,Spotsylvania Court House,TRUE,TRUE,TRUE,TRUE,FALSE
VA049,Cloyd's Mountain,TRUE,TRUE,TRUE,TRUE,FALSE
VA050,Swift Creek,TRUE,TRUE,TRUE,TRUE,FALSE
VA051,Chester Station,TRUE,TRUE,TRUE,TRUE,FALSE
VA052,Yellow Tavern,TRUE,TRUE,TRUE,TRUE,FALSE
VA053,Proctor's Creek,TRUE,TRUE,TRUE,TRUE,FALSE
VA054,Ware Bottom Church,TRUE,TRUE,TRUE,TRUE,FALSE
VA055,North Anna,TRUE,TRUE,TRUE,TRUE,FALSE
VA056,Wilson's Wharf,TRUE,TRUE,TRUE,TRUE,FALSE
VA057,Totopotomoy Creek,TRUE,TRUE,TRUE,TRUE,FALSE
VA058,Haw's Shop,TRUE,TRUE,TRUE,TRUE,FALSE
VA059,Old Church,TRUE,TRUE,TRUE,TRUE,FALSE
VA062,Cold Harbor,TRUE,TRUE,TRUE,TRUE,FALSE
VA063,Petersburg II,TRUE,TRUE,TRUE,TRUE,FALSE
VA064,Lynchburg,TRUE,TRUE,TRUE,TRUE,FALSE
VA065,Jerusalem Plank Road,TRUE,TRUE,TRUE,TRUE,FALSE
VA066,Saint Mary's Church,TRUE,TRUE,TRUE,TRUE,FALSE
VA067,Sappony Church,TRUE,TRUE,TRUE,TRUE,FALSE
VA068,Ream's Station I,TRUE,TRUE,TRUE,TRUE,FALSE
VA069,Deep Bottom I,TRUE,TRUE,TRUE,TRUE,FALSE
VA070,Crater,TRUE,TRUE,TRUE,TRUE,FALSE
VA071,Deep Bottom II,TRUE,TRUE,TRUE,TRUE,FALSE
VA072,Globe Tavern,TRUE,TRUE,TRUE,TRUE,FALSE
VA073,Ream's Station II,TRUE,TRUE,TRUE,TRUE,FALSE
VA074,Peebles' Farm,TRUE,TRUE,TRUE,TRUE,FALSE
VA075,Chaffin's Farm / New Market Heights,TRUE,TRUE,TRUE,TRUE,FALSE
VA076,Saltville I,TRUE,TRUE,TRUE,TRUE,FALSE
VA077,Darbytown & New Market Roads,TRUE,TRUE,TRUE,TRUE,FALSE
VA078,Darbytown Road,TRUE,TRUE,TRUE,TRUE,FALSE
VA079,Boydton Plank Road,TRUE,TRUE,TRUE,TRUE,FALSE
VA080,Fair Oaks & Darbytown Road,TRUE,TRUE,TRUE,TRUE,FALSE
VA081,Marion,TRUE,TRUE,TRUE,TRUE,FALSE
VA082,Saltville II,TRUE,TRUE,TRUE,TRUE,FALSE
VA083,Hatcher's Run,TRUE,TRUE,TRUE,TRUE,FALSE
VA084,Fort Stedman,TRUE,TRUE,TRUE,TRUE,FALSE
VA085,Lewis's Farm,TRUE,TRUE,TRUE,TRUE,FALSE
VA086,Dinwiddie Court House,TRUE,TRUE,TRUE,TRUE,FALSE
VA087,White Oak Road,TRUE,TRUE,TRUE,TRUE,FALSE
VA088,Five Forks,TRUE,TRUE,TRUE,TRUE,FALSE
VA089,Petersburg III,TRUE,TRUE,TRUE,TRUE,FALSE
VA090,Sutherland's Station,TRUE,TRUE,TRUE,TRUE,FALSE
VA091,Amelia Springs,TRUE,TRUE,TRUE,TRUE,FALSE
VA092,Rice's Station,TRUE,TRUE,TRUE,TRUE,FALSE
VA093,Sailor's Creek,TRUE,TRUE,TRUE,TRUE,FALSE
VA094,Cumberland Church,TRUE,TRUE,TRUE,TRUE,FALSE
VA095,High Bridge,TRUE,TRUE,TRUE,TRUE,FALSE
VA096,Appomattox Station,TRUE,TRUE,TRUE,TRUE,FALSE
VA097,Appomattox Court House,TRUE,TRUE,TRUE,TRUE,FALSE
VA098,Petersburg I,TRUE,TRUE,TRUE,TRUE,FALSE
VA099,Trevilian Station,TRUE,TRUE,TRUE,TRUE,FALSE
VA100,Cockpit Point,TRUE,TRUE,TRUE,TRUE,FALSE
VA101,Kernstown I,TRUE,TRUE,TRUE,TRUE,FALSE
VA102,McDowell,TRUE,TRUE,TRUE,TRUE,FALSE
VA103,Front Royal,TRUE,TRUE,TRUE,TRUE,FALSE
VA104,Winchester I,TRUE,TRUE,TRUE,TRUE,FALSE
VA105,Cross Keys,TRUE,TRUE,TRUE,TRUE,FALSE
VA106,Port Republic,TRUE,TRUE,TRUE,TRUE,FALSE
VA107,Winchester II,TRUE,TRUE,TRUE,TRUE,FALSE
VA108,Manassas Gap,TRUE,TRUE,TRUE,TRUE,FALSE
VA109,Cove Mountain,TRUE,TRUE,TRUE,TRUE,FALSE
VA110,New Market,TRUE,TRUE,TRUE,TRUE,FALSE
VA111,Piedmont,TRUE,TRUE,TRUE,TRUE,FALSE
VA113,Staunton River Bridge,TRUE,TRUE,TRUE,TRUE,FALSE
VA114,Cool Spring,TRUE,TRUE,TRUE,TRUE,FALSE
VA115,Rutherford's Farm,TRUE,TRUE,TRUE,TRUE,FALSE
VA116,Kernstown II,TRUE,TRUE,TRUE,TRUE,FALSE
VA117,Guard Hill,TRUE,TRUE,TRUE,TRUE,FALSE
VA118,Berryville,TRUE,TRUE,TRUE,TRUE,FALSE
VA119,Opequon,TRUE,TRUE,TRUE,TRUE,FALSE
VA120,Fisher's Hill,TRUE,TRUE,TRUE,TRUE,FALSE
VA121,Tom's Brook,TRUE,TRUE,TRUE,TRUE,FALSE
VA122,Cedar Creek,TRUE,TRUE,TRUE,TRUE,FALSE
VA123,Waynesboro,TRUE,TRUE,TRUE,TRUE,FALSE
VA124,Namozine Church,TRUE,TRUE,TRUE,TRUE,FALSE
VA125,Walkerton,TRUE,TRUE,TRUE,TRUE,FALSE
WV001,Philippi,TRUE,TRUE,TRUE,TRUE,FALSE
WV002,Hoke's Run,TRUE,TRUE,TRUE,TRUE,FALSE
WV003,Rich Mountain,TRUE,TRUE,TRUE,TRUE,FALSE
WV004,Kessler's Cross Lanes,TRUE,TRUE,TRUE,TRUE,FALSE
WV005,Cheat Mountain,TRUE,TRUE,TRUE,TRUE,FALSE
WV006,Carnifex Ferry,TRUE,TRUE,TRUE,TRUE,FALSE
WV007,Greenbrier River,TRUE,TRUE,TRUE,TRUE,FALSE
WV008,Camp Allegheny,TRUE,TRUE,TRUE,TRUE,FALSE
WV010,Harpers Ferry,TRUE,TRUE,TRUE,TRUE,FALSE
WV012,Droop Mountain,TRUE,TRUE,TRUE,TRUE,FALSE
WV013,Moorefield,TRUE,TRUE,TRUE,TRUE,FALSE
WV014,Summit Point,TRUE,TRUE,TRUE,TRUE,FALSE
WV015,Smithfield Crossing,TRUE,TRUE,TRUE,TRUE,FALSE
WV016,Shepherdstown,TRUE,TRUE,TRUE,TRUE,FALSE
