cwsac_id,belligerent,casualties_kwm_mean,casualties_k_mean,casualties_w_mean,casualties_m_mean,casualties_kwm_var,casualties_k_var,casualties_w_var,casualties_m_var,casualties_kw_mean,casualties_kw_var,strength_mean,strength_var,casualties_km_mean,casualties_wm_mean,casualties_km_var,casualties_wm_var
AL001,Confederate,65,,,,0.08333333333333333,,,,,,,,,,,
AL001,US,23,,,,0.08333333333333333,,,,,,2e3,83333.33333333333,,,,
AL002,Confederate,30,,,,8.333333333333334,,,,,,100,833.3333333333334,,,,
AL002,US,20,,,,8.333333333333334,,,,,,700,833.3333333333334,,,,
AL003,Confederate,1500,,,,833.3333333333334,,,,,,,,,,,
AL003,US,327,,,,0.08333333333333333,,,,,,,,,,,
AL004,Confederate,200,,,,833.3333333333334,,,,,,,,,,,
AL004,US,155,,,,0.08333333333333333,,,,,,5e3,83333.33333333333,,,,
AL005,Confederate,741,,,,0.08333333333333333,,,,,,,,,,,
AL005,US,657,,,,0.08333333333333333,,,,,,,,,,,
AL006,Confederate,3700,,,,833.3333333333334,,,,,,4e3,83333.33333333333,,,,
AL006,US,775,,,,0.08333333333333333,,,,,,16e3,83333.33333333333,,,,
AL007,Confederate,2700,,,,833.3333333333334,,,,,,5e3,83333.33333333333,,,,
AL007,US,359,,,,0.08333333333333333,,,,,,13500,833.3333333333334,,,,
AR001,Confederate,2e3,,,,83333.33333333333,,,,,,14e3,83333.33333333333,,,,
AR001,US,1384,,,,0.08333333333333333,,,,,,10250,8.333333333333334,,,,
AR002,Confederate,40,,,,8.333333333333334,,,,,,,,,,,
AR002,US,160,,,,8.333333333333334,,,,,,,,,,,
AR003,Confederate,250,,,,8.333333333333334,,,,,,,,,,,
AR003,US,63,,,,0.08333333333333333,,,,,,,,,,,
AR004,Confederate,45,,,,0.08333333333333333,,,,,,,,,,,
AR004,US,40,,,,8.333333333333334,,,,,,,,,,,
AR005,Confederate,1317,,,,0.08333333333333333,,,,,,,,,,,
AR005,US,1251,,,,0.08333333333333333,,,,,,,,,,,
AR006,Confederate,5004,,,,0.08333333333333333,,,,,,,,,,,
AR006,US,1092,,,,0.08333333333333333,,,,,,,,,,,
AR007,Confederate,,,,,,,,,,,,,,,,
AR007,US,,,,,,,,,,,,,,,,
AR008,Confederate,1636,,,,0.08333333333333333,,,,,,,,,,,
AR008,US,239,,,,0.08333333333333333,,,,,,,,,,,
AR009,Confederate,17,,,,0.08333333333333333,,,,,,,,,,,
AR009,US,14,,,,0.08333333333333333,,,,,,,,,,,
AR010,Confederate,64,,,,0.08333333333333333,,,,,,,,,,,
AR010,US,72,,,,0.08333333333333333,,,,,,,,,,,
AR011,Confederate,40,,,,8.333333333333334,,,,,,,,,,,
AR011,US,56,,,,0.08333333333333333,,,,,,,,,,,
AR012,Confederate,29,,,,0.08333333333333333,,,,,,,,,,,
AR012,US,26,,,,0.08333333333333333,,,,,,,,,,,
AR013,Confederate,50,,,,8.333333333333334,,,,,,,,,,,
AR013,US,100,,,,833.3333333333334,,,,,,,,,,,
AR014,Confederate,114,,,,0.08333333333333333,,,,,,,,,,,
AR014,US,301,,,,0.08333333333333333,,,,,,1100,833.3333333333334,,,,
AR015,Confederate,293,,,,0.08333333333333333,,,,,,,,,,,
AR015,US,1500,,,,833.3333333333334,,,,,,,,,,,
AR016,Confederate,1e3,,,,83333.33333333333,,,,,,,,,,,
AR016,US,700,,,,833.3333333333334,,,,,,,,,,,
AR017,Confederate,37,,,,0.08333333333333333,,,,,,,,,,,
AR017,US,133,,,,0.08333333333333333,,,,,,,,,,,
CO001,Native American,150,,,,8.333333333333334,,,,,,500,833.3333333333334,,,,
CO001,US,48,,,,0.08333333333333333,,,,,,700,833.3333333333334,,,,
DC001,Confederate,500,,,,833.3333333333334,,,,,,,,,,,
DC001,US,373,,,,0.08333333333333333,,,,,,,,,,,
