"cwsac_id","dbpedia_uri","wikipedia_title","relation"
"GA006","http://dbpedia.org/resource/First_Battle_of_Dalton","First_Battle_of_Dalton","="
"GA007","http://dbpedia.org/resource/Battle_of_Rocky_Face_Ridge","Battle_of_Rocky_Face_Ridge","="
"GA008","http://dbpedia.org/resource/Battle_of_Resaca","Battle_of_Resaca","="
"GA009","http://dbpedia.org/resource/Battle_of_Adairsville","Battle_of_Adairsville","="
"GA010","http://dbpedia.org/resource/Battle_of_New_Hope_Church","Battle_of_New_Hope_Church","="
"GA011","http://dbpedia.org/resource/Battle_of_Dallas","Battle_of_Dallas","="
"GA012","http://dbpedia.org/resource/Battle_of_Pickett's_Mill","Battle_of_Pickett's_Mill","="
"GA013","http://dbpedia.org/resource/Battle_of_Marietta","Battle_of_Marietta","="
"GA014","http://dbpedia.org/resource/Battle_of_Kolb's_Farm","Battle_of_Kolb's_Farm","="
"GA015","http://dbpedia.org/resource/Battle_of_Kennesaw_Mountain","Battle_of_Kennesaw_Mountain","="
"GA016","http://dbpedia.org/resource/Battle_of_Peachtree_Creek","Battle_of_Peachtree_Creek","="
"GA017","http://dbpedia.org/resource/Battle_of_Atlanta","Battle_of_Atlanta","="
"GA018","http://dbpedia.org/resource/Battle_of_Ezra_Church","Battle_of_Ezra_Church","="
"GA019","http://dbpedia.org/resource/Battle_of_Utoy_Creek","Battle_of_Utoy_Creek","="
"GA020","http://dbpedia.org/resource/Second_Battle_of_Dalton","Second_Battle_of_Dalton","="
"GA021","http://dbpedia.org/resource/Battle_of_Lovejoy's_Station","Battle_of_Lovejoy's_Station","="
"GA022","http://dbpedia.org/resource/Battle_of_Jonesborough","Battle_of_Jonesborough","="
"GA023","http://dbpedia.org/resource/Battle_of_Allatoona","Battle_of_Allatoona","="
"GA025","http://dbpedia.org/resource/Battle_of_Griswoldville","Battle_of_Griswoldville","="
"GA026","http://dbpedia.org/resource/Battle_of_Buck_Head_Creek","Battle_of_Buck_Head_Creek","="
"GA027","http://dbpedia.org/resource/Battle_of_Waynesboro_(Georgia)","Battle_of_Waynesboro_(Georgia)","="
"GA028","http://dbpedia.org/resource/Second_Battle_of_Fort_McAllister","Second_Battle_of_Fort_McAllister","="
"ID001","http://dbpedia.org/resource/Bear_River_Massacre","Bear_River_Massacre","="
"IN001","http://dbpedia.org/resource/Battle_of_Corydon","Battle_of_Corydon","="
"KS001","http://dbpedia.org/resource/Lawrence_Massacre","Lawrence_Massacre","="
"KS002","http://dbpedia.org/resource/Battle_of_Fort_Blair","Battle_of_Fort_Blair","="
"KS003","http://dbpedia.org/resource/Battle_of_Mine_Creek","Battle_of_Mine_Creek","="
"KS004","http://dbpedia.org/resource/Battle_of_Marais_des_Cygnes","Battle_of_Marais_des_Cygnes","="
"KY001","http://dbpedia.org/resource/Battle_of_Barbourville","Battle_of_Barbourville","="
"KY002","http://dbpedia.org/resource/Battle_of_Camp_Wildcat","Battle_of_Camp_Wildcat","="
"KY003","http://dbpedia.org/resource/Battle_of_Ivy_Mountain","Battle_of_Ivy_Mountain","="
"KY004","http://dbpedia.org/resource/Battle_of_Rowlett's_Station","Battle_of_Rowlett's_Station","="
