cwsac_id,belligerent,ship
NC013,Confederate,CSS Bombshell
NC013,Confederate,CSS Cotton Plant
NC013,US,USS Ceres (1856)
NC013,US,USS Mattabesett (1864)
NC013,US,USS Miami (1861)
NC013,US,USS Sassacus (1862)
NC013,US,USS Commodore Hull
NC013,US,USS Syracuse
NC013,US,USS Whitehead (1861)
NC013,US,USS Wyalusing (1863)
NC012,Confederate,CSS Albemarle
NC012,Confederate,CSS Cotton Plant
NC012,US,USS Ceres (1856)
NC012,US,USS Massasoit (1863)
NC012,US,USS Miami (1861)
NC012,US,USS Southfield (1857)
NC012,US,USS Whitehead
VA008,Confederate,CSS Beaufort
VA008,Confederate,CSS Jamestown
VA008,Confederate,CSS Patrick Henry
VA008,Confederate,CSS Raleigh (1861)
VA008,Confederate,CSS Teaser
VA008,Confederate,CSS Virginia
VA008,US,USS Cambridge (1860)
VA008,US,USS Congress (1841)
VA008,US,USS Cumberland (1842)
VA008,US,USS Dragon (1861)
VA008,US,USS Minnesota (1855)
VA008,US,USS Monitor
VA008,US,USS Mystic (1853)
VA008,US,USS Roanoke (1855)
VA008,US,USS St. Lawrence (1848)
VA008,US,USS Whitehall (1850)
VA008,US,USS Young America (1855)
VA008,US,USS Zouave (1861)
TN004,Confederate,CSS Colonel Lovell
TN004,Confederate,CSS General Beauregard
TN004,Confederate,CSS General Bragg (1851)
TN004,Confederate,CSS General Earl Van Dorn
TN004,Confederate,CSS General M. Jeff Thompson
TN004,Confederate,CSS General Sumter
TN004,Confederate,CSS Little Rebel
TN004,Confederate,CSS General Sterling Price
TN004,US,USS Benton (1861)
TN004,US,USS Cairo (1861)
TN004,US,USS Carondelet (1861)
TN004,US,USS Louisville (1862)
TN004,US,USS Monarch (1862)
TN004,US,USS Queen of the West (1854)
TN004,US,USS St. Louis (1861)
SC004,Confederate,CSS Chicora
SC004,Confederate,CSS Palmetto State
SC004,US,USS Catskill (1862)
SC004,US,USS Montauk (1862)
SC004,US,USS Nahant (1862)
SC004,US,USS Nantucket (1862)
SC004,US,USS New Ironsides
SC004,US,USS Passaic (1862)
SC004,US,USS Weehawken (1862)
NC016,US,USS Aries (1863)
NC016,US,USS Bat (1864)
NC016,US,USS Berberry (1864)
NC016,US,USS Chippewa (1861)
NC016,US,USS Emma (1863)
NC016,US,USS Eolus (1864)
NC016,US,USS Howquah (1863)
NC016,US,USS Huron (1861)
NC016,US,USS Kansas (1863)
NC016,US,USS Keystone State (1853)
NC016,US,USS Lenapee (1863)
NC016,US,USS Little Ada (1864)
NC016,US,USS Mackinaw (1863)
NC016,US,USS Malvern (1860)
NC016,US,USS Maratanza (1861)
NC016,US,USS Maumee (1864)
NC016,US,USS Moccasin (1864)
NC016,US,USS Montauk (1862)
NC016,US,USS Montgomery (1861)
NC016,US,USS Monticello (1859)
NC016,US,USS Nansemond (1862)
NC016,US,USS Nyack (1863)
NC016,US,USS Osceola (1863)
NC016,US,USS Pawtuxet (1864)
NC016,US,USS Pequot (1863)
NC016,US,USS Pontoosuc (1864)
NC016,US,USS R. R. Cuyler (1860)
NC016,US,USS Sassacus (1862)
NC016,US,USS Seneca (1861)
NC016,US,USS Shawmut (1863)
NC016,US,USS Unadilla (1861)
NC016,US,USS Vicksburg (1863)
NC016,US,USS Wilderness (1864)
NC016,US,USS Yantic (IX-32)
NC002,Confederate,CSS Beaufort
NC002,Confederate,CSS Black Warrior
NC002,Confederate,CSS Curlew
NC002,Confederate,CSS Ellis
NC002,Confederate,CSS Fanny
NC002,Confederate,CSS Forrest
NC002,Confederate,CSS Sea-Bird
NC002,US,USS Ceres  (1856)
NC002,US,USS Chass
NC002,US,USS John L. Lockwood (1854)
NC002,US,USS Lancer
NC002,US,USS Louisiana (1861)
NC002,US,USS Morse
NC002,US,USS Picket
NC002,US,USS Pioneer
NC002,US,USS Ranger
NC002,US,USS Sentinel
NC002,US,USS Shawsheen (1855)
NC002,US,USS Southfield (1857)
NC002,US,USS Stars and Stripes (1861)
NC002,US,USS Underwriter (1852)
NC002,US,USS Valley City (1859)
NC002,US,USS Vidette
NC002,US,USS Whitehead
TX001,US,USS Henry Janes (1861)
TX001,US,USS Kensington (1862)
TX001,US,USS Rachel Seaman (1861)
NC003,US,USS Commodore Barney (1859)
NC003,US,USS Commodore Perry
NC003,US,USS Delaware (1861)
NC003,US,USS Henry Brinker (1861)
NC003,US,USS Hetzel (1861)
NC003,US,USS Hunchback
NC003,US,USS John L. Lockwood (1854)
NC003,US,USS Louisiana (1861)
NC003,US,USS Morse (1861)
NC003,US,USS Philadelphia (1861)
NC003,US,USS Southfield (1857)
NC003,US,USS Stars and Stripes (1861)
NC003,US,USS Underwriter (1852)
NC003,US,USS Valley City (1859)
SC005,US,USS Catskill (1862)
SC005,US,USS Montauk (1862)
SC005,US,USS Nahant (1862)
SC005,US,USS Weehawken (1862)
VA031,US,CSS Teaser
VA031,US,USS Alert (1861)
VA031,US,USS Coeur de Lion (1861)
VA031,US,USS Commodore (1863)
VA031,US,USS Primrose (1863)
VA031,US,USS Smith-Briggs
VA031,US,USS Stepping Stones (1861)
VA031,US,USS West End
VA031,US,USS Yankee (1861)
VA031,US,USS Zouave (1861)
SC007,US,USS Canandaigua (1862)
SC007,US,USS Catskill (1862)
SC007,US,USS Dai Ching (1863)
SC007,US,USS Lodona (1862)
SC007,US,USS Mahaska (1861)
SC007,US,USS Montauk (1862)
SC007,US,USS Nahant (1862)
SC007,US,USS New Ironsides
SC007,US,USS Ottawa (1861)
SC007,US,USS Passaic (1862)
SC007,US,USS Patapsco (1862)
SC007,US,USS Seneca (1861)
SC007,US,USS Wissahickon (1861)
NC001,US,Monticello (1859)
NC001,US,USS Cumberland (1842)
NC001,US,USRC Harriet Lane (1857)
NC001,US,USS Minnesota (1855)
NC001,US,USS Pawnee (1859)
NC001,US,USS Susquehanna (1850)
NC001,US,USS Wabash (1855)
TX003,Confederate,CS Bayou City
TX003,Confederate,CS Neptune
TX003,US,USRC Harriet Lane (1857)
TX003,US,USS Clifton (1861)
TX003,US,USS Corypheus (1862)
TX003,US,USS Owasco (1861)
TX003,US,USS Sachem (1861)
TX003,US,USS Westfield (1861)
NC015,US,USS Advance (1862)
NC015,US,USS Alabama (1850)
NC015,US,USS Aries (1863)
NC015,US,USS Britannia (1862)
NC015,US,USS Brooklyn (1858)
NC015,US,USS Canonicus (1863)
NC015,US,USS Cherokee (1859)
NC015,US,USS Chippewa (1861)
NC015,US,USS Colorado (1856)
NC015,US,USS Emma (1863)
NC015,US,USS Eolus (1864)
NC015,US,USS Fort Donelson
NC015,US,USS Fort Jackson (1862)
