battle_id,belligerent,commander_number,PersonID,last_name,first_name,middle_name,middle_initial,rank,navy
Williamsburg (Fort Magruder),US,1,113829b2-e1ff-4458-8dce-9a4da30810dd,McClellan,George,Brinton,B.,Major General,False
Hanover Court House,Confederate,1,31a0d649-84f2-4b86-a4aa-155dd8a544fe,Branch,Lawrence,O'Bryan,O.,Brigadier General,False
Hanover Court House,US,1,3e3bcb35-5488-46d2-8cf2-b0243ca67d45,Porter,Fitz,John,J.,Brigadier General,False
Fair Oaks (Seven Pines),Confederate,1,b0f7a304-f6c5-4a8d-b816-066426e5dc1c,Johnston,Joseph,,E.,General,False
Fair Oaks (Seven Pines),Confederate,2,7ecf1477-925a-4b2b-b174-a549a4038ecc,Smith,Gustavus,Woodson,W.,Major General,False
Fair Oaks (Seven Pines),US,1,113829b2-e1ff-4458-8dce-9a4da30810dd,McClellan,George,Brinton,B.,Major General,False
Seven Days Battles,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Seven Days Battles,US,1,113829b2-e1ff-4458-8dce-9a4da30810dd,McClellan,George,Brinton,B.,Major General,False
The Orchard (Seven Days),Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
The Orchard (Seven Days),US,1,113829b2-e1ff-4458-8dce-9a4da30810dd,McClellan,George,Brinton,B.,Major General,False
Mechanicsville (Seven Days),Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Mechanicsville (Seven Days),US,1,3e3bcb35-5488-46d2-8cf2-b0243ca67d45,Porter,Fitz,John,J.,Brigadier General,False
Gaines's Mill (Seven Days),Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Gaines's Mill (Seven Days),US,1,3e3bcb35-5488-46d2-8cf2-b0243ca67d45,Porter,Fitz,John,J.,Brigadier General,False
Savage's Station (Seven Days),Confederate,1,256b790f-0cad-46d6-80aa-7e176890da83,Magruder,John,Bankhead,B.,Major General,False
Savage's Station (Seven Days),US,1,f2b24743-4d9d-4422-b830-26ecf22d9bd1,Sumner,Edwin,Vose,V.,Major General,False
White Oak Swamp (Seven Days),Confederate,1,21d06a25-9c4f-4dea-a766-f60d20632999,Jackson,Thomas,Jonathan,J.,Major General,False
White Oak Swamp (Seven Days),Confederate,2,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
White Oak Swamp (Seven Days),US,1,a6b7f4dd-efc1-43ae-ba35-a53ed768fd63,Franklin,William,Buel,B.,Major General,False
White Oak Swamp (Seven Days),US,2,113829b2-e1ff-4458-8dce-9a4da30810dd,McClellan,George,Brinton,B.,Major General,False
Malvern Hill (Seven Days),Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Malvern Hill (Seven Days),US,1,113829b2-e1ff-4458-8dce-9a4da30810dd,McClellan,George,Brinton,B.,Major General,False
Cedar Mountain,Confederate,1,21d06a25-9c4f-4dea-a766-f60d20632999,Jackson,Thomas,Jonathan,J.,Major General,False
Cedar Mountain,US,1,f2f4eda1-b51f-4f8e-ad2d-379a1eb685f3,Banks,Nathaniel,,P.,Major General,False
Groveton,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Groveton,Confederate,2,21d06a25-9c4f-4dea-a766-f60d20632999,Jackson,Thomas,Jonathan,J.,Major General,False
Groveton,US,1,60853683-b235-4e03-abcb-68edc8339fa5,Pope,John,,,Major General,False
Second Bull Run/Chantilly (Second Manassas),Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Second Bull Run/Chantilly (Second Manassas),Confederate,2,21d06a25-9c4f-4dea-a766-f60d20632999,Jackson,Thomas,Jonathan,J.,Major General,False
Second Bull Run/Chantilly (Second Manassas),US,1,60853683-b235-4e03-abcb-68edc8339fa5,Pope,John,,,Major General,False
South Mountain,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
South Mountain,US,1,113829b2-e1ff-4458-8dce-9a4da30810dd,McClellan,George,Brinton,B.,Major General,False
Antietam (Sharpsburg),Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Antietam (Sharpsburg),US,1,113829b2-e1ff-4458-8dce-9a4da30810dd,McClellan,George,Brinton,B.,Major General,False
Fredericksburg,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Fredericksburg,US,1,c5f9dd77-1122-48f0-8840-614720ba50d8,Burnside,Ambrose,Everett,E.,Major General,False
Valverde,Confederate,1,9839110b-154f-4796-aa4f-dd402e2382ca,Sibley,Henry,Hastings,H.,Brigadier General,False
Valverde,Confederate,2,1f2d408e-a3d6-431d-aefe-9d6df9e7902b,Green,Thomas,,,Colonel,False
Valverde,US,1,30a29258-21ca-4370-8924-ee4559fe526b,Canby,Edward,Richard Sprigg,R. S.,Colonel,False
Apache Canyon/Glorieta Pass,Confederate,1,2828095d-0ca4-4577-86db-715eeb9ec93c,Pyron,Charles,,L.,Major,False
Apache Canyon/Glorieta Pass,Confederate,2,a0843832-94ac-4663-b4bc-288b8d1b817f,Scurry,William,Read,R.,Lieutenant Colonel,False
Apache Canyon/Glorieta Pass,US,1,a858e995-675f-4386-9c26-6579fa7533dc,Chivington,John,Milton,M.,Major,False
Apache Canyon/Glorieta Pass,US,2,a05df089-6f23-4706-9b71-b25bcdba94c4,Slough,John,Potts,P.,Colonel,False
Pea Ridge,Confederate,1,a68145ec-a562-494d-8e95-c9bd2e0ff473,Van Dorn,Earl,,,Major General,False
Pea Ridge,US,1,e08b618c-acc7-4502-9ef8-b8546572e22d,Curtis,Samuel,,R.,Brigadier General,False
Prairie Grove,Confederate,1,839a5a85-49a8-41a6-b4a9-f76657c5d4fc,Hindman,Thomas,Carmichael,C.,Major General,False
Prairie Grove,US,1,42af3182-e310-412a-917c-4718d4f4dda6,Herron,Francis,Jay,J.,Brigadier General,False
Prairie Grove,US,2,a3f15046-9028-421d-bbe0-fb6c341a991f,Blunt,James,,G.,Brigadier General,False
Mill Springs (Logan's Crossroads),Confederate,1,adcab55a-f4fc-44be-a271-cf0364c28a3b,Crittenden,George,Bibb,B.,Major General,False
Mill Springs (Logan's Crossroads),US,1,6951057d-db32-4db5-8b3e-dea0c1101a5f,Thomas,George,,H.,Brigadier General,False
Fort Donelson,Confederate,1,a35f09f2-1d82-485d-96c1-00e23cc44a16,Floyd,John,Buchanan,B.A,Brigadier General,False
Fort Donelson,Confederate,2,c97e392a-d319-4c82-9201-0a35f418a0a9,Pillow,Gideon,Johnson,J.,Brigadier General,False
Fort Donelson,Confederate,3,b2dc590c-f108-4e13-a3e3-0d47a00668c3,Buckner,Simon,Bolivar,B.,Brigadier General,False
Fort Donelson,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Brigadier General,False
Fort Donelson,US,2,571ac77d-3839-4b5f-9d47-d7e83bacfe60,Foote,Andrew,Hull,H.,Flag Officer,True
Shiloh (Pittsburg Landing),Confederate,1,155b07ca-cc70-402b-968f-dee3650ff3e3,Johnston,Albert,Sidney,S.,General,False
Shiloh (Pittsburg Landing),Confederate,2,183d0a7d-f06a-4c7b-a575-7616e491618b,Beauregard,Pierre,Gustave Toutant,G. T.,General,False
Shiloh (Pittsburg Landing),US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,False
Shiloh (Pittsburg Landing),US,2,ae900570-5c73-4de2-b99b-e0f6fbe50ca3,Buell,Don,Carlos,C.,Major General,False
New Orleans,Confederate,1,76873401-00d0-4430-a320-c35d2a6828be,Duncan,Johnson,Kelly,K.,Brigadier General,False
New Orleans,Confederate,2,117bf5ff-1db0-4b84-9a31-7f77ad69e8be,Mitchell,John,,K.,Commander,True
New Orleans,US,1,7a5f39ff-efc9-4ccd-a5ed-56ad106e2f26,Farragut,David,Glasgow,G.,Flag Officer,True
Baton Rouge,Confederate,1,f6caa729-7cfc-4aec-a064-e40c1cfdf01b,Breckinridge,John,Cabell,C.,Major General,False
Baton Rouge,US,1,112c0903-05c0-43af-b85c-599f4eb2a25a,Williams,Thomas,,,Brigadier General,False
Iuka,Confederate,1,8f232cc9-43e7-4627-ab45-d8fe6873c472,Price,Sterling,,,Major General,False
Iuka,US,1,7d67c576-bbd4-4b23-ac53-300f9522f311,Rosecrans,William,Starke,S.,Major General,False
Corinth,Confederate,1,a68145ec-a562-494d-8e95-c9bd2e0ff473,Van Dorn,Earl,,,Major General,False
Corinth,US,1,7d67c576-bbd4-4b23-ac53-300f9522f311,Rosecrans,William,Starke,S.,Major General,False
Chickasaw Bluffs,Confederate,1,03c2a063-2c1f-4006-9be2-08bcb50ee9ea,Pemberton,John,Clifford,C.,Lieutenant General,False
Chickasaw Bluffs,US,1,72fc916d-f36e-4ffa-ab9c-bec7bde07002,Sherman,William,Tecumsheh,,Major General,False
Richmond (Kentucky),Confederate,1,39787b04-6723-4729-957c-bddcae228832,Smith,Edmund,Kirby,K.,Major General,False
Richmond (Kentucky),US,1,9a9f97a2-dc6b-413e-9bd4-eedd766bb2a2,Nelson,William,,,Major General,False
Perryville,Confederate,1,4b5a15e5-6c5d-492c-9ab7-32d50419cf80,Bragg,Braxton,,,General,False
Perryville,US,1,ae900570-5c73-4de2-b99b-e0f6fbe50ca3,Buell,Don,Carlos,C.,Major General,False
Hartsville,Confederate,1,813a4704-9ba5-4fda-b14d-f0c9136f575a,Morgan,John,Hunt,H.,Brigadier General,False
Hartsville,US,1,e836ca76-6e2c-40ae-8c75-42bc9848504c,Moore,Absalom,,B.,Colonel,False
Stones River (Murfreesboro),Confederate,1,4b5a15e5-6c5d-492c-9ab7-32d50419cf80,Bragg,Braxton,,,General,False
Stones River (Murfreesboro),US,1,7d67c576-bbd4-4b23-ac53-300f9522f311,Rosecrans,William,Starke,S.,Major General,False
Chancellorsville,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Chancellorsville,Confederate,2,21d06a25-9c4f-4dea-a766-f60d20632999,Jackson,Thomas,Jonathan,J.,Major General,False
Chancellorsville,US,1,cfa9a700-f979-46ff-bfb1-4615441ccd55,Hooker,Joseph,,,Major General,False
Brandy Station,Confederate,1,6df9b482-4757-474f-80a9-bd1d82228a63,Stuart,James,Ewell Brown,E. B.,Major General,False
Brandy Station,US,1,90849b39-6f3a-4d88-af29-ddded5d1733a,Pleasonton,Alfred,,,Major General,False
Winchester (second),Confederate,1,aa9a80fb-49e3-41d4-8ce5-3f5cbd961625,Ewell,Richard,Stoddert,S.,Lieutenant General,False
Winchester (second),US,1,8c251b93-5768-4630-ae9a-dd45b4e785c6,Milroy,Robert,Huston,H.,Brigadier General,False
Gettsyburg,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Gettsyburg,US,1,15a8b826-e060-430a-bb4c-61936b75252e,Meade,George,Gordon,G.,Major General,False
Bristoe Station,Confederate,1,2153a0b4-6aab-42d2-b31e-56b074ec402e,Hill,Ambrose,Powell,P.,Lieutenant General,False
Bristoe Station,US,1,8ca13860-937b-4df4-8f84-df7a2bf51224,Warren,Gouverneur,Kemble,K.,Major General,False
Buckland,Confederate,1,6df9b482-4757-474f-80a9-bd1d82228a63,Stuart,James,Ewell Brown,E. B.,Major General,False
Buckland,US,1,7830dd73-a91e-4fe5-b112-4492303f8c2d,Kilpatrick,Hugh,Judson,J.,Major General,False
Rappahannock Station,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Rappahannock Station,US,1,15a8b826-e060-430a-bb4c-61936b75252e,Meade,George,Gordon,G.,Major General,False
Mine Run,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Mine Run,US,1,15a8b826-e060-430a-bb4c-61936b75252e,Meade,George,Gordon,G.,Major General,False
