battle_id,belligerent,commander_number,PersonID,last_name,first_name,middle_name,middle_initial,rank,navy
Totopotomy Creek,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Totopotomy Creek,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Lieutenant General,False
Totopotomy Creek,US,2,15a8b826-e060-430a-bb4c-61936b75252e,Meade,George,Gordon,G.,Major General,False
Cold Harbor (assault),Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Cold Harbor (assault),US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Lieutenant General,False
Cold Harbor (assault),US,2,15a8b826-e060-430a-bb4c-61936b75252e,Meade,George,Gordon,G.,Major General,False
Cold Harbor,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Cold Harbor,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Lieutenant General,False
Cold Harbor,US,2,15a8b826-e060-430a-bb4c-61936b75252e,Meade,George,Gordon,G.,Major General,False
Trevilian Station,Confederate,1,0db13c2e-98a9-4187-be39-484c4d272d30,Hampton,Wade,,,Major General,False
Trevilian Station,US,1,407e5664-e1ff-49aa-984d-79f7508a5e7f,Sheridan,Philip,Henry,H.,Major General,False
Cloyd's Mountain,Confederate,1,862c24e1-e6e0-4349-b796-8568994296f3,Jenkins,Albert,,G.,Brigadier General,False
Cloyd's Mountain,US,1,e82a23ec-2fd8-4772-910a-a24756c57052,Crook,George,,,Brigadier General,False
New Market,Confederate,1,f6caa729-7cfc-4aec-a064-e40c1cfdf01b,Breckinridge,John,Cabell,C.,Major General,False
New Market,US,1,2f47ce28-50f4-4728-8a6f-01d50726a032,Sigel,Franz,,,Major General,False
Piedmont,Confederate,1,0769dc65-a460-4629-b6bc-68a36ab8786e,Jones,William,Edmondson,E.,Brigadier General,False
Piedmont,US,1,5eec596f-c299-41da-96b6-984213b14c9e,Hunter,David,,,Major General,False
Drewry's Bluff,Confederate,1,630fb1e5-bd14-423e-8d72-02d7358f2f13,Farrand,Ebenezer,,,Commander,True
Drewry's Bluff,Confederate,2,9e1353da-e14e-4a33-9169-19b95b173cd1,Mahone,William,,,Brigadier General,False
Drewry's Bluff,Confederate,3,4791baa5-ea93-4b1e-ad9b-2d36c87d2242,Lee,Sidney,Smith,S.,Captain,True
Drewry's Bluff,US,1,6b88e299-58f8-4232-adf9-ae82f62ea3cf,Rodgers,John,,,Commander,True
Petersburg (first assault),Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Petersburg (first assault),Confederate,2,183d0a7d-f06a-4c7b-a575-7616e491618b,Beauregard,Pierre,Gustave Toutant,G. T.,General,False
Petersburg (first assault),US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Lieutenant General,False
Petersburg (first assault),US,2,15a8b826-e060-430a-bb4c-61936b75252e,Meade,George,Gordon,G.,Major General,False
Monocacy River,Confederate,1,77a0625d-2996-4af0-b46f-db7388f851d5,Early,Jubal,Anderson,A.,Lieutenant General,False
Monocacy River,US,1,2a86c08b-654e-47fd-a1a4-3c79cedcbceb,Wallace,Lewis,"""Lew""",,Major General,False
Kernstown (second),Confederate,1,77a0625d-2996-4af0-b46f-db7388f851d5,Early,Jubal,Anderson,A.,Lieutenant General,False
Kernstown (second),US,1,e82a23ec-2fd8-4772-910a-a24756c57052,Crook,George,,,Brigadier General,False
Opequon (Third Winchester),Confederate,1,77a0625d-2996-4af0-b46f-db7388f851d5,Early,Jubal,Anderson,A.,Lieutenant General,False
Opequon (Third Winchester),US,1,407e5664-e1ff-49aa-984d-79f7508a5e7f,Sheridan,Philip,Henry,H.,Major General,False
Fisher's Hill,Confederate,1,77a0625d-2996-4af0-b46f-db7388f851d5,Early,Jubal,Anderson,A.,Lieutenant General,False
Fisher's Hill,US,1,407e5664-e1ff-49aa-984d-79f7508a5e7f,Sheridan,Philip,Henry,H.,Major General,False
Cedar Creek,Confederate,1,77a0625d-2996-4af0-b46f-db7388f851d5,Early,Jubal,Anderson,A.,Lieutenant General,False
Cedar Creek,US,1,0feb9176-d689-4e1d-ac4a-6bb149fc6f5b,Wright,Horatio,Gouverneur,G.,Major General,False
Cedar Creek,US,2,407e5664-e1ff-49aa-984d-79f7508a5e7f,Sheridan,Philip,Henry,H.,Major General,False
Petersburg (Battle of the Crater),Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Petersburg (Battle of the Crater),US,1,c5f9dd77-1122-48f0-8840-614720ba50d8,Burnside,Ambrose,Everett,E.,Major General,False
Deep Bottom Run,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Deep Bottom Run,Confederate,2,b8c29b14-3dbe-4c53-a8ca-6af5217d6469,Field,Charles,William,W.,Major General,False
Deep Bottom Run,US,1,8d7bd2d7-7411-4cea-ace2-491a97e577ca,Hancock,Winfield,Scott,S.,Major General,False
Globe Tavern,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Globe Tavern,Confederate,2,2153a0b4-6aab-42d2-b31e-56b074ec402e,Hill,Ambrose,Powell,P.,Lieutenant General,False
Globe Tavern,Confederate,3,d87fee08-2ce1-47f6-b313-9a1dfb7a8ea7,Heth,Henry,,,Major General,False
Globe Tavern,Confederate,4,9e1353da-e14e-4a33-9169-19b95b173cd1,Mahone,William,,,Major General,False
Globe Tavern,US,1,8ca13860-937b-4df4-8f84-df7a2bf51224,Warren,Gouverneur,Kemble,K.,Major General,False
Reams Station,Confederate,1,d87fee08-2ce1-47f6-b313-9a1dfb7a8ea7,Heth,Henry,,,Major General,False
Reams Station,US,1,8d7bd2d7-7411-4cea-ace2-491a97e577ca,Hancock,Winfield,Scott,S.,Major General,False
Fort Harrison (Chaffin's Bluff),Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Fort Harrison (Chaffin's Bluff),Confederate,2,aa9a80fb-49e3-41d4-8ce5-3f5cbd961625,Ewell,Richard,Stoddert,S.,Lieutenant General,False
Fort Harrison (Chaffin's Bluff),US,1,c94b93a1-0565-4e9f-95af-12f5fe7e93f8,Butler,Benjamin,Frankiln,F.,Major General,False
Peebles Farm,Confederate,1,2153a0b4-6aab-42d2-b31e-56b074ec402e,Hill,Ambrose,Powell,P.,Lieutenant General,False
Peebles Farm,Confederate,2,0db13c2e-98a9-4187-be39-484c4d272d30,Hampton,Wade,,,Major General,False
Peebles Farm,US,1,15a8b826-e060-430a-bb4c-61936b75252e,Meade,George,Gordon,G.,Major General,False
Peebles Farm,US,2,87cff8b4-f792-44ed-a7cc-9bc684d88994,Parke,John,Grubb,G.,Major General,False
Peebles Farm,US,3,8ca13860-937b-4df4-8f84-df7a2bf51224,Warren,Gouverneur,Kemble,K.,Major General,False
Hatcher's Run (first),Confederate,1,d87fee08-2ce1-47f6-b313-9a1dfb7a8ea7,Heth,Henry,,,Major General,False
Hatcher's Run (first),US,1,8d7bd2d7-7411-4cea-ace2-491a97e577ca,Hancock,Winfield,Scott,S.,Major General,False
Fair Oaks,Confederate,1,0418b77d-5826-4c1d-9621-9d92c48d77b5,Longstreet,James,,,Lieutenant General,False
Fair Oaks,US,1,c94b93a1-0565-4e9f-95af-12f5fe7e93f8,Butler,Benjamin,Frankiln,F.,Major General,False
Sabine Crossroads,Confederate,1,dd70b0b4-401c-47ce-b3fb-a2b68da3194c,Taylor,Richard,,,Major General,False
Sabine Crossroads,US,1,f2f4eda1-b51f-4f8e-ad2d-379a1eb685f3,Banks,Nathaniel,,P.,Major General,False
Pleasant Hill,Confederate,1,dd70b0b4-401c-47ce-b3fb-a2b68da3194c,Taylor,Richard,,,Major General,False
Pleasant Hill,US,1,f2f4eda1-b51f-4f8e-ad2d-379a1eb685f3,Banks,Nathaniel,,P.,Major General,False
Yellow Bayou,Confederate,1,dd70b0b4-401c-47ce-b3fb-a2b68da3194c,Taylor,Richard,,,Major General,False
Yellow Bayou,US,1,20e1eb2c-b6ef-40fd-9762-ebbac239e67b,Mower,Joseph,Anthony,A.,Brigadier General,False
Jenkins Ferry,Confederate,1,39787b04-6723-4729-957c-bddcae228832,Smith,Edmund,Kirby,K.,General,False
Jenkins Ferry,US,1,d84237f6-ba30-44d3-9aa9-7e2aafed4d9a,Steele,Frederick,,,Major General,False
Fort Davidson (Pilot Knob),Confederate,1,8f232cc9-43e7-4627-ab45-d8fe6873c472,Price,Sterling,,,Major General,False
Fort Davidson (Pilot Knob),US,1,aa1614b8-da23-4624-a541-822e2a02f462,Ewing,Thomas,,,Brigadier General,False
Westport,Confederate,1,8f232cc9-43e7-4627-ab45-d8fe6873c472,Price,Sterling,,,Major General,False
Westport,US,1,e08b618c-acc7-4502-9ef8-b8546572e22d,Curtis,Samuel,,R.,Major General,False
Mine Creek,Confederate,1,7b7bfdd4-920e-4d28-a2eb-44e33941d4b0,Marmaduke,John,,S.,Brigadier General,False
Mine Creek,Confederate,2,66599684-582c-4caa-aff0-7220f9c67c1f,Fagan,James,Fleming,F.,Major General,False
Mine Creek,US,1,90849b39-6f3a-4d88-af29-ddded5d1733a,Pleasonton,Alfred,,,Major General,False
Fort Pillow,Confederate,1,02b4fa9a-541a-45c7-9097-ab1aee538c6c,Forrest,Nathan,Bedford,B.,Major General,False
Fort Pillow,US,1,5d3d236b-0b8d-48c6-9fa0-6e0a74d03904,Booth,Lionel,,F.,Major,False
Fort Pillow,US,2,ce80fc18-1765-4e09-9333-858f7e9fdd6b,Bradford,William,,F.,Major,False
Brice's Crossroads,Confederate,1,02b4fa9a-541a-45c7-9097-ab1aee538c6c,Forrest,Nathan,Bedford,B.,Major General,False
Brice's Crossroads,US,1,4a50678b-9211-4c6a-828e-d9607876849a,Sturgis,Samuel,Davis,D.,Brigadier General,False
Tupelo,Confederate,1,8f59c204-3c38-4233-8ff0-3b70562303ca,Lee,Stephen,Dill,D.,Lieutenant General,False
Tupelo,Confederate,2,02b4fa9a-541a-45c7-9097-ab1aee538c6c,Forrest,Nathan,Bedford,B.,Major General,False
Tupelo,US,1,869b58fb-03ee-4ad7-bfd4-faf6f24b9378,Smith,Andrew,Jackson,J.,Major General,False
Selma,Confederate,1,02b4fa9a-541a-45c7-9097-ab1aee538c6c,Forrest,Nathan,Bedford,B.,Lieutenant General,False
Selma,US,1,460c9e8f-625e-490f-8eda-7385907b8d3f,Wilson,James,Harrison,H.,Major General,False
New Hope Church,Confederate,1,b0f7a304-f6c5-4a8d-b816-066426e5dc1c,Johnston,Joseph,,E.,General,False
New Hope Church,US,1,72fc916d-f36e-4ffa-ab9c-bec7bde07002,Sherman,William,Tecumsheh,,Major General,False
New Hope Church,US,2,cfa9a700-f979-46ff-bfb1-4615441ccd55,Hooker,Joseph,,,Major General,False
Kennesaw Mountain,Confederate,1,b0f7a304-f6c5-4a8d-b816-066426e5dc1c,Johnston,Joseph,,E.,General,False
Kennesaw Mountain,US,1,72fc916d-f36e-4ffa-ab9c-bec7bde07002,Sherman,William,Tecumsheh,,Major General,False
Peachtree Creek,Confederate,1,84b6d739-3384-4291-86ba-f75ae6637069,Hood,John,Bell,B.,General,False
Peachtree Creek,US,1,6951057d-db32-4db5-8b3e-dea0c1101a5f,Thomas,George,,H.,Major General,False
Atlanta,Confederate,1,84b6d739-3384-4291-86ba-f75ae6637069,Hood,John,Bell,B.,General,False
Atlanta,US,1,72fc916d-f36e-4ffa-ab9c-bec7bde07002,Sherman,William,Tecumsheh,,Major General,False
Ezra Church,Confederate,1,84b6d739-3384-4291-86ba-f75ae6637069,Hood,John,Bell,B.,General,False
Ezra Church,US,1,fe627383-b1ba-4c9a-b23f-75a2cd4b5c42,Howard,Oliver,,O.,Major General,False
Jonesboro,Confederate,1,b01714aa-b252-4944-816d-be76a9070175,Hardee,William,Joseph,J.,Lieutenant General,False
Jonesboro,US,1,72fc916d-f36e-4ffa-ab9c-bec7bde07002,Sherman,William,Tecumsheh,,Major General,False
Allatoona,Confederate,1,2306a312-6705-4e62-893d-8789639a1555,French,Samuel,Gibbs,G.,Major General,False
Allatoona,US,1,157b4c7c-6c0e-4aa8-9b7f-44ccb3754a88,Corse,John,Murray,M.,Brigadier General,False
Franklin,Confederate,1,84b6d739-3384-4291-86ba-f75ae6637069,Hood,John,Bell,B.,General,False
Franklin,US,1,d3b0a222-2294-41d9-96b9-bc78996d55ae,Schofield,John,McAllister,M.,Major General,False
Nashville,Confederate,1,84b6d739-3384-4291-86ba-f75ae6637069,Hood,John,Bell,B.,General,False
Nashville,US,1,6951057d-db32-4db5-8b3e-dea0c1101a5f,Thomas,George,,H.,Major General,False
Griswoldville,Confederate,1,febc5475-788a-489f-a2df-ab0aa9ab65ee,Philips,Pleasant,,J.,Brigadier General,False
Griswoldville,Confederate,2,22dc9bfe-6bfa-4f8a-a48f-694e947cc8d7,Wheeler,Joseph,,,Major General,False
Griswoldville,US,1,92e6e174-42f6-43f7-a778-dd620c12a02c,Walcutt,Charles,Carroll,C.,Brigadier General,False
Mobile Bay,Confederate,1,12c2d009-5e2f-47cb-b9e7-31e07bc73edd,Buchanan,Frankiln,,,Admiral,True
Mobile Bay,Confederate,2,0aae1532-be13-4465-b162-a89c8b8dda4a,Page,Richard,Lucian,L.,Brigadier General,False
Mobile Bay,US,1,7a5f39ff-efc9-4ccd-a5ed-56ad106e2f26,Farragut,David,Glasgow,G.,Rear Admiral,True
Mobile Bay,US,2,c66b4ad0-8194-4dda-a234-c04e1e4e502e,Granger,Gordon,,,Major General,False
Fort Fisher,Confederate,1,4b5a15e5-6c5d-492c-9ab7-32d50419cf80,Bragg,Braxton,,,General,False
Fort Fisher,Confederate,2,6650b484-9515-4e17-bafe-7110fbbf68e2,Hoke,Robert,Frederick,F.,Major General,False
Fort Fisher,Confederate,3,95b3e009-6f58-43ad-aed1-baf83100fbbd,Lamb,Charles,,,Colonel,False
Fort Fisher,US,1,8da88a4c-d429-4247-a6e8-cba41f280a10,Porter,David,Dixon,D.,Rear Admiral,True
Fort Fisher,US,2,5128b598-2305-4d47-8406-f865aefdc4c7,Terry,Alfred,Howe,H.,Major General,False
Hatcher's Run (second),Confederate,1,bc4a67e5-b1be-43e1-9a83-240f4fe5346b,Gordon,John,Brown,B.,Major General,False
Hatcher's Run (second),US,1,0739970d-f176-49aa-958c-f26397e326bb,Humphreys,Andrew,Atkinson,A.,Major General,False
Hatcher's Run (second),US,2,8ca13860-937b-4df4-8f84-df7a2bf51224,Warren,Gouverneur,Kemble,K.,Major General,False
Fort Stedman,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Fort Stedman,Confederate,2,bc4a67e5-b1be-43e1-9a83-240f4fe5346b,Gordon,John,Brown,B.,Major General,False
Fort Stedman,US,1,87cff8b4-f792-44ed-a7cc-9bc684d88994,Parke,John,Grubb,G.,Major General,False
Five Forks,Confederate,1,e4e99b96-0c8c-43c9-b2b2-79cfdb9ed800,Pickett,George,,,Major General,False
Five Forks,US,1,407e5664-e1ff-49aa-984d-79f7508a5e7f,Sheridan,Philip,Henry,H.,Major General,False
Petersburg (second assault),Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Petersburg (second assault),US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Lieutenant General,False
Fort Gregg,Confederate,1,d428cfef-5c7a-4230-b394-b195481d9a9f,Lee,Robert,,E.,General,False
Fort Gregg,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Lieutenant General,False
Sayler's Creek,Confederate,1,aa9a80fb-49e3-41d4-8ce5-3f5cbd961625,Ewell,Richard,Stoddert,S.,Lieutenant General,False
Sayler's Creek,Confederate,2,bc4a67e5-b1be-43e1-9a83-240f4fe5346b,Gordon,John,Brown,B.,Major General,False
Sayler's Creek,US,1,407e5664-e1ff-49aa-984d-79f7508a5e7f,Sheridan,Philip,Henry,H.,Major General,False
Kinston,Confederate,1,6bce5d35-7ced-46f5-8786-31eb932c1354,Evans,Nathan,George,G.,Brigadier General,False
Kinston,US,1,f7a09726-833c-415e-acbc-7eab70718f97,Foster,John,Gray,G.,Brigadier General,False
Averasboro,Confederate,1,b01714aa-b252-4944-816d-be76a9070175,Hardee,William,Joseph,J.,Lieutenant General,False
Averasboro,US,1,f0e3ce2c-892e-4ae0-9995-3d864cb98ac1,Slocum,Henry,Warner,W.,Major General,False
Bentonville,Confederate,1,b0f7a304-f6c5-4a8d-b816-066426e5dc1c,Johnston,Joseph,,E.,General,False
Bentonville,US,1,033ec012-d845-474f-bf9c-28366e02d1a4,Sherman,William,Tecumseh,T.,Major General,False
Bentonville,US,2,f0e3ce2c-892e-4ae0-9995-3d864cb98ac1,Slocum,Henry,Warner,W.,Major General,False
