battle,belligerent,fullname,rank,navy,last_name,first_name,middle_name,suffix
GA028,Confederate,George A. Anderson,Major,False,Anderson,George,A.,
GA028,US,William B. Hazen,Brigadier General,False,Hazen,William,B.,
ID001,Native American,Bear Hunter,,False,Hunter,Bear,,
ID001,US,Patrick Edward Connor,Colonel,False,Connor,Patrick,Edward,
IN001,Confederate,John Hunt Morgan,Brigadier General,False,Morgan,John,Hunt,
IN001,US,Lewis Jordan,Brevet Colonel,False,Jordan,Lewis,,
KS001,Confederate,William C. Quantrill,Lieutenant Colonel,False,Quantrill,William,C.,
KS002,Confederate,William C. Quantrill,Lieutenant Colonel,False,Quantrill,William,C.,
KS002,US,James B. Pond,Lieutenant,False,Pond,James,B.,
KS002,US,James G. Blunt,Major General,False,Blunt,James,G.,
KS003,Confederate,Sterling Price,Major General,False,Price,Sterling,,
KS003,US,Alfred Pleasonton,Major General,False,Pleasonton,Alfred,,
KS004,Confederate,James F. Fagan,Major General,False,Fagan,James,F.,
KS004,Confederate,John S. Marmaduke,Brigadier General,False,Marmaduke,John,S.,
KS004,US,Alfred Pleasonton,Major General,False,Pleasonton,Alfred,,
KY001,Confederate,Joel A. Battle,Colonel,False,Battle,Joel,A.,
KY001,US,Isaac J. Black,Captain,False,Black,Isaac,J.,
KY002,Confederate,Felix Zollicoffer,Brigadier General,False,Zollicoffer,Felix,,
KY002,US,Albin F. Schoepf,Brigadier General,False,Schoepf,Albin,F.,
KY003,Confederate,John S. Williams,Colonel,False,Williams,John,S.,
KY003,US,William Nelson,Brigadier General,False,Nelson,William,,
KY003,US,Joshua W. Sill,Colonel,False,Sill,Joshua,W.,
KY004,Confederate,Thomas C. Hindman,Brigadier General,False,Hindman,Thomas,C.,
KY004,US,August Willich,Colonel,False,Willich,August,,
KY005,Confederate,Humphrey Marshall,Brigadier General,False,Marshall,Humphrey,,
KY005,US,James Garfield,Colonel,False,Garfield,James,,
KY006,Confederate,George B. Crittenden,Major General,False,Crittenden,George,B.,
KY006,Confederate,Felix K. Zollicoffer,Brigadier General,False,Zollicoffer,Felix,K.,
KY006,US,George H. Thomas,Brigadier General,False,Thomas,George,H.,
KY007,Confederate,E. Kirby Smith,General,False,Smith,E.,Kirby,
KY007,US,William Nelson,Major General,False,Nelson,William,,
KY008,Confederate,James R. Chalmers,Brigadier General,False,Chalmers,James,R.,
KY008,Confederate,Braxton Bragg,General,False,Bragg,Braxton,,
KY008,US,Cyrus L. Dunham,Colonel,False,Dunham,Cyrus,L.,
KY008,US,John T. Wilder,Colonel,False,Wilder,John,T.,
KY009,Confederate,Braxton Bragg,General,False,Bragg,Braxton,,
KY009,US,Don Carlos Buell,Major General,False,Buell,Don,Carlos,
KY010,Confederate,Nathan Bedford Forrest,Major General,False,Forrest,Nathan,Bedford,
KY010,US,Stephen G. Hicks,Colonel,False,Hicks,Stephen,G.,
KY010,US,James W. Shirk,Lieutenant Commander,True,Shirk,James,W.,
KY011,Confederate,John Hunt Morgan,Brigadier General,False,Morgan,John,Hunt,
KY011,US,Stephen G. Burbridge,Brigadier General,False,Burbridge,Stephen,G.,
LA001,Confederate,Johnson K. Duncan,Brigadier General,False,Duncan,Johnson,K.,
LA001,Confederate,John K. Mitchell,Flag Officer,True,Mitchell,John,K.,
LA001,US,David G. Farragut,Flag Officer,True,Farragut,David,G.,
LA001,US,David Dixon Porter,Commodore,True,Porter,David,Dixon,
LA002,Confederate,Mansfield Lovell,Major General,False,Lovell,Mansfield,,
LA002,US,David G. Farragut,Flag Officer,True,Farragut,David,G.,
LA002,US,Benjamin F. Butler,Major General,False,Butler,Benjamin,F.,
LA003,Confederate,John C. Breckinridge,Major General,False,Breckinridge,John,C.,
LA003,Confederate,Henry K. Stevens,Lieutenant,False,Stevens,Henry,K.,
LA003,US,Thomas Williams,Brigadier General,False,Williams,Thomas,,
LA003,US,William D. Porter,Commander,True,Porter,William,D.,
LA004,Confederate,Phillippe Landry,Captain,False,Landry,Phillippe,,
LA004,US,David G. Farragut,Rear Admiral,True,Farragut,David,G.,
LA005,Confederate,Alfred Mouton,Brigadier General,False,Mouton,Alfred,,
LA005,US,Godfrey Weitzel,Brigadier General,False,Weitzel,Godfrey,,
LA006,Confederate,Richard Taylor,Major General,False,Taylor,Richard,,
LA006,US,Nathaniel P. Banks,Major General,False,Banks,Nathaniel,P.,
LA006,US,Frederick Crocker,Captain,False,Crocker,Frederick,,
LA007,Confederate,Richard Taylor,Major General,False,Taylor,Richard,,
LA007,US,Cuvier Grover,Brigadier General,False,Grover,Cuvier,,
LA007,US,A.P. Cooke,Lieutenant Commander,True,Cooke,A.P.,,
LA008,US,Nathaniel P. Banks,Major General,False,Banks,Nathaniel,P.,
LA009,Confederate,Frank P. Powers,Colonel,False,Powers,Frank,P.,
LA009,Confederate,William R. Miles,Colonel,False,Miles,William,R.,
LA009,US,Christopher C. Augur,Major General,False,Augur,Christopher,C.,
LA010,Confederate,Franklin Gardner,Major General,False,Gardner,Franklin,,
LA010,US,Nathanial P. Banks,Major General,False,Banks,Nathanial,P.,
LA010,US,David G. Farragut,Rear Admiral,True,Farragut,David,G.,
LA011,Confederate,John G. Walker,Major General,False,Walker,John,G.,
LA011,US,Hermann Lieb,Colonel,False,Lieb,Hermann,,
LA011,US,Frank M. Ramsay,Lieutenant Commander,True,Ramsay,Frank,M.,
LA012,Confederate,James P. Major,Colonel,False,Major,James,P.,
LA012,US,Albert Stickney,Lieutenant Colonel,False,Stickney,Albert,,
LA013,Confederate,Tom Green,Brigadier General,False,Green,Tom,,
LA013,US,Joseph D. Bullen,Major,False,Bullen,Joseph,D.,
LA013,US,Melancthon B. Woolsey,Commander,True,Woolsey,Melancthon,B.,
LA014,Confederate,William H. Parsons,Colonel,False,Parsons,William,H.,
LA014,US,William F. Wood,Colonel,False,Wood,William,F.,
LA014,US,Alfred E. Ellet,Brigadier General,False,Ellet,Alfred,E.,
LA015,Confederate,Tom Green,Brigadier General,False,Green,Tom,,
LA015,US,Godfrey Weitzel,Brigadier General,False,Weitzel,Godfrey,,
LA015,US,Nathan A.M. Dudley,Colonel,False,Dudley,Nathan,A.M.,
LA015,US,Joseph Morgan,Colonel,False,Morgan,Joseph,,
LA016,Confederate,Tom Green,Brigadier General,False,Green,Tom,,
LA016,US,Joseph B. Leake,Lieutenant Colonel,False,Leake,Joseph,B.,
LA017,Confederate,William Byrd,Lieutenant Colonel,False,Byrd,William,,
LA017,US,A.J. Smith,Brigadier General,False,Smith,A.J.,,
LA017,US,Joseph Mower,Brigadier General,False,Mower,Joseph,,
LA017,US,Seth L. Phelps,Lieutenant Commander,True,Phelps,Seth,L.,
LA018,Confederate,Richard Taylor,Major General,False,Taylor,Richard,,
LA018,US,Nathaniel P. Banks,Major General,False,Banks,Nathaniel,P.,
LA019,Confederate,Richard Taylor,Major General,False,Taylor,Richard,,
LA019,US,Nathaniel P. Banks,Major General,False,Banks,Nathaniel,P.,
LA020,Confederate,Tom Green,Brigadier General,False,Green,Tom,,
LA020,US,Thomas Kilby Smith,Brigadier General,False,Smith,Thomas,Kilby,
LA020,US,"Thomas O. Selfridge , Jr.",Lieutenant Commander,True,Selfridge,Thomas,O.,Jr.
LA021,Confederate,Hamilton P. Bee,Brigadier General,False,Bee,Hamilton,P.,
LA021,US,Nathaniel P. Banks,Major General,False,Banks,Nathaniel,P.,
LA022,Confederate,Richard Taylor,Major General,False,Taylor,Richard,,
LA022,US,Nathaniel P. Banks,Major General,False,Banks,Nathaniel,P.,
LA023,Confederate,Richard Taylor,Major General,False,Taylor,Richard,,
LA023,US,Nathaniel P. Banks,Major General,False,Banks,Nathaniel,P.,
LA023,US,Joseph A. Mower,Brigadier General,False,Mower,Joseph,A.,
MD001,Confederate,Thomas J. Jackson,Major General,False,Jackson,Thomas,J.,
MD001,US,F.W. Lander,Brigadier General,False,Lander,F.W.,,
MD002,Confederate,Robert E. Lee,General,False,Lee,Robert,E.,
MD002,US,George B. McClellan,Major General,False,McClellan,George,B.,
MD003,Confederate,Robert E. Lee,General,False,Lee,Robert,E.,
MD003,US,George B. McClellan,Major General,False,McClellan,George,B.,
MD004,Confederate,Robert E. Lee,General,False,Lee,Robert,E.,
MD004,US,George G. Meade,Major General,False,Meade,George,G.,
MD006,Confederate,J.E.B. Stuart,Major General,False,Stuart,J.E.B.,,
MD006,US,Alfred Pleasonton,Major General,False,Pleasonton,Alfred,,
MD007,Confederate,Jubal A. Early,Lieutenant General,False,Early,Jubal,A.,
MD007,US,Lew Wallace,Major General,False,Wallace,Lew,,
MD008,Confederate,John McCausland,Brigadier General,False,McCausland,John,,
MD008,US,Benjamin F. Kelly,Brigadier General,False,Kelly,Benjamin,F.,
MN001,Native American,Little Crow,,False,Crow,Little,,
MN001,US,Timothy J. Sheehan,First Lieutenant,False,Sheehan,Timothy,J.,
MN002,Native American,Little Crow,,False,Crow,Little,,
MN002,US,Henry Hastings Sibley,Colonel,False,Sibley,Henry,Hastings,
MO001,Confederate,John S. Marmaduke,Colonel,False,Marmaduke,John,S.,
MO001,US,Nathaniel Lyon,Brigadier General,False,Lyon,Nathaniel,,
MO002,Confederate,James S. Rains,Brigadier General,False,Rains,James,S.,
MO002,US,Franz Sigel,Colonel,False,Sigel,Franz,,
MO003,US,John Scott,Lieutenant Colonel,False,Scott,John,,
MO004,Confederate,Sterling Price,Major General,False,Price,Sterling,,
MO004,Confederate,Benjamin McCulloch,Brigadier General,False,McCulloch,Benjamin,,
MO004,US,Nathaniel Lyon,Brigadier General,False,Lyon,Nathaniel,,
MO004,US,Samuel D. Sturgis,Major,False,Sturgis,Samuel,D.,
MO005,Confederate,Sterling Price,Brigadier General,False,Price,Sterling,,
MO005,US,James M. Lane,Brigadier General,False,Lane,James,M.,
MO006,Confederate,Sterling Price,Major General,False,Price,Sterling,,
MO006,US,James A. Mulligan,Colonel,False,Mulligan,James,A.,
MO007,US,J. B. Plummer,Colonel,False,Plummer,J.,B.,
MO008,Confederate,Julian Frazier,Colonel,False,Frazier,Julian,,
MO008,US,Charles Zagonyi,Major,False,Zagonyi,Charles,,
MO009,Confederate,Gideon J. Pillow,Brigadier General,False,Pillow,Gideon,J.,
MO009,Confederate,Frank Cheatham,Brigadier General,False,Cheatham,Frank,,
MO009,US,Ulysses S. Grant,Brigadier General,False,Grant,Ulysses,S.,
MO009,US,Henry A. Walke,Commander,True,Walke,Henry,A.,
MO010,Confederate,Caleb Dorsey,Colonel,False,Dorsey,Caleb,,
MO010,US,Benjamin M. Prentiss,Brigadier General,False,Prentiss,Benjamin,M.,
MO011,Confederate,John A. Poindexter,Colonel,False,Poindexter,John,A.,
MO011,US,W. M. G. Torrence,Major,False,Torrence,W.,M. G.,
MO012,Confederate,John P. McCown,Brigadier General,False,McCown,John,P.,
MO012,Confederate,William W. Mackall,Brigadier General,False,Mackall,William,W.,
MO012,Confederate,George N. Hollins,Flag Officer,True,Hollins,George,N.,
MO012,US,John Pope,Brigadier General,False,Pope,John,,
MO012,US,Andrew H. Foote,Flag Officer,True,Foote,Andrew,H.,
MO013,Confederate,Joseph C. Porter,Lieutenant Colonel,False,Porter,Joseph,C.,
MO013,US,John McNeil,Colonel,False,McNeil,John,,
MO013,US,Alexander M. Woolfolk,Lieutenant Colonel,False,Woolfolk,Alexander,M.,
MO013,US,James McFerran,Colonel,False,McFerran,James,,
MO014,Confederate,John T. Hughes,Colonel,False,Hughes,John,T.,
MO014,Confederate,Gideon W. Thompson,Colonel,False,Thompson,Gideon,W.,
MO014,US,James T. Buel,Lieutenant Colonel,False,Buel,James,T.,
MO015,Confederate,Jeremiah Vard Cockrell,Colonel,False,Cockrell,Jeremiah,Vard,
MO015,Confederate,John T. Coffee,Colonel,False,Coffee,John,T.,
MO015,US,Emory S. Foster,Major,False,Foster,Emory,S.,
MO015,US,Milton H. Brawner,Captain,False,Brawner,Milton,H.,
MO016,Confederate,Douglas H. Cooper,Colonel,False,Cooper,Douglas,H.,
MO016,US,Edward Lynde,Colonel,False,Lynde,Edward,,
MO016,US,Fredrich Salomon,Brigadier General,False,Salomon,Fredrich,,
MO017,Confederate,John Q. Burbridge,Colonel,False,Burbridge,John,Q.,
MO017,US,Hiram E. Barstow,Captain,False,Barstow,Hiram,E.,
MO018,Confederate,John S. Marmaduke,Brigadier General,False,Marmaduke,John,S.,
MO018,US,Egbert B. Brown,Brigadier General,False,Brown,Egbert,B.,
MO018,US,Benjamin Crabb,Colonel,False,Crabb,Benjamin,,
MO019,Confederate,John S. Marmaduke,Brigadier General,False,Marmaduke,John,S.,
MO019,US,Samuel Merrill,Colonel,False,Merrill,Samuel,,
MO020,Confederate,John S. Marmaduke,Brigadier General,False,Marmaduke,John,S.,
MO020,US,John McNeil,Brigadier General,False,McNeil,John,,
MO021,Confederate,Sterling Price,Major General,False,Price,Sterling,,
MO021,US,"Thomas Ewing , Jr.",Brigadier General,False,Ewing,Thomas,,Jr.
MO022,Confederate,"John B. Clark , Jr.",Brigadier General,False,Clark,John,B.,Jr.
MO022,Confederate,Joseph O. Shelby,Brigadier General,False,Shelby,Joseph,O.,
MO022,US,"Chester Hardin , Jr.",Colonel,False,Hardin,Chester,,Jr.
MO023,Confederate,Sterling Price,Major General,False,Price,Sterling,,
MO023,US,James G. Blunt,Major General,False,Blunt,James,G.,
MO024,Confederate,John S. Marmaduke,Major General,False,Marmaduke,John,S.,
MO024,Confederate,Joseph O. Shelby,Brigadier General,False,Shelby,Joseph,O.,
MO024,Confederate,Sterling Price,Major General,False,Price,Sterling,,
MO024,US,Thomas Moonlight,Colonel,False,Moonlight,Thomas,,
MO024,US,James G. Blunt,Major General,False,Blunt,James,G.,
MO025,Confederate,William L. Cabell,Brigadier General,False,Cabell,William,L.,
MO025,Confederate,William F. Slemons,Colonel,False,Slemons,William,F.,
MO025,US,Alfred Pleasonton,Major General,False,Pleasonton,Alfred,,
MO026,Confederate,Joseph Shelby,Brigadier General,False,Shelby,Joseph,,
MO026,US,Charles R. Jennison,Colonel,False,Jennison,Charles,R.,
MO026,US,Thomas Moonlight,Colonel,False,Moonlight,Thomas,,
MO027,Confederate,Sterling Price,Major General,False,Price,Sterling,,
MO027,US,Samuel R. Curtis,Major General,False,Curtis,Samuel,R.,
MO028,Confederate,Joseph O. Shelby,Brigadier General,False,Shelby,Joseph,O.,
MO028,US,John H. McNeil,Brigadier General,False,McNeil,John,H.,
MO029,Confederate,Joseph O. Shelby,Brigadier General,False,Shelby,Joseph,O.,
MO029,US,James G. Blunt,Major General,False,Blunt,James,G.,
MS001,Confederate,Sterling Price,Major General,False,Price,Sterling,,
MS001,US,William S. Rosecrans,Major General,False,Rosecrans,William,S.,
MS002,Confederate,Earl Van Dorn,Major General,False,Van Dorn,Earl,,
MS002,US,William S. Rosencrans,Major General,False,Rosencrans,William,S.,
MS003,Confederate,John C. Pemberton,Lieutenant General,False,Pemberton,John,C.,
MS003,Confederate,Stephen D. Lee,Brigadier General,False,Lee,Stephen,D.,
MS003,US,William T. Sherman,Major General,False,Sherman,William,T.,
MS003,US,David D. Porter,Acting Rear Admiral,True,Porter,David,D.,
MS004,Confederate,John S. Bowen,Brigadier General,False,Bowen,John,S.,
MS004,US,David D. Porter,Rear Admiral,True,Porter,David,D.,
MS005,Confederate,Louis Hebert,Brigadier General,False,Hebert,Louis,,
MS005,US,"Francis P. Blair , Jr.",Major General,False,Blair,Francis,P.,Jr.
MS005,US,K. Randolph Breese,Lieutenant Commander,True,Breese,K.,Randolph,
MS006,Confederate,John S. Bowen,Brigadier General,False,Bowen,John,S.,
MS006,US,John A. McClernand,Major General,False,McClernand,John,A.,
MS006,US,John A. Logan,Major General,False,Logan,John,A.,
MS007,Confederate,John Gregg,Brigadier General,False,Gregg,John,,
MS007,US,James B. McPherson,Major General,False,McPherson,James,B.,
MS008,Confederate,John Gregg,Brigadier General,False,Gregg,John,,
MS008,US,William T. Sherman,Major General,False,Sherman,William,T.,
MS008,US,James B. McPherson,Major General,False,McPherson,James,B.,
MS009,Confederate,John C. Pemberton,Lieutenant General,False,Pemberton,John,C.,
MS009,US,Ulysses S. Grant,Major General,False,Grant,Ulysses,S.,
MS010,Confederate,John S. Bowen,Brigadier General,False,Bowen,John,S.,
MS010,Confederate,John Vaughn,Brigadier General,False,Vaughn,John,,
MS010,US,John A. McClernand,Major General,False,McClernand,John,A.,
MS011,Confederate,John C. Pemberton,Lieutenant General,False,Pemberton,John,C.,
MS011,US,Ulysses S. Grant,Major General,False,Grant,Ulysses,S.,
MS011,US,David D. Porter,Rear Admiral,True,Porter,David,D.,
MS012,Confederate,Leonidas Polk,Lieutenant General,False,Polk,Leonidas,,
MS012,US,William T. Sherman,Major General,False,Sherman,William,T.,
MS013,Confederate,Nathan Bedford Forrest,Major General,False,Forrest,Nathan,Bedford,
MS013,US,William Sooy Smith,Brigadier General,False,Smith,William,Sooy,
MS014,Confederate,Nathan Bedford Forrest,Major General,False,Forrest,Nathan,Bedford,
MS014,US,Samuel D. Sturgis,Brigadier General,False,Sturgis,Samuel,D.,
MS015,Confederate,Stephen D. Lee,Lieutenant General,False,Lee,Stephen,D.,
