battle_id,belligerent,casualties,killed,wounded,missing
2363,US,600,,100,500
2364,Confederate,4642,,,
2364,US,700,100,600,
2365,Confederate,1200,,,
2365,US,4008,419,1679,1910
2366,Confederate,,,,
2366,US,571,87,484,
2367,Confederate,1100,,,
2367,US,3555,400,1755,1400
2368,Confederate,4000,,,
2368,US,4543,212,1155,3176
2369,Confederate,400,,,
2369,US,600,,,
2370,Confederate,1500,,,
2370,US,2442,127,546,1769
2371,Confederate,2000,,,
2371,US,1149,,1149,
2372,Confederate,,,,
2372,US,37199,5284,26129,5786
2373,Confederate,1000,,,
2373,US,1804,170,822,812
2374,Confederate,5500,,,
2374,US,4990,653,3719,618
2375,Confederate,30,,,
2375,US,950,,,950
2376,Confederate,,,,
2376,US,506,170,336,
2377,Confederate,2000,,,
2377,US,2429,400,2029,
2378,Confederate,900,,,
2378,US,2685,141,788,1756
2379,Confederate,1142,,,
2379,US,706,142,352,212
2380,Confederate,4200,,,
2380,US,5995,588,3516,1891
2381,Confederate,1000,,,
2381,US,1902,156,1047,699
2382,Confederate,451,,,
2382,US,1303,120,783,400
2383,Confederate,5,,,
2383,US,700,,,700
2384,Confederate,6252,,,
2384,US,2326,189,1033,1104
2385,Confederate,,,,
2385,US,711,66,645,
2386,Confederate,400,,,
2386,US,629,39,390,200
2387,Confederate,15000,,,
2387,US,2140,400,1740,
2388,Confederate,,,,
2388,US,608,5,20,583
2389,Confederate,2483,,,
2389,US,955,184,749,22
2390,Confederate,1200,,,
2390,US,1480,232,1062,186
2391,Confederate,1500,,,
2391,US,1101,80,421,600
2392,Confederate,865,,,
2392,US,554,77,477,
2393,Confederate,2825,,,
2393,US,1646,191,1168,287
2394,Confederate,2681,,,
2394,US,911,68,337,506
2395,Confederate,834,,,
2395,US,1176,103,864,209
2396,Confederate,552,,,
2396,US,795,100,695,
2397,Confederate,8020,,,
2397,US,725,99,598,28
2398,Confederate,1235,,,
2398,US,1867,177,1134,556
2399,Confederate,8500,,,
2399,US,884,124,706,54
2400,Confederate,3000,,,
2400,US,3361,296,2565,500
2401,Confederate,7000,,,
2401,US,1180,166,1014,
2402,Confederate,,,,
2402,US,1041,10,31,1000
2403,Confederate,,,,
2403,US,655,,,
2404,Confederate,2900,,,
2404,US,629,113,516,
2405,Confederate,26000,,,
2405,US,0,0,0,0
2406,Confederate,29924,,,
2406,US,0,0,0,0
2407,Confederate,10000,,,
2407,US,0,0,0,0
2408,Confederate,8000,,,
2408,US,0,0,0,0
2409,Confederate,7454,,,
2409,US,0,0,0,0
2410,Confederate,20000,,,
2410,US,0,0,0,0
