battleNum,battleDetail,beginDate,endDate,unknownDay,lat,lng,shrtNm,desc,type,killed,usCasTot,csCasTot
595,,1864-11-21,1864-11-21,False,0.021616679872833,-0.0548931566914125,,"Skirmish at Griswoldville, GA",Skirmish,0,0,0
596,,1865-04-16,1865-04-16,False,0.292863524935552,-0.758728584160014,,"Attack on Fort Tyler, West Point, Ga.",Skirmish,0,0,0
597,,1864-11-21,1864-11-21,False,0.141348073407252,-0.358254015757213,,"Skirmish at Gordon, GA",Skirmish,0,0,0
598,,1865-04-01,1865-04-01,False,0.0486198092797906,-0.128433399807386,,"Skirmish near Randolph, Ala.",Skirmish,0,0,0
599,,1863-10-03,1863-10-03,False,0.222153481892918,-0.613506000971911,,"Skirmish at Forked Deer Creek, Miss.",Skirmish,0,0,0
600,,1864-12-04,1864-12-04,False,0.0243335766555197,-0.0605551944500557,,"Skirmish near Lumpkin's Station, GA",Skirmish,0,0,0
601,,1865-04-01,1865-04-01,False,0.042982259323396,-0.113690404166653,,"Skirmish at Centerville, Ala.",Skirmish,0,0,0
602,,1865-04-02,1865-04-02,False,0.128202858623326,-0.339103505531003,,"Skirmish near Centerville, Ala.",Skirmish,0,0,0
603,GA026,1864-11-28,1864-11-28,False,0.0715500207452633,-0.178171366617849,,"Engagement at Buck Head Creek, or Reynolds' Plantation, GA",Battle,646,46,600
604,,1865-03-31,1865-03-31,False,0.0683192360428618,-0.180164102622073,,"Action at Six-Mile Creek, Ala.",Skirmish,0,0,0
605,,1864-11-28,1864-11-28,False,0.113239060641759,-0.283659521713029,,"Skirmish near Davisborough, GA",Skirmish,0,0,0
606,,1864-11-25,1864-11-25,False,0.0256241526003742,-0.0643368849243322,,"Skirmish near Sandersville, GA",Skirmish,0,0,0
607,,1864-11-26,1864-11-26,False,0.0718425594146565,-0.180381632509586,,"Skirmish at Sandersville, GA",Skirmish,0,0,0
608,,1864-12-02,1864-12-02,False,0.125763991138781,-0.313058394300639,,"Skirmish at Rocky Creek Church, GA",Skirmish,0,0,0
609,,1864-07-30,1864-07-30,False,0.112303984052896,-0.284373181165092,,Combat at Clinton [Stoneman's raid to Macon],Skirmish,0,0,0
610,,1864-11-20,1864-11-20,False,0.0589763901437277,-0.149338456869935,,"Skirmish near Clinton, GA",Skirmish,0,0,0
611,,1864-11-21,1864-11-23,False,0.313682363174181,-0.794298192032172,,"Skirmishes at Clinton, GA",Skirmish,0,0,0
612,,1864-11-29,1864-11-29,False,0.0669713099888491,-0.16723519708814,,"Skirmish near Louisville, GA",Skirmish,0,0,0
613,,1864-11-30,1864-11-30,False,0.0621283540178998,-0.155141769373709,,"Skirmish at Louisville, GA",Skirmish,0,0,0
614,,1864-12-03,1864-12-03,False,0.0523006458918386,-0.129878234106829,,"Skirmish at Thomas' Station, GA",Skirmish,0,0,0
615,,1865-04-18,1865-04-18,False,0.162287780930077,-0.416852656137975,,"Skirmish at Pleasant Hill, Ga.",Skirmish,0,0,0
616,,1865-04-02,1865-04-02,False,0.261402529313846,-0.689967358718078,,"Skirmish near Scottsville, Ala.",Skirmish,0,0,0
617,,1865-02-02,1865-02-02,False,0.14503149599244,-0.355933730753023,,"Skirmish at Rivers' Bridge, Salkehatchie River S.C.",Skirmish,0,0,0
618,,1865-02-03,1865-02-03,False,0.0840338404191404,-0.206234363958074,,"Action at Rivers' Bridge, Salkehatchie River, S.C.",Skirmish,0,0,0
619,,1865-02-04,1865-02-04,False,0.0969575474489839,-0.238251787749957,,"Skirmish at Angley's Post-Office, S.C.",Skirmish,0,0,0
620,,1865-04-19,1865-04-19,False,0.227568715187819,-0.579407077529645,,"Skirmish near Barnesville, Ga.",Skirmish,0,0,0
621,,1864-11-23,1864-11-23,False,0.291153016734146,-0.732619551256088,,"Skirmish near Milledgeville, GA",Skirmish,0,0,0
622,,1864-03-25,1864-03-25,False,0.0311318361424251,-0.0747783856604952,,"Affair at McClellansville, S.C.",Skirmish,0,0,0
623,GA027,1864-11-27,1864-11-28,False,0.166897249582933,-0.413618501507097,,"Action at Waynesborough, GA",Battle,440,190,250
624,,1864-11-28,1864-11-28,False,0.175649732823246,-0.43530962590472,,"Skirmish near Waynesborough, GA",Skirmish,0,0,0
625,GA027,1864-12-04,1864-12-04,False,0.0711990763023751,-0.176451411407138,,"Engagement at Waynesborough, GA",Battle,440,190,250
626,,1865-03-30,1865-03-30,False,0.0168615706780733,-0.0442486115131989,,"Skirmish at Montevallo, Ala.",Skirmish,0,0,0
627,,1865-03-31,1865-03-31,False,0.256788480633385,-0.673871606480116,,"Action near Montevallo, Ala.",Skirmish,0,0,0
628,,1865-02-04,1865-02-04,False,0.0619183472543159,-0.15179895775148,,"Skirmish at Buford's Bridge, S.C.",Skirmish,0,0,0
629,,1865-02-06,1865-02-06,False,0.0469256157217423,-0.114674668011725,,"Skirmish at Cowpen Ford, Little Salkehatchie River, S.C.",Skirmish,0,0,0
630,,1865-04-01,1865-04-01,False,0.188340717800253,-0.495241734990498,,"Skirmish at Trion, Ala.",Skirmish,0,0,0
631,,1865-02-08,1865-02-08,False,0.29220740202417,-0.711712048278543,,"Skirmish at Walker's or Valley Bridge, Edisto River, S.C.",Skirmish,0,0,0
632,,1864-07-30,1864-07-31,False,0.20344242953978,-0.512789425329388,,Combat at Hillsborough [Stoneman's raid to Macon],Skirmish,0,0,0
633,,1865-04-03,1865-04-03,False,0.259641363227825,-0.684498447110174,,"Action at Northport, near Tuscaloosa, Ala.",Skirmish,0,0,0
634,,1864-05-25,1864-05-25,False,0.0642664443838937,-0.176266447083587,,"Capture of steamer USS Lebanon, near Ford's Landing, AR",Skirmish,15,15,0
635,,1864-11-17,1864-11-17,False,0.27991438868487,-0.707970354504253,,"Affair at Towaliga Bridge, GA",Skirmish,0,0,0
636,,1865-02-06,1865-02-06,False,0.0304233070495488,-0.0744536320857404,,"Skirmish near Barnwell, S.C.",Skirmish,0,0,0
637,,1865-02-07,1865-02-07,False,0.243170700493329,-0.591454973793758,,"Skirmish at the Edisto Railroad Bridge, S.C.",Skirmish,0,0,0
638,,1865-02-06,1865-02-06,False,0.136282341475066,-0.332140588402892,,"Action at Fishburn's Plantation, near Lane's Bridge, Little Salkehatchie River, S.C.",Skirmish,0,0,0
639,,1865-02-05,1865-02-05,False,0.186903481123847,-0.455857851213091,,"Skirmish at Duncanville, S.C.",Skirmish,0,0,0
640,,1864-01-07,1864-01-07,False,0.125893997488307,-0.299588650669953,,"Affair on Waccamaw Neck, S.C.",Skirmish,0,0,0
641,,1864-11-21,1864-11-21,False,0.282342237825831,-0.70647948056216,,"Skirmish near Eatonton, GA",Skirmish,0,0,0
642,,1864-05-29,1864-05-29,False,0.31201666583072,-0.853664305470579,,"Attack on Union gun-boat at Smith's Plantation, AR",Skirmish,0,0,0
643,,1864-05-30,1864-05-30,False,0.129390695773859,-0.354007431455833,,"Capture of steamer USS Clara Eamesat Smith's Plantation, AR",Skirmish,0,0,0
