slug,state,start_date,end_date,nature_location,troops_engaged,event_type,casualties,killed_wounded,killed,wounded,missing_captured
Maryland/1861-08-05-skirmish-point-of-rocks,Maryland,1861-08-05,1861-08-05,"Skirmish, Point of Rocks",PENNSYLVANIA--28th Infantry.,Skirmish,,,,,
Maryland/1861-08-18-skirmish-sandy-hook,Maryland,1861-08-18,1861-08-18,"Skirmish, Sandy Hook",(No Reports.),Skirmish,,,,,
Maryland/1861-08-25-skirmish-great-falls,Maryland,1861-08-25,1861-08-25,"Skirmish, Great Falls",(No Reports.),Skirmish,,,,,
Maryland/1861-09-04-skirmish-great-falls,Maryland,1861-09-04,1861-09-04,"Skirmish, Great Falls","PENNSYLVANIA--7th (36th), and 8th (37th) Reserves Infantry.",Skirmish,,,,,
Maryland/1861-09-15-skirmish-pritchard-s-mills-near-antietam-ford,Maryland,1861-09-15,1861-09-15,"Skirmish, Pritchard's Mills, near Antietam Ford","MASSACHUSETTS--13th Infantry (2 Cos.). NEW YORK--9th Independent Battery Light Artillery PENNSYLVANIA--28th Infantry (Cos. ""B"", ""D"", ""I"").",Skirmish,,,,,
Maryland/1861-09-16-1861-09-20-skirmishes-opposite-seneca-creek,Maryland,1861-09-16,1861-09-20,Skirmishes opposite Seneca Creek,NEW YORK--34th Infantry (Detachment).,Skirmishes,,,,,
Maryland/1861-09-18-skirmish-near-berlin,Maryland,1861-09-18,1861-09-18,Skirmish near Berlin,(No Reports.),Skirmish,,,,,
Maryland/1861-09-24-skirmish-point-of-rocks,Maryland,1861-09-24,1861-09-24,"Skirmish, Point of Rocks",PENNSYLVANIA--28th Infantry.,Skirmish,,,,,
Maryland/1861-09-29-skirmish-near-berlin,Maryland,1861-09-29,1861-09-29,Skirmish near Berlin,MARYLAND--1st Infantry.,Skirmish,,,,,
Maryland/1861-10-22-1861-11-12-operations-about-budd-s-ferry,Maryland,1861-10-22,1861-11-12,Operations about Budd's Ferry,"Hooker's Division, Army Potomac.",Operations,,,,,
Maryland/1861-11-03-1861-11-11-expedition-into-lower-maryland,Maryland,1861-11-03,1861-11-11,Expedition into Lower Maryland,"NEW HAMPSHIRE--5th Infantry. NEW JERSEY--5th, 6th, 7th and 8th Infantry. PENNSYLVANIA--36th and 45th Infantry. RHODE ISLAND--4th Infantry. UNITED STATES--2 Squadrons Cavalry.",Expedition,,,,,
Maryland/1861-11-14-affair-mouth-of-mattowoman-creek,Maryland,1861-11-14,1861-11-14,"Affair, Mouth of Mattowoman Creek","MASSACHUSETTS--1st Infantry. UNITED STATES--Battery ""A"", 5th Artillery",Affair,,,,,
Maryland/1861-12-15-capture-of-sloop-victory,Maryland,1861-12-15,1861-12-15,"Capture of Sloop ""Victory""",INDIANA--3rd Cavalry.,Capture,,,,,
Maryland/1861-12-17-1861-12-20-operations-about-dams-4-and-5,Maryland,1861-12-17,1861-12-20,Operations about Dams 4 and 5,"CONNECTICUT--5th Infantry. MARYLAND--1st Infantry. PENNSYLVANIA--29th Infantry. UNITED STATES--Battery ""F"", 4th Artillery",Operations,,,,,
Maryland/1861-12-19-action-point-of-rocks,Maryland,1861-12-19,1861-12-19,"Action, Point of Rocks",PENNSYLVANIA--28th Infantry.,Action,,,,,
Maryland/1861-12-25-skirmish-frederick-fort,Maryland,1861-12-25,1861-12-25,"Skirmish, Frederick Fort","MARYLAND--1st Infantry (Co. ""H"").",Skirmish,,,,,
Maryland/1862-01-05-bombardment-of-hancock,Maryland,1862-01-05,1862-01-05,Bombardment of Hancock,(No Details.),Bombardment,,,,,
Maryland/1862-07-05-skirmish-hagerstown,Maryland,1862-07-05,1862-07-05,"Skirmish, Hagerstown",OHIO--4th Infantry.,Skirmish,,,,,
Maryland/1862-09-04-skirmish-monocacy-aqueduct,Maryland,1862-09-04,1862-09-04,"Skirmish, Monocacy Aqueduct",(No Reports.),Skirmish,,,,,
Maryland/1862-09-03-1862-09-04-skirmishes-edward-s-ferry,Maryland,1862-09-03,1862-09-04,"Skirmishes, Edward's Ferry","MARYLAND--1st Cavalry. VIRGINIA--Means' Independent Cavalry Company. Union loss, 2 killed, 1 wounded. Total, 3.",Skirmishes,3,3,2,1,
