slug,state,start_date,end_date,nature_location,troops_engaged,event_type,casualties,killed_wounded,killed,wounded,missing_captured
Tennessee/1863-10-08-skirmish-near-chattanooga,Tennessee,1863-10-08,1863-10-08,Skirmish near Chattanooga,OHIO--17th Infantry.,Skirmish,,,,,
Tennessee/1863-10-09-skirmish-farmington,Tennessee,1863-10-09,1863-10-09,"Skirmish, Farmington",OHIO--4th Cavalry.,Skirmish,,,,,
Tennessee/1863-10-09-action-sugar-creek,Tennessee,1863-10-09,1863-10-09,"Action, Sugar Creek","IOWA--5th Cavalry. Union loss, 2 wounded.",Action,,,,2,
Tennessee/1863-10-09-action-cleveland,Tennessee,1863-10-09,1863-10-09,"Action, Cleveland",TENNESSEE--1st Infantry.,Action,,,,,
Tennessee/1863-10-09-affair-at-r-r-tunnel-near-cowan,Tennessee,1863-10-09,1863-10-09,"Affair at R. R. Tunnel, near Cowan",KENTUCKY--28th Infantry (Detachment).,Affair,,,,,
Tennessee/1863-10-09-skirmish-elk-river,Tennessee,1863-10-09,1863-10-09,"Skirmish, Elk River",(No Reports.),Skirmish,,,,,
Tennessee/1863-10-10-action-shelbyville,Tennessee,1863-10-10,1863-10-10,"Action, Shelbyville",INDIANA--17th Mounted Infantry.,Action,,,,,
Tennessee/1863-10-10-engagement-blue-springs,Tennessee,1863-10-10,1863-10-10,"Engagement, Blue Springs","ILLINOIS--14th Cavalry; Battery ""M"" 2nd Light Artillery INDIANA--5th Cavalry; 65th Mounted Infantry. MARYLAND--2nd Infantry. MASSACHUSETTS--29th and 36th Infantry. MICHIGAN--9th Cavalry; Battery ""L"" 1st Light Artillery; 2nd, 8th, 17th, 20th and 27th Infantry. NEW YORK--Battery ""L"" 2nd Artillery; 46th and 79th Infantry. PENNSYLVANIA--45th, 48th, 50th and 100th Infantry. OHIO--2nd, 7th and 9th Cavalry; 21st Independent Battery Light Artillery RHODE ISLAND--Battery ""D"" 1st Light Artillery TENNESSEE--8th Cavalry; 2nd Mounted Infantry. Union loss, 13 killed, 115 wounded, 2 missing. Total, 130.",Engagement,130,128,13,115,2
Tennessee/1863-10-10-skirmish-near-hartsville,Tennessee,1863-10-10,1863-10-10,Skirmish near Hartsville,OHIO--71st Infantry (Detachment).,Skirmish,,,,,
Tennessee/1863-10-10-1863-10-11-skirmishes-sweetwater,Tennessee,1863-10-10,1863-10-11,"Skirmishes, Sweetwater","MICHIGAN--9th Cavalry; Battery ""L"" 1st Light Artillery OHIO--2nd and 7th Cavalry. TENNESSEE--2nd Mounted Infantry.",Skirmishes,,,,,
Tennessee/1863-10-10-1863-10-11-expedition-from-memphis-to-hernando-miss,Tennessee,1863-10-10,1863-10-11,"Expedition from Memphis to Hernando, Miss.",IOWA--2nd Cavalry (4 Cos.).,Expedition,,,,,
Tennessee/1863-10-10-1863-10-14-expedition-from-gallatin-to-carthage,Tennessee,1863-10-10,1863-10-14,Expedition from Gallatin to Carthage,OHIO--71st Infantry (Detachment).,Expedition,,,,,
Tennessee/1863-10-11-skirmishes-germantown-and-mount-pleasant,Tennessee,1863-10-11,1863-10-11,"Skirmishes, Germantown and Mount Pleasant",ILLINOIS--6th Cavalry.,Skirmishes,,,,,
Tennessee/1863-10-11-skirmish-henderson-s-mill,Tennessee,1863-10-11,1863-10-11,"Skirmish, Henderson's Mill","ILLINOIS--14th Cavalry; Battery ""M"" 2nd Light Artillery INDIANA--5th Cavalry; 65th Mounted Infantry. OHIO--9th Cavalry. TENNESSEE--8th Cavalry. Union loss, 1 killed, 10 wounded, 8 missing. Total, 19.",Skirmish,19,11,1,10,8
Tennessee/1863-10-11-action-colliersville,Tennessee,1863-10-11,1863-10-11,"Action, Colliersville","ILLINOIS--7th Cavalry. INDIANA--66th Infantry. UNITED STATES--13th Infantry. Union loss, 14 killed, 42 wounded, 54 missing. Total, 110.",Action,110,56,14,42,54
Tennessee/1863-10-11-action-rheatown,Tennessee,1863-10-11,1863-10-11,"Action, Rheatown","ILLINOIS--14th Cavalry; Battery ""M"" 2nd Light Artillery INDIANA--5th Cavalry; 65th Mounted Infantry. MICHIGAN--9th Cavalry. OHIO--9th Cavalry. TENNESSEE--8th Cavalry. Union loss, 25 killed, wounded and missing.",Action,25,,,,
Tennessee/1863-10-12-skirmish-zollicoffer,Tennessee,1863-10-12,1863-10-12,"Skirmish, Zollicoffer",TENNESSEE--8th Cavalry.,Skirmish,,,,,
Tennessee/1863-10-13-skirmish-blountsville,Tennessee,1863-10-13,1863-10-13,"Skirmish, Blountsville","TENNESSEE--2nd Mounted Infantry. Union loss, 6 wounded.",Skirmish,,,,6,
Tennessee/1863-10-13-1863-10-14-skirmishes-fayetteville,Tennessee,1863-10-13,1863-10-14,"Skirmishes, Fayetteville",INDIANA--2nd Cavalry.,Skirmishes,,,,,
Tennessee/1863-10-14-skirmish-near-loudon,Tennessee,1863-10-14,1863-10-14,Skirmish near Loudon,(No Reports.),Skirmish,,,,,
Tennessee/1863-10-14-skirmish-blountsville,Tennessee,1863-10-14,1863-10-14,"Skirmish, Blountsville","ILLINOIS--14th Cavalry; Battery ""M"" 2nd Light Artillery INDIANA--5th Cavalry; 65th Mounted Infantry. OHIO--9th Cavalry. TENNESSEE--8th Cavalry.",Skirmish,,,,,
Tennessee/1863-10-15-skirmish-bristol,Tennessee,1863-10-15,1863-10-15,"Skirmish, Bristol","ILLINOIS--14th Cavalry; Battery ""M"" 2nd Light Artillery INDIANA--5th Cavalry; 65th Mounted Infantry. OHIO--9th Cavalry. TENNESSEE--8th Cavalry.",Skirmish,,,,,
Tennessee/1863-10-15-skirmish-near-philadelphia,Tennessee,1863-10-15,1863-10-15,Skirmish near Philadelphia,KENTUCKY--1st Cavalry. OHIO--45th Mounted Infantry (Detachment).,Skirmish,,,,,
Tennessee/1863-10-16-skirmish-island-no-10,Tennessee,1863-10-16,1863-10-16,"Skirmish, Island No. 10",IOWA--32nd Infantry.,Skirmish,,,,,
Tennessee/1863-10-19-action-spurgeon-mill,Tennessee,1863-10-19,1863-10-19,"Action, Spurgeon Mill",MICHIGAN--9th Cavalry.,Action,,,,,
Tennessee/1863-10-19-skirmish-zollicoffer,Tennessee,1863-10-19,1863-10-19,"Skirmish, Zollicoffer",(No Reports.),Skirmish,,,,,
Tennessee/1863-10-20-engagement-philadelhia,Tennessee,1863-10-20,1863-10-20,"Engagement, Philadelhia","INDIANA--24th Independent Battery Light Artillery KENTUCKY--1st, 11th and 12th Cavalry. OHIO--45th Mounted Infantry.",Engagement,,,,,
Tennessee/1863-10-21-skirmish-sulphur-springs,Tennessee,1863-10-21,1863-10-21,"Skirmish, Sulphur Springs",TENNESSEE--1st Cavalry.,Skirmish,,,,,
Tennessee/1863-10-22-skirmish-new-madrid-bend,Tennessee,1863-10-22,1863-10-22,"Skirmish, New Madrid Bend",IOWA--32nd Infantry.,Skirmish,,,,,
Tennessee/1863-10-22-1863-10-24-scout-from-germantown-to-chulahoma-miss,Tennessee,1863-10-22,1863-10-24,"Scout from Germantown to Chulahoma, Miss.",ILLINOIS--6th (Detachment) and 7th Cavalry.,Scout,,,,,
Tennessee/1863-10-23-skirmish-tullahoma,Tennessee,1863-10-23,1863-10-23,"Skirmish, Tullahoma",INDIANA--70th Infantry.,Skirmish,,,,,
Tennessee/1863-10-23-skirmish-sweetwater,Tennessee,1863-10-23,1863-10-23,"Skirmish, Sweetwater",(No Reports.),Skirmish,,,,,
Tennessee/1863-10-24-skirmish-philadelphia,Tennessee,1863-10-24,1863-10-24,"Skirmish, Philadelphia","INDIANA--15th Independent Battery Light Artillery KENTUCKY--27th Infantry. Union loss, 7 killed, 25 wounded, 447 captured and missing. Total, 479.",Skirmish,479,32,7,25,447
Tennessee/1863-10-25-1863-10-26-skirmishes-philadelphia,Tennessee,1863-10-25,1863-10-26,"Skirmishes, Philadelphia","ILLINOIS--112th Mounted Infantry. Union loss, 3 killed.",Skirmishes,,,3,,
Tennessee/1863-10-26-skirmish-sequatchie-valley,Tennessee,1863-10-26,1863-10-26,"Skirmish, Sequatchie Valley",PENNSYLVANIA--15th Cavalry.,Skirmish,,,,,
Tennessee/1863-10-26-skirmish-leiper-s-ferry-holston-river,Tennessee,1863-10-26,1863-10-26,"Skirmish, Leiper's Ferry, Holston River",KENTUCKY--27th Infantry.,Skirmish,,,,,
Tennessee/1863-10-26-skirmish-jones-hill,Tennessee,1863-10-26,1863-10-26,"Skirmish, Jones' Hill",OHIO--45th Mounted Infantry.,Skirmish,,,,,
Tennessee/1863-10-26-1863-10-27-skirmishes-sweetwater,Tennessee,1863-10-26,1863-10-27,"Skirmishes, Sweetwater",MICHIGAN--8th Cavalry.,Skirmishes,,,,,
Tennessee/1863-10-26-1863-10-29-re-opening-tennessee-river,Tennessee,1863-10-26,1863-10-29,"Re-opening, Tennessee River","ALABAMA--1st Cavalry. ILLINOIS--21st, 38th, 59th, 75th, 80th, 82nd, 84th, 96th, 101st and 115th Infantry. INDIANA--5th Independent Battery Light Artillery; 6th, 9th, 29th, 30th, 31st, 35th, 36th, 81st and 84th Infantry. KENTUCKY--1st, 2nd, 5th, 6th, 8th and 23rd Infantry. MAINE--10th Infantry. MASSACHUSETTS--33rd Infantry. NEW JERSEY--33rd Infantry. NEW YORK--Batteries ""I"" and ""M"" 1st Light Artillery, 13th Independent Battery Light Artillery; 45th, 58th, 60th, 68th, 78th, 102nd, 119th, 134th, 136th, 137th, 141st, 143rd, 149th and 154th Infantry. OHIO--Batteries ""I"" and ""K"" 1st Light Artillery; 1st, 5th, 6th, 7th, 18th, 24th, 29th, 40th, 41st, 51st, 55th, 61st, 66th, 73rd, 82nd, 93rd, 99th, 101st and 124th Infantry. PENNSYLVANIA--Independent Battery ""E"" Light Artillery; 27th, 28th, 29th, 73rd, 75th, 77th, 79th, 109th, 111th and 147th Infantry. TENNESSEE--5th Cavalry (Co. ""G""). WISCONSIN--28th Infantry. UNITED STATES--Batteries ""G"", ""H"" and ""M"" 4th Artillery",Reopening,,,,,
Tennessee/1863-10-27-action-brown-s-ferry,Tennessee,1863-10-27,1863-10-27,"Action, Brown's Ferry","INDIANA--6th and 82nd Infantry. KENTUCKY--5th, 6th and 23rd Infantry. MICHIGAN--1st Engineers. OHIO--1st, 6th, 9th, 11th, 17th, 18th, 31st, 33rd, 36th, 41st, 89th, 92nd, 93rd and 124th Infantry. Union loss, 4 killed, 17 wounded. Total, 21.",Action,21,21,4,17,
Tennessee/1863-10-27-skirmish-clinch-mountain,Tennessee,1863-10-27,1863-10-27,"Skirmish, Clinch Mountain",PENNSYLVANIA--50th Infantry.,Skirmish,,,,,
Tennessee/1863-10-27-skirmish-near-pulaski,Tennessee,1863-10-27,1863-10-27,Skirmish near Pulaski,(No Reports.),Skirmish,,,,,
Tennessee/1863-10-28-skirmish-leiper-s-ferry-holston-river,Tennessee,1863-10-28,1863-10-28,"Skirmish, Leiper's Ferry, Holston River","ILLINOIS--112th Mounted Infantry. KENTUCKY--11th and 27th Infantry. Union loss, 2 killed, 5 wounded, 15 missing. Total, 22.",Skirmish,22,7,2,5,15
Tennessee/1863-10-28-skirmish-clarksville,Tennessee,1863-10-28,1863-10-28,"Skirmish, Clarksville",ILLINOIS--83rd Infantry.,Skirmish,,,,,
Tennessee/1863-10-28-1863-10-29-engagement-wauhafchie,Tennessee,1863-10-28,1863-10-29,"Engagement, Wauhafchie","ALABAMA--1st Cavalry. ILLINOIS--80th, 101st and 115th Infantry. MASSACHUSETTS--33rd Infantry. NEW YORK--45th, 58th, 68th, 78th, 119th, 134th, 136th, 137th, 141st, 143rd, 149th and 154th Infantry. OHIO--55th, 61st, 73rd and 82nd Infantry. PENNSYLVANIA--Independent Battery ""E"" Light Artillery; 27th, 29th, 73rd, 75th, 109th and 111th Infantry. TENNESSEE--5th Cavalry (Co. ""G""). WISCONSIN--26th Infantry. Union loss, 78 killed, 327 wounded, 15 missing. Total, 420.",Engagement,420,405,78,327,15
Tennessee/1863-10-29-skirmish-centreville,Tennessee,1863-10-29,1863-10-29,"Skirmish, Centreville","TENNESSEE--5th Cavalry. Union loss, 8 wounded.",Skirmish,,,,8,
Tennessee/1863-10-29-1863-11-02-scout-from-winchester-to-fayetteville,Tennessee,1863-10-29,1863-11-02,Scout from Winchester to Fayetteville,INDIANA--4th Cavalry.,Scout,,,,,
Tennessee/1863-10-30-skirmish-leiper-s-ferry-holston-river,Tennessee,1863-10-30,1863-10-30,"Skirmish, Leiper's Ferry, Holston River",(No Reports.),Skirmish,,,,,
Tennessee/1863-11-01-skirmish-eastport,Tennessee,1863-11-01,1863-11-01,"Skirmish, Eastport",WEST VIRGINIA--4th Infantry.,Skirmish,,,,,
Tennessee/1863-11-02-skirmish-fayetteville,Tennessee,1863-11-02,1863-11-02,"Skirmish, Fayetteville",INDIANA--4th Cavalry.,Skirmish,,,,,
Tennessee/1863-11-02-skirmish-centreville-piney-factory,Tennessee,1863-11-02,1863-11-02,"Skirmish, Centreville, Piney Factory",TENNESSEE--1st Middle Infantry.,Skirmish,,,,,
Tennessee/1863-11-03-action-colliersville,Tennessee,1863-11-03,1863-11-03,"Action, Colliersville","ILLINOIS--6th, 7th and 9th Cavalry; Battery ""K"" 1st Light Artillery IOWA--2nd Cavalry. Union loss, 7 killed, 57 wounded. Total, 64.",Action,64,64,7,57,
Tennessee/1863-11-03-skirmish-lawrenceburg,Tennessee,1863-11-03,1863-11-03,"Skirmish, Lawrenceburg",MICHIGAN--14th Mounted Infantry. Union loss 3 wounded.,Skirmish,,,,3,
Tennessee/1863-11-04-skirmish-motley-s-ford-little-tennessee-river,Tennessee,1863-11-04,1863-11-04,"Skirmish, Motley's Ford, Little Tennessee River",KENTUCKY--1st Cavalry.,Skirmish,,,,,
Tennessee/1863-11-04-1863-12-23-campaign-knoxville,Tennessee,1863-11-04,1863-12-23,"Campaign, Knoxville","ILLINOIS--14th Cavalry; Battery ""M"" 2nd Light Artillery, Colvin's. Elgin and Henshaw's Independent Batteries Light Artillery; 65th, 107th and 112th (Mounted) Infantry. INDIANA--3rd (Cos. ""L"", ""M""), 5th and 6th Cavalry; 15th, 23rd, 24th and Wilder's Independent Batteries Light Artillery; 65th (Mounted), 80th, 115th, 116th, 117th and 118th Infantry. KENTUCKY--1st, 11th and 12th Cavalry; 11th (Mounted), 12th, 13th, 16th, 24th and 27th (Mounted) Infantry. MARYLAND--2nd Infantry. MASSACHUSETTS--21st, 29th, 35th and 36th Infantry. MICHIGAN--8th and 9th Cavalry; 2nd, 8th, 17th, 20th, 23rd and 27th Infantry. NEW HAMPSHIRE--11th Infantry. NEW YORK--Battery ""L"" 2nd Artillery; 46th and 79th Infantry. OHIO--2nd, 7th and 9th Cavalry, McLaughlin's Squadron Cavalry; Battery ""D"" 1st Light Artillery, 19th and 21st Independent Batteries Light Artillery; 44th, 45th (Mounted), 100th, 103rd, 104th and 111th Infantry. PENNSYLVANIA--45th, 48th, 50th, 51st and 100th Infantry. RHODE ISLAND--Battery ""D"" 1st Light Artillery TENNESSEE--8th Cavalry; 1st and 2nd Mounted Infantry, 8th Infantry. UNITED STATES--Battery ""E"" 2nd Artillery, Batteries ""L"" and ""M"" 3rd Artillery",Campaign,,,,,
Tennessee/1863-11-05-action-moscow,Tennessee,1863-11-05,1863-11-05,"Action, Moscow","ILLINOIS--6th, 7th and 9th Cavalry. IOWA--2nd Cavalry.",Action,,,,,
Tennessee/1863-11-05-skirmish-loudon-county,Tennessee,1863-11-05,1863-11-05,"Skirmish, Loudon County",(No Reports.),Skirmish,,,,,
Tennessee/1863-11-05-skirmish-la-fayette,Tennessee,1863-11-05,1863-11-05,"Skirmish, La Fayette",(No Reports.),Skirmish,,,,,
Tennessee/1863-11-06-skirmish-near-chattanooga,Tennessee,1863-11-06,1863-11-06,Skirmish near Chattanooga,OHIO--89th Infantry.,Skirmish,,,,,
Tennessee/1863-11-06-action-near-rogersville,Tennessee,1863-11-06,1863-11-06,Action near Rogersville,"ILLINOIS--Battery ""M"" 2nd Light Artillery OHIO--7th Cavalry. TENNESSEE--2nd Mounted Infantry. Union loss, 5 killed, 12 wounded, 650 missing. Total, 667.",Action,667,17,5,12,650
Tennessee/1863-11-12-skirmish-near-cumberland-gap,Tennessee,1863-11-12,1863-11-12,Skirmish near Cumberland Gap,OHIO--4th Battalion Cavalry.,Skirmish,,,,,
Tennessee/1863-11-13-skirmish-palmyra,Tennessee,1863-11-13,1863-11-13,"Skirmish, Palmyra",(No Reports.),Skirmish,,,,,
Tennessee/1863-11-13-action-blythe-s-ferry,Tennessee,1863-11-13,1863-11-13,"Action, Blythe's Ferry","OHIO--Battery ""A"" 1st Light Artillery",Action,,,,,
Tennessee/1863-11-14-skirmish-little-river,Tennessee,1863-11-14,1863-11-14,"Skirmish, Little River","KENTUCKY--1st, 11th and 12th Cavalry.",Skirmish,,,,,
Tennessee/1863-11-14-action-rockford,Tennessee,1863-11-14,1863-11-14,"Action, Rockford","KENTUCKY--1st Cavalry; 11th and 27th Infantry. OHIO--45th Mounted Infantry. Union loss, 1 killed, 6 wounded, 42 missing. Total, 49.",Action,49,7,1,6,42
Tennessee/1863-11-14-skirmish-marysville,Tennessee,1863-11-14,1863-11-14,"Skirmish, Marysville","KENTUCKY--1st and 11th Cavalry; 45th Mounted Infantry. Union loss, 12 killed, 58 wounded. Total, 70.",Skirmish,70,70,12,58,
Tennessee/1863-11-14-action-huff-s-ferry,Tennessee,1863-11-14,1863-11-14,"Action, Huff's Ferry","ILLINOIS--Henshaw's Independent Battery Light Artillery; 107th Infantry. INDIANA--24th Independent Battery Light Artillery KENTUCKY--13th Infantry. MICHIGAN--23rd Infantry. OHIO--111th Infantry. Union loss, 10 killed, 42 wounded, 60 missing. Total, 112.",Action,112,52,10,42,60
Tennessee/1863-11-15-skirmish-near-loudon-1,Tennessee,1863-11-15,1863-11-15,Skirmish near Loudon,"KENTUCKY--11th Infantry. OHIO--McLaughlin's Squadron Cavalry. TENNESSEE--1st Infantry. Union loss, 4 killed, 12 wounded. Total, 16.",Skirmish,16,16,4,12,
Tennessee/1863-11-15-actions-lenoir-station,Tennessee,1863-11-15,1863-11-15,"Actions, Lenoir Station","ILLINOIS--Henshaw's Independent Battery Light Artillery INDIANA--6th Cavalry. MASSACHUSETTS--36th Infantry. MICHIGAN--8th Infantry. NEW YORK--Battery ""L"" 2nd Artillery OHIO--2nd Cavalry. PENNSYLVANIA--45th Infantry. Union loss, 6 killed, 55 wounded, 59 missing. Total, 120.",Action,120,61,6,55,59
Tennessee/1863-11-15-skirmish-little-river,Tennessee,1863-11-15,1863-11-15,"Skirmish, Little River","KENTUCKY--1st, 11th and 12th Cavalry.",Skirmish,,,,,
Tennessee/1863-11-15-skirmish-stock-creek,Tennessee,1863-11-15,1863-11-15,"Skirmish, Stock Creek","KENTUCKY--1st, 11th and 12th Cavalry; 11th and 27th Mounted Infantry. MICHIGAN--9th Cavalry. OHIO--2nd and 7th Cavalry; 45th Mounted Infantry. TENNESSEE--2nd Mounted Infantry.",Skirmish,,,,,
Tennessee/1863-11-15-skirmish-pillowville,Tennessee,1863-11-15,1863-11-15,"Skirmish, Pillowville",MISSOURI--4th Cavalry (Detachment).,Skirmish,,,,,
Tennessee/1863-11-15-skirmish-near-loudon-2,Tennessee,1863-11-15,1863-11-15,Skirmish near Loudon,ILLINOIS--Henshaw's Independent Battery Light Artillery; 107th Infantry. KENTUCKY--13th Infantry. MICHIGAN--23rd Infantry. OHIO--111th Infantry. TENNESSEE--2nd Mounted Infantry.,Skirmish,,,,,
Tennessee/1863-11-15-skirmish-marysville,Tennessee,1863-11-15,1863-11-15,"Skirmish, Marysville",TENNESSEE--2nd Infantry.,Skirmish,,,,,
Tennessee/1863-11-15-1863-11-16-skirmish-holston-river,Tennessee,1863-11-15,1863-11-16,"Skirmish, Holston River","KENTUCKY--11th and 27th Mounted Infantry. OHIO--45th Mounted Infantry. Union loss, 6 killed, 9 wounded, 86 missing. Total, 101.",Skirmish,101,15,6,9,86
Tennessee/1863-11-16-engagement-campbell-s-station,Tennessee,1863-11-16,1863-11-16,"Engagement, Campbell's Station","ILLINOIS--Henshaw's Independent Battery Light Artillery; 107th and 112th (Mounted) Infantry. INDIANA--6th Cavalry; 15th and 24th Independent Batteries Light Artillery MARYLAND--2nd Infantry. MASSACHUSETTS--21st, 29th, 35th and 36 Infantry. MICHIGAN--8th Cavalry; 2nd, 8th, 17th, 20th, 23rd and 27th Infantry. NEW HAMPSHIRE--11th Infantry. OHIO--19th Independent Battery Light Artillery; 111th Infantry. NEW YORK--Battery ""L"" 2nd Artillery; 46th and 79th Infantry. PENNSYLVANIA--45th, 48th, 50th, 51st and 100th Infantry. RHODE ISLAND--Battery ""D"" 1st Light Artillery UNITED STATES--Battery ""E"" 2nd Artillery Union loss, 31 killed, 211 wounded, 76 missing. Total, 318.",Engagement,318,242,31,211,76
Tennessee/1863-11-16-skirmishes-near-knoxville,Tennessee,1863-11-16,1863-11-16,Skirmishes near Knoxville,"ILLINOIS--112th Mounted Infantry. KENTUCKY--1st, 11th and 12th Cavalry; 11th and 27th Mounted Infantry. MICHIGAN--8th Cavalry. OHIO--45th Mounted Infantry.",Skirmishes,,,,,
Tennessee/1863-11-16-1863-11-23-skirmishes-at-and-about-kingston,Tennessee,1863-11-16,1863-11-23,Skirmishes at and about Kingston,KENTUCKY--11th and 27th Mounted Infantry. OHIO--45th Mounted Infantry.,Skirmishes,,,,,
Tennessee/1863-11-17-1863-12-04-siege-of-knoxville,Tennessee,1863-11-17,1863-12-04,Siege of Knoxville,"ILLINOIS--Henshaw's Independent Battery Light Artillery; 65th, 107th and 112th Infantry. INDIANA--5th and 6th Cavalry; 15th, 24th and Wilder's Independent Batteries Light Artillery KENTUCKY--1st, 11th and 12th Cavalry; Laws' Battery Light Artillery; 11th, 13th, 24th and 27th Infantry. MARYLAND--2nd Infantry. MASSACHUSETTS--21st, 29th, 35th and 36th Infantry. MICHIGAN--8th Cavalry; 2nd, 8th, 17th, 20th, 23rd and 27th Infantry. NEW HAMPSHIRE--11th Infantry. NEW YORK--Battery ""L"", 2nd Artillery; 46th and 79th Infantry. OHIO--2nd Cavalry; Battery ""D"", 1st Light Artillery; 19th Independent Battery Light Artillery; 44th, 45th, 100th, 103rd, 104th and 111th Infantry. PENNSYLVANIA--45th, 48th, 50th, 51st and 100th Infantry. RHODE ISLAND--Battery ""D"", 1st Light Artillery TENNESSEE--2nd Mounted Infantry. UNITED STATES--Battery ""E"", 2nd Artillery; Batteries ""L"" and ""M"", 3rd Artillery Union loss, 92 killed, 394 wounded, 207 missing. Total, 693.",Siege,693,486,92,394,207
Tennessee/1863-11-19-skirmish-obion-river-near-union-city,Tennessee,1863-11-19,1863-11-19,"Skirmish, Obion River, near Union City","ILLINOIS--2nd Cavalry (Detachment); 58th Infantry (Cos. ""G"", ""H"", ""I"" and ""K""). Union loss, 1 killed.",Skirmish,,,1,,
Tennessee/1863-11-19-skirmish-merryweather-s-ferry-near-union-city,Tennessee,1863-11-19,1863-11-19,"Skirmish, Merryweather's Ferry, near Union City",ILLINOIS--2nd Cavalry (Detachment).,Skirmish,,,,,
Tennessee/1863-11-19-skirmish-colwell-s-ford,Tennessee,1863-11-19,1863-11-19,"Skirmish, Colwell's Ford",ILLINOIS--125th Infantry.,Skirmish,,,,,
Tennessee/1863-11-19-skirmish-mulberry-gap,Tennessee,1863-11-19,1863-11-19,"Skirmish, Mulberry Gap","INDIANA--65th Mounted Infantry. Union loss, 13 killed, 256 missing. Total, 269.",Skirmish,269,13,13,,256
Tennessee/1863-11-19-scout-from-memphis-to-hernando-miss,Tennessee,1863-11-19,1863-11-19,"Scout from Memphis to Hernando, Miss",TENNESSEE--7th Cavalry.,Scout,,,,,
Tennessee/1863-11-20-skirmish-sparta,Tennessee,1863-11-20,1863-11-20,"Skirmish, Sparta",TENNESSEE--1st Cavalry.,Skirmish,,,,,
Tennessee/1863-11-21-expedition-from-island-no-10-to-tiptonville,Tennessee,1863-11-21,1863-11-21,Expedition from Island No. 10 to Tiptonville,"IOWA--32nd Infantry (Co. ""H""). MISSOURI--25th Infantry (Co. ""B"").",Expedition,,,,,
Tennessee/1863-11-21-1863-11-22-scout-from-fort-pillow,Tennessee,1863-11-21,1863-11-22,Scout from Fort Pillow,INDIANA--52nd Infantry (Detachment).,Scout,,,,,
Tennessee/1863-11-22-skirmish-winchester,Tennessee,1863-11-22,1863-11-22,"Skirmish, Winchester",OHIO--4th Cavalry.,Skirmish,,,,,
Tennessee/1863-11-23-assault-on-confederate-works-at-knoxville,Tennessee,1863-11-23,1863-11-23,Assault on Confederate Works at Knoxville,MICHIGAN--2nd Infantry.,Assault,,,,,
