battle_id,id,cwsac_id
Battle_of_Dallas,,GA011
Battle_of_Dandridge,,TN028
Battle_of_Darbytown_Road,568543653,VA078
Battle_of_Darbytown_and_New_Market,562855755,VA077
Battle_of_Davis's_Cross_Roads,,GA003
Battle_of_Day's_Gap,593990149,AL001
Battle_of_Dead_Buffalo_Lake,,ND002
Battle_of_Decatur,,AL004
Battle_of_Devil's_Backbone,555450156,AR009
Battle_of_Dinwiddie_Court_House,,VA086
Battle_of_Dover_(1863),,TN012
Battle_of_Dranesville,,VA007
Battle_of_Drewry's_Bluff,,VA012
Battle_of_Droop_Mountain,,WV012
Battle_of_Dry_Wood_Creek,,MO005
Battle_of_Elkin's_Ferry,,AR012
Battle_of_Eltham's_Landing,,VA011
Battle_of_Ezra_Church,,GA018
Battle_of_Fair_Garden,,TN029
Battle_of_Fair_Oaks_&_Darbytown_Road,,VA080
Battle_of_Fisher's_Hill,,VA120
Battle_of_Five_Forks,,VA088
Battle_of_Folck's_Mill,,MD008
Battle_of_Fort_Anderson,,NC010
Battle_of_Fort_Bisland,,LA006
Battle_of_Fort_Blair,,KS002
Battle_of_Fort_Blakely,,AL006
Battle_of_Fort_Brooke,,FL004
Battle_of_Fort_Davidson,,MO021
Battle_of_Fort_De_Russy,,LA017
Battle_of_Fort_Donelson,,TN002
Battle_of_Fort_Henry,,TN001
Battle_of_Fort_Macon,,NC004
Battle_of_Fort_McAllister_(1863),,GA002
Battle_of_Fort_McAllister_(1864),,GA028
Battle_of_Fort_Pillow,,TN030
Battle_of_Fort_Pulaski,,GA001
Battle_of_Fort_Ridgely,,MN001
Battle_of_Fort_Sanders,,TN025
Battle_of_Fort_Stedman,,VA084
Battle_of_Fort_Stevens,,DC001
Battle_of_Fort_Sumter,,SC001
Battle_of_Forts_Jackson_and_St._Philip,,LA001
Battle_of_Franklin_(1863),,TN016
Battle_of_Franklin_(1864),,TN036
Battle_of_Fredericksburg,,VA028
Battle_of_Fredericktown,,MO007
Battle_of_Front_Royal,,VA103
Battle_of_Gaines's_Mill,,VA017
Battle_of_Galveston,,TX003
Battle_of_Galveston_Harbor_(1862),,TX002
Battle_of_Garnett's_&_Golding's_Farm,,VA018
Battle_of_Georgia_Landing,,LA005
Battle_of_Gettysburg,,PA002
Battle_of_Glasgow,,MO022
Battle_of_Glendale,,VA020
Battle_of_Globe_Tavern,,VA072
Battle_of_Glorieta_Pass,,NM002
Battle_of_Goldsboro_Bridge,,NC009
Battle_of_Goodrich's_Landing,,LA014
Battle_of_Grand_Gulf,,MS004
Battle_of_Greenbrier_River,,WV007
Battle_of_Grimball's_Landing,,SC006
Battle_of_Griswoldville,,GA025
Battle_of_Guard_Hill,,VA117
Battle_of_Hampton_Roads,,VA008
Battle_of_Hancock,,MD001
Battle_of_Hanover,,PA001
Battle_of_Hanover_Court_House,,VA013
Battle_of_Harpers_Ferry,,WV010
