"belligerent","battle_name","cwsac_id","relation"
"US","Chaffin's Farm, Va","VA075","="
"US","Champion's Hill, Miss","MS009","="
"US","Chancellorsville, Va","VA032",">"
"US","Chancellorsville, Va","VA033",">"
"US","Chancellorsville, Va","VA034",">"
"US","Chaplin Hills, Ky","KY009","="
"US","Chattanooga, Tenn","TN024","="
"US","Chickamauga, Ga","GA004","="
"US","Chickasaw Bluffs, Miss","MS003","="
"US","Cloyd's Mountain, W. Va","VA049","="
"US","Cold Harbor, Va","VA062","="
"US","Corinth, Miss","MS002","="
"US","Crampton's Gap, Md","MS002","="
"US","Cross Keys, Va","VA105","="
"US","Dabney's Mills, Va","VA083","="
"US","Darbytown Road, Va","VA077","="
"US","Darbytown Road; Fair Oaks, Va","VA080","="
"US","Decatur, Ala","AL004","="
"US","Deep Bottom, Va","VA071","="
"US","Dinwiddie C. H., Va","VA086","="
"US","Dranesville, Va","VA007","="
"US","Drewry's Bluff, Va","VA053","="
"US","Droop Mountain, W. Va","WV012","="
"US","Fair Oaks, Va. (Seven Pines）","VA014","="
"US","Fall of Petersburg, Va","VA089","="
"US","Farmville, Va","VA094","="
"US","First Bull Run, Va","VA005","="
"US","Fisher's Hill, Va","VA120","="
"US","Five Forks, Va","VA088","="
"US","Fort Bisland, La","LA006","="
"US","Fort Blakely, Ala","AL006","="
"US","Fort Davidson, Mo","MO021","="
"US","Fort Donelson, Tenn","TN002","="
"US","Fort Fisher, N. C","NC015","="
"US","Fort McAllister, Ga","GA028","="
"US","Fort Stedman, Va","VA084","="
"US","Fort Stevens, D. C","DC001","="
"US","Franklin, Tenn","TN036","="
"US","Fredericksburg, Va","VA028","="
"US","Front Royal and Winchester, Va","VA103",">"
"US","Front Royal and Winchester, Va","VA104",">"
"US","Gaines's Mill, Va","VA017","="
"US","Georgia Landing, La","LA005","="
"US","Gettysburg, Pa","PA002","="
"US","Glendale, Va","VA020","="
"US","Golding's Farm, Va","VA018","="
"US","Gravelly Run, Va","VA085","="
"US","Greenbrier River, W. Va","WV007","="
"US","Griswoldville, Ga","GA025","="
"US","Hanover Court House, Va","VA013","="
"US","Hanover, Pa","PA001","="
"US","Harper's Ferry, Va","WV010","="
"US","Hartsville, Mo","MO019","="
"US","Hartsville, Tenn","TN008","="
"US","Hatchie Bridge, Miss","TN007","="
"US","Helena, Ark","AR008","="
"US","Honey Hill, S. C","SC010","="
"US","Hoover's Gap, Tenn","TN017","="
"US","Independence, Mo","MO025","="
"US","Irish Bend, La","LA007","="
"US","Iuka, Miss","MS001","="
"US","Jackson, Miss","MS008","="
"US","James's Island, S. C","NC016","="
"US","Jenkins's Ferry, Ark","AR016","="
