"belligerent","battle_name","state","killed","wounded","missing","casualties","cavalry","start_date","end_date"
"Union","Kinston; Goldsborough, N. C","NC","92","487","12","591",0,"1862-12-12","1862-12-17"
"Union","Fredericksburg, Va","VA","1,284","9,600","1,769","12,653",0,"1862-12-13","1862-12-13"
"Union","Chickasaw Bluffs, Miss","MS","208","1,005","563","1,776",0,"1862-12-28","1862-12-29"
"Union","Parker's Cross Roads, Tenn","TN","27","140","70","237",0,"1862-12-30","1862-12-30"
"Union","Stone's River, Tenn","TN","1,730","7,802","3,717","13,249",0,"1862-12-31","1862-12-31"
"Union","Springfield, Mo","MO","14","146","5","165",0,"1863-1-7","1863-1-8"
"Union","Hartsville, Mo","MO","7","64","2","73",0,"1863-1-11","1863-1-11"
"Union","Arkansas Post, Ark","AR","134","898","29","1,061",0,"1863-1-11","1863-1-11"
"Union","Deserted House, Va","VA","23","108","12","143",0,"1863-1-30","1863-1-30"
"Union","Fort Donelson, Tenn","TN","14","54","10","78",0,"1863-2-3","1863-2-3"
"Union","Thompson's Station, Tenn","TN","48","247","1,151","1,446",0,"1863-3-4","1863-3-5"
"Union","Kelly's Ford, Va","VA","6","50","22","78",0,"1863-3-17","1863-3-17"
"Union","Fort Bisland, La","LA","40","184","","224",0,"1863-4-13","1863-4-13"
"Union","Irish Bend, La","LA","49","274","30","353",0,"1863-4-14","1863-4-14"
"Union","Siege of Suffolk, Va","VA","41","223","2","266",0,"1863-4-11","1863-4-30"
"Union","Magnolia Hills, Miss","MS","131","719","25","875",0,"1863-5-1","1863-5-1"
"Union","Chancellorsville, Va","VA","1,113","7,052","4,422","12,587",0,"1863-5-1","1863-5-4"
"Union","Marye's Heights and Salem Church","VA","493","2,710","1,497","4,700",0,"1863-5-3","1863-5-4"
"Union","Raymond, Miss","MS","66","339","37","442",0,"1863-5-12","1863-5-12"
"Union","Jackson, Miss","MS","42","251","7","300",0,"1863-5-14","1863-5-14"
"Union","Champion's Hill, Miss","MS","410","1,844","187","2,441",0,"1863-5-16","1863-5-16"
"Union","Black River Bridge, Miss","MS","39","237","3","279",0,"1863-5-17","1863-5-17"
"Union","Assault on Vicksburg, Miss","MS","157","777","8","942",0,"1863-5-19","1863-5-19"
"Union","Assault on Vicksburg, Miss","MS","502","2,550","147","3,199",0,"1863-5-22","1863-5-22"
"Union","Vicksburg Trenches, Miss","MS","147","613","9","769",0,"1863-5-23","1863-7-4"
"Union","Plain's Store, La","LA","15","71","14","100",0,"1863-5-21","1863-5-21"
"Union","Assault on Port Hudson, La","LA","293","1,545","157","1,995",0,"1863-5-27","1863-5-27"
"Union","Assault on Port Hudson, La","LA","203","1,401","162","1,766",0,"1863-6-14","1863-6-14"
"Union","Port Hudson Trenches, La","LA","211","390","0","601",0,"1863-5-26","1863-7-9"
"Union","Franklin's Crossing, Va","VA","9","48","0","57",0,"1863-6-5","1863-6-5"
"Union","Milliken's Bend, La","LA","118","310","0","428",0,"1863-6-6","1863-6-8"
"Union","Beverly Ford, Va","VA","81","403","382","866",1,"1863-6-9","1863-6-9"
"Union","Winchester, Va","VA","95","348","4,000","4,443",0,"1863-6-13","1863-6-15"
"Union","Aldie, Va","VA","50","131","124","305",1,"1863-6-17","1863-6-17"
"Union","Middleburg, Va","VA","16","46","37","99",1,"1863-6-19","1863-6-19"
"Union","Upperville, Va","VA","12","130","67","209",1,"1863-6-21","1863-6-21"
"Union","La Fourche Crossing, La","LA","8","40","0","48",0,"1863-6-21","1863-6-21"
"Union","Hill's Plantation, Miss","MS","10","9","28","47",0,"1863-6-22","1863-6-22"
"Union","Hoover's Gap, Tenn","TN","27","177","2","206",0,"1863-6-24","1863-6-24"
"Union","Liberty Gap, Tenn","TN","42","232","1","275",0,"1863-6-25","1863-6-25"
"Union","Shelbyville, Tenn","TN","15","64","10","89",0,"1863-6-27","1863-6-27"
"Union","Morgan's Raid, Ky","KY","19","47","8","74",0,"1863-7-2","1863-7-26"
"Union","Helena, Ark","AR","57","146","36","239",0,"1863-7-4","1863-7-4"
"Union","Jackson, Miss","MS","129","762","231","1,122",0,"1863-7-9","1863-7-16"
"Union","Hanover, Pa","PA","19","73","123","215",1,"1863-6-30","1863-6-30"
"Union","Gettysburg, Pa","PA","3,070","14,497","5,434","23,001",0,"1863-7-1","1863-7-3"
"Union","Hagerstown, Md","MD","19","50","194","263",1,"1863-7-6","1863-7-6"
"Union","Williamsport, Md","MD","14","37","69","120",1,"1863-7-6","1863-7-6"
"Union","Boonsborough, Md","MD","8","54","18","80",1,"1863-7-7","1863-7-9"
"Union","Hagerstown, Md","MD","5","31","13","49",1,"1863-7-11","1863-7-11"
"Union","Funkstown, Md","MD","14","77","6","97",0,"1863-7-12","1863-7-12"
"Union","Falling Waters, Md","MD","31","58","32","121",1,"1863-7-14","1863-7-14"
"Union","Shepherdstown, Va","VA","8","72","24","104",1,"1863-7-16","1863-7-16"
"Union","Assault on Fort Wagner, S. C","SC","49","123","167","339",0,"1863-7-11","1863-7-11"
"Union","Assault on Fort Wagner, S. C","SC","246","880","389","1,515",0,"1863-7-18","1863-7-18"
"Union","Siege of Fort Wagner, S. C","SC","71","278","9","358",0,"1863-7-1","1863-7-31"
"Union","Donaldsonville, La","LA","56","223","186","465",0,"1863-7-13","1863-7-13"
"Union","Manassas Gap, Va","VA","9","12","8","29",1,"1863-7-21","1863-7-21"
"Union","Wapping Heights, Va","VA","20","83","0","103",0,"1863-7-23","1863-7-23"
"Union","Brandy Station, Va","VA","21","104","20","145",1,"1863-8-1","1863-8-1"
"Union","White Sulphur Springs, Va","VA","26","125","67","218",1,"1863-8-26","1863-8-27"
"Union","Chickamauga, Ga","GA","1,656","9,749","4,774","16,179",0,"1863-9-19","1863-9-20"
"Union","Morganzia, La","LA","16","45","453","514",0,"1863-9-29","1863-9-29"
"Union","Bristoe Station, Va","VA","50","335","161","546",0,"1863-10-14","1863-10-14"
"Union","Philadelphia, Tenn","TN","7","25","447","479",0,"1863-10-20","1863-10-20"
"Union","Wauhatchie, Tenn","TN","75","300","8","383",0,"1863-10-27","1863-10-27"
"Union","Grand Coteau, La","LA","25","129","562","716",0,"1863-11-3","1863-11-3"
"Union","Droop Mountain, W. Va","WV","30","88","1","119",0,"1863-11-6","1863-11-6"
"Union","Rappahannock Station, Va","VA","83","328","6","417",0,"1863-11-7","1863-11-7"
"Union","Kelly's Ford, Va","VA","6","39","0","45",0,"1863-11-7","1863-11-7"
"Union","Campbell's Station, Tenn","TN","31","211","74","316",0,"1863-11-16","1863-11-16"
"Union","Siege of Knoxville, Tenn","TN","92","393","202","687",0,"1863-11-1","1863-11-30"
"Union","Missionary Ridge (Chattanooga, Tenn)","TN","597","3,781","304","4,682",0,"1863-11-25","1863-11-25"
"Union","Orchard Knob (Chattanooga, Tenn)","TN","26","161","13","200",0,"1863-11-23","1863-11-23"
"Union","Lookout Mountain (Chattanooga, Tenn)","TN","64","404","32","500",0,"1863-11-24","1865-11-24"
"Union","Ringgold; Graysville, Ga","GA","65","367","0","432",0,"1863-11-27","1863-11-27"
"Union","Mine Run Campaign, Va","VA","173","1,099","381","1,653",0,"1863-11-26","1863-11-30"
"Union","Walker's Ford, W. Va","WV","9","43","12","64",0,"1863-12-2","1863-12-2"
"Union","Bean's Station, Tenn","TN","16","51","48","115",0,"1863-12-14","1863-12-14"
"Union","Mossy Creek, Tenn","TN","18","86","5","109",0,"1863-12-29","1863-12-29"
"Union","Bachelor's Creek, N. C","NC","9","15","302","326",0,"1864-2-1","1864-2-3"
"Union","Morton's Ford, Va","VA","10","208","42","260",0,"1864-2-6","1864-2-6"
"Union","Olustee, Fla","FL","203","1,152","506","1,861",0,"1864-2-20","1864-2-20"
"Union","Buzzard's Roost, Ga","GA","17","272","0","289",0,"1864-2-27","1864-2-27"
"Union","Yazoo City, Miss","MS","21","89","21","131",0,"1864-3-5","1864-3-5"
"Union","Okolona, Ark","AR","16","74","0","90",0,"1864-4-3","1864-4-3"
"Union","Sabine Cross Roads, La and Pleasant Hill, La","LA","258","1,487","1,772","3,517",0,"1864-4-8","1864-4-9"
"Union","Plymouth, N. C","NC","20","80","1,500","1,600",0,"1864-4-17","1864-4-20"
"Union","Cane River, La","LA","40","160","0","200",0,"1864-4-23","1864-4-23"
"Union","Marks's Mills, Ark","AR","100","250","100","450",0,"1864-4-25","1864-4-25"
"Union","Jenkins's Ferry, Ark","AR","64","378","86","528",0,"1864-4-30","1864-4-30"
"Union","Alexandria, La","LA","23","67","21","111",0,"1864-5-1","1864-5-1"
"Union","Rocky Face Ridge (Atlanta Campaign)","GA","141","720","39","900",0,"1864-5-5","1864-5-9"
"Union","Resaca (Atlanta Campaign)","GA","470","2,399","131","3,000",0,"1864-5-13","1864-5-15"
"Union","New Hope Church (Atlanta Campaign)","GA","157","800","43","1,000",0,"1864-5-25","1864-5-25"
"Union","Pickett's Mills (Atlanta Campaign)","GA","298","1,519","83","1,900",0,"1864-5-27","1864-5-27"
"Union","Dallas (Atlanta Campaign)","GA","282","1,439","79","1,800",0,"1864-5-28","1864-5-31"
"Union","Adairsville, Cassville, Rome Cross Roads, etc (Atlanta Campaign)","GA","110","559","30","699",0,"1864-5-1","1864-5-31"
"Union","Dallas (Atlanta Campaign)","GA","134","686","80","900",0,"1864-6-1","1864-6-4"
"Union","Pine Mountain (Atlanta Campaign)","GA","164","839","97","1,100",0,"1864-6-14","1864-6-19"
"Union","Culp's House (Atlanta Campaign)","GA","104","534","62","700",0,"1864-6-22","1864-6-22"
"Union","Kenesaw Mountain (Atlanta Campaign)","GA","179","915","106","1,200",0,"1864-6-20","1864-6-30"
"Union","Assault on Kenesaw (Atlanta Campaign)","GA","448","2,287","265","3,000",0,"1864-6-27","1864-6-27"
"Union","Lattimore's Mill; Powder Springs, etc (Atlanta Campaign)","GA","96","480","55","631",0,"1864-6-1","1864-6-30"
"Union","Nickeljack Creek (Atlanta Campaign)","GA","51","274","125","450",0,"1864-7-2","1864-7-5"
"Union","Chattahoochie (Atlanta Campaign)","GA","97","517","236","850",0,"1864-7-6","1864-7-10"
"Union","Peach Tree Creek (Atlanta Campaign)","GA","251","1,339","610","2,200",0,"1864-7-20","1864-7-20"
"Union","Atlanta (Atlanta Campaign)","GA","480","2,556","1,164","4,200",0,"1864-7-21","1864-7-22"
"Union","Ezra Chapel (Atlanta Campaign)","GA","97","517","236","850",0,"1864-7-28","1864-7-28"
"Union","others (Atlanta Campaign)","GA","134","712","323","1,169",0,"1864-7-1","1864-7-31"
"Union","Utoy Creek (Atlanta Campaign)","GA","112","573","115","800",0,"1864-8-5","1864-8-6"
"Union","Siege of Atlanta (Atlanta Campaign)","GA","341","1,745","351","2,437",0,"1864-8-1","1864-8-31"
"Union","Atlanta Campaign, Ga","GA","277","1,413","212","1,902",0,"1864-9-1","1864-9-1"
"Union","Wilderness, Va","VA","2,246","12,037","3,383","17,666",0,"1864-5-5","1864-5-7"
"Union","Spotsylvania, Va","VA","2,725","13,416","2,258","18,399",0,"1864-5-8","1864-5-21"
"Union","Alsop's Farm (Spotsylvania)","VA","267","1,312","221","1,800",0,"1864-5-8","1864-5-8"
