combatant	starty	startm	startd	endy	endm	endd	battle_name	state	cwsac	killed	wounded	missing	casualties	cavalry
CS	1862	2	8	1862	2	8	Roanoke Island, N. C	NC	NC002	23	58	2,527	2,608	
CS	1862	2	14	1862	2	16	Fort Donelson, Tenn	TN	TN002	466	1,534	13,829	15,829	
CS	1862	3	14	1862	3	14	New Berne, N. C	NC	NC003	64	101	413	578	
CS	1862	3	23	1862	3	23	Kernstown, Va	VA	VA101	80	375	263	718	
CS	1862	4	6	1862	4	7	Shiloh, Tenn	TN	TN003	1,723	8,012	959	10,694	
CS	1862	4	19	1862	4	19	Camden, N. C	NC	NC005	6	19	3	28	
CS	1862	5	5	1862	5	5	Williamsburg, Va	VA	VA010	288	975	297	1,560	
CS	1862	5	7	1862	5	7	West Point, Va	VA	VA011	8	40	0	48	
CS	1862	5	8	1862	5	8	McDowell, Va	VA	VA102	75	423	0	498	
CS	1862	5	23	1862	5	25	Front Royal; Winchester, Va	VA	VA103 VA104	39	172	3	214	
CS	1862	5	27	1862	5	27	Hanover C. H., Va	VA	VA013	73	192	0	265	
CS	1862	5	31	1862	5	31	Fair Oaks, Va	VA	VA014	980	4,749	405	6,134	
CS	1862	6	6	1862	6	6	Harrisonburg, Va	VA		17	50	3	70	
CS	1862	6	8	1862	6	8	Cross Keys, Va	VA	VA105	56	392	47	495	
CS	1862	6	9	1862	6	9	Port Republic, Va	VA	VA106	78	533	4	615	
CS	1862	6	16	1862	6	16	Secessionville, S. C	SC	SC002	52	144	8	204	
CS	1862	6	25	1862	6	25	Oak Grove (Seven Days Battle)	VA	VA015	74	348	19	441	
CS	1862	6	26	1862	6	26	Mechanicsville (Seven Days Battle)	VA	VA016	230	1,077	58	1,365	
CS	1862	6	27	1862	6	27	Gaine's Mill	VA	VA017	1,477	6,903	371	8,751	
CS	1862	6	28	1862	6	28	Garnett's Farm, and Golding's Farm	VA	VA018	78	364	19	461	
CS	1862	6	29	1862	6	29	Savage Station and Peach Orchard	VA	VA019	106	494	26	626	
CS	1862	6	30	1862	6	30	White Oak Swamp and Glendale (or Charles City Cross Roads)	VA	VA020	610	2,852	153	3,615	
CS	1862	7	1	1862	7	1	Malvern Hill	VA	VA021	904	4,224	227	5,355	
CS	1862	8	5	1862	8	5	Baton Rouge, La	LA	LA003	84	313	56	453	
CS	1862	8	9	1862	8	9	Cedar Mountain, Va	VA	VA022	223	1,060	31	1,314	
CS	1862	8	30	1862	8	30	Richmond, Ky	KY	KY007	78	372	1	451	
CS	1862	8	21	1862	9	2	Manassas, Va	VA	VA023 VA024 VA026 VA025 VA027	1,481	7,627	89	9,197	
CS	1862	9	10	1862	9	10	Fayetteville, W. Va	WV		16	32	0	48	
CS	1862	9	12	1862	9	20	Maryland Campaign, Md	MD	WV010 MD002 MD003 WV016	1,886	9,348	1,367	12,601	
CS	1862	9	14	1862	9	17	Munfordville, Ky	KY	KY008	40	211	0	251	
CS	1862	9	19	1862	9	19	Iuka, Miss	MS	MS001	86	408	199	693	
CS	1862	10	3	1862	10	5	Corinth, Miss	MS	MS002 TN007	505	2,150	2,183	4,838	
CS	1862	10	8	1862	10	8	Chaplin Hills, Ky	KY	KY009	510	2,635	251	3,396	
CS	1862	10	22	1862	10	22	Pocotaligo, S. C	SC		21	124	18	163	
CS	1862	12	5	1862	12	5	Coffeeville, Miss	MS		7	43	10	60	
CS	1862	12	7	1862	12	7	Hartsville, Tenn	TN	TN008	21	104	14	139	
CS	1862	12	7	1862	12	7	Prairie Grove, Ark	AR	AR005	164	817	0	981	
CS	1862	12	12	1862	12	17	Kinston, Whitehall, N. C	NC	NC007	71	268	400	739	
CS	1862	12	13	1862	12	13	Fredericksburg, Va	VA	VA028	596	4,068	651	5,315	
CS	1862	12	26	1862	12	29	Chickasaw Bluffs, Miss	MS	MS003	57	120	10	187	
CS	1862	12	31	1862	12	31	Stone's River, Tenn	TN	TN010	1,294	7,945	1,027	10,266	
CS	1863	1	2	1863	1	11	Springfield; Hartsville, Mo	MO	MO018 MO019	32	201	29	262	
CS	1863	1	30	1863	1	30	Deserted House, Va	VA		8	31	0	39	
CS	1863	3	5	1863	3	5	Thompson's Station, Tenn	TN	TN013	56	289	12	357	
CS	1863	3	17	1863	3	17	Kelly's Ford, Va	VA	VA029	11	88	34	133	
CS	1863	5	1	1863	5	1	Magnolia Hills, Miss	MS	MS006	68	380	384	832	
CS	1863	5	1	1863	5	4	Chancellorsville, Va	VA	VA034	1,665	9,081	2,018	12,764	
CS	1863	5	12	1863	5	12	Raymond, Miss	MS	MS007	73	251	190	514	
CS	1863	5	16	1863	5	16	Champion's Hill, Miss	MS	MS009	380	1,018	2,441	3,839	
CS	1863	6	6	1863	6	6	Milliken's Bend, La	LA	LA011	101	285	266	652	
CS	1863	6	9	1863	6	9	Beverly Ford, Va	VA	VA035	51	250	132	433	
CS	1863	6	10	1863	6	24	Middleburg; Upperville, Va	VA	VA038	65	279	166	510	
CS	1863	6	13	1863	6	13	Winchester, Va	VA	VA107	47	219	3	269	
CS	1863	6	30	1863	6	30	Hanover, Pa	PA	PA001	9	50	58	117	
CS	1863	7	1	1863	7	3	Gettysburg, Pa	PA	PA002	2,592	12,706	5,150	20,448	
CS	1863	7	4	1863	7	4	Helena, Ark	AR	AR008	173	645	772	1,590	
CS	1863	7	6	1863	7	6	Hagerstown; Williamsport, Md	MD	MD004	8	65	181	254	
CS	1863	7	9	1863	7	16	Jackson, Miss	MS		71	504	765	1,340	
CS	1863	7	12	1863	7	12	Funkstown; Boonsborough, Md	MD		26	130	60	216	
CS	1863	5	21	1863	5	21	Plain's Store, La	LA	LA009	12	36	0	48	
CS	1863	5	25	1863	7	9	Port Hudson, La	LA	LA010	176	447	0	623	
CS	1863	7	10	1863	7	10	Morris Island, S. C.	SC	SC005	40	124	127	291	
CS	1863	7	11	1863	7	11	Fort Wagner, S. C.	SC	SC005	6	6	0	12	
CS	1863	7	18	1863	7	18	Fort Wagner, S. C.	SC	SC007	36	140	5	181	
CS	1863	7	19	1863	9	6	Charleston Harbor, S. C.	SC	SC008	75	404	27	506	
CS	1863	8	26	1863	8	27	Rocky Gap, Va	VA		20	129	13	162	
CS	1863	9	19	1863	9	20	Chickamauga, Ga	GA	GA004	2,068	13,085	1,303	16,456	
CS	1863	10	10	1863	10	21	Cavalry Affairs, Va	VA	VA042	74	477	89	640	
CS	1863	10	14	1863	10	14	Bristoe Station, Va	VA	VA040	136	797	445	1,378	
CS	1863	10	27	1863	10	27	Wauhatchie, Tenn	TN	TN021	33	306	58	397	
CS	1863	11	6	1863	11	6	Droop Mountain, Va	VA	WV012				275	
CS	1863	11	7	1863	11	7	Kelly's Ford, Va	VA					359	
CS	1863	11	7	1863	11	7	Rappahannock Station, Va	VA	VA043				1,674	
CS	1863	11	23	1863	11	25	Missionary Ridge, Tenn	TN	TN024	361	2,160	4,146	6,667	
CS	1863	11	26	1863	11	30	Mine Run Campaign, Va.	VA	VA044	110	570	65	745	
CS	1863	11	14	1863	11	30	Knoxville, Tenn	TN		198	850	248	1,296	
CS	1863	11	29	1863	11	29	Fort Sanders, Tenn	TN	TN025	129	458	226	813	
CS	1864	2	20	1864	2	20	Olustee, Fla	FL	FL005	93	847	6	946	
CS	1864	4	25	1864	4	25	Marks's Mills, Ark	AR	AR015	41	108	144	293	
CS	1864	4	30	1864	4	30	Jenkins's Ferry, Ark.	AR	AR016	86	356	1	443	
CS	1864	5	7	1864	5	20	Rocky Face Ridge; Resaca (Atlanta Campaign)	GA	GA007 GA008 GA009	444	2,828	1,984	5,256	
CS	1864	5	20	1864	6	4	New Hope Church; Dallas (Atlanta Campaign)	GA	GA011 GA010	309	1,921	1,352	3,582	
CS	1864	6	4	1864	7	4	Kenesaw Mountain (Atlanta Campaign)	GA	GA013 GA015 GA014	468	3,480	2,394	6,342	
CS	1864	7	4	1864	7	31	Peach Tree Creek; Atlanta (Atlanta Campaign)	GA	GA016 GA017	1,341	7,500	5,361	14,202	
CS	1864	7	31	1864	9	1	Utoy Creek; Jonesboro (Atlanta Campaign)	GA	GA019 GA022	482	3,223	1,641	5,346	
CS	1864	5	6	1864	5	31	Cavalry Engagements (Atlanta Campaign)	GA		73	341	251	665	
CS	1864	5	15	1864	5	15	New Market, Va	VA	VA110	34	484	13	531	
CS	1864	6	10	1864	6	11	Brice's Cross Roads, Miss.	MS	MS014	96	396	0	492	
CS	1864	7	1	1864	7	11	Johns Island; James Island, S. C.	SC		33	92	0	125	
CS	1864	7	13	1864	7	15	Tupelo, Miss	MS	MS015	210	1,049	49	1,308	
CS	1864	9	19	1864	9	19	Opequon, Va	VA	VA119	226	1,567	1,818	3,611	
CS	1864	9	22	1864	9	22	Fisher's Hill, Va.	VA	VA120	30	210	995	1,235	
CS	1864	10	5	1864	10	5	Allatoona Pass, Ga	GA	GA023	127	456	290	873	
CS	1864	10	19	1864	10	19	Cedar Creek, Va	VA	VA122	320	1,540	1,050	2,910	
CS	1865	3	16	1865	3	16	Averasboro, N. C	NC	NC019	108	540	217	865	
CS	1865	3	19	1865	3	19	Bentonville, N. C	NC	NC020	239	1,694	673	2,606	
