combatant	starty	startm	startd	endy	endm	endd	battle_name	state	cwsac	killed	wounded	missing	casualties	cavalry
US	1862	9	14	1862	9	14	South Mountain, Md	MD	MD002	325	1,403	85	1,813	
US	1862	9	14	1862	9	16	Munfordville, Ky	KY	KY008	15	57	4,076	4,148	
US	1862	9	17	1862	9	17	Antietam, Md	MD	MD003	2,108	9,549	753	12,410	
US	1862	9	19	1862	9	19	Iuka, Miss	MS	MS001	141	613	36	790	
US	1862	9	19	1862	9	20	Shepherdstown Ford, Va	VA	WV016	71	161	131	363	
US	1862	10	3	1862	10	4	Corinth, Miss	MS	MS002	355	1,841	324	2,520	
US	1862	10	5	1862	10	5	Hatchie Bridge, Miss	MS	TN007	46	493	31	570	
US	1862	10	8	1862	10	8	Chaplin Hills, Ky	KY	KY009	845	2,851	515	4,211	
US	1862	10	8	1862	10	9	Lawrenceburg, Ky. (Dog Walk）	KY		8	20	13	41	
US	1862	10	22	1862	10	22	Pocotaligo, S. C	SC		43	294	3	340	
US	1862	10	27	1862	10	27	Georgia Landing, La	LA	LA005	18	74	5	97	
US	1862	12	5	1862	12	5	Coffeeville, Miss	MS		10	63	41	114	
US	1862	12	7	1862	12	7	Hartsville, Tenn	TN	TN008	58	204	1,834	2,096	
US	1862	12	7	1862	12	7	Prairie Grove, Ark	AR	AR005	175	813	263	1,251	
US	1862	12	12	1862	12	17	Kinston; Goldsborough, N. C	NC	NC007	92	487	12	591	
US	1862	12	13	1862	12	13	Fredericksburg, Va	VA	VA028	1,284	9,600	1,769	12,653	
US	1862	12	28	1862	12	29	Chickasaw Bluffs, Miss	MS	MS003	208	1,005	563	1,776	
US	1862	12	30	1862	12	30	Parker's Cross Roads, Tenn	TN	TN011	27	140	70	237	
US	1862	12	31	1862	12	31	Stone's River, Tenn	TN	TN010	1,730	7,802	3,717	13,249	
US	1863	1	7	1863	1	8	Springfield, Mo	MO	MO018	14	146	5	165	
US	1863	1	11	1863	1	11	Hartsville, Mo	MO	MO019	7	64	2	73	
US	1863	1	11	1863	1	11	Arkansas Post, Ark	AR	AR006	134	898	29	1,061	
US	1863	1	30	1863	1	30	Deserted House, Va	VA		23	108	12	143	
US	1863	2	3	1863	2	3	Fort Donelson, Tenn	TN	TN012	14	54	10	78	
US	1863	3	4	1863	3	5	Thompson's Station, Tenn	TN	TN013	48	247	1,151	1,446	
US	1863	3	17	1863	3	17	Kelly's Ford, Va	VA	VA029	6	50	22	78	
US	1863	4	13	1863	4	13	Fort Bisland, La	LA	LA006	40	184		224	
US	1863	4	14	1863	4	14	Irish Bend, La	LA	LA007	49	274	30	353	
US	1863	4	11	1863	4	30	Siege of Suffolk, Va	VA	VA031	41	223	2	266	
US	1863	5	1	1863	5	1	Magnolia Hills, Miss	MS	MS006	131	719	25	875	
US	1863	5	1	1863	5	4	Chancellorsville, Va	VA	VA032	1,113	7,052	4,422	12,587	
US	1863	5	3	1863	5	4	Marye's Heights and Salem Church	VA	VA033 VA034	493	2,710	1,497	4,700	
US	1863	5	12	1863	5	12	Raymond, Miss	MS	MS007	66	339	37	442	
US	1863	5	14	1863	5	14	Jackson, Miss	MS	MS008	42	251	7	300	
US	1863	5	16	1863	5	16	Champion's Hill, Miss	MS	MS009	410	1,844	187	2,441	
US	1863	5	17	1863	5	17	Black River Bridge, Miss	MS	MS010	39	237	3	279	
US	1863	5	19	1863	5	19	Assault on Vicksburg, Miss	MS	MS011	157	777	8	942	
US	1863	5	22	1863	5	22	Assault on Vicksburg, Miss	MS	MS011	502	2,550	147	3,199	
US	1863	5	23	1863	7	4	Vicksburg Trenches, Miss	MS	MS011	147	613	9	769	
US	1863	5	21	1863	5	21	Plain's Store, La	LA	LA009	15	71	14	100	
US	1863	5	27	1863	5	27	Assault on Port Hudson, La	LA	LA010	293	1,545	157	1,995	
US	1863	6	14	1863	6	14	Assault on Port Hudson, La	LA	LA010	203	1,401	162	1,766	
US	1863	5	26	1863	7	9	Port Hudson Trenches, La	LA	LA010	211	390	0	601	
US	1863	6	5	1863	6	5	Franklin's Crossing, Va	VA		9	48	0	57	
US	1863	6	6	1863	6	8	Milliken's Bend, La	LA	LA011	118	310	0	428	
US	1863	6	9	1863	6	9	Beverly Ford, Va	VA	VA035	81	403	382	866	1
