comm_id,dbpedia_url,commander,last_me,middle_me,first_me
US185,http://dbpedia.org/resource/Thomas_Turpin_Crittenden,0da843b7-f003-425e-a5e7-83f130cb9364,Crittenden,T.,Thomas
US186,http://dbpedia.org/resource/Thomas_Williams_(general),112c0903-05c0-43af-b85c-599f4eb2a25a,Williams,,Thomas
US188,http://dbpedia.org/resource/Truman_Seymour,ae4b233a-c76c-41c5-a0bd-ad6340f39cb9,Seymour,,Truman
US189,http://dbpedia.org/resource/Ulric_Dahlgren,fd0ef639-f8cb-4259-84b6-d19c346a159c,Dahlgren,,Ulric
US19,http://dbpedia.org/resource/Alfred_W._Ellet,8dd9979a-8839-4992-a131-2e796634002a,Ellet,W.,Alfred
US190,http://dbpedia.org/resource/Ulysses_S._Grant,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,S.,Ulysses
US192,,76ecfdbb-1025-42e8-991a-d2cf919dea81,Torrence,,W.M.G.
US193,http://dbpedia.org/resource/Wesley_Merritt,73086f36-7325-4382-a558-72acf268f7c7,Merritt,,Wesley
US194,http://dbpedia.org/resource/William_B._Franklin,a6b7f4dd-efc1-43ae-ba35-a53ed768fd63,Franklin,B.,William
US195,http://dbpedia.org/resource/William_Babcock_Hazen,4464435b-2a29-4da1-8a6b-36181fa9818d,Hazen,B.,William
US197,http://dbpedia.org/resource/William_F._Cloud,6910b429-cf7d-4766-ae47-194be94c58b2,Cloud,F.,William
US198,http://dbpedia.org/resource/William_H._French,f7329508-919d-4fc2-af29-0dbb4c0f2291,French,H.,William
US199,http://dbpedia.org/resource/William_%22Bull%22_Nelson,9a9f97a2-dc6b-413e-9bd4-eedd766bb2a2,Nelson,,William
US20,http://dbpedia.org/resource/Alvan_Cullem_Gillem,38d5cd4d-ba79-4b9b-add7-10d0ff8958a4,Gillem,C.,Alvan
US200,http://dbpedia.org/resource/William_Plummer_Benton,291cca7a-a675-404f-9c4d-7c55d227e81e,Benton,P.,William
US201,http://dbpedia.org/resource/William_Carlin,37745fc4-ddf2-4759-9671-10a574d5c1ea,Carlin,P.,William
US202,http://dbpedia.org/resource/William_Rosecrans,7d67c576-bbd4-4b23-ac53-300f9522f311,Rosecrans,S.,William
US203,http://dbpedia.org/resource/William_Sooy_Smith,ee39c7f4-4266-4d29-90b8-5108a8f3b8b5,Smith,Sooy,William
US204,http://dbpedia.org/resource/William_Tecumseh_Sherman,72fc916d-f36e-4ffa-ab9c-bec7bde07002,Sherman,T.,William
US204,http://dbpedia.org/resource/William_Tecumseh_Sherman,033ec012-d845-474f-bf9c-28366e02d1a4,Sherman,T.,William
US205,http://dbpedia.org/resource/William_Vandever,e40d06fb-a659-4f50-add2-8aebb8d9156b,Vandever,,William
US206,http://dbpedia.org/resource/William_W._Averell,207ddcd7-a819-480a-a9a7-59bf7bd8f760,Averell,W.,William
US207,http://dbpedia.org/resource/Winfield_Scott_Hancock,8d7bd2d7-7411-4cea-ace2-491a97e577ca,Hancock,Scott,Winfield
US21,http://dbpedia.org/resource/Ambrose_Burnside,c5f9dd77-1122-48f0-8840-614720ba50d8,Burnside,E.,Ambrose
US23,http://dbpedia.org/resource/August_Kautz,cb8dc6d1-211d-4278-875a-5f479f65d85b,Kautz,,August
US24,http://dbpedia.org/resource/August_Willich,5ef9c30d-ebf3-4c17-bb2d-edb036b9e3c3,Willich,,August
US26,http://dbpedia.org/resource/Benjamin_Butler_(politician),c94b93a1-0565-4e9f-95af-12f5fe7e93f8,Butler,,Benjamin
US27,,,Kelly,F.,Benjamin
US28,http://dbpedia.org/resource/Benjamin_Prentiss,84cac7af-39b5-4fda-af6a-303608eec2c3,Prentiss,M.,Benjamin
US29,http://dbpedia.org/resource/Cadwallader_C._Washburn,0a7f3381-3da8-4060-9c3c-936ff7d9e7b9,Washburn,,C.C.
US3,http://dbpedia.org/resource/Abner_C._Harding,a50156ea-b963-4378-af87-30bd132048a2,Harding,,A.C.
US30,,6dd0c8e4-177a-4426-9d9f-523d80a1b168,Thompson,,C.R.
US31,http://dbpedia.org/resource/Charles_C._Walcutt,92e6e174-42f6-43f7-a778-dd620c12a02c,Walcutt,C.,Charles
US34,http://dbpedia.org/resource/Charles_Edward_Hovey,c26f173d-b9e3-4afa-89d4-5928f663c844,Hovey,,Charles
US35,http://dbpedia.org/resource/Charles_Pomeroy_Stone,f06a78fa-f99c-4b7e-bea7-89aa4829c315,Stone,P.,Charles
US37,,c906863d-cc4c-4dff-9f12-cbe9abda060e,Harding,,Chester
US38,http://dbpedia.org/resource/Christopher_C._Augur,bbe8a8b5-108c-45aa-8324-0f6c84f57e0d,Augur,C.,Christopher
US39,http://dbpedia.org/resource/Cuvier_Grover,d28cf4ce-7176-40e5-81a3-d822f31ae359,Grover,,Cuvier
US4,http://dbpedia.org/resource/Alexander_Rhind,5f5de75c-e365-4a59-a8ce-0fa7e84412ef,Rhind,,A.C.
US40,http://dbpedia.org/resource/Cyrus_L._Dunham,4d12adf0-e2a3-4c38-9918-853f9dfd46bf,Dunham,L.,Cyrus
US42,,,,,
US43,http://dbpedia.org/resource/David_Dixon_Porter,8da88a4c-d429-4247-a6e8-cba41f280a10,Porter,D.,David
US44,http://dbpedia.org/resource/David_Farragut,7a5f39ff-efc9-4ccd-a5ed-56ad106e2f26,Farragut,G.,David
US45,http://dbpedia.org/resource/David_Hunter,5eec596f-c299-41da-96b6-984213b14c9e,Hunter,,David
US46,http://dbpedia.org/resource/David_McMurtrie_Gregg,b7d3087a-c217-46c1-800e-455e9f9c77b6,Gregg,M.,David
US47,http://dbpedia.org/resource/Dixon_S._Miles,0bd97fd2-dc2c-4a0d-8313-3122800946de,Miles,S.,Dixon
US48,http://dbpedia.org/resource/Don_Carlos_Buell,ae900570-5c73-4de2-b99b-e0f6fbe50ca3,Buell,Carlos,Don
US49,http://dbpedia.org/resource/Edward_Canby,30a29258-21ca-4370-8924-ee4559fe526b,Canby,,E.R.S.
US50,,93f882f8-8924-4bfb-bbc2-4460c9841ea2,Pierce,,Ebenezer
US51,http://dbpedia.org/resource/Edward_Dickinson_Baker,4b479de3-ec5f-4531-af8e-903c593a7b78,Baker,,Edward
US52,,5b51e04f-3b86-4ef8-bcb1-8ae343e3985e,Bloodgood,,Edward
US53,http://dbpedia.org/resource/Edward_H._Hobson,d725e7f2-c7c8-4d34-bf37-f5fad5208e4a,Hobson,H.,Edward
US54,http://dbpedia.org/resource/Edward_Hatch,8082f787-a153-493e-b820-2c007babfb10,Hatch,,Edward
US55,,62fb5571-ef36-4912-a873-9a021782defe,King,M.,Edward
US56,http://dbpedia.org/resource/Edward_M._McCook,fdb062c0-f9c9-4b28-9e78-0ca9ca56ba1e,McCook,M.,Edward
US57,http://dbpedia.org/resource/Edward_Ord,3f5fd4ed-d11f-4911-ae1a-5c241c74aa7c,Ord,O.C.,Edward
US58,http://dbpedia.org/resource/Edward_A._Wild,e782493c-5413-49ff-845e-e1afa8900f78,Wild,,Edward
US59,http://dbpedia.org/resource/Edwin_Vose_Sumner,f2b24743-4d9d-4422-b830-26ecf22d9bd1,Sumner,,Edwin
US6,http://dbpedia.org/resource/Andrew_Jackson_Smith,869b58fb-03ee-4ad7-bfd4-faf6f24b9378,Smith,,A.J.
US60,http://dbpedia.org/resource/Egbert_B._Brown,d8150818-7ad3-4c26-a65e-8441ad5028e6,Brown,B.,Egbert
US61,http://dbpedia.org/resource/Emil_Adams,770548cc-5346-41fa-98ac-1a2929e398a1,Adams,,Emil
US62,http://dbpedia.org/resource/Emory_S._Foster,a99716d1-c687-4fba-8f73-349afa52b172,Foster,S.,Emory
US63,http://dbpedia.org/resource/Erastus_B._Tyler,1c028c2f-3439-4a15-ac1a-d9f9f9ab7210,Tyler,,Erastus
US64,,,Osborne,,F.A.
US65,http://dbpedia.org/resource/Frederick_W._Lander,fdae3f67-9283-4185-8511-2a1a6c974127,Lander,,F.W.
US66,http://dbpedia.org/resource/Fitz_John_Porter,3e3bcb35-5488-46d2-8cf2-b0243ca67d45,Porter,John,Fitz
US67,http://dbpedia.org/resource/Francis_M._Drake,23f64b08-7318-44a0-9e85-22ab893d84dc,Drake,,Francis
US68,http://dbpedia.org/resource/Francis_J._Herron,42af3182-e310-412a-917c-4718d4f4dda6,Herron,J.,Francis
US69,"http://dbpedia.org/resource/Francis_Preston_Blair,_Jr.",c87db518-658a-4e04-b1e0-d4bbe18939bc,Blair,P.,Francis
US7,http://dbpedia.org/resource/Abel_Streight,5463bb0c-6295-43eb-840f-9eef5e4d6c05,Streight,,Abel
US70,http://dbpedia.org/resource/Franz_Sigel,2f47ce28-50f4-4728-8a6f-01d50726a032,Sigel,,Franz
US71,http://dbpedia.org/resource/Frederick_Steele,d84237f6-ba30-44d3-9aa9-7e2aafed4d9a,Steele,,Fred
US73,http://dbpedia.org/resource/Frederick_C._Salomon,26b43e08-a277-4e9d-a1b0-6238f766f791,Salomon,,Friedrich
US74,http://dbpedia.org/resource/Gouverneur_K._Warren,8ca13860-937b-4df4-8f84-df7a2bf51224,Warren,,G.K.
US75,http://dbpedia.org/resource/George_W._Taylor_(general),f02c1113-80d3-40a9-99d0-71f90e30d2ce,Taylor,,G.W.
US76,http://dbpedia.org/resource/George_Armstrong_Custer,7857f8dc-c7a6-4e86-b4be-5289b881fe8c,Custer,A.,George
US77,http://dbpedia.org/resource/George_B._McClellan,113829b2-e1ff-4458-8dce-9a4da30810dd,McClellan,B.,George
US78,http://dbpedia.org/resource/George_Crook,e82a23ec-2fd8-4772-910a-a24756c57052,Crook,,George
US79,http://dbpedia.org/resource/George_Meade,15a8b826-e060-430a-bb4c-61936b75252e,Meade,G.,George
US8,http://dbpedia.org/resource/Absalom_B._Moore,e836ca76-6e2c-40ae-8c75-42bc9848504c,Moore,B.,Absalom
US80,http://dbpedia.org/resource/George_Henry_Thomas,6951057d-db32-4db5-8b3e-dea0c1101a5f,Thomas,H.,George
US81,http://dbpedia.org/resource/George_Stoneman,f7bd82cb-fd70-4bf2-9413-25db44cf1736,Stoneman,,George
US82,http://dbpedia.org/resource/Godfrey_Weitzel,6039ac35-5424-47ea-972c-11111315b2fc,Weitzel,,Godfrey
US83,http://dbpedia.org/resource/Gordon_Granger,c66b4ad0-8194-4dda-a234-c04e1e4e502e,Granger,,Gordon
US85,http://dbpedia.org/resource/Hugh_Judson_Kilpatrick,7830dd73-a91e-4fe5-b112-4492303f8c2d,Kilpatrick,Judson,H.
US86,http://dbpedia.org/resource/Harvey_Brown_(officer),16444c27-8f8e-4307-b6c0-1067bb94c99e,Brown,,Harvey
US87,http://dbpedia.org/resource/Henry_Washington_Benham,d2efdb4f-e327-44a6-bd45-a345dd06d37d,Benham,,Henry
US89,http://dbpedia.org/resource/Henry_Warner_Slocum,f0e3ce2c-892e-4ae0-9995-3d864cb98ac1,Slocum,,Henry
US9,http://dbpedia.org/resource/Adolph_Englemann,90190f46-4486-499b-ac9e-ea262d94359b,Englemann,,Adolph
US90,http://dbpedia.org/resource/Henry_Halleck,aa49135f-0a49-45bd-8360-000895a6b978,Halleck,W.,Henry
US92,http://dbpedia.org/resource/Hermann_Lieb,3c9f2297-d852-451d-958c-bd72af4c60a7,Lieb,,Hermann
US93,http://dbpedia.org/resource/Hiram_Anderson,86e9a968-23b5-4d01-b486-f1d339f8e7b7,Anderson,,Hiram
US94,http://dbpedia.org/resource/Hiram_E._Barstow,03876c23-d7f9-43bc-89e9-fa3047d7c586,Barstow,E.,Hiram
US95,http://dbpedia.org/resource/Horatio_Wright,0feb9176-d689-4e1d-ac4a-6bb149fc6f5b,Wright,,Horatio
US96,http://dbpedia.org/resource/Irvin_McDowell,0f05f7ed-f187-4469-8fbe-25942e7eb85b,McDowell,,Irvin
US97,http://dbpedia.org/resource/Isaac_J._Black,ec7a8c0a-d93a-4b02-9bf9-f17becb8b146,Black,J.,Isaac
US99,http://dbpedia.org/resource/Isaac_Stevens,273ea5b9-0e1d-4993-8267-23cb229725dc,Stevens,,Isaac
