"cwsac_id","belligerent","str_mean","cas_kwm_mean","str_var","cas_k_mean","cas_w_mean","cas_m_mean","cas_kw_mean","cas_km_mean","cas_wm_mean","str_mean_cwsac","str_var_cwsac","description","cas_k_var","cas_w_var","cas_m_var","cas_kw_var","cas_km_var","cas_wm_var","cas_kwm_var"
"AR002","US",NA,160,NA,NA,NA,NA,NA,NA,NA,477.5,9918.75,"Flotilla of the Mississippi River Squadron (USS Mound City, USS Saint Louis, USS Lexington, USS Conestoga, two transports, and a tug) and the 46th Indiana Infantry",NA,NA,NA,NA,NA,NA,5.58333
"AR003","Confederate",NA,250,NA,NA,NA,NA,NA,NA,NA,1432.5,29756.2,"12th, 16th and 17th Texas Cavalry Regiments",NA,NA,NA,NA,NA,NA,5.58333
"AR003","US",NA,63,NA,NA,NA,NA,NA,NA,NA,4620.14,1.00487e+06,"Portions of the 1st and 2nd Brigades, 1st Division, Army of the Southwest",NA,NA,NA,NA,NA,NA,0.0833333
"AR004","Confederate",NA,45,NA,NA,NA,NA,NA,NA,NA,5628.51,3.84117e+06,"Marmaduke’s Cavalry Division",NA,NA,NA,NA,NA,NA,0.0833333
"AR004","US",NA,40,NA,NA,NA,NA,NA,NA,NA,6310.49,4.38188e+06,"1st Division, Army of the Frontier",NA,NA,NA,NA,NA,NA,5.58333
"AR005","Confederate",NA,1317,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of the Trans-Mississippi",NA,NA,NA,NA,NA,NA,0.0833333
"AR005","US",NA,1251,NA,NA,NA,NA,NA,NA,NA,54876.1,3.94571e+08,"Army of the Frontier",NA,NA,NA,NA,NA,NA,0.0833333
"AR006","Confederate",NA,5004,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fort Hindman garrison",NA,NA,NA,NA,NA,NA,0.0833333
"AR006","US",NA,1092,NA,NA,NA,NA,NA,NA,NA,54876.1,3.94571e+08,"Army of the Mississippi and a flotilla of the Mississippi River Squadron",NA,NA,NA,NA,NA,NA,0.0833333
"AR007","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,5628.51,3.84117e+06,"Marmaduke’s Cavalry Division",NA,NA,NA,NA,NA,NA,NA
"AR007","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,6310.49,4.38188e+06,"Second Division, Army of the Frontier",NA,NA,NA,NA,NA,NA,NA
"AR008","Confederate",NA,1636,NA,NA,NA,NA,NA,NA,NA,NA,NA,"District of Arkansas",NA,NA,NA,NA,NA,NA,0.0833333
"AR008","US",NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,"District of Eastern Arkansas, Timberclad gunboat USS Tyler",NA,NA,NA,NA,NA,NA,0.0833333
"AR009","Confederate",NA,17,NA,NA,NA,NA,NA,NA,NA,2231.39,533930,"Cabell's Brigade",NA,NA,NA,NA,NA,NA,0.0833333
"AR009","US",NA,14,NA,NA,NA,NA,NA,NA,NA,9317.15,4.3156e+06,"2nd Kansas Cavalry, 6th Missouri Cavalry, two sections of Rabb’s 2nd Indiana Battery, and two mountain howitzers",NA,NA,NA,NA,NA,NA,0.0833333
"AR010","Confederate",NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,"District of Arkansas",NA,NA,NA,NA,NA,NA,0.0833333
"AR010","US",NA,72,NA,NA,NA,NA,NA,NA,NA,4658.57,2.1578e+06,"Cavalry Division, Army of Arkansas",NA,NA,NA,NA,NA,NA,0.0833333
"AR011","Confederate",NA,40,NA,NA,NA,NA,NA,NA,NA,5628.51,3.84117e+06,"Marmaduke’s Cavalry Division",NA,NA,NA,NA,NA,NA,5.58333
"AR011","US",NA,56,NA,NA,NA,NA,NA,NA,NA,1300.48,19952.5,"5th Kansas Cavalry, 1st Indiana Cavalry, one company of Missouri State Militia, and 300 freedmen volunteers",NA,NA,NA,NA,NA,NA,0.0833333
"AR012","Confederate",NA,29,NA,NA,NA,NA,NA,NA,NA,5628.51,3.84117e+06,"Marmaduke’s Cavalry Division",NA,NA,NA,NA,NA,NA,0.0833333
"AR012","US",NA,26,NA,NA,NA,NA,NA,NA,NA,6310.49,4.38188e+06,"Third Division, VII Corps, Department of Arkansas",NA,NA,NA,NA,NA,NA,0.0833333
"AR013","Confederate",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"District of Arkansas",NA,NA,NA,NA,NA,NA,5.58333
"AR013","US",NA,100,NA,NA,NA,NA,NA,NA,NA,6310.49,4.38188e+06,"Third Division, VII Corps, Department of Arkansas",NA,NA,NA,NA,NA,NA,419.458
"AR014","Confederate",NA,114,NA,NA,NA,NA,NA,NA,NA,16290.4,1.53732e+07,"Marmaduke's Cavalry Division and Maxey's Cavalry Division",NA,NA,NA,NA,NA,NA,0.0833333
"AR014","US",1100,301,419.458,NA,NA,NA,NA,NA,NA,2387.5,49593.7,"1st Kansas Volunteer Infantry (Colored) and the 18th Iowa Infantry; 6th Kansas, 2nd Kansas, and 14th Kansas Cavalry regiments; and two guns of the 2nd Indiana Battery",NA,NA,NA,NA,NA,NA,0.0833333
"AR015","Confederate",NA,293,NA,NA,NA,NA,NA,NA,NA,16290.4,1.53732e+07,"Shelby’s Division and Cabell’s Division",NA,NA,NA,NA,NA,NA,0.0833333
"AR015","US",NA,1500,NA,NA,NA,NA,NA,NA,NA,2437.5,49593.7,"43rd Indiana, 36th Iowa, and 77th Ohio Infantry; 1st Indiana, 7th Missouri, and 1st Iowa Cavalry; two sections of the 2nd Missouri Light Artillery",NA,NA,NA,NA,NA,NA,419.458
"AR016","Confederate",NA,1000,NA,NA,NA,NA,NA,NA,NA,30064.1,2.69009e+07,"Walker's Division, the Arkansas Division, the Missouri Division, and Marmaduke's Cavalry Division, Department of Arkansas",NA,NA,NA,NA,NA,NA,33585
"AR016","US",NA,700,NA,NA,NA,NA,NA,NA,NA,12621,8.76375e+06,"Third Division and elements of Thayer’s Frontier Division, Army of Arkansas",NA,NA,NA,NA,NA,NA,419.458
"AR017","Confederate",NA,37,NA,NA,NA,NA,NA,NA,NA,2231.39,533930,"Greene's Brigade",NA,NA,NA,NA,NA,NA,0.0833333
"AR017","US",NA,133,NA,NA,NA,NA,NA,NA,NA,4620.14,1.00487e+06,"1st and 3rd Brigades, 1st Division, XVI Corps",NA,NA,NA,NA,NA,NA,0.0833333
"CO001","Native American",NA,150,NA,NA,NA,NA,NA,NA,NA,500,419.458,"500 Cheyenne and a few Arapaho (mostly women and children)",NA,NA,NA,NA,NA,NA,5.58333
"CO001","US",NA,48,NA,NA,NA,NA,NA,NA,NA,700,419.458,"Chivington’s Brigade (approximately 700 men)",NA,NA,NA,NA,NA,NA,0.0833333
"DC001","Confederate",NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Morgan’s Cavalry Division, 1,800",NA,NA,NA,NA,NA,NA,419.458
"DC001","US",NA,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The District of Columbia Legion, 400",NA,NA,NA,NA,NA,NA,0.0833333
"FL001","Confederate",1200,87,419.458,NA,NA,NA,NA,NA,NA,NA,NA,"Santa Rosa Island Expedition",NA,NA,NA,NA,NA,NA,0.0833333
"FL001","US",NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fort Pickens Garrison",NA,NA,NA,NA,NA,NA,0.0833333
"FL002","Confederate",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Osceola Rangers",NA,NA,NA,NA,NA,NA,0.0833333
"FL002","US",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One Federal gunboat",NA,NA,NA,NA,NA,NA,0.0833333
"FL003","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saint John's Bluff Garrison",NA,NA,NA,NA,NA,NA,NA
"FL003","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saint John's River Expedition, Saint John's River Flotilla, South Atlantic Blockading Squadron",NA,NA,NA,NA,NA,NA,NA
"FL004","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.4762,89.966,"Company A, 2nd Florida Infantry Battalion, Florida Volunteers",NA,NA,NA,NA,NA,NA,NA
"FL004","US",NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USS Tahoma and the USS Adela; Navy landing party",NA,NA,NA,NA,NA,NA,0.0833333
"FL005","Confederate",5000,946,33585,NA,NA,NA,NA,NA,NA,NA,NA,"District of East Florida",NA,NA,NA,NA,NA,NA,0.0833333
"FL005","US",NA,1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,"District of Florida",NA,NA,NA,NA,NA,NA,5.58333
"FL006","Confederate",NA,25,NA,NA,NA,NA,NA,NA,NA,940.881,11331.2,"Kilcrease’s Artillery, Dunham’s Battery, Abell's Battery, 5th Florida Cavalry, 1st Florida Militia, Barwick’s Company Reserves, Hodges’ Company Reserves, Company A Milton Light Artillery, Companies A, B, and F - Florida Reserves",NA,NA,NA,NA,NA,NA,0.0833333
"FL006","US",NA,148,NA,NA,NA,NA,NA,NA,NA,1193.75,24796.9,"2nd and 99th United States Colored Troops, battalion of the 2nd Florida U.S. Cavalry, two U.S. Navy boat howitzers",NA,NA,NA,NA,NA,NA,0.0833333
"GA001","Confederate",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fort Pulaski garrison",NA,NA,NA,NA,NA,NA,0.0833333
"GA001","US",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port Royal Expeditionary Force",NA,NA,NA,NA,NA,NA,0.0833333
"GA002","Confederate",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fort McAllister garrison",NA,NA,NA,NA,NA,NA,0.0833333
"GA002","US",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flotilla from the South Atlantic Blockading Squadron",NA,NA,NA,NA,NA,NA,0.0833333
"GA003","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"Hindman's Division, Army of Tennessee",NA,NA,NA,NA,NA,NA,NA
"GA003","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,12621,8.76375e+06,"1st and 2nd Divisions, XIV Army Corps, Army of the Cumberland",NA,NA,NA,NA,NA,NA,NA
"GA004","Confederate",NA,18454,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Tennessee",NA,NA,NA,NA,NA,NA,0.0833333
"GA004","US",NA,16170,NA,NA,NA,NA,NA,NA,NA,54876.1,3.94571e+08,"Army of the Cumberland",NA,NA,NA,NA,NA,NA,5.58333
"GA005","Confederate",NA,221,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"Cleburne's Division, Hardee's Corps, Army of Tennessee",NA,NA,NA,NA,NA,NA,0.0833333
"GA005","US",NA,507,NA,NA,NA,NA,NA,NA,NA,18461.6,4.11136e+07,"XX Army Corps, Army of the Cumberland",NA,NA,NA,NA,NA,NA,0.0833333
"GA006","Confederate",NA,140,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Tennessee",NA,NA,NA,NA,NA,NA,5.58333
"GA006","US",NA,289,NA,NA,NA,NA,NA,NA,NA,54876.1,3.94571e+08,"Army of the Cumberland",NA,NA,NA,NA,NA,NA,0.0833333
"GA007","Confederate",NA,600,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Tennessee",NA,NA,NA,NA,NA,NA,419.458
"GA007","US",NA,837,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Military Division of the Mississippi",NA,NA,NA,NA,NA,NA,0.0833333
"GA008","Confederate",NA,2800,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Tennessee",NA,NA,NA,NA,NA,NA,419.458
"GA008","US",NA,2747,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Military Division of the Mississippi",NA,NA,NA,NA,NA,NA,0.0833333
"GA009","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"Cheatham’s Division, Hardee’s Corps, Army of Tennessee",NA,NA,NA,NA,NA,NA,NA
"GA009","US",NA,200,NA,NA,NA,NA,NA,NA,NA,12621,8.76375e+06,"2nd and 3rd Divisions, IV Corps, Army of the Cumberland",NA,NA,NA,NA,NA,NA,419.458
"GA010","Confederate",NA,350,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Tennessee",NA,NA,NA,NA,NA,NA,5.58333
"GA010","US",NA,665,NA,NA,NA,NA,NA,NA,NA,18461.6,4.11136e+07,"XX Corps, Army of the Cumberland",NA,NA,NA,NA,NA,NA,0.0833333
"GA011","Confederate",NA,1500,NA,NA,NA,NA,NA,NA,NA,25289,8.07878e+07,"Hardee's Corps, Army of Tennessee",NA,NA,NA,NA,NA,NA,419.458
"GA011","US",NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,5.58333
"GA012","Confederate",NA,450,NA,NA,NA,NA,NA,NA,NA,13773.7,1.15278e+07,"Cleburne's Division and Kelly's Cavalry Division, Army of Tennessee",NA,NA,NA,NA,NA,NA,5.58333
"GA012","US",NA,1600,NA,NA,NA,NA,NA,NA,NA,18461.6,4.11136e+07,"IV Corps, Military Division of the Mississippi",NA,NA,NA,NA,NA,NA,419.458
"GA013","Confederate",NA,0,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Tennessee",NA,NA,NA,NA,NA,NA,0.0833333
"GA013","US",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Military Division of the Mississippi",NA,NA,NA,NA,NA,NA,0.0833333
"GA014","Confederate",NA,1000,NA,NA,NA,NA,NA,NA,NA,25289,8.07878e+07,"Hood's Corps, Army of Tennessee",NA,NA,NA,NA,NA,NA,33585
"GA014","US",NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,"XX and XXIII Army Corps, Military Division of the Mississippi",NA,NA,NA,NA,NA,NA,5.58333
"GA015","Confederate",NA,1000,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Tennessee",NA,NA,NA,NA,NA,NA,33585
"GA015","US",NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Military Division of the Mississippi",NA,NA,NA,NA,NA,NA,33585
"GA016","Confederate",NA,4796,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Tennessee",NA,NA,NA,NA,NA,NA,0.0833333
"GA016","US",NA,1710,NA,NA,NA,NA,NA,NA,NA,36923.2,8.22271e+07,"IV and XIV Corps, Army of the Cumberland",NA,NA,NA,NA,NA,NA,5.58333
"GA017","Confederate",NA,8499,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Tennessee",NA,NA,NA,NA,NA,NA,0.0833333
"GA017","US",NA,3641,NA,NA,NA,NA,NA,NA,NA,54876.1,3.94571e+08,"Army of the Tennessee, Military Division of the Mississippi",NA,NA,NA,NA,NA,NA,0.0833333
"GA018","Confederate",NA,4642,NA,NA,NA,NA,NA,NA,NA,50578.1,1.61576e+08,"Lee and Stewart's Corps, Army of Tennessee",NA,NA,NA,NA,NA,NA,0.0833333
"GA018","US",NA,700,NA,NA,NA,NA,NA,NA,NA,109752,7.89142e+08,"Army of the Tennessee",NA,NA,NA,NA,NA,NA,419.458
"GA019","Confederate",NA,225,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"Bate's Division, Lee's Corps, Army of Tennessee",NA,NA,NA,NA,NA,NA,0.0833333
"GA019","US",NA,400,NA,NA,NA,NA,NA,NA,NA,36923.2,8.22271e+07,"XXIII and XIV Corps, Military Division of the Mississippi",NA,NA,NA,NA,NA,NA,419.458
"GA020","Confederate",NA,0,NA,NA,NA,NA,NA,NA,NA,25289,8.07878e+07,"Wheeler's Cavalry Corps",NA,NA,NA,NA,NA,NA,0.0833333
"GA020","US",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"District of Etowah",NA,NA,NA,NA,NA,NA,0.0833333
"GA021","Confederate",NA,240,NA,NA,NA,NA,NA,NA,NA,7859.89,4.3751e+06,"Jackson's Cavalry Division and Reynold’s Arkansas Brigade, Army of Tennessee",NA,NA,NA,NA,NA,NA,5.58333
"GA021","US",NA,237,NA,NA,NA,NA,NA,NA,NA,9317.15,4.3156e+06,"2nd and 3rd Cavalry Divisions, Army of the Cumberland",NA,NA,NA,NA,NA,NA,0.0833333
"GA022","Confederate",NA,2000,NA,NA,NA,NA,NA,NA,NA,50578.1,1.61576e+08,"Hardee and Lee's Corps, Army of Tennessee",NA,NA,NA,NA,NA,NA,33585
"GA022","US",NA,1149,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Military Division of the Mississippi",NA,NA,NA,NA,NA,NA,0.0833333
"GA023","Confederate",2000,897,33585,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"French's Division, Stewart's Corps, Army of Tennessee",NA,NA,NA,NA,NA,NA,0.0833333
"GA023","US",1944,706,0.0833333,NA,NA,NA,NA,NA,NA,12621,8.76375e+06,"Detachments of the 3rd and 4th Divisions, XV Corps, Army of the Tennessee",NA,NA,NA,NA,NA,NA,0.0833333
"GA024","Confederate",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333
"GA024","US",NA,751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333
"GA025","Confederate",NA,650,NA,NA,NA,NA,NA,NA,NA,14292.3,1.78591e+07,"Wheeler's Cavalry Corps, Department of South Carolina Georgia and Florida; and the 1st Division Georgia Militia",NA,NA,NA,NA,NA,NA,5.58333
"GA025","US",NA,62,NA,NA,NA,NA,NA,NA,NA,2310.07,502436,"2nd Brigade, 1st Division, XV Army Corps",NA,NA,NA,NA,NA,NA,0.0833333
"GA026","Confederate",NA,600,NA,NA,NA,NA,NA,NA,NA,13814.8,1.78492e+07,"Wheeler's Cavalry Corps, Department of South Carolina, Georgia and Florida",NA,NA,NA,NA,NA,NA,419.458
"GA026","US",NA,46,NA,NA,NA,NA,NA,NA,NA,6310.49,4.38188e+06,"3rd Cavalry Division, Military Division of Mississippi",NA,NA,NA,NA,NA,NA,0.0833333
"GA027","Confederate",NA,250,NA,NA,NA,NA,NA,NA,NA,13814.8,1.78492e+07,"Wheeler's Cavalry Corps, Army of Tennessee",NA,NA,NA,NA,NA,NA,5.58333
"GA027","US",NA,190,NA,NA,NA,NA,NA,NA,NA,6310.49,4.38188e+06,"3rd Cavalry Division, Military Division of Mississippi",NA,NA,NA,NA,NA,NA,5.58333
"GA028","Confederate",NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fort McAllister garrison",NA,NA,NA,NA,NA,NA,5.58333
"GA028","US",NA,134,NA,NA,NA,NA,NA,NA,NA,6310.49,4.38188e+06,"2nd Division, XV Army Corps",NA,NA,NA,NA,NA,NA,0.0833333
"ID001","Native American",NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shoshone Indians",NA,NA,NA,NA,NA,NA,5.58333
"ID001","US",NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,"District of Utah",NA,NA,NA,NA,NA,NA,0.0833333
"IN001","Confederate",1800,51,419.458,NA,NA,NA,NA,NA,NA,1800,419.458,"Morgan’s Cavalry Division, 1,800",NA,NA,NA,NA,NA,NA,0.0833333
"IN001","US",400,360,419.458,NA,NA,NA,NA,NA,NA,400,419.458,"Indiana Legion, 400",NA,NA,NA,NA,NA,NA,5.58333
"KS001","Confederate",350,NA,5.58333,NA,NA,NA,NA,NA,NA,NA,NA,"Quantrill’s Raiders",NA,NA,NA,NA,NA,NA,NA
"KS001","US",NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None, civilian forces only",NA,NA,NA,NA,NA,NA,5.58333
"KS002","Confederate",400,3,419.458,NA,NA,NA,NA,NA,NA,NA,NA,"Quantrill’s Raiders",NA,NA,NA,NA,NA,NA,0.0833333
"KS002","US",NA,103,NA,NA,NA,NA,NA,NA,NA,92261.7,274846,"Fort Baxter garrision: one company of the 2nd Kansas United States Colored Troops, portions of C Company and D Company,3rd Wisconsin Cavalry; Blunt's Escort: Company I, 3rd Wisconsin Cavalry, Company A, 14th Kansas Cavalry",NA,NA,NA,NA,NA,NA,0.0833333
"KS003","Confederate",NA,800,NA,NA,NA,NA,NA,NA,NA,24435.6,2.30598e+07,"Fagan and Marmaduke's Divisions, Army of Missouri, Shelby's Division, Army of Missouri (Little Osage River)",NA,NA,NA,NA,NA,NA,419.458
"KS003","US",NA,150,NA,NA,NA,NA,NA,NA,NA,5455.27,998530,"The 1st and 4th Brigades, 2nd Provisional Cavalry Division, Army of the Border, 2nd Brigade, 1st Provisional Cavalry Division, Army of the Border (Mound City and Fort Lincoln)",NA,NA,NA,NA,NA,NA,5.58333
"KS004","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,16290.4,1.53732e+07,"Fagan’s and Marmaduke’s Divisions, Army of Missouri",NA,NA,NA,NA,NA,NA,NA
"KS004","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,4658.57,2.1578e+06,"2nd Provisional Cavalry Division, Army of the Border",NA,NA,NA,NA,NA,NA,NA
"KY001","Confederate",800,5,419.458,NA,NA,NA,NA,NA,NA,800,419.458,"approximately 800 men commanded by Col. Joel A. Battle",NA,NA,NA,NA,NA,NA,0.0833333
"KY001","US",300,15,419.458,NA,NA,NA,NA,NA,NA,300,419.458,"Home Guard (approximately 300 men)",NA,NA,NA,NA,NA,NA,0.0833333
"KY002","Confederate",NA,53,NA,NA,NA,NA,NA,NA,NA,2231.39,533930,"Zollicoffer’s Brigade",NA,NA,NA,NA,NA,NA,0.0833333
"KY002","US",7000,43,33585,NA,NA,NA,NA,NA,NA,4620.14,1.00487e+06,"Camp Wildcat Garrison and Schoepf’s Brigade",NA,NA,NA,NA,NA,NA,0.0833333
"KY003","Confederate",NA,263,NA,NA,NA,NA,NA,NA,NA,92137.5,266035,"9 infantry companies, 2 cavalry companies",NA,NA,NA,NA,NA,NA,0.0833333
"KY003","US",NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Detachments from 12 Ohio and Kentucky units",NA,NA,NA,NA,NA,NA,5.58333
"KY004","Confederate",1350,91,5.58333,NA,NA,NA,NA,NA,NA,477.5,9918.75,"Terry’s Texas Rangers, 7th Texas Cavalry, 1st Arkansas Battalion",NA,NA,NA,NA,NA,NA,0.0833333
"KY004","US",NA,40,NA,NA,NA,NA,NA,NA,NA,477.5,9918.75,"32nd Indiana Volunteer Infantry Regiment",NA,NA,NA,NA,NA,NA,5.58333
"KY005","Confederate",NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Army of Southwestern Virginia",NA,NA,NA,NA,NA,NA,0.0833333
"KY005","US",NA,27,NA,NA,NA,NA,NA,NA,NA,2310.07,502436,"18th Brigade, Army of the Ohio",NA,NA,NA,NA,NA,NA,0.0833333
"KY006","Confederate",5000,529,33585,NA,NA,NA,NA,NA,NA,4462.77,1.06786e+06,"1st and 2nd Brigades, Crittenden’s Division",NA,NA,NA,NA,NA,NA,0.0833333
"KY006","US",NA,262,NA,NA,NA,NA,NA,NA,NA,2310.07,502436,"Brig. Gen. Albin Schoepf’s Brigade, 1st Division, Army of the Ohio",NA,NA,NA,NA,NA,NA,0.0833333
"KY007","Confederate",NA,600,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Kentucky",NA,NA,NA,NA,NA,NA,419.458
"KY007","US",NA,5623,NA,NA,NA,NA,NA,NA,NA,4620.14,1.00487e+06,"1st and 2nd Brigades, Army of Kentucky",NA,NA,NA,NA,NA,NA,0.0833333
"KY008","Confederate",NA,285,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of the Mississippi",NA,NA,NA,NA,NA,NA,0.0833333
