CampaignCode,CampaignName,CampaignDates,TheaterCode,WikipediaPage,WikipediaCategory,comments
MW62-06,Stones River Campaign,December 1862-January 1863,MW,Stones_River_Campaign,Category:Stones_River_Campaign,
MW62-07,Forrest's Expedition Into West Tennessee,December 1862-January 1863,MW,,Category:Forrest's_Expedition_into_West_Tennessee,
MW62-08,Operations Against Vicksburg,December 1862-January 1863,MW,,,
MW63-01,Grant's Operations Against Vicksburg,March-July 1863,MW,Vicksburg_Campaign,Category:Vicksburg_Campaign,
MW63-02,Middle Tennessee Operations,February-April 1863,MW,,Category:Battles_of_the_Middle_Tennessee_Operations_of_the_American_Civil_War,
MW63-03,Streight's Raid: Tuscumbia Alabama Toward Rome Geo,April 1863,MW,,,
MW63-04,Tullahoma (of Middle Tennessee) Campaign,June 1863,MW,Tullahoma_Campaign,Category:Tullahoma_Campaign,
MW63-05,Morgan's Raid in Kentucky Indiana and Ohio,July 1863,MW,,,
MW63-06,Chickamauga Campaign,August-September 1863,MW,Chickamauga_Campaign,Category:Chickamauga_Campaign,
MW63-07,East Tennessee Campaign,September-October 1863,MW,,Category:East_Tennessee_Campaign,
MW63-08,Reopening the Tennessee River,October 1863,MW,,,
MW63-09,Operations on the Memphis and Charleston RR,November 1863,MW,,Category:Battles_of_the_Operations_on_the_Memphis_%26_Charleston_Railroad_of_the_American_Civil_War,
MW63-10,Chattanooga-Ringgold Campaign,November 1863,MW,Chattanooga_Campaign,Category:Chattanooga_Campaign,
MW63-11,Longstreet's Knoxville Campaign,November-December 1863,MW,Knoxville_Campaign,Category:Knoxville_Campaign,
MW64-01,Operations About Dandridge Tennessee,December 1863-January 1864,MW,,Category:Battles_of_the_Operations_about_Dandridge_of_the_American_Civil_War,
MW64-02,Operations in North Alabama,January 1864,MW,,,
MW64-03,Meridian and Yazoo River Expeditions,February 1864,MW,Meridian_Expedition; Yazoo_City_Expedition,Category:Meridian_and_Yazoo_River_Expeditions,
MW64-04,Forrest's Expedition Into West Tennessee and Kentu,February 1864,MW,,Category:Forrest's_Expedition_into_West_Tennessee_and_Kentucky,
MW64-05,Atlanta Campaign,March-April 1864,MW,Atlanta_Campaign,Category:Atlanta_Campaign,
MW64-06,Morgan's Raid Into Kentucky,May-September 1864,MW,,,
MW64-07,Forrest's Defense Of Mississippi,June 1864,MW,,Category:Battles_of_Forrest's_Defense_of_Mississippi_of_the_American_Civil_War,
MW64-08,Operations in Mobile Bay,June-August 1864,MW,,Category:Battles_of_the_Operations_in_Mobile_Bay_of_the_American_Civil_War,
MW64-09,Burbridge's Raid into Southwest Virginia,August 1864,MW,,Category:Burbridge's_Raid,
MW64-10,Hood's Operations Against Sherman's Communications,October 1864,MW,,,
MW64-11,Forrest's Raid Into West Tennessee,November 1864,MW,,,
MW64-12,Breckenridge's Advance into East Tennessee,November-December 1864,MW,,Category:Battles_of_the_Advance_into_East_Tennessee_of_the_American_Civil_War,
MW64-13,Savannah Campaign,September-December 1864,MW,Sherman's_March_to_the_Sea,Category:Savannah_Campaign,
MW64-14,Franklin-Nashville Campaign,December 1864,MW,Franklin�Nashville_Campaign,Category:Franklin�Nashville_Campaign,
MW65-01,Campaign of the Carolina's,February-March 1865,MW,Carolinas_Campaign,Category:Carolinas_Campaign,
MW65-02,Mobile Campaign,March-April 1865,MW,,Category:Mobile_Campaign_(American_Civil_War),
MW65-03,Wilson's Raid: Chickasaw Alabama and Macon Georgia,April 1865,MW,,,
PC63-01,Expedition From Camp Douglas Utah to Cache Valley,"January 29, 1863",PC,,,
TM61-01,Operations to Control Missouri,June-October 1861,TM,,Category:Operations_to_Control_Missouri,
TM61-02,Operations in the Indian Territory,November-December 1861,TM,Trail_of_Blood_on_Ice,Category:Trail_of_Blood_on_Ice,
TM61-03,Operations in Northeast Missouri,December 1861,TM,,Category:Operations_in_Northeast_Missouri,
TM62-01,Sibley's New Mexico Operations,February-March 1862,TM,New_Mexico_Campaign,Category:New_Mexico_Campaign,
TM62-02,Pea Ridge Campaign,March 1862,TM,,,
TM62-03,Operations on White River,June 1862,TM,,Category:Operations_on_the_White_River_(American_Civil_War),
TM62-04,Operations Near Cache River Arkansas,July 1862,TM,,"Category:Operations_Near_Cache_River,_Arkansas",
TM62-05,Confederate Offensive North of Boston Mountains,August-November 1862,TM,,Category:Operations_North_of_Boston_Mountains,
TM62-06,Operations to Suppress the Sioux Uprising,August-September 1862,TM,,Category:Battles_of_the_Dakota_War_of_1862,
TM62-07,Operations to Blockade the Texas Coast,September 1862-January 1863,TM,,Category:Operations_to_Blockade_the_Texas_Coast_(American_Civil_War),
TM62-08,Prairie Grove Campaign,November 1862,TM,,Category:Prairie_Grove_Campaign,
TM63-01,Confederate Offensive Against Galveston,December 1862-January 1863,TM,,Category:Operations_Against_Galveston_(American_Civil_War),
TM63-02,Marmaduke's Expedition Into Missouri,January 1863,TM,,Category:Marmaduke's_First_Expedition_into_Missouri,
TM63-03,Marmaduke's Second Expedition Into Missouri,April-May 1863,TM,,Category:Marmaduke's_Second_Expedition_into_Missouri,
TM63-04,Operations to Control Indian Territory,June-September 1863,TM,,Category:Operations_to_Control_Indian_Territory_(American_Civil_War),
TM63-05,Operations Against the Sioux In North Dakota,July 1863,TM,,Category:Operations_Against_the_Sioux_in_Dakota_Territory_(American_Civil_War),
TM63-06,Quantrill's Raid Into Kansas,August 1863,TM,,,
TM63-07,Operations to Blockade the Texas Coast,September 1863,TM,,,
TM63-08,Union Advance on Little Rock,September-October 1863,TM,,Category:Advance_on_Little_Rock_(American_Civil_War),
TM63-09,Union Occupation of Indian Territory North OF Arka,October 1863,TM,,,
TM64-01,Red River Campaign,March-April 1864,TM,Red_River_Campaign,Category:Red_River_Campaign,
TM64-02,Camden Expedition,April 1864,TM,Camden_Expedition,Category:Camden_Expedition,
TM64-03,Expedition to Lake Village,June 1864,TM,,,
TM64-04,Sully's Expedition Against Indians in Dakota Terri,July 1864,TM,,,
TM64-05,Price's Missouri Expedition,September-October 1864,TM,Price's_Raid,Category:Price's_Raid,
TM64-06,Sand Creek Campaign,November 1864,TM,,,
TM65-01,Expedition From Brazos Santiago,May 1865,TM,,,
