"battle","belligerent","commander_number","PersonID","last_name","first_name","middle_name","middle_initial","rank","navy"
"GA015","Confederate",1,"b0f7a304-f6c5-4a8d-b816-066426e5dc1c","Johnston","Joseph","","E.","General",0
"GA016","Confederate",1,"84b6d739-3384-4291-86ba-f75ae6637069","Hood","John","Bell","B.","General",0
"GA017","Confederate",1,"84b6d739-3384-4291-86ba-f75ae6637069","Hood","John","Bell","B.","General",0
"GA018","Confederate",1,"84b6d739-3384-4291-86ba-f75ae6637069","Hood","John","Bell","B.","General",0
"GA019","Confederate",1,"84b6d739-3384-4291-86ba-f75ae6637069","Hood","John","Bell","B.","General",0
"GA020","Confederate",1,"22dc9bfe-6bfa-4f8a-a48f-694e947cc8d7","Wheeler","Joseph","","","Major General",0
"GA021","Confederate",1,"7c8a3879-d97a-43e5-91db-8a9ac6338f68","Jackson","William","Hicks","H.","Brigadier General",0
"GA022","Confederate",1,"b01714aa-b252-4944-816d-be76a9070175","Hardee","William","Joseph","J.","Lieutenant General",0
"GA023","Confederate",1,"2306a312-6705-4e62-893d-8789639a1555","French","Samuel","Gibbs","G.","Major General",0
"GA025","Confederate",1,"febc5475-788a-489f-a2df-ab0aa9ab65ee","Philips","Pleasant","","J.","Brigadier General",0
"GA025","Confederate",2,"22dc9bfe-6bfa-4f8a-a48f-694e947cc8d7","Wheeler","Joseph","","","Major General",0
"GA026","Confederate",1,"22dc9bfe-6bfa-4f8a-a48f-694e947cc8d7","Wheeler","Joseph","","","Major General",0
"GA027","Confederate",1,"22dc9bfe-6bfa-4f8a-a48f-694e947cc8d7","Wheeler","Joseph","","","Major General",0
"GA028","Confederate",1,"0b058f90-1a89-4107-b4dc-1c950545a90c","Anderson","George","","A.","Major",0
"IN001","Confederate",1,"813a4704-9ba5-4fda-b14d-f0c9136f575a","Morgan","John","Hunt","H.","Brigadier General",0
"KS001","Confederate",1,"d37278a3-c536-4416-bc59-bebe838224ee","Quantrill","William","","C.","Lieutenant Colonel",0
"KS002","Confederate",1,"d37278a3-c536-4416-bc59-bebe838224ee","Quantrill","William","","C.","Lieutenant Colonel",0
"KS003","Confederate",1,"7b7bfdd4-920e-4d28-a2eb-44e33941d4b0","Marmaduke","John","","S.","Brigadier General",0
"KS003","Confederate",2,"66599684-582c-4caa-aff0-7220f9c67c1f","Fagan","James","Fleming","F.","Major General",0
"KS004","Confederate",1,"7b7bfdd4-920e-4d28-a2eb-44e33941d4b0","Marmaduke","John","","S.","Major General",0
"KS004","Confederate",2,"66599684-582c-4caa-aff0-7220f9c67c1f","Fagan","James","Fleming","F.","Major General",0
"KY001","Confederate",1,"bea19d58-760b-49bb-80d6-1f3db517f22f","Battle","Joel","","A.","Colonel",0
"KY002","Confederate",1,"26d68e2e-6774-4ab9-87c2-0eef76fa44e4","Zollicoffer","Felix","Kirk","K.","Brigadier General",0
"KY003","Confederate",1,"90c5f347-8e4a-4244-8b76-978cfb6fb65d","Williams","John","","S.","Colonel",0
"KY004","Confederate",1,"839a5a85-49a8-41a6-b4a9-f76657c5d4fc","Hindman","Thomas","Carmichael","C.","Brigadier General",0
"KY005","Confederate",1,"177215cb-88d2-431e-8beb-c53e83c3b83c","Marshall","Humphrey","","","Brigadier General",0
"KY006","Confederate",1,"adcab55a-f4fc-44be-a271-cf0364c28a3b","Crittenden","George","Bibb","B.","Major General",0
"KY007","Confederate",1,"39787b04-6723-4729-957c-bddcae228832","Smith","Edmund","Kirby","K.","Major General",0
"KY008","Confederate",1,"fd7cdb21-03cc-4b81-b697-86043f0b00da","Chalmers","James","Ronald","R.","Brigadier General",0
"KY008","Confederate",2,"4b5a15e5-6c5d-492c-9ab7-32d50419cf80","Bragg","Braxton","","","General",0
"KY009","Confederate",1,"4b5a15e5-6c5d-492c-9ab7-32d50419cf80","Bragg","Braxton","","","General",0
"KY010","Confederate",1,"02b4fa9a-541a-45c7-9097-ab1aee538c6c","Forrest","Nathan","Bedford","B.","Major General",0
"KY011","Confederate",1,"813a4704-9ba5-4fda-b14d-f0c9136f575a","Morgan","John","Hunt","H.","Brigadier General",0
"LA001","Confederate",1,"76873401-00d0-4430-a320-c35d2a6828be","Duncan","Johnson","Kelly","K.","Brigadier General",0
"LA001","Confederate",2,"117bf5ff-1db0-4b84-9a31-7f77ad69e8be","Mitchell","John","","K.","Commander",1
"LA002","Confederate",1,"eeb3963c-733a-4aa1-827f-7647dfc89ef1","Lovell","Mansfield","","","Major General",0
"LA003","Confederate",1,"f6caa729-7cfc-4aec-a064-e40c1cfdf01b","Breckinridge","John","Cabell","C.","Major General",0
"LA004","Confederate",1,"93806e7c-18a3-466d-a0fa-751c6af4d076","Landry","Phillippe","","","Captain",0
"LA005","Confederate",1,"78a5beff-63c4-42ef-a506-0eef45bcc8ad","Mouton","Alfred","Alexander","A.","Brigadier General",0
"LA006","Confederate",1,"dd70b0b4-401c-47ce-b3fb-a2b68da3194c","Taylor","Richard","","","Major General",0
"LA007","Confederate",1,"dd70b0b4-401c-47ce-b3fb-a2b68da3194c","Taylor","Richard","","","Major General",0
"LA008","Confederate",1,"dd70b0b4-401c-47ce-b3fb-a2b68da3194c","Taylor","Richard","","","Major General",0
"LA009","Confederate",1,"add4cd41-6acd-4edd-be40-0a794fd84493","Powers","Frank","","P.","Colonel",0
"LA009","Confederate",2,"582df6ed-29ed-42d6-8cb8-42a17fb0da93","Miles","William","","R.","Colonel",0
"LA010","Confederate",1,"6420b474-c728-4537-84ce-09ae419a5398","Gardner","Franklin","","","Major General",0
"LA011","Confederate",1,"45d45288-c904-4b79-b112-92223329d44b","McCulloch","Henry","Eustace","E.","Brigadier General",0
"LA012","Confederate",1,"3c363735-fef1-4278-bba5-c8cc4ffcacec","Major","James","","P.","Colonel",0
"LA013","Confederate",1,"1f2d408e-a3d6-431d-aefe-9d6df9e7902b","Green","Thomas","","","Brigadier General",0
"LA014","Confederate",1,"6370ad3b-9871-43c7-beb5-6db2824b3db7","Parsons","William","","H.","Colonel",0
"LA015","Confederate",1,"1f2d408e-a3d6-431d-aefe-9d6df9e7902b","Green","Thomas","","","Brigadier General",0
"LA016","Confederate",1,"1f2d408e-a3d6-431d-aefe-9d6df9e7902b","Green","Thomas","","","Brigadier General",0
"LA017","Confederate",1,"a1119257-117f-4c06-adbd-07895c4ff3da","Byrd","William","","","Lieutenant Colonel",0
"LA018","Confederate",1,"dd70b0b4-401c-47ce-b3fb-a2b68da3194c","Taylor","Richard","","","Major General",0
"LA019","Confederate",1,"dd70b0b4-401c-47ce-b3fb-a2b68da3194c","Taylor","Richard","","","Major General",0
"LA020","Confederate",1,"1f2d408e-a3d6-431d-aefe-9d6df9e7902b","Green","Thomas","","","Brigadier General",0
