"side","type","func","special","ethnic","n"
"U",,,"G",,16
"U",,,"N",,1
"U",,,"P",,1
"U",,,"R",,2
"U",,,"T",,2
"U",,,"V",,26
"U",,,"W",,1
"U",,,,"C",7
"U",,,,,85
,,,,,14
