,X,uri,fuzzy_name
274,1016,http://dbpedia.org/resource/William_d'Alton_Mann,William d'Alton Mann
283,1052,http://dbpedia.org/resource/William_F._Browne,William F. Browne
399,1558,http://dbpedia.org/resource/William_Farrar_Smith,William Farrar Smith
186,691,http://dbpedia.org/resource/William_H._DeBevoise,William H. DeBevoise
433,1720,http://dbpedia.org/resource/William_H._Tebbs,William H. Tebbs
240,887,http://dbpedia.org/resource/William_McCandless,William McCandless
371,1426,http://dbpedia.org/resource/William_R._Brewster,William R. Brewster
577,2317,http://dbpedia.org/resource/William_R._Peck,William R. Peck
414,1610,http://dbpedia.org/resource/William_Scott_(The_Sleeping_Sentinel),William Scott (The Sleeping Sentinel)
516,2057,http://dbpedia.org/resource/William_T._H._Brooks,William T. H. Brooks
323,1233,http://dbpedia.org/resource/William_T._Wofford,William T. Wofford
498,1985,http://dbpedia.org/resource/William_Terry_(congressman),William Terry (congressman)
79,320,http://dbpedia.org/resource/William_Thomas_Ellis,William Thomas Ellis
373,1434,http://dbpedia.org/resource/William_W._Grout,William W. Grout
233,864,http://dbpedia.org/resource/William_Wade_Dudley,William Wade Dudley
153,595,http://dbpedia.org/resource/X_Corps_(Union_Army),X Corps (Union Army)
297,1124,http://dbpedia.org/resource/XI_Corps_(Union_Army),XI Corps (Union Army)
333,1272,http://dbpedia.org/resource/XII_Corps_(Union_Army),XII Corps (Union Army)
111,433,http://dbpedia.org/resource/XIII_Corps_(Union_Army),XIII Corps (Union Army)
76,312,http://dbpedia.org/resource/XIV_Corps_(Union_Army),XIV Corps (Union Army)
330,1263,http://dbpedia.org/resource/XIX_Corps_(Union_Army),XIX Corps (Union Army)
550,2224,http://dbpedia.org/resource/XV_Corps_(Union_Army),XV Corps (Union Army)
487,1937,http://dbpedia.org/resource/XVI_Corps_(Union_Army),XVI Corps (Union Army)
26,111,http://dbpedia.org/resource/XVII_Corps_(Union_Army),XVII Corps (Union Army)
115,445,http://dbpedia.org/resource/XVIII_Corps_(Union_Army),XVIII Corps (Union Army)
213,794,http://dbpedia.org/resource/XX_Corps_(Union_Army),XX Corps (Union Army)
221,812,http://dbpedia.org/resource/XXI_Corps_(Union_Army),XXI Corps (Union Army)
434,1722,http://dbpedia.org/resource/XXII_Corps_(Union_Army),XXII Corps (Union Army)
51,196,http://dbpedia.org/resource/XXIII_Corps_(Union_Army),XXIII Corps (Union Army)
110,431,http://dbpedia.org/resource/XXIV_Corps_(Union_Army),XXIV Corps (Union Army)
403,1571,http://dbpedia.org/resource/XXV_Corps_(Union_Army),XXV Corps (Union Army)
458,1787,http://dbpedia.org/resource/Zebulon_York,Zebulon York
417,1616,http://dbpedia.org/resource/Zesch's_Militia_Battery_Kansas_Light_Artillery,Zesch's Militia Battery Kansas Light Artillery
