,X,uri,fuzzy_name
518,2080,http://dbpedia.org/resource/Charles_John_Biddle,Charles John Biddle
529,2132,http://dbpedia.org/resource/Charles_K._Graham,Charles K. Graham
289,1074,http://dbpedia.org/resource/Charles_Memorial_Hamilton,Charles Memorial Hamilton
335,1275,http://dbpedia.org/resource/Charles_Shambaugh,Charles Shambaugh
304,1156,http://dbpedia.org/resource/Charles_Sidney_Winder,Charles Sidney Winder
485,1931,http://dbpedia.org/resource/Chatham_Roberdeau_Wheat,Chatham Roberdeau Wheat
367,1405,http://dbpedia.org/resource/Chew's_Arkansas_Infantry_Battalion,Chew's Arkansas Infantry Battalion
387,1504,http://dbpedia.org/resource/Christopher_C._Augur,Christopher C. Augur
262,978,http://dbpedia.org/resource/Clement_Warner,Clement Warner
40,159,"http://dbpedia.org/resource/Company_A,_Arizona_Rangers","Company A, Arizona Rangers"
317,1197,"http://dbpedia.org/resource/Company_B,_1st_Tennessee_Heavy_Artillery","Company B, 1st Tennessee Heavy Artillery"
569,2301,"http://dbpedia.org/resource/Company_H,_1st_Tennessee_Heavy_Artillery","Company H, 1st Tennessee Heavy Artillery"
222,813,http://dbpedia.org/resource/Confederate_Army_of_Kentucky,Confederate Army of Kentucky
8,18,http://dbpedia.org/resource/Confederate_Army_of_the_Northwest,Confederate Army of the Northwest
218,804,http://dbpedia.org/resource/Confederate_Army_of_the_Potomac,Confederate Army of the Potomac
566,2295,http://dbpedia.org/resource/Confederate_Army_of_the_Shenandoah,Confederate Army of the Shenandoah
94,363,http://dbpedia.org/resource/Confederate_Army_of_West_Tennessee,Confederate Army of West Tennessee
327,1248,http://dbpedia.org/resource/Confederate_Government_Civil_War_units,Confederate Government Civil War units
49,181,http://dbpedia.org/resource/Confederate_Home_Guard,Confederate Home Guard
331,1267,http://dbpedia.org/resource/Confederate_Quartermaster-General's_Department,Confederate Quartermaster-General's Department
96,371,http://dbpedia.org/resource/Confederate_States_Army,Confederate States Army
420,1630,http://dbpedia.org/resource/Confederate_units_of_Indian_Territory,Confederate units of Indian Territory
150,576,http://dbpedia.org/resource/Conrad_Feger_Jackson,Conrad Feger Jackson
537,2166,http://dbpedia.org/resource/Daniel_Devlin,Daniel Devlin
191,715,http://dbpedia.org/resource/Daniel_Sickles,Daniel Sickles
204,768,http://dbpedia.org/resource/Danville_Artillery,Danville Artillery
9,30,http://dbpedia.org/resource/David_French_Boyd,David French Boyd
77,315,http://dbpedia.org/resource/Department_of_Arkansas,Department of Arkansas
377,1470,http://dbpedia.org/resource/Department_of_California,Department of California
108,425,http://dbpedia.org/resource/Department_of_East_Tennessee_and_West_Virginia,Department of East Tennessee and West Virginia
169,639,http://dbpedia.org/resource/Department_of_Florida,Department of Florida
122,464,http://dbpedia.org/resource/Department_of_Kansas,Department of Kansas
497,1984,http://dbpedia.org/resource/Department_of_Key_West,Department of Key West
279,1045,http://dbpedia.org/resource/Department_of_New_England,Department of New England
59,233,http://dbpedia.org/resource/Department_of_New_Mexico,Department of New Mexico
491,1955,http://dbpedia.org/resource/Department_of_Pennsylvania_(American_Civil_War),Department of Pennsylvania (American Civil War)
291,1103,http://dbpedia.org/resource/Department_of_the_East,Department of the East
24,93,http://dbpedia.org/resource/Department_of_the_Missouri,Department of the Missouri
53,209,http://dbpedia.org/resource/Department_of_the_Missouri_(Indian_Wars),Department of the Missouri (Indian Wars)
382,1487,http://dbpedia.org/resource/Department_of_the_Monongahela,Department of the Monongahela
539,2170,http://dbpedia.org/resource/Department_of_the_Northwest,Department of the Northwest
488,1943,http://dbpedia.org/resource/Department_of_the_Ohio,Department of the Ohio
200,747,http://dbpedia.org/resource/Department_of_the_Pacific,Department of the Pacific
171,641,http://dbpedia.org/resource/Department_of_the_Susquehanna,Department of the Susquehanna
219,806,http://dbpedia.org/resource/Department_of_the_West,Department of the West
123,465,http://dbpedia.org/resource/Department_of_Virginia_and_North_Carolina,Department of Virginia and North Carolina
337,1284,http://dbpedia.org/resource/Department_of_Washington,Department of Washington
351,1350,http://dbpedia.org/resource/DeWitt_Clinton_Baxter,DeWitt Clinton Baxter
261,977,http://dbpedia.org/resource/District_of_Arizona,District of Arizona
355,1373,http://dbpedia.org/resource/District_of_California,District of California
344,1326,http://dbpedia.org/resource/District_of_Oregon_(military),District of Oregon (military)
195,726,http://dbpedia.org/resource/District_of_Southern_California,District of Southern California
372,1433,http://dbpedia.org/resource/District_of_the_Kanawha,District of the Kanawha
80,325,http://dbpedia.org/resource/District_of_Utah,District of Utah
166,628,http://dbpedia.org/resource/Eastern_Iron_Brigade,Eastern Iron Brigade
15,67,http://dbpedia.org/resource/Ebenezer_J._Ormsbee,Ebenezer J. Ormsbee
389,1507,http://dbpedia.org/resource/Edenton_Bell_Battery,Edenton Bell Battery
140,511,http://dbpedia.org/resource/Edgefield_Hussars,Edgefield Hussars
380,1481,http://dbpedia.org/resource/Edward_Brush_Fowler,Edward Brush Fowler
573,2305,http://dbpedia.org/resource/Edward_Dickinson_Baker,Edward Dickinson Baker
117,450,http://dbpedia.org/resource/Edward_Ord,Edward Ord
160,607,http://dbpedia.org/resource/Edward_S._Bragg,Edward S. Bragg
103,401,http://dbpedia.org/resource/Edward_Scofield,Edward Scofield
301,1145,http://dbpedia.org/resource/Edwin_H._Stoughton,Edwin H. Stoughton
228,837,http://dbpedia.org/resource/Eli_Metcalfe_Bruce,Eli Metcalfe Bruce
384,1497,http://dbpedia.org/resource/Elisha_F._Paxton,Elisha F. Paxton
178,661,http://dbpedia.org/resource/Emma_Sansom,Emma Sansom
514,2049,http://dbpedia.org/resource/Excelsior_Brigade,Excelsior Brigade
376,1460,"http://dbpedia.org/resource/First_Corps,_Army_of_Northern_Virginia","First Corps, Army of Northern Virginia"
481,1905,"http://dbpedia.org/resource/First_Corps,_Army_of_Tennessee","First Corps, Army of Tennessee"
551,2225,http://dbpedia.org/resource/First_Nebraska_Militia,First Nebraska Militia
320,1219,http://dbpedia.org/resource/First_New_Jersey_Brigade,First New Jersey Brigade
345,1331,,First Regiment Massachusetts Volunteer Infantry
22,91,,Fluvanna Artillery
381,1483,http://dbpedia.org/resource/Fort_Edward_Johnson,Fort Edward Johnson
354,1371,http://dbpedia.org/resource/Fort_Marcy_Park,Fort Marcy Park
214,796,"http://dbpedia.org/resource/Fourth_Corps,_Army_of_Northern_Virginia","Fourth Corps, Army of Northern Virginia"
170,640,http://dbpedia.org/resource/Francis_B._Spinola,Francis B. Spinola
363,1398,http://dbpedia.org/resource/Frank_A._Haskell,Frank A. Haskell
474,1878,http://dbpedia.org/resource/Frederick_W._M._Holliday,Frederick W. M. Holliday
504,2019,http://dbpedia.org/resource/Frontier_Cavalry,Frontier Cavalry
2,8,http://dbpedia.org/resource/Gabriel_Bouck,Gabriel Bouck
197,737,http://dbpedia.org/resource/Galvanized_Yankees,Galvanized Yankees
266,989,http://dbpedia.org/resource/George_A._McCall,George A. McCall
272,1014,http://dbpedia.org/resource/George_Armstrong_Custer,George Armstrong Custer
552,2226,http://dbpedia.org/resource/George_Baird_Hodge,George Baird Hodge
462,1827,http://dbpedia.org/resource/George_J._Stannard,George J. Stannard
37,151,http://dbpedia.org/resource/George_Meade,George Meade
90,345,http://dbpedia.org/resource/George_P._Foster,George P. Foster
119,460,http://dbpedia.org/resource/George_Right_Smith,George Right Smith
83,333,http://dbpedia.org/resource/George_Washington_Fleeger,George Washington Fleeger
232,856,http://dbpedia.org/resource/Gerster's_Independent_Company_of_Pioneers,Gerster's Independent Company of Pioneers
507,2025,http://dbpedia.org/resource/Gibraltar_Brigade,Gibraltar Brigade
451,1775,http://dbpedia.org/resource/Gilbert_M._Woodward,Gilbert M. Woodward
287,1072,http://dbpedia.org/resource/Graves'_Battery,Graves' Battery
326,1247,http://dbpedia.org/resource/Hardee_hat,Hardee hat
534,2157,http://dbpedia.org/resource/Harry_T._Hays,Harry T. Hays
526,2113,http://dbpedia.org/resource/Helena_Artillery,Helena Artillery
36,147,http://dbpedia.org/resource/Henry_A._Fletcher,Henry A. Fletcher
184,676,http://dbpedia.org/resource/Horace_Chapin_Henry,Horace Chapin Henry
198,740,http://dbpedia.org/resource/Horatio_G._Sickel,Horatio G. Sickel
574,2306,http://dbpedia.org/resource/Humboldt_Military_District,Humboldt Military District
159,606,http://dbpedia.org/resource/I_Corps_(Union_Army),I Corps (Union Army)
392,1524,http://dbpedia.org/resource/II_Corps_(Union_Army),II Corps (Union Army)
193,723,http://dbpedia.org/resource/III_Corps_(Union_Army),III Corps (Union Army)
194,725,http://dbpedia.org/resource/Independent_Battalion_West_Virginia_Infantry,Independent Battalion West Virginia Infantry
374,1449,"http://dbpedia.org/resource/Independent_Companies,_New_Mexico_Volunteer_Militia_Infantry","Independent Companies, New Mexico Volunteer Militia Infantry"
135,491,http://dbpedia.org/resource/Independent_Company_Mounted_Scouts,Independent Company Mounted Scouts
314,1178,http://dbpedia.org/resource/Independent_Illinois_Volunteer_Cavalry_Companies,Independent Illinois Volunteer Cavalry Companies
278,1040,http://dbpedia.org/resource/Indian_Home_Guard_(American_Civil_War),Indian Home Guard (American Civil War)
156,601,http://dbpedia.org/resource/Irish_Brigade_(U.S.),Irish Brigade (U.S.)
271,1012,http://dbpedia.org/resource/Iron_Brigade,Iron Brigade
540,2176,http://dbpedia.org/resource/IV_Corps_(Union_Army),IV Corps (Union Army)
127,475,http://dbpedia.org/resource/IX_Corps_(Union_Army),IX Corps (Union Army)
506,2024,http://dbpedia.org/resource/James_A._Walker,James A. Walker
100,389,"http://dbpedia.org/resource/James_I._Robertson,_Jr.","James I. Robertson, Jr."
72,298,http://dbpedia.org/resource/James_J._Archer,James J. Archer
557,2262,http://dbpedia.org/resource/James_M._Warner,James M. Warner
85,339,http://dbpedia.org/resource/James_T._Kirk_(Union_officer),James T. Kirk (Union officer)
216,800,http://dbpedia.org/resource/Jeff_Davis_Cavalry_Legion,Jeff Davis Cavalry Legion
41,162,http://dbpedia.org/resource/Jerome_B._Robertson,Jerome B. Robertson
154,596,http://dbpedia.org/resource/Jessie_Scouts,Jessie Scouts
175,653,http://dbpedia.org/resource/John_A._Buchanan,John A. Buchanan
7,17,http://dbpedia.org/resource/John_Allen_Wilcox,John Allen Wilcox
273,1015,http://dbpedia.org/resource/John_Bell_Hood,John Bell Hood
256,963,http://dbpedia.org/resource/John_Benton_Callis,John Benton Callis
231,855,http://dbpedia.org/resource/John_Burke_(colonel),John Burke (colonel)
185,690,http://dbpedia.org/resource/John_Burke_(spy),John Burke (spy)
366,1404,http://dbpedia.org/resource/John_C._Breckinridge,John C. Breckinridge
74,301,http://dbpedia.org/resource/John_F._Reynolds,John F. Reynolds
55,212,http://dbpedia.org/resource/John_Gibbon,John Gibbon
413,1601,http://dbpedia.org/resource/John_Gregg_(CSA),John Gregg (CSA)
276,1025,http://dbpedia.org/resource/John_Hunt_Morgan,John Hunt Morgan
303,1153,http://dbpedia.org/resource/John_Lonergan,John Lonergan
211,790,http://dbpedia.org/resource/John_Mansfield,John Mansfield
298,1127,http://dbpedia.org/resource/John_O'Neill_(Fenian),John O'Neill (Fenian)
528,2118,http://dbpedia.org/resource/John_Walker_Ryon,John Walker Ryon
54,211,http://dbpedia.org/resource/Joseph_Grant_Beale,Joseph Grant Beale
340,1299,http://dbpedia.org/resource/Joseph_T._Copeland,Joseph T. Copeland
173,648,http://dbpedia.org/resource/Joseph_Twichell,Joseph Twichell
503,2013,http://dbpedia.org/resource/Joseph_W._Fisher,Joseph W. Fisher
424,1649,http://dbpedia.org/resource/Joseph_Warren_Revere_(general),Joseph Warren Revere (general)
400,1564,http://dbpedia.org/resource/Joshua_T._Owen,Joshua T. Owen
431,1708,http://dbpedia.org/resource/Julian_Scott,Julian Scott
396,1548,http://dbpedia.org/resource/Kanawha_Division,Kanawha Division
64,253,http://dbpedia.org/resource/Kilcrease_Light_Artillery,Kilcrease Light Artillery
437,1730,http://dbpedia.org/resource/Leavenworth_Militia_(African_Descent),Leavenworth Militia (African Descent)
28,116,http://dbpedia.org/resource/Leavenworth_State_Guard,Leavenworth State Guard
208,785,http://dbpedia.org/resource/Lemuel_Todd,Lemuel Todd
179,664,http://dbpedia.org/resource/Leroy_Augustus_Stafford,Leroy Augustus Stafford
555,2253,http://dbpedia.org/resource/Lewis_A._Grant,Lewis A. Grant
543,2190,http://dbpedia.org/resource/List_of_Alabama_Civil_War_Confederate_units,List of Alabama Civil War Confederate units
391,1517,http://dbpedia.org/resource/List_of_Alabama_Union_Civil_War_regiments,List of Alabama Union Civil War regiments
563,2287,http://dbpedia.org/resource/List_of_Arizona_Territory_Civil_War_units,List of Arizona Territory Civil War units
423,1648,http://dbpedia.org/resource/List_of_Arkansas_Civil_War_Confederate_units,List of Arkansas Civil War Confederate units
258,969,http://dbpedia.org/resource/List_of_Arkansas_Civil_War_Union_units,List of Arkansas Civil War Union units
44,166,http://dbpedia.org/resource/List_of_armories_and_arsenals_in_New_York_City_and_surrounding_counties,List of armories and arsenals in New York City and surrounding counties
461,1825,http://dbpedia.org/resource/List_of_California_Civil_War_Union_units,List of California Civil War Union units
453,1777,http://dbpedia.org/resource/List_of_Colorado_Civil_War_units,List of Colorado Civil War units
227,833,http://dbpedia.org/resource/List_of_Connecticut_Civil_War_units,List of Connecticut Civil War units
343,1320,http://dbpedia.org/resource/List_of_Dakota_Territory_Civil_War_units,List of Dakota Territory Civil War units
560,2269,http://dbpedia.org/resource/List_of_Delaware_Civil_War_units,List of Delaware Civil War units
416,1614,http://dbpedia.org/resource/List_of_District_of_Columbia_Civil_War_regiments,List of District of Columbia Civil War regiments
572,2304,http://dbpedia.org/resource/List_of_Florida_Confederate_Civil_War_units,List of Florida Confederate Civil War units
368,1410,http://dbpedia.org/resource/List_of_Florida_Union_Civil_War_units,List of Florida Union Civil War units
532,2142,http://dbpedia.org/resource/List_of_Georgia_Confederate_Civil_War_regiments,List of Georgia Confederate Civil War regiments
425,1663,http://dbpedia.org/resource/List_of_Georgia_Union_Civil_War_units,List of Georgia Union Civil War units
443,1752,http://dbpedia.org/resource/List_of_Illinois_Civil_War_units,List of Illinois Civil War units
251,938,http://dbpedia.org/resource/List_of_Indiana_Civil_War_regiments,List of Indiana Civil War regiments
308,1163,http://dbpedia.org/resource/List_of_Iowa_Civil_War_units,List of Iowa Civil War units
158,604,http://dbpedia.org/resource/List_of_Kansas_Civil_War_units,List of Kansas Civil War units
14,65,http://dbpedia.org/resource/List_of_Kentucky_Confederate_Civil_War_units,List of Kentucky Confederate Civil War units
97,373,http://dbpedia.org/resource/List_of_Kentucky_Union_Civil_War_units,List of Kentucky Union Civil War units
410,1593,http://dbpedia.org/resource/List_of_Louisiana_Confederate_Civil_War_units,List of Louisiana Confederate Civil War units
439,1738,http://dbpedia.org/resource/List_of_Louisiana_Union_Civil_War_units,List of Louisiana Union Civil War units
393,1525,http://dbpedia.org/resource/List_of_Maine_Civil_War_units,List of Maine Civil War units
78,316,http://dbpedia.org/resource/List_of_Maryland_Confederate_Civil_War_units,List of Maryland Confederate Civil War units
449,1772,http://dbpedia.org/resource/List_of_Maryland_Union_Civil_War_units,List of Maryland Union Civil War units
496,1983,http://dbpedia.org/resource/List_of_Massachusetts_Civil_War_units,List of Massachusetts Civil War units
224,823,http://dbpedia.org/resource/List_of_Michigan_Civil_War_units,List of Michigan Civil War units
359,1384,http://dbpedia.org/resource/List_of_Minnesota_Civil_War_units,List of Minnesota Civil War units
334,1273,http://dbpedia.org/resource/List_of_Mississippi_Civil_War_Confederate_units,List of Mississippi Civil War Confederate units
3,11,http://dbpedia.org/resource/List_of_Missouri_Confederate_Civil_War_units,List of Missouri Confederate Civil War units
513,2048,http://dbpedia.org/resource/List_of_Missouri_Union_Civil_War_units,List of Missouri Union Civil War units
349,1344,http://dbpedia.org/resource/List_of_Nebraska_Civil_War_units,List of Nebraska Civil War units
395,1531,http://dbpedia.org/resource/List_of_Nevada_Civil_War_units,List of Nevada Civil War units
342,1307,http://dbpedia.org/resource/List_of_New_Hampshire_Civil_War_units,List of New Hampshire Civil War units
280,1046,http://dbpedia.org/resource/List_of_New_Jersey_Civil_War_units,List of New Jersey Civil War units
20,87,http://dbpedia.org/resource/List_of_New_Mexico_Territory_Civil_War_units,List of New Mexico Territory Civil War units
67,266,http://dbpedia.org/resource/List_of_New_York_Civil_War_regiments,List of New York Civil War regiments
157,603,http://dbpedia.org/resource/List_of_North_Carolina_Confederate_Civil_War_units,List of North Carolina Confederate Civil War units
35,142,http://dbpedia.org/resource/List_of_North_Carolina_Union_Civil_War_regiments,List of North Carolina Union Civil War regiments
530,2136,http://dbpedia.org/resource/List_of_Ohio_Civil_War_units,List of Ohio Civil War units
369,1411,http://dbpedia.org/resource/List_of_Oregon_Civil_War_units,List of Oregon Civil War units
386,1503,http://dbpedia.org/resource/List_of_Pennsylvania_Civil_War_regiments,List of Pennsylvania Civil War regiments
548,2208,http://dbpedia.org/resource/List_of_Rhode_Island_Civil_War_units,List of Rhode Island Civil War units
324,1245,http://dbpedia.org/resource/List_of_South_Carolina_Confederate_Civil_War_units,List of South Carolina Confederate Civil War units
409,1589,http://dbpedia.org/resource/List_of_South_Carolina_Union_Civil_War_units,List of South Carolina Union Civil War units
34,139,http://dbpedia.org/resource/List_of_Tennessee_Confederate_Civil_War_units,List of Tennessee Confederate Civil War units
19,85,http://dbpedia.org/resource/List_of_Tennessee_Union_Civil_War_units,List of Tennessee Union Civil War units
93,359,http://dbpedia.org/resource/List_of_Texas_Civil_War_Confederate_units,List of Texas Civil War Confederate units
467,1869,http://dbpedia.org/resource/List_of_United_States_Colored_Troops_Civil_War_units,List of United States Colored Troops Civil War units
27,114,http://dbpedia.org/resource/List_of_United_States_Regular_Army_Civil_War_units,List of United States Regular Army Civil War units
263,981,http://dbpedia.org/resource/List_of_United_States_Volunteer_Civil_War_units,List of United States Volunteer Civil War units
102,397,http://dbpedia.org/resource/List_of_Vermont_Civil_War_units,List of Vermont Civil War units
567,2296,http://dbpedia.org/resource/List_of_Virginia_Civil_War_units,List of Virginia Civil War units
296,1121,http://dbpedia.org/resource/List_of_Washington_Territory_Civil_War_units,List of Washington Territory Civil War units
120,461,http://dbpedia.org/resource/List_of_West_Virginia_Civil_War_Confederate_units,List of West Virginia Civil War Confederate units
151,579,http://dbpedia.org/resource/List_of_West_Virginia_Civil_War_Union_units,List of West Virginia Civil War Union units
33,135,http://dbpedia.org/resource/List_of_Wisconsin_Civil_War_units,List of Wisconsin Civil War units
29,120,http://dbpedia.org/resource/Louis_Wigfall,Louis Wigfall
484,1917,http://dbpedia.org/resource/Louisiana_Tigers,Louisiana Tigers
531,2138,http://dbpedia.org/resource/Louisville_Home_Guard,Louisville Home Guard
489,1944,http://dbpedia.org/resource/Lucius_Fairchild,Lucius Fairchild
281,1049,http://dbpedia.org/resource/Lysander_Cutler,Lysander Cutler
128,476,http://dbpedia.org/resource/Marcellus_Jerome_Clarke,Marcellus Jerome Clarke
293,1108,http://dbpedia.org/resource/Mary_Burns_(soldier),Mary Burns (soldier)
203,763,http://dbpedia.org/resource/Memphis_Battery_Light_Artillery_(African_Descent),Memphis Battery Light Artillery (African Descent)
470,1873,http://dbpedia.org/resource/Michael_Corcoran,Michael Corcoran
510,2037,http://dbpedia.org/resource/Michigan_Brigade,Michigan Brigade
480,1901,http://dbpedia.org/resource/Michigan_sharpshooter_units_of_the_American_Civil_War,Michigan sharpshooter units of the American Civil War
418,1624,http://dbpedia.org/resource/Middle_Department,Middle Department
230,852,http://dbpedia.org/resource/Middle_Military_Division,Middle Military Division
237,870,http://dbpedia.org/resource/Miles'_Legion,Miles' Legion
477,1886,http://dbpedia.org/resource/Military_Division_of_the_Mississippi,Military Division of the Mississippi
112,435,http://dbpedia.org/resource/Military_Division_of_the_Missouri,Military Division of the Missouri
311,1173,http://dbpedia.org/resource/Minor_Michigan_infantry_units_of_the_American_Civil_War,Minor Michigan infantry units of the American Civil War
95,364,http://dbpedia.org/resource/Monticello_Artillery,Monticello Artillery
388,1506,http://dbpedia.org/resource/Mountain_Rangers,Mountain Rangers
84,335,http://dbpedia.org/resource/Nathan_Kimball,Nathan Kimball
87,342,http://dbpedia.org/resource/Nelson_Taylor,Nelson Taylor
226,831,http://dbpedia.org/resource/New_York_British_Volunteers,New York British Volunteers
525,2112,http://dbpedia.org/resource/New_York_Guard,New York Guard
494,1974,http://dbpedia.org/resource/New_York_Rocket_Battalion,New York Rocket Battalion
558,2264,http://dbpedia.org/resource/Oliver_O._Howard,Oliver O. Howard
347,1334,http://dbpedia.org/resource/Orphan_Brigade,Orphan Brigade
456,1784,http://dbpedia.org/resource/P._Booker_Reed,P. Booker Reed
113,439,http://dbpedia.org/resource/Panna_Maria_Grays_(Confederate_Regiment),Panna Maria Grays (Confederate Regiment)
336,1282,http://dbpedia.org/resource/Pat_Murphy_of_Meagher's_Brigade,Pat Murphy of Meagher's Brigade
475,1882,http://dbpedia.org/resource/Patrick_Kelly_(Civil_War),Patrick Kelly (Civil War)
6,15,http://dbpedia.org/resource/Paulsen's_Independent_Battery,Paulsen's Independent Battery
206,777,http://dbpedia.org/resource/Pee_Dee_Light_Artillery,Pee Dee Light Artillery
435,1726,http://dbpedia.org/resource/Pennsylvania_Reserves,Pennsylvania Reserves
43,165,http://dbpedia.org/resource/Perote_Guards,Perote Guards
147,570,http://dbpedia.org/resource/Philadelphia_Brigade,Philadelphia Brigade
502,2008,http://dbpedia.org/resource/Phillips'_Legion,Phillips' Legion
499,1986,http://dbpedia.org/resource/Pillow_Flying_Artillery,Pillow Flying Artillery
316,1190,http://dbpedia.org/resource/Railroad_Guards_in_American_Civil_War,Railroad Guards in American Civil War
469,1871,http://dbpedia.org/resource/Redfield_Proctor,Redfield Proctor
524,2106,http://dbpedia.org/resource/Rice_E._Graves,Rice E. Graves
