BattlefieldCode,belligerent,commander_number,commander
GA006,US,1,6951057d-db32-4db5-8b3e-dea0c1101a5f
GA007,Confederate,1,b0f7a304-f6c5-4a8d-b816-066426e5dc1c
GA007,US,1,72fc916d-f36e-4ffa-ab9c-bec7bde07002
GA008,Confederate,1,b0f7a304-f6c5-4a8d-b816-066426e5dc1c
GA008,US,1,72fc916d-f36e-4ffa-ab9c-bec7bde07002
GA009,Confederate,1,b0f7a304-f6c5-4a8d-b816-066426e5dc1c
GA009,US,1,72fc916d-f36e-4ffa-ab9c-bec7bde07002
GA010,Confederate,1,b0f7a304-f6c5-4a8d-b816-066426e5dc1c
GA010,US,1,72fc916d-f36e-4ffa-ab9c-bec7bde07002
GA010,US,2,cfa9a700-f979-46ff-bfb1-4615441ccd55
GA011,Confederate,1,b0f7a304-f6c5-4a8d-b816-066426e5dc1c
GA011,US,1,72fc916d-f36e-4ffa-ab9c-bec7bde07002
GA012,Confederate,1,6aa89d0e-8209-4236-869e-6de6b4865ca0
GA012,US,1,fe627383-b1ba-4c9a-b23f-75a2cd4b5c42
GA013,Confederate,1,b0f7a304-f6c5-4a8d-b816-066426e5dc1c
GA013,US,1,72fc916d-f36e-4ffa-ab9c-bec7bde07002
GA014,Confederate,1,84b6d739-3384-4291-86ba-f75ae6637069
GA014,US,1,d3b0a222-2294-41d9-96b9-bc78996d55ae
GA014,US,2,cfa9a700-f979-46ff-bfb1-4615441ccd55
GA015,Confederate,1,b0f7a304-f6c5-4a8d-b816-066426e5dc1c
GA015,US,1,72fc916d-f36e-4ffa-ab9c-bec7bde07002
GA016,Confederate,1,84b6d739-3384-4291-86ba-f75ae6637069
GA016,US,1,6951057d-db32-4db5-8b3e-dea0c1101a5f
GA017,Confederate,1,84b6d739-3384-4291-86ba-f75ae6637069
GA017,US,1,72fc916d-f36e-4ffa-ab9c-bec7bde07002
GA018,Confederate,1,84b6d739-3384-4291-86ba-f75ae6637069
GA018,US,1,fe627383-b1ba-4c9a-b23f-75a2cd4b5c42
GA019,Confederate,1,84b6d739-3384-4291-86ba-f75ae6637069
GA019,US,1,d3b0a222-2294-41d9-96b9-bc78996d55ae
GA020,Confederate,1,22dc9bfe-6bfa-4f8a-a48f-694e947cc8d7
GA020,US,1,ba0709f1-bf0c-44af-95c8-91c04a591cb1
GA021,Confederate,1,7c8a3879-d97a-43e5-91db-8a9ac6338f68
GA021,US,1,7830dd73-a91e-4fe5-b112-4492303f8c2d
GA022,Confederate,1,b01714aa-b252-4944-816d-be76a9070175
