"BattlefieldCode","UnitCode","Comment","companies","batteries","detachment","section"
"NC016","UUR0003RA","Battery ""E""",,1,,
"NC017","UMI0001RAL","Battery ""F""",,1,,
"NC017","UNY0003RAL","Batteries ""A,"" ""C,"" ""D,"" ""G"" and ""I""",,5,,
"NC019","UNY0001RAL","Batteries ""I"" and ""M""",,2,,
"NC019","UOH0001RAL1","Battery ""C""",,1,,
"NC020","UIL0001RAL","Batteries ""C"" and ""H""",,2,,
"NC020","UIL0002RAL","Battery ""I""",,1,,
"NC020","UIL0011RC","Co ""G""",1,,,
"NC020","UMI0001RAL","Batteries ""B"" and ""C""",,2,,
"NC020","UMO0001RAL","Battery ""H""",,1,,
"NC020","UNY0001RAL","Batteries ""E"" and ""M""",,2,,
"NC020","UOH0001RAL1","Battery ""C""",,1,,
"PA001","UUR0002RA","Battery ""M""",,1,,
"PA001","UUR0004RA","Battery ""M""",,1,,
"PA002","UIN0001RC","Co's ""I"" and ""K""",2,,,
"PA002","UIN0003RC","6 Cos",6,,,
"PA002","UMI0001RAL","Battery ""I""",,1,,
"PA002","UNY0001RAL","Batteries ""B,"" ""C."" ""D,"" ""E,"" ""G,"" ""I,"" ""K,"" ""L"" and ""M""",,9,,
"PA002","UOH0001RAL1","Batteries ""H,"" ""I,"" ""K"" and ""L"" ",,4,,
"PA002","UPA0001RAH","Batteries ""B,"" ""F"" and ""G""",,3,,
"PA002","UPA0003RAH","Battery ""H""",,1,,
"PA002","URI0001RAL"," Batteries ""A,"" ""B,"" ""C,"" ""E"" and ""G""",,5,,
"PA002","UUR0001RA","Batteries ""H,"" ""I"" and ""K""",,3,,
"PA002","UUR0002RA","Batteries ""A"" and ""M""",,2,,
"PA002","UUR0003RA","Batteries ""F"" and ""K""",,2,,
"PA002","UUR0004RA","Batteries ""A,"" ""B,"" ""C,"" ""E,"" ""F,"" ""G"" and ""K"" ",,7,,
"PA002","UUR0005RA","Batteries ""C,"" ""D,"" ""F,"" ""I"" and ""K""",,5,,
"SC001","UUR0001RA","Batteries ""E"" and ""H""",,2,,
"SC002","UMA0001RC","Co ""H""",1,,,
"SC002","URI0003RAH","Battery ""I""",,1,,
"SC002","UUR0003RA","Battery ""E""",,1,,
"SC005","UMA0001RC","Co ""I""",1,,,
"SC005","UNY0003RI","From Aug 9th",,,,
"SC005","UNY0003YAL","Batteries ""B"" and ""F""",,2,,
"SC005","UUR0001RA","Batteries ""B"" and ""C""",,2,,
"SC005","UUR0003RA","Battery ""E""",,1,,
"SC006","UMA0001RC","Detachment",,,1,
"SC007","UMA0001RC","Co ""I""",1,,,
"SC007","UNY0003RI","From Aug 9th",,,,
"SC007","UNY0003YAL","Batteries ""B"" and ""F""",,2,,
"SC007","UNY0103RI","From Aug 14th",,,,
"SC007","UNY0117RI","From Aug 5th",,,,
"SC007","UNY0169RI","From Aug 14th",,,,
"SC007","UUR0003RA","Battery ""E""",,1,,
"SC010","UNY0003YAL","Batteries ""B"" and ""F""",,2,,
"TN001","UIL0001RAL","Batteries ""A,"" ""B,"" and ""D""",,3,,
"TN001","UIL0002RAL","Batteries ""D"" and ""E""",,2,,
"TN002","UIL0001RAL","Batteries ""A,"" ""B"" and ""D""",,3,,
"TN002","UIL0002RAL","Batteries ""D"" and ""E""",,2,,
"TN002","UIL0002RC","Co's ""A"" and ""B""",2,,,
"TN002","UIL0004RC","Co ""I""",1,,,
"TN002","UIL0032RI","Co ""A""",1,,,
"TN002","UMO0001RAL","Batteries ""D,"" ""H,"" and ""K""",,3,,
"TN002","UUR0004RC","Co's ""A"" and ""C""",2,,,
"TN003","UIL0001RAL","Batteries ""A,"" ""B,"" ""D,"" ""E,"" ""H"" and ""I""",,6,,
"TN003","UIL0002RAL","Batteries ""B,"" ""D,"" ""E,"" and ""F""",,4,,
"TN003","UIL0002RC","Co's ""A"" and ""C""",2,,,
"TN003","UMI0001RAL","Battery ""B""",,1,,
"TN003","UOH0001RAL1","Battery ""G""",,1,,
"TN003","UUR0002RI","Co ""C""",1,,,
"TN003","UUR0004RA","Batteries ""H"" and ""M""",,2,,
"TN003","UUR0004RI","Co ""I""",1,,,
"TN003","UUR0005RA","Battery ""H""",,1,,
"TN005","CKY00000A","Battery ""B""",,1,,
"TN005","UOH0001RAL1","Battery ""B""",,1,,
"TN007","UIL0002RAL","Battery ""L""",,1,,
"TN007","UIL0002RC","Co ""A""",1,,,
"TN007","UMO0001RAL","Battery ""C""",,1,,
"TN008","UKY0011RC","Co ""E""",1,,,
"TN010","UIL0001RAL","Battery ""C""",,1,,
"TN010","UIL0036RI","Includes Sherer's (Smith's) Independent Cavalry Company as Company B",,,,
"TN010","UIN0002RC","Co ""M""",1,,,
"TN010","UIN0003RC","Cos. ""G,"" ""H,"" ""I,"" and ""K""",4,,,
"TN010","UMI0001RAL","Batteries ""A"" and ""D""",,2,,
"TN010","UMO0001RAL","Battery ""G""",,1,,
"TN010","UUR0004RA","Batteries ""H"" and ""M""",,2,,
"TN010","UUR0005RA","Battery ""H""",,1,,
"TN012","UIL0002RAL","Battery ""C""",,1,,
"TN013","UKY0004RC","Detachment",,,1,
"TN013","UMI0002RC","Detachment",,,1,
"TN014","UTN0005RC","Co ""E""",1,,,
"TN015","UIN0033RI","Detachment",,,1,
"TN015","UWI0022RI","Detachment",,,1,
"TN016","UOH0001RAL1","Battery ""D"" ; Section",,1,,1
"TN017","UMI0001RAL","Batteries ""A"" and ""D""",,2,,
"TN017","UOH0001RAL1","Battery ""C""",,1,,
"TN017","UUR0004RA","Battery ""I""",,1,,
"TN017","UUR0005RA","Battery ""H""",,1,,
"TN018","UIL0001RAL","Batteries ""C,"" ""K"" and ""M""",,3,,
"TN018","UIL0002RAL","Battery ""I""",,1,,
"TN018","UIN0003RC","(Battalion)",3,,,
"TN018","UMI0001RAL","Batteries ""A"" and ""D""",,2,,
"TN018","UMO0001RAL","Battery ""G""",,1,,
"TN018","UOH0001RAL1","Batteries ""A,"" ""B,"" ""C,"" ""D,"" ""F,"" ""G"" and ""M""",,7,,
"TN018","UUR0004RA","Batteries ""H,"" ""I"" and ""M""",,3,,
"TN018","UUR0005RA","Battery ""H""",,1,,
"TN021","UTN0005RC","Co ""G""",1,,,
"TN022","UIL0001RAL","Battery ""K""",,1,,
"TN023","UNY0002BAL","Battery ""L""",,1,,
"TN023","URI0001RAL","Battery ""D""",,1,,
"TN023","UUR0002RA","Battery ""E""",,1,,
"TN024","UIL0001RAL","Batteries ""C"" and ""M""",,2,,
"TN024","UIL0002RAL","Battery ""I""",,1,,
"TN024","UMI0001RAL","Batteries ""A"" and ""D""",,2,,
"TN024","UMO0001RAL","Battery ""G""",,1,,
"TN024","UMO0002RAL","Battery ""F""",,1,,
"TN024","UNY0001RAL","Battery ""I""",,1,,
"TN024","UOH0001RAL1","Batteries ""A,"" ""B,"" ""C,"" ""F,"" ""G"" and ""M""",,6,,
"TN024","UUR0004RA","Batteries ""F"" ""H,"" ""I"" and ""M"" ",,4,,
"TN024","UUR0005RA","Batteries ""H"" and ""K""",,2,,
"TN025","URI0001RAL","Battery ""D""",,1,,
"TN025","UUR0002RA","Battery ""E""",,1,,
"TN027","UOH0010RC","Detachment",,,1,
"TN027","UPA0015RC","Detachment",,,1,
"TN028","UIL0001RAL","Detachment: Colvin's Independent Battery (Colvin's Battery Light Artillery was transferred and assigned as Battery K, First Regiment Illinois Light Artillery, in pursuance of General Orders No. 47, Headquarters State of Illinois, Adjutant General's Office, dated Mar. 23, 1865)",,1,,
"TN030","UUS0002RAL0C","Battery ""F""",,1,,
"TN031","UIA0003RC","Detachment",,,1,
"TN031","UIA0004RC","Detachment",,,1,
"TN031","UIL0007RC","Detachment",,,1,
"TN031","UMO0001RAL","Battery ""G""",,1,,
"TN031","UMO0002RAL","Battery ""G""",,1,,
"TN031","UMO0007RI","Detachment",,,1,
"TN031","UMO0011RI","Detachment",,,1,
"TN031","UUS0061RI00C","Detachment",,,1,
"TN032","UUS0002RAL0C","Battery ""A""",,1,,
"TN034","UIL0001RAL","Battery ""I""",,1,,
"TN034","UOH0001RAL1","Batteries ""A,"" ""D"" and ""G""",,3,,
"TN034","UUR0004RA","Battery ""M""",,1,,
"TN035","UOH0001RAL1","Batteries ""A"" and ""G""",,2,,
"TN035","UUR0004RA","Battery ""M""",,1,,
"TN036","UIL0001RAL","Battery ""K""",,1,,
"TN036","UIL0027RI","Detachment",,,1,
"TN036","UOH0001RAL1","Batteries ""A,"" ""D"" and ""G""",,3,,
"TN036","UUR0004RA","Battery ""M""",,1,,
"TN038","UIL0001RAL","Battery ""G""",,1,,
"TN038","UMO0002RAL","Battery ""I""",,1,,
"TN038","UOH0001RAL1","Batteries ""A,"" ""D"" and ""G""",,3,,
"TN038","UUR0004RA","Batteries ""I"" and ""M""",,1,,
"TN038","UUS0002RAL0C","Battery ""A""",,1,,
"VA003","UUR0002RA","Detachment",,,1,
"VA004","UUR0002RC01","Detachment",,,1,
"VA005","UNY0002YAL","Reorganization of Bookwood's Independent Battery Light Artillery",,1,,
"VA005","UNY0008R0Y1","Rockwood's Battery",,1,,
"VA005","UNY0082RI","2nd S.M.",,,,
"VA005","URI0001RAL","Battery ""A""",,1,,
"VA005","UUR0001RA","Batteries ""G"" and ""T"" (""T""?)",,2,,
"VA005","UUR0001RC01","Cos ""A"" and ""E""",2,,,
"VA005","UUR0002RA","Batteries ""A,"" ""D,"" ""E,"" ""G"" and ""M""",,5,,
"VA005","UUR0002RC01","Cos ""B,"" ""E,"" ""G,"" and ""I"" ",4,,,
"VA005","UUR0002RC02","Co ""K""",1,,,
"VA005","UUR0002RI","Cos ""C"" and ""G""",1,,,
"VA005","UUR0003RA","Battery ""E""",,1,,
"VA005","UUR0003RI","Cos ""B,"" ""D,"" ""G,"" ""H,"" and ""K""",5,,,
"VA005","UUR0008RI","Co ""G""",1,,,
"VA006","UNY0082RI","2nd S.M.",,,,
"VA006","URI0001RAL","Battery ""B""",,1,,
"VA006","UUR0001RA","Battery ""I""",,1,,
"VA007","UPA0001RAL","Battery ""A""",,1,,
"VA009","UNY0001BAL","Batteries ""A,"" ""B,"" ""C., and""D""",,4,,
"VA009","UNY0001RAL","Batteries ""A,"" ""B,"" ""D,"" ""E,"" ""G"" and ""H"" ",,6,,
"VA009","UNY0002BAL","Battery ""A""",,1,,
"VA009","UNY0006RC","Co ""D"" and ""K""",2,,,
"VA009","UPA0001RAL","Batteries ""C,"" ""D,"" ""E"" and ""H""",,4,,
"VA009","UPA0081RI","(31st)",,,,
