BattlefieldCode,belligerent,TroopsEngaged,Casualties
VA062,US,108000,13000
VA063,Confederate,42000,4700
VA063,US,62000,2974
VA064,Confederate,,200
VA064,US,,700
VA065,Confederate,,572
VA065,US,,2962
VA066,Confederate,,
VA066,US,,
VA067,Confederate,,
VA067,US,,
VA068,Confederate,,
VA068,US,,
VA069,Confederate,,
VA069,US,,
VA070,Confederate,,1491
VA070,US,,3798
VA071,Confederate,,1300
VA071,US,,2900
VA072,Confederate,,1600
VA072,US,,4455
VA073,Confederate,,814
VA073,US,,2742
VA074,Confederate,,1300
VA074,US,,2869
VA075,Confederate,,1700
VA075,US,,3300
VA076,Confederate,,108
VA076,US,,350
VA077,Confederate,,700
VA077,US,,458
VA078,Confederate,,50
VA078,US,,437
VA079,Confederate,,1300
VA079,US,,1758
VA080,Confederate,,100
VA080,US,,1603
VA081,Confederate,,
VA081,US,,
VA082,Confederate,0,0
VA082,US,0,0
VA083,Confederate,13835,1000
VA083,US,34517,1539
VA084,Confederate,,2681
VA084,US,,1017
VA085,Confederate,,371
VA085,US,,381
VA086,Confederate,,760
VA086,US,,354
VA087,Confederate,,1235
VA087,US,,1781
VA088,Confederate,,3000
VA088,US,,830
VA089,Confederate,,4852
VA089,US,,3894
VA090,Confederate,,600
VA090,US,,366
VA091,Confederate,,
VA091,US,,158
VA092,Confederate,,
VA092,US,,66
VA093,Confederate,,7700
VA093,US,,1148
VA094,Confederate,,
VA094,US,,571
VA095,Confederate,,100
VA095,US,,847
VA096,Confederate,,1000
VA096,US,,48
VA097,Confederate,,500
VA097,US,,164
VA098,Confederate,2500,
VA098,US,4500,
VA099,Confederate,,1071
VA099,US,,1007
VA100,Confederate,0,0
VA100,US,0,0
VA101,Confederate,3800,718
VA101,US,8500,590
VA102,Confederate,6000,500
VA102,US,6500,256
VA103,Confederate,,56
VA103,US,,904
VA104,Confederate,16000,400
VA104,US,6500,2019
VA105,Confederate,5800,288
VA105,US,11500,684
VA106,Confederate,6000,800
VA106,US,3500,1000
VA107,Confederate,12500,266
VA107,US,7000,4443
VA108,Confederate,,
VA108,US,,
VA109,Confederate,,
VA109,US,,
VA110,Confederate,4090,520
VA110,US,6275,841
VA111,Confederate,5500,1600
VA111,US,8500,875
VA113,Confederate,,
VA113,US,,
VA114,Confederate,8000,397
VA114,US,5000,422
VA115,Confederate,,500
VA115,US,,242
VA116,Confederate,13000,600
VA116,US,10000,1185
VA117,Confederate,,480
VA117,US,,71
VA118,Confederate,,195
VA118,US,,312
VA119,Confederate,15200,3610
VA119,US,39240,5020
VA120,Confederate,9500,1235
VA120,US,38950,528
VA121,Confederate,3500,350
VA121,US,6300,57
VA122,Confederate,15265,2010
VA122,US,31945,5672
VA123,Confederate,1600,1600
VA123,US,2500,30
VA124,Confederate,,
VA124,US,,81
VA125,Confederate,,0
VA125,US,,100
VA126,Confederate,,
VA126,US,,
WV001,Confederate,,6
WV001,US,,5
WV002,Confederate,,25
WV002,US,,73
WV003,Confederate,,88
WV003,US,,74
WV004,Confederate,,40
WV004,US,,132
WV005,Confederate,,100
WV005,US,,71
WV006,Confederate,,32
WV006,US,,158
WV007,Confederate,,52
WV007,US,,43
WV008,Confederate,,146
WV008,US,,137
WV010,Confederate,,286
WV010,US,,12719
WV012,Confederate,,275
WV012,US,,140
WV013,Confederate,,500
WV013,US,,31
WV014,Confederate,,400
WV014,US,,600
WV015,Confederate,,200
WV015,US,,100
WV016,Confederate,,291
WV016,US,,363
