CampaignCode,CampaignName,CampaignDates,CampaignStartDate,CampaignEndDate,TheaterCode
MW63-08,Reopening the Tennessee River,October 1863,1863-10-01,1863-10-31,MW
MW63-09,Operations on the Memphis and Charleston RR,November 1863,1863-11-01,1863-11-30,MW
MW63-10,Chattanooga-Ringgold Campaign,November 1863,1863-11-01,1863-11-30,MW
MW63-11,Longstreet's Knoxville Campaign,November-December 1863,1863-11-01,1863-12-31,MW
MW64-01,Operations About Dandridge Tennessee,December 1863-January 1864,1863-12-01,1864-01-31,MW
MW64-02,Operations in North Alabama,January 1864,1864-01-01,1864-01-31,MW
MW64-03,Meridian and Yazoo River Expeditions,February 1864,1864-02-01,1864-02-29,MW
MW64-04,Forrest's Expedition Into West Tennessee and Kentu,February 1864,1864-02-01,1864-02-29,MW
MW64-05,Atlanta Campaign,March-April 1864,1864-03-01,1864-04-30,MW
MW64-06,Morgan's Raid Into Kentucky,May-September 1864,1864-05-01,1864-09-30,MW
MW64-07,Forrest's Defense Of Mississippi,June 1864,1864-06-01,1864-06-30,MW
MW64-08,Operations in Mobile Bat,June-August 1864,1864-06-01,1864-08-31,MW
MW64-09,Burbridge's Raid into Southwest Virginia,August 1864,1864-08-01,1864-08-31,MW
MW64-10,Hood's Operations Against Sherman's Communications,October 1864,1864-10-01,1864-10-31,MW
MW64-11,Forrest's Raid Into West Tennessee,November 1864,1864-11-01,1864-11-30,MW
MW64-12,Breckenridge's Advance into East Tennessee,November-December 1864,1864-11-01,1864-12-31,MW
MW64-13,Savannah Campaign,September-December 1864,1864-09-01,1864-12-31,MW
MW64-14,Franklin-Nashville Campaign,December 1864,1864-12-01,1864-12-31,MW
MW65-01,Campaign of the Carolina's,February-March 1865,1865-02-01,1865-03-31,MW
MW65-02,Mobile Campaign,March-April 1865,1865-03-01,1865-04-30,MW
MW65-03,Wilson's Raid: Chickasaw Alabama and Macon Georgia,April 1865,1865-04-01,1865-04-30,MW
PC63-01,Expedition From Camp Douglas Utah to Cache Valley,"January 29, 1863",0029-01-01,0029-01-31,PC
TM61-01,Operations to Constrol Missouri,June-October 1861,1861-06-01,1861-10-31,TM
