battle,spell,start_date,end_date
MO009,1,1861-11-7,1861-11-7
LA019,1,1864-4-9,1864-4-9
AR010,1,1863-9-10,1863-9-10
VA056,1,1864-5-24,1864-5-24
AR016,1,1864-4-30,1864-4-30
VA115,1,1864-7-20,1864-7-20
WV012,1,1863-11-6,1863-11-6
VA078,1,1864-10-13,1864-10-13
OH002,1,1863-7-26,1863-7-26
VA020,1,1862-6-30,1862-6-30
MS013,1,1864-2-22,1864-2-22
VA117,1,1864-8-16,1864-8-16
TN014,1,1863-3-20,1863-3-20
VA063,1,1864-6-15,1864-6-18
VA041,1,1863-10-14,1863-10-14
VA071,1,1864-8-13,1864-8-20
VA024,1,1862-8-25,1862-8-27
GA022,1,1864-8-31,1864-9-1
VA089,1,1865-4-2,1865-4-2
OK006,1,1863-7-1,1863-7-2
MD002,1,1862-9-14,1862-9-14
OK002,1,1861-12-9,1861-12-9
GA025,1,1864-11-22,1864-11-22
TN004,1,1862-6-6,1862-6-6
NC007,1,1862-12-13,1862-12-14
WV010,1,1862-9-12,1862-9-15
AR009,1,1863-9-1,1863-9-1
VA030,1,1863-4-13,1863-4-15
GA016,1,1864-7-20,1864-7-20
VA036,1,1863-6-17,1863-6-17
MO028,1,1864-10-25,1864-10-25
VA091,1,1865-4-5,1865-4-5
LA007,1,1863-4-14,1863-4-14
TN026,1,1863-12-14,1863-12-14
IN001,1,1863-7-9,1863-7-9
NC016,1,1865-2-12,1865-2-22
MD003,1,1862-9-16,1862-9-18
KY010,1,1864-3-25,1864-3-25
MO004,1,1861-8-10,1861-8-10
MD008,1,1864-8-1,1864-8-1
VA040,1,1863-10-14,1863-10-14
KS002,1,1863-10-6,1863-10-6
TX002,1,1862-10-4,1862-10-4
LA020,1,1864-4-12,1864-4-12
KY009,1,1862-10-8,1862-10-8
GA008,1,1864-5-13,1864-5-15
VA009,1,1862-4-5,1862-5-4
NM001,1,1862-2-20,1862-2-21
VA047,1,1864-5-6,1864-5-7
TN011,1,1862-12-31,1862-12-31
GA004,1,1863-9-18,1863-9-20
GA012,1,1864-5-27,1864-5-27
MD004,1,1863-7-6,1863-7-16
GA005,1,1863-11-27,1863-11-27
NC020,1,1865-3-19,1865-3-21
MO010,1,1861-12-28,1861-12-28
MS003,1,1862-12-26,1862-12-29
VA034,1,1863-5-3,1863-5-3
AL006,1,1865-4-2,1865-4-9
VA092,1,1865-4-6,1865-4-6
WV014,1,1864-8-21,1864-8-21
MS012,1,1864-2-13,1864-2-15
VA031,1,1863-4-11,1863-5-4
VA080,1,1864-10-27,1864-10-28
VA005,1,1861-7-21,1861-7-21
NM002,1,1862-3-26,1862-3-28
OK004,1,1862-10-22,1862-10-22
GA001,1,1862-4-10,1862-4-11
VA094,1,1865-4-7,1865-4-7
AR005,1,1862-12-7,1862-12-7
VA037,1,1863-6-17,1863-6-19
VA074,1,1864-9-30,1864-10-2
VA122,1,1864-10-19,1864-10-19
VA105,1,1862-6-8,1862-6-8
MS011,1,1863-5-18,1863-7-4
ND002,1,1863-7-26,1863-7-26
TN025,1,1863-11-29,1863-11-29
WV004,1,1861-8-26,1861-8-26
KS003,1,1864-10-25,1864-10-25
GA010,1,1864-5-25,1864-5-26
MO001,1,1861-6-17,1861-6-17
TN032,1,1864-11-4,1864-11-5
LA023,1,1864-5-18,1864-5-18
GA020,1,1864-8-14,1864-8-15
NC018,1,1865-3-10,1865-3-10
GA006,1,1864-2-22,1864-2-27
LA006,1,1863-4-12,1863-4-13
NC017,1,1865-3-7,1865-3-10
AR008,1,1863-7-4,1863-7-4
MO011,1,1862-1-8,1862-1-8
AR011,1,1863-10-25,1863-10-25
VA051,1,1864-5-10,1864-5-10
VA084,1,1865-3-25,1865-3-25
MD007,1,1864-7-9,1864-7-9
VA053,1,1864-5-12,1864-5-16
VA050,1,1864-5-9,1864-5-9
AR006,1,1863-1-9,1863-1-11
VA106,1,1862-6-9,1862-6-9
LA002,1,1862-4-25,1862-5-1
VA019,1,1862-6-29,1862-6-29
VA081,1,1864-12-17,1864-12-18
OH001,1,1863-7-19,1863-7-19
FL004,1,1863-10-16,1863-10-18
VA107,1,1863-6-13,1863-6-15
MO002,1,1861-7-5,1861-7-5
AL003,1,1864-8-2,1864-8-23
LA014,1,1863-6-29,1863-6-30
SC002,1,1862-6-16,1862-6-16
MS005,1,1863-4-29,1863-5-1
VA029,1,1863-3-17,1863-3-17
MS009,1,1863-5-16,1863-5-16
NC015,1,1865-1-13,1865-1-15
ND004,1,1863-9-3,1863-9-5
VA065,1,1864-6-21,1864-6-24
GA002,1,1863-3-3,1863-3-3
VA095,1,1865-4-6,1865-4-7
MO013,1,1862-8-6,1862-8-9
TN031,1,1864-8-21,1864-8-21
GA009,1,1864-5-17,1864-5-17
VA097,1,1865-4-9,1865-4-9
WV015,1,1864-8-25,1864-8-29
VA077,1,1864-10-7,1864-10-7
GA011,1,1864-5-26,1864-6-1
MO020,1,1863-4-26,1863-4-26
TX001,1,1862-9-24,1862-9-25
MD001,1,1862-1-5,1862-1-6
KY002,1,1861-10-21,1861-10-21
VA001,1,1861-5-18,1861-5-19
TN013,1,1863-3-5,1863-3-5
ND005,1,1864-7-28,1864-7-29
TN019,1,1863-9-22,1863-9-22
WV009,1,1862-5-15,1862-5-17
VA045,1,1864-2-6,1864-2-7
TN010,1,1862-12-31,1863-1-2
VA066,1,1864-6-24,1864-6-24
MS010,1,1863-5-17,1863-5-17
NC005,1,1862-4-19,1862-4-19
VA068,1,1864-6-29,1864-6-29
AR018,1,1863-8-27,1863-8-27
TN023,1,1863-11-16,1863-11-16
MD006,1,1863-7-8,1863-7-8
MO003,1,1861-9-17,1861-9-17
SC009,1,1863-8-22,1863-8-23
SC009,2,1863-9-5,1863-9-8
MS007,1,1863-5-12,1863-5-12
FL001,1,1861-10-9,1861-10-9
SC011,1,1865-2-2,1865-2-3
AR003,1,1862-7-7,1862-7-7
VA025,1,1862-8-28,1862-8-28
TX003,1,1863-1-1,1863-1-1
VA125,1,1864-3-2,1864-3-2
VA049,1,1864-5-9,1864-5-9
TN029,1,1864-1-27,1864-1-27
MO027,1,1864-10-23,1864-10-23
VA022,1,1862-8-9,1862-8-9
VA006,1,1861-10-21,1861-10-21
VA086,1,1865-3-31,1865-3-31
CO001,1,1864-11-29,1864-11-30
MO019,1,1863-1-9,1863-1-11
VA085,1,1865-3-29,1865-3-29
WV013,1,1864-8-7,1864-8-7
VA101,1,1862-3-23,1862-3-23
NC014,1,1864-12-7,1864-12-27
VA070,1,1864-7-30,1864-7-30
VA102,1,1862-5-8,1862-5-8
FL003,1,1862-10-1,1862-10-3
VA054,1,1864-5-20,1864-5-20
TX006,1,1863-9-8,1863-9-8
VA016,1,1862-6-26,1862-6-26
VA028,1,1862-12-11,1862-12-15
GA015,1,1864-6-27,1864-6-27
TN035,1,1864-11-29,1864-11-29
VA032,1,1863-4-30,1863-5-6
KS004,1,1864-10-25,1864-10-25
MO017,1,1862-11-7,1862-11-7
MS002,1,1862-10-3,1862-10-4
TN038,1,1864-12-15,1864-12-16
OK003,1,1861-12-26,1861-12-26
TN030,1,1864-4-12,1864-4-12
VA038,1,1863-6-21,1863-6-21
VA064,1,1864-6-17,1864-6-18
TN018,1,1863-8-21,1863-8-21
GA007,1,1864-5-7,1864-5-13
OK001,1,1861-11-19,1861-11-19
AR012,1,1864-4-3,1864-4-4
TX005,1,1865-5-12,1865-5-13
VA067,1,1864-6-28,1864-6-28
MO005,1,1861-9-2,1861-9-2
KY005,1,1862-1-10,1862-1-10
VA103,1,1862-5-23,1862-5-23
VA008,1,1862-3-8,1862-3-9
LA022,1,1864-5-16,1864-5-16
VA087,1,1865-3-31,1865-3-31
MS008,1,1863-5-14,1863-5-14
VA042,1,1863-10-19,1863-10-19
GA026,1,1864-11-28,1864-11-28
NC003,1,1862-3-14,1862-3-14
NC011,1,1863-3-30,1863-4-20
VA021,1,1862-7-1,1862-7-1
LA012,1,1863-6-20,1863-6-21
VA003,1,1861-6-10,1861-6-10
SC006,1,1863-7-16,1863-7-16
VA011,1,1862-5-7,1862-5-7
VA046,1,1864-5-5,1864-5-7
MS004,1,1863-4-29,1863-4-29
TN036,1,1864-11-30,1864-11-30
WV008,1,1861-12-13,1861-12-13
MO006,1,1861-9-13,1861-9-20
VA083,1,1865-2-5,1865-2-7
MN002,1,1862-9-23,1862-9-23
VA010,1,1862-5-5,1862-5-5
NC010,1,1863-3-13,1863-3-15
MS016,1,1862-4-29,1862-6-10
TN037,1,1864-12-5,1864-12-7
TN028,1,1864-1-17,1864-1-17
LA003,1,1862-8-5,1862-8-6
GA003,1,1863-9-10,1863-9-11
WV007,1,1861-10-3,1861-10-3
AR007,1,1863-5-1,1863-5-2
SC004,1,1863-4-7,1863-4-7
VA048,1,1864-5-7,1864-5-21
NC019,1,1865-3-15,1865-3-16
VA121,1,1864-10-9,1864-10-9
MO022,1,1864-10-15,1864-10-15
VA088,1,1865-4-1,1865-4-1
