battle,victor,battle,country,victor,strength,strength_engaged,infantry,cavalry,artillery,guns,killed,killed_generals,killed_percent,killed_officers,killed_wounded,killed_wounded_officers,killed_wounded_generals,killed_wounded_percent,wounded,wounded_generalswounded_officers,wounded_percent,captured,captured_generals,captured_officers,missing,missing_generals,missing_officers,missing_percent,casualties,casualties_generals,casualties_officers,casualties_percent,losses_guns,losses_caissons,losses_cannon,losses_canons,losses_flags,losses_munition_wagons,losses_wagons,other
"Chickasaw_Bluffs (January 03, 1863)",False,"Chickasaw_Bluffs (January 03, 1863)",Union,False,33000,,,,,,,,,,1200,,,,,,,,,,600,,,,1800,,,,,,,,,,,
"Cold_Harbor (June 03, 1864)",True,"Cold_Harbor (June 03, 1864)",Confederacy,True,60000,,,,,,400,,0.5,,1700,,,2.7,1300,,2.2,,,,0,,,0.0,1700,,,2.7,,,,,,,,
"Cold_Harbor (June 03, 1864)",False,"Cold_Harbor (June 03, 1864)",Union,False,100000,,,,,,1900,,1.9,143,11000,575,1,11.0,9100,,9.1,,,,1800,,35,1.8,12800,1,610,12.8,,,,,,,,
"Corinth (October 03, 1862)",True,"Corinth (October 03, 1862)",Union,True,25000,,,,,,350,1,,27,2200,142,4,8.0,1850,,,,,,400,0,5,1.6,2600,4,147,10.5,,,,,,,,
"Corinth (October 03, 1862)",False,"Corinth (October 03, 1862)",Confederacy,False,22000,,,,,,500,,,,2700,,,12.3,2200,,,,,,3300,,,15.0,6000,,,27.3,,,,,,,,
"Drewry's_Bluff (May 16, 1864)",True,"Drewry's_Bluff (May 16, 1864)",Confederacy,True,25000,,,,,,,,,,3000,,,,,,,0,,,,,,,3000,,,12,,,,,,,,
"Drewry's_Bluff (May 16, 1864)",False,"Drewry's_Bluff (May 16, 1864)",Union,False,30000,,,,,,,,,,3000,,,,,,,1500,,,,,,,4500,,,15,,,5,,5,,,
"Durham's-Station (April 25, 1865)",True,"Durham's-Station (April 25, 1865)",Union,True,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Durham's-Station (April 25, 1865)",False,"Durham's-Station (April 25, 1865)",Confederacy,False,35200,,,,,,,,,,,,,,,,,35200,,,35200,,,,35200,,,,,,,,,,,
"Ezra-Church (July 28, 1864)",True,"Ezra-Church (July 28, 1864)",Union,True,60000,,,,,,,,,,,,,,,,,,,,,,,,700,,,1.2,,,,,,,,
"Ezra-Church (July 28, 1864)",False,"Ezra-Church (July 28, 1864)",Confederacy,False,30000,,,,,,,,,,,,,,,,,,,,,,,,4600,,,15.3,,,,,,,,
"Fort_Donelson (February 12, 1862)",True,"Fort_Donelson (February 12, 1862)",Union,True,27000,,,,,,,,,,2660,,,9.9,,,,,,,240,,,0.9,2900,,,10.8,,,,,,,,
"Fort_Donelson (February 12, 1862)",False,"Fort_Donelson (February 12, 1862)",Confederacy,False,17000,,,,,,,,,,2000,,,12,,,,13000,,,13000,,,70,15000,,,82,17000,,,65,,,,
"Franklin (November 30, 1864)",True,"Franklin (November 30, 1864)",Confederacy,True,37000,,30000,7000,,,1750,5,4.7,,5600,,11,15.2,3850,,10.5,,,,700,1,,2.0,6300,12,,17.2,,,,,,,,
"Franklin (November 30, 1864)",False,"Franklin (November 30, 1864)",Union,False,27000,,22000,5000,,,200,,0.8,,1300,,,4.8,1100,,4.0,,,,1400,,,5.2,2700,,,10.0,,,,,,,,
"Fredericksburg (December 11, 1862)",True,"Fredericksburg (December 11, 1862)",Confederacy,True,78000,,73000,5000,,,600,2,0.8,38,4700,308,5,6.1,,,5.3,,,,700,0,18,0.9,5400,5,326,7.0,,,,,,,,
"Fredericksburg (December 11, 1862)",False,"Fredericksburg (December 11, 1862)",Union,False,117000,,111000,6000,,,1350,2,1.2,124,11000,778,7,9.5,9650,,8.3,,,,2000,0,20,1.7,13000,7,798,11.2,,,,,,,,
"Gettysburg (July 01, 1863)",True,"Gettysburg (July 01, 1863)",Union,True,90000,,77000,13000,,300,3160,5,3.4,243,17700,1378,17,19.4,14540,,16.0,,,,5300,1,183,5.6,23000,18,1561,25.0,,,6,,32,,,
"Gettysburg (July 01, 1863)",False,"Gettysburg (July 01, 1863)",Confederacy,False,68000,,60000,8000,,250,2600,5,3.8,,15300,,18,22.6,12700,,18.8,,,,6700,2,,10.0,22000,20,,32.6,,,3,,41,,,
"Harper's_Ferry (September 15, 1862)",True,"Harper's_Ferry (September 15, 1862)",Confederacy,True,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harper's_Ferry (September 15, 1862)",False,"Harper's_Ferry (September 15, 1862)",Union,False,14000,,,,,73,,,,,,,,,,,,,,,,,,,14000,,,,,,,73,,,,
"Kenesaw-Mountain (June 27, 1864)",True,"Kenesaw-Mountain (June 27, 1864)",Confederacy,True,6000,,,,,,,,,,,,,,,,,,,,,,,,800,,,13.5,,,,,,,,
"Kenesaw-Mountain (June 27, 1864)",False,"Kenesaw-Mountain (June 27, 1864)",Union,False,18000,,,,,,,,,,,,,,,,,,,,,,,,3000,,,17,,,,,,,,
"Lexington (September 20, 1861)",True,"Lexington (September 20, 1861)",Confederacy,True,10000,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lexington (September 20, 1861)",False,"Lexington (September 20, 1861)",Union,False,3000,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Middletown (October 19, 1864)",True,"Middletown (October 19, 1864)",Union,True,40000,,,,,,,,,,4100,,,10.2,,,,,,,1600,,,4.0,5700,,,14.2,,,,,,,,
"Middletown (October 19, 1864)",False,"Middletown (October 19, 1864)",Confederacy,False,18000,,,,,,,,,,1900,,,10.5,,,,,,,1200,,,6.3,3100,,,16.8,,,,23,,,,
"Mobile (April 02, 1865)",True,"Mobile (April 02, 1865)",Union,True,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile (April 02, 1865)",False,"Mobile (April 02, 1865)",Confederacy,False,4000,,,,,,,,,,,,,,,,,3500,,,,,,,,,,,,,,50,,,,
"Murfreesborough (December 31, 1862)",True,"Murfreesborough (December 31, 1862)",Union,True,45000,,41800,3200,,100,1730,2,3.8,102,9600,507,7,21.3,7870,,17.5,,,,4000,1,44,9.0,13600,8,551,30.3,,,28,,6,,,
"Murfreesborough (December 31, 1862)",False,"Murfreesborough (December 31, 1862)",Confederacy,False,38000,,33500,4500,,120,1300,2,3.4,122,9300,778,5,24.5,8000,,21.1,,,,1100,0,46,3.0,10400,5,824,27.5,,,6,,,,,
"Nashville (December 15, 1864)",True,"Nashville (December 15, 1864)",Union,True,55000,,43000,12000,,,,,,,,,,,,,,,,,,,,,3100,,,5.6,,,,,,,,
"Nashville (December 15, 1864)",False,"Nashville (December 15, 1864)",Confederacy,False,38000,,36000,2000,,,,,,,,,,,,,,,,,,,,,15000,,,39.6,,,51,,,,,
"New-Hope-Church (May 28, 1864)",True,"New-Hope-Church (May 28, 1864)",Union,True,80000,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,,,
"New-Hope-Church (May 28, 1864)",False,"New-Hope-Church (May 28, 1864)",Confederacy,False,40000,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,
"Pamunkey (May 22, 1864)",True,"Pamunkey (May 22, 1864)",Union,True,52000,,,,,,,,,,,,,,,,,,,,,,,,4000,,217,7.9,,,,,,,,
"Pamunkey (May 22, 1864)",False,"Pamunkey (May 22, 1864)",Confederacy,False,38000,,,,,,,,,,,,,,,,,,,,,,,,3000,,,8,,,,,,,,
"Pea_Ridge (March 07, 1862)",True,"Pea_Ridge (March 07, 1862)",Union,True,12000,,,,,49,,,,,1200,,,10.0,,,,,,,200,,,0.7,1400,,,10.7,,,,,,,,
"Pea_Ridge (March 07, 1862)",False,"Pea_Ridge (March 07, 1862)",Confederacy,False,16000,,,,,72,,,,,1100,,,7,,,,,,,500,,,3,1600,,,10,,,,,,,,
"Peach-Tree-Creek (July 20, 1864)",True,"Peach-Tree-Creek (July 20, 1864)",Union,True,72000,,,,,,,,,,,,,,,,,,,,,,,,1700,,,2.4,,,,,,,,
"Peach-Tree-Creek (July 20, 1864)",False,"Peach-Tree-Creek (July 20, 1864)",Confederacy,False,48000,,,,,,,,,,,,,,,,,,,,,,,,4800,,,10,,,,,,,,
"Perryville (October 08, 1862)",True,"Perryville (October 08, 1862)",Confederacy,True,68000,16000,,,,,520,,,,3150,,,19.8,2630,,,,,,250,,,1.6,3400,,,21.4,,,,,,,,
"Perryville (October 08, 1862)",False,"Perryville (October 08, 1862)",Union,False,54000,24000,,,,,850,2,,37,3700,131,2,15.6,2850,,,,,,500,0,13,2.1,4200,2,144,17.7,,,,,,,,
"Petersburg (June 09, 1864)",True,"Petersburg (June 09, 1864)",Union,True,120000,,91000,19000,10000,,6000,,,,39000,,,,33000,,,,,,21000,,,,60000,,,,,,,,,,,
"Petersburg (June 09, 1864)",False,"Petersburg (June 09, 1864)",Confederacy,False,67000,,55000,6500,5500,,,,,,,,,,,,,,,,,,,,40000,,,,,,,,,,,
"Prairie-Grove (December 07, 1862)",True,"Prairie-Grove (December 07, 1862)",Union,True,14000,,,,,,,,,,1000,,,,,,,,,,250,,,,1250,,,8.9,,,,,,,,
"Prairie-Grove (December 07, 1862)",False,"Prairie-Grove (December 07, 1862)",Confederacy,False,11000,,,,,,,,,,1000,,,,,,,,,,350,,,,1350,,,12,,,,,,,,
