"battle","study_area","core_area","potnr_boundary"
"OK002",6587.66,1081.04,5880.07
"OK007",6470.15,1138.96,6324.96
"OK005",,,
"OK004",2524.75,563.54,2524.75
"OK001",,,
"PA002",43522.59,8585.47,33993.87
"PA001",6179.85,789.23,0
"SC004",5164.74,1881.38,4568.74
"SC009",9407.24,5763.86,5093.82
"SC001",4389.13,702.43,3948.47
"SC008",9367.57,4763.32,5967.43
"SC005",6308.58,2188.12,5234.69
"SC007",11840.68,5695.22,6043.51
"SC006",3624.28,2028.88,2298.98
"SC010",3926.96,2117.46,3102.71
"SC011",4828.66,512.34,4828.66
"SC002",3547.53,1108.59,0
"SC003",3178.93,320.14,0
"TN026",5347.21,668.61,
"TN019",1549.78,459.04,232.57
"TN020",3715.33,1405.12,1118.17
"TN015",9589.14,1367.26,1346.71
"TN033",12405.25,603.93,3205.43
"TN023",11258.68,814.55,
"TN005",2115.91,1085.14,
"TN018",6445.71,1244.07,
"TN024",45415.23,19107.3,6740.13
"TN022",5145.25,325.91,
"TN034",47912.64,4238.82,6707.3
"TN028",12276.33,4583.26,5076.05
"TN012",2931.62,642.79,750.94
"TN029",10310.31,1371.74,8167.08
"TN002",7729.89,2982.49,3367.33
"TN001",5144.12,1159.87,2118.79
"TN030",4470.33,423.09,4427.04
"TN025",6933.28,831.14,
"TN016",14386.1,2605.65,
"TN036",13681.15,2610.71,
"TN008",8044.71,679.95,7507.25
"TN007",5754.16,798.19,5103.19
"TN017",25898.02,3323.32,14213.71
"TN009",1661.21,148.89,1615.61
"TN032",3804.87,2167.4,1281.01
"TN004",19818,9286.44,12170
"TN031",2473.46,205.63,
"TN027",9046.8,5210.26,3959.48
"TN006",8639.61,328.82,
"TN037",7174.05,799.52,1335.3
"TN038",39422.5,3840.14,
"TN011",7716.82,1287.34,2664.48
"TN003",31341.81,7283.32,22539.79
"TN035",7034.77,2278.37,3204.75
"TN010",15087.32,5148.66,3121.01
"TN013",3473,603.18,1356.21
"TN014",3479.82,849.11,2430.15
"TN021",11457.05,2001.37,7129.61
"TX002",20539.74,4765.4,0
"TX003",19434.01,3855.6,0
"TX005",11696.3,3744.78,8964.71
"TX001",6229.72,2665.96,0
"TX006",6489.15,3377.22,0
"AR015",16534.56,4620.16,11395.14
"AR017",7763.14,2570.04,3839.77
"AR001",9834.22,2078.97,8063.74
"AR011",7633.37,108.42,0
"AR014",11628.13,3337.86,11374.27
"AR013",17318.69,7671.57,14201.03
"AR005",14708.69,2450.54,4410.01
"AR002",1830.99,853.69,1735.05
