battle,combatant,description,strength,ships,guns,commanders,cavalry_regiments,strength_other,brigades,regiments,cavalry_brigades,companies,corps,divisions,armies,artillery_batteries,cavalry_divisions,cavalry_corps,artillery_regiments,artillery_sections,cavalry_companies,artillery_companies,infantry_regiments
VA074,CS,,,,,,,,,,,,,,,,,,,,,,
VA103,US,,,,,,,,,,,,,,,,,,,,,,
VA103,CS,,,,,,,,,,,,,,,,,,,,,,
VA085,US,,,,,,,,,,,,,,,,,,,,,,
VA085,CS,,,,,,,,,,,,,,,,,,,,,,
VA065,US,,,,,,,,,,,,,,,,,,,,,,
VA065,CS,,,,,,,,,,,,,,,,,,,,,,
MO007,US,,,,,,,,,,,,,,,,,,,,,,
MO007,CS,,,,,,,,,,,,,,,,,,,,,,
LA013,US,,,,,,,,,,,,,,,,,,,,,,
LA013,CS,,,,,,,,,,,,,,,,,,,,,,
MO016,US,,,,,,,,,,,,,,,,,,,,,,
MO016,CS,,,,,,,,,,,,,,,,,,,,,,
TN007,US,,,,,,,,,,,,,,,,,,,,,,
TN007,CS,,,,,,,,,,,,,,,,,,,,,,
MS006,US,,,,,,,,,,,,,,,,,,,,,,
MS006,CS,,,,,,,,,,,,,,,,,,,,,,
VA121,US,,,,,,,,,,,,,,,,,,,,,,
VA121,CS,,,,,,,,,,,,,,,,,,,,,,
VA106,US,,,,,,,,,,,,,,,,,,,,,,
VA106,CS,,,,,,,,,,,,,,,,,,,,,,
SC010,US,,,,,,,,,,,,,,,,,,,,,,
SC010,CS,,,,,,,,,,,,,,,,,,,,,,
NC016,US,,,,,,,,,,,,,,,,,,,,,,
NC016,CS,,,,,,,,,,,,,,,,,,,,,,
MS015,US,,,,,,,,,,,,,,,,,,,,,,
MS015,CS,,,,,,,,,,,,,,,,,,,,,,
TN011,US,,,,,,,,,,,,,,,,,,,,,,
TN011,CS,,,,,,,,,,,,,,,,,,,,,,
VA042,US,,,,,,,,,,,,,,,,,,,,,,
VA042,CS,,,,,,,,,,,,,,,,,,,,,,
KY005,US,,,,,,,,,,,,,,,,,,,,,,
KY005,CS,,,,,,,,,,,,,,,,,,,,,,
KY003,US,,,,,,,,,,,,,,,,,,,,,,
KY003,CS,,,,,,,,,,,,,,,,,,,,,,
OK004,US,,,,,,,,,,,,,,,,,,,,,,
OK004,CS,,,,,,,,,,,,,,,,,,,,,,
LA017,US,,,,,,,,,,,,,,,,,,,,,,
LA017,CS,,,,,,,,,,,,,,,,,,,,,,
WV007,US,,,,,,,,,,,,,,,,,,,,,,
WV007,CS,,,,,,,,,,,,,,,,,,,,,,
LA015,US,,,,,,,,,,,,,,,,,,,,,,
LA015,CS,,,,,,,,,,,,,,,,,,,,,,
FL003,US,,,,,,,,,,,,,,,,,,,,,,
FL003,CS,,,,,,,,,,,,,,,,,,,,,,
GA002,US,,,,,,,,,,,,,,,,,,,,,,
GA002,CS,,,,,,,,,,,,,,,,,,,,,,
MS001,US,,,,,,,,,,,,,,,,,,,,,,
MS001,CS,,,,,,,,,,,,,,,,,,,,,,
VA082,US,,,,,,,,,,,,,,,,,,,,,,
VA082,CS,,,,,,,,,,,,,,,,,,,,,,
VA051,US,,,,,,,,,,,,,,,,,,,,,,
VA051,CS,,,,,,,,,,,,,,,,,,,,,,
VA049,US,,,,,,,,,,,,,,,,,,,,,,
VA049,CS,,,,,,,,,,,,,,,,,,,,,,
NC010,US,,,,,,,,,,,,,,,,,,,,,,
NC010,CS,,,,,,,,,,,,,,,,,,,,,,
GA026,US,,,,,,,,,,,,,,,,,,,,,,
GA026,CS,,,,,,,,,,,,,,,,,,,,,,
LA021,US,,,,,,,,,,,,,,,,,,,,,,
LA021,CS,,,,,,,,,,,,,,,,,,,,,,
VA007,US,,,,,,,,,,,,,,,,,,,,,,
VA007,CS,,,,,,,,,,,,,,,,,,,,,,
GA017,US,,,,,,,,,,,,,,,,,,,,,,
GA017,CS,,,,,,,,,,,,,,,,,,,,,,
OH001,US,,,,,,,,,,,,,,,,,,,,,,
OH001,CS,,,,,,,,,,,,,,,,,,,,,,
KY007,US,,,,,,,,,,,,,,,,,,,,,,
KY007,CS,,,,,,,,,,,,,,,,,,,,,,
VA004,US,,,,,,,,,,,,,,,,,,,,,,
VA004,CS,,,,,,,,,,,,,,,,,,,,,,
MS013,US,,,,,,,,,,,,,,,,,,,,,,
MS013,CS,,,,,,,,,,,,,,,,,,,,,,
LA003,US,,,,,,,,,,,,,,,,,,,,,,
LA003,CS,,,,,,,,,,,,,,,,,,,,,,
WV006,US,,,,,,,,,,,,,,,,,,,,,,
WV006,CS,,,,,,,,,,,,,,,,,,,,,,
LA023,US,,,,,,,,,,,,,,,,,,,,,,
LA023,CS,,,,,,,,,,,,,,,,,,,,,,
MO004,US,,,,,,,,,,,,,,,,,,,,,,
MO004,CS,,,,,,,,,,,,,,,,,,,,,,
IN001,US,,,,,,,,,,,,,,,,,,,,,,
