battle,combatant,description,strength,ships,guns,commanders,cavalry_regiments,strength_other,brigades,regiments,cavalry_brigades,companies,corps,divisions,armies,artillery_batteries,cavalry_divisions,cavalry_corps,artillery_regiments,artillery_sections,cavalry_companies,artillery_companies,infantry_regiments
MD003,US,,,,,,,,,,,,,,,,,,,,,,
MO002,CS,,,,,,,,,,,,,,,,,,,,,,
MO002,US,,,,,,,,,,,,,,,,,,,,,,
MD004,CS,,,,,,,,,,,,,,,,,,,,,,
MD004,US,,,,,,,,,,,,,,,,,,,,,,
LA011,CS,,,,,,,,,,,,,,,,,,,,,,
LA011,US,,,,,,,,,,,,,,,,,,,,,,
VA010,CS,,,,,,,,,,,,,,,,,,,,,,
VA010,US,,,,,,,,,,,,,,,,,,,,,,
KY004,CS,,,,,,,,,,,,,,,,,,,,,,
KY004,US,,,,,,,,,,,,,,,,,,,,,,
VA086,CS,,,,,,,,,,,,,,,,,,,,,,
VA086,US,,,,,,,,,,,,,,,,,,,,,,
AR017,CS,,,,,,,,,,,,,,,,,,,,,,
AR017,US,,,,,,,,,,,,,,,,,,,,,,
GA005,CS,,,,,,,,,,,,,,,,,,,,,,
GA005,US,,,,,,,,,,,,,,,,,,,,,,
TN019,CS,,,,,,,,,,,,,,,,,,,,,,
TN019,US,,,,,,,,,,,,,,,,,,,,,,
MO025,CS,,,,,,,,,,,,,,,,,,,,,,
MO025,US,,,,,,,,,,,,,,,,,,,,,,
VA125,CS,,,,,,,,,,,,,,,,,,,,,,
VA125,US,,,,,,,,,,,,,,,,,,,,,,
GA023,CS,,,,,,,,,,,,,,,,,,,,,,
GA023,US,,,,,,,,,,,,,,,,,,,,,,
TX001,CS,,,,,,,,,,,,,,,,,,,,,,
TX001,US,,,,,,,,,,,,,,,,,,,,,,
FL002,CS,,,,,,,,,,,,,,,,,,,,,,
FL002,US,,,,,,,,,,,,,,,,,,,,,,
VA119,CS,,,,,,,,,,,,,,,,,,,,,,
VA119,US,,,,,,,,,,,,,,,,,,,,,,
KS004,CS,,,,,,,,,,,,,,,,,,,,,,
KS004,US,,,,,,,,,,,,,,,,,,,,,,
GA007,CS,,,,,,,,,,,,,,,,,,,,,,
GA007,US,,,,,,,,,,,,,,,,,,,,,,
VA071,CS,,,,,,,,,,,,,,,,,,,,,,
VA071,US,,,,,,,,,,,,,,,,,,,,,,
VA110,CS,,,,,,,,,,,,,,,,,,,,,,
VA110,US,,,,,,,,,,,,,,,,,,,,,,
GA014,CS,,,,,,,,,,,,,,,,,,,,,,
GA014,US,,,,,,,,,,,,,,,,,,,,,,
MO005,CS,,,,,,,,,,,,,,,,,,,,,,
MO005,US,,,,,,,,,,,,,,,,,,,,,,
TN025,CS,,,,,,,,,,,,,,,,,,,,,,
TN025,US,,,,,,,,,,,,,,,,,,,,,,
VA022,CS,,,,,,,,,,,,,,,,,,,,,,
VA022,US,,,,,,,,,,,,,,,,,,,,,,
LA013,CS,,,,,,,,,,,,,,,,,,,,,,
LA013,US,,,,,,,,,,,,,,,,,,,,,,
MS015,CS,,,,,,,,,,,,,,,,,,,,,,
MS015,US,,,,,,,,,,,,,,,,,,,,,,
TN027,CS,,,,,,,,,,,,,,,,,,,,,,
TN027,US,,,,,,,,,,,,,,,,,,,,,,
VA076,CS,,,,,,,,,,,,,,,,,,,,,,
VA076,US,,,,,,,,,,,,,,,,,,,,,,
WV010,CS,,,,,,,,,,,,,,,,,,,,,,
WV010,US,,,,,,,,,,,,,,,,,,,,,,
VA007,CS,,,,,,,,,,,,,,,,,,,,,,
VA007,US,,,,,,,,,,,,,,,,,,,,,,
AR013,CS,,,,,,,,,,,,,,,,,,,,,,
AR013,US,,,,,,,,,,,,,,,,,,,,,,
TN031,CS,,,,,,,,,,,,,,,,,,,,,,
TN031,US,,,,,,,,,,,,,,,,,,,,,,
ND005,US,,,,,,,,,,,,,,,,,,,,,,
ND005,I,,,,,,,,,,,,,,,,,,,,,,
VA078,CS,,,,,,,,,,,,,,,,,,,,,,
VA078,US,,,,,,,,,,,,,,,,,,,,,,
WV009,CS,,,,,,,,,,,,,,,,,,,,,,
WV009,US,,,,,,,,,,,,,,,,,,,,,,
NC017,CS,,,,,,,,,,,,,,,,,,,,,,
NC017,US,,,,,,,,,,,,,,,,,,,,,,
MS005,CS,,,,,,,,,,,,,,,,,,,,,,
MS005,US,,,,,,,,,,,,,,,,,,,,,,
MD007,CS,,,,,,,,,,,,,,,,,,,,,,
MD007,US,,,,,,,,,,,,,,,,,,,,,,
MO027,CS,,,,,,,,,,,,,,,,,,,,,,
MO027,US,,,,,,,,,,,,,,,,,,,,,,
TN007,CS,,,,,,,,,,,,,,,,,,,,,,
TN007,US,,,,,,,,,,,,,,,,,,,,,,
VA025,CS,,,,,,,,,,,,,,,,,,,,,,
VA025,US,,,,,,,,,,,,,,,,,,,,,,
MS011,CS,,,,,,,,,,,,,,,,,,,,,,
MS011,US,,,,,,,,,,,,,,,,,,,,,,
SC003,CS,,,,,,,,,,,,,,,,,,,,,,
SC003,US,,,,,,,,,,,,,,,,,,,,,,
TN020,CS,,,,,,,,,,,,,,,,,,,,,,
TN020,US,,,,,,,,,,,,,,,,,,,,,,
VA031,CS,,45000,,,,,,,,,,,,,,,,,,,,
VA031,US,,45000,,,,,,,,,,,,,,,,,,,,
GA011,CS,,,,,,,,,,,,,,,,,,,,,,
GA011,US,,,,,,,,,,,,,,,,,,,,,,
SC011,CS,,,,,,,,,,,,,,,,,,,,,,
SC011,US,,,,,,,,,,,,,,,,,,,,,,
FL005,CS,,,,,,,,,,,,,,,,,,,,,,
FL005,US,,,,,,,,,,,,,,,,,,,,,,
MS012,CS,,,,,,,,,,,,,,,,,,,,,,
MS012,US,,,,,,,,,,,,,,,,,,,,,,
VA034,CS,,,,,,,,,,,,,,,,,,,,,,
VA034,US,,,,,,,,,,,,,,,,,,,,,,
LA018,CS,,,,,,,,,,,,,,,,,,,,,,
LA018,US,,,,,,,,,,,,,,,,,,,,,,
VA080,CS,,,,,,,,,,,,,,,,,,,,,,
VA080,US,,,,,,,,,,,,,,,,,,,,,,
MO026,CS,,,,,,,,,,,,,,,,,,,,,,
MO026,US,,,,,,,,,,,,,,,,,,,,,,
MO029,CS,,,,,,,,,,,,,,,,,,,,,,
MO029,US,,,,,,,,,,,,,,,,,,,,,,
GA016,CS,,,,,,,,,,,,,,,,,,,,,,
GA016,US,,,,,,,,,,,,,,,,,,,,,,
MO012,CS,,,,,,,,,,,,,,,,,,,,,,
MO012,US,,,,,,,,,,,,,,,,,,,,,,
MO024,CS,,,,,,,,,,,,,,,,,,,,,,
MO024,US,,,,,,,,,,,,,,,,,,,,,,
VA067,CS,,,,,,,,,,,,,,,,,,,,,,
VA067,US,,,,,,,,,,,,,,,,,,,,,,
VA113,CS,,,,,,,,,,,,,,,,,,,,,,
VA113,US,,,,,,,,,,,,,,,,,,,,,,
