battle,combatant,fullname,rank,first_name,last_name,middle_name,suffix
OK006,US,James M. Williams,Colonel,James,Williams,M.,
OK007,CS,Douglas H. Cooper,Brigadier General,Douglas,Cooper,H.,
OK007,US,James G. Blunt,Major General,James,Blunt,G.,
PA001,CS,J.E.B. Stuart,Major General,J.E.B.,Stuart,,
PA001,US,H. Judson Kilpatrick,Brigadier General,H.,Kilpatrick,Judson,
PA002,CS,Robert E. Lee,General,Robert,Lee,E.,
PA002,US,George G. Meade,Major General,George,Meade,G.,
SC001,CS,P.G.T. Beauregard,Brigadier General,P.G.T.,Beauregard,,
SC001,US,Robert Anderson,Major,Robert,Anderson,,
SC002,CS,Nathan Evans,Brigadier General,Nathan,Evans,,
SC002,US,Henry Benham,Brigadier General,Henry,Benham,,
SC003,CS,James McCullough,Colonel,James,McCullough,,
SC003,US,A.C. Rhind,Lieutenant,A.C.,Rhind,,
SC004,CS,P.G.T. Beauregard,General,P.G.T.,Beauregard,,
SC004,US,S.F. Du Pont,Rear Admiral,S.F.,Pont,Du,
SC005,CS,P.G.T. Beauregard,General,P.G.T.,Beauregard,,
SC005,US,Qunicy Gillmore,Brigadier General,Qunicy,Gillmore,,
SC006,CS,Johnson Hagood,Brigadier General,Johnson,Hagood,,
SC006,US,Alfred H. Terry,Brigadier General,Alfred,Terry,H.,
SC007,CS,P.G.T. Beauregard,General,P.G.T.,Beauregard,,
SC007,US,Quincy Gillmore,Major General,Quincy,Gillmore,,
SC008,CS,P.G.T. Beauregard,General,P.G.T.,Beauregard,,
SC008,US,Quincy Gillmore,Major General,Quincy,Gillmore,,
SC009,CS,P.G.T. Beauregard,General,P.G.T.,Beauregard,,
SC009,US,Quincy Gillmore,Major General,Quincy,Gillmore,,
SC010,CS,Charles Colcock,Colonel,Charles,Colcock,,
SC010,US,John Hatch,Major General,John,Hatch,,
SC011,CS,Lafayette McLaws,Major General,Lafayette,McLaws,,
SC011,US,Francis P. Blair,Major General,Francis,Blair,P.,
TN001,CS,Lloyd Tilghman,Brigadier General,Lloyd,Tilghman,,
TN001,US,Ulysses S. Grant,Brigadier General,Ulysses,Grant,S.,
TN001,US,Andrew H. Foote,Flag Officer,Andrew,Foote,H.,
TN002,US,Ulysses S. Grant,Brigadier General,Ulysses,Grant,S.,
TN002,US,Andrew H. Foote,Flag Officer,Andrew,Foote,H.,
TN003,CS,Albert Sidney Johnston,General,Albert,Johnston,Sidney,
TN003,CS,P.G.T. Beauregard,General,P.G.T.,Beauregard,,
TN003,US,Ulysses S. Grant,Major General,Ulysses,Grant,S.,
TN003,US,Don Carlos Buell,Major General,Don,Buell,Carlos,
TN004,CS,James E. Montgomery,Captain (Naval),James,Montgomery,E.,
TN004,CS,M. Jeff Thompson,Brigadier General,M.,Thompson,Jeff,
TN004,US,Charles H. Davis,Flag Officer,Charles,Davis,H.,
TN004,US,Charles Ellet,Colonel,Charles,Ellet,,
TN005,CS,E. Kirby Smith,Major General,E.,Smith,Kirby,
TN005,US,James Negley,Brigadier General,James,Negley,,
TN006,CS,Nathan Bedford Forrest,Brigadier General,Nathan,Forrest,Bedford,
TN006,US,Thomas T. Crittenden,Brigadier General,Thomas,Crittenden,T.,
TN007,CS,Earl Van Dorn,Major General,Earl,Van Dorn,,
TN007,US,Edward O.C. Ord,Major General,Edward,Ord,O.C.,
TN007,US,Stephen A. Hurlbut,Major General,Stephen,Hurlbut,A.,
TN008,CS,John Hunt Morgan,Brigadier General,John,Morgan,Hunt,
TN008,US,Absalom B. Moore,Colonel,Absalom,Moore,B.,
TN009,CS,Nathan Bedford Forrest,Brigadier General,Nathan,Forrest,Bedford,
TN009,US,Adolph Englemann,Colonel,Adolph,Englemann,,
TN010,CS,Braxton Bragg,General,Braxton,Bragg,,
TN010,US,William S. Rosecrans,Major General,William,Rosecrans,S.,
TN011,CS,Nathan Bedford Forrest,Brigadier General,Nathan,Forrest,Bedford,
TN011,US,Jeremiah C. Sullivan,Brigadier General,Jeremiah,Sullivan,C.,
TN012,CS,Joseph Wheeler,Major General,Joseph,Wheeler,,
TN012,US,A.C. Harding,Colonel,A.C.,Harding,,
TN013,CS,Earl Van Dorn,Major General,Earl,Van Dorn,,
TN013,US,John Coburn,Colonel,John,Coburn,,
TN014,CS,John Hunt Morgan,Brigadier General,John,Morgan,Hunt,
TN014,US,Albert S. Hall,Colonel,Albert,Hall,S.,
TN015,CS,Nathan Bedford Forrest,Brigadier General,Nathan,Forrest,Bedford,
TN015,US,Edward Bloodgood,Lieutenant Colonel,Edward,Bloodgood,,
TN016,CS,Earl Van Dorn,Major General,Earl,Van Dorn,,
TN016,US,Gordon Granger,Major General,Gordon,Granger,,
TN017,CS,Alexander P. Stewart,Major General,Alexander,Stewart,P.,
TN017,US,George H. Thomas,Major General,George,Thomas,H.,
TN018,US,John T. Wilder,Colonel,John,Wilder,T.,
TN019,CS,James E. Carter,Colonel,James,Carter,E.,
TN019,US,John W. Foster,Colonel,John,Foster,W.,
TN020,CS,John S. Williams,Brigadier General,John,Williams,S.,
TN020,US,Ambrose E. Burnside,Major General,Ambrose,Burnside,E.,
TN021,CS,Micah Jenkins,Brigadier General,Micah,Jenkins,,
TN021,US,Joseph Hooker,Major General,Joseph,Hooker,,
TN022,CS,James R. Chalmers,Brigadier General,James,Chalmers,R.,
TN022,US,Edward Hatch,Colonel,Edward,Hatch,,
TN023,CS,James Longstreet,Lieutenant General,James,Longstreet,,
TN023,US,Ambrose E. Burnside,Major General,Ambrose,Burnside,E.,
TN024,CS,Braxton Bragg,General,Braxton,Bragg,,
TN024,US,Ulysses S. Grant,Major General,Ulysses,Grant,S.,
TN025,CS,James Longstreet,Lieutenant General,James,Longstreet,,
TN025,US,Ambrose E. Burnside,Major General,Ambrose,Burnside,E.,
TN026,CS,James Longstreet,Lieutenant General,James,Longstreet,,
TN026,US,James Shackelford,Brigadier General,James,Shackelford,,
TN027,CS,William T. Martin,Major General,William,Martin,T.,
TN027,US,Samuel D. Sturgis,Brigadier General,Samuel,Sturgis,D.,
TN028,CS,James Longstreet,Lieutenant General,James,Longstreet,,
TN028,US,Samuel D. Sturgis,Brigadier General,Samuel,Sturgis,D.,
TN029,CS,William T. Martin,Major General,William,Martin,T.,
TN029,US,Samuel D. Sturgis,Brigadier General,Samuel,Sturgis,D.,
TN029,US,Edward M. McCook,Colonel,Edward,McCook,M.,
TN030,CS,Nathan Bedford Forrest,Major General,Nathan,Forrest,Bedford,
TN030,US,Lionel F. Booth,Major,Lionel,Booth,F.,
TN030,US,William F. Bradford,Major,William,Bradford,F.,
TN031,CS,Nathan Bedford Forrest,Brigadier General,Nathan,Forrest,Bedford,
TN031,US,C.C. Washburn,Major General,C.C.,Washburn,,
TN032,CS,Nathan Bedford Forrest,Major General,Nathan,Forrest,Bedford,
TN032,US,C.R. Thompson,Colonel,C.R.,Thompson,,
TN032,US,Edward M. King,Lieutenant Commander,Edward,King,M.,
TN033,CS,John C. Breckinridge,Major General,John,Breckinridge,C.,
TN033,US,Alvan C. Gillem,Brigadier General,Alvan,Gillem,C.,
TN034,CS,John Bell Hood,General,John,Hood,Bell,
TN034,US,John M. Schofield,Major General,John,Schofield,M.,
TN035,CS,John Bell Hood,General,John,Hood,Bell,
TN035,US,John M. Schofield,Major General,John,Schofield,M.,
TN036,CS,John Bell Hood,General,John,Hood,Bell,
TN036,US,John M. Schofield,Major General,John,Schofield,M.,
TN037,CS,Nathan Bedford Forrest,Major General,Nathan,Forrest,Bedford,
TN037,US,Lovell H. Rousseau,Major General,Lovell,Rousseau,H.,
TN037,US,Robert Milroy,Brigadier General,Robert,Milroy,,
TN038,CS,John Bell Hood,General,John,Hood,Bell,
TN038,US,George H. Thomas,Major General,George,Thomas,H.,
TX001,CS,J.S. Irvine,Major,J.S.,Irvine,,
TX001,US,Frederick Crocker,Acting Master,Frederick,Crocker,,
TX002,CS,Joseph J. Cook,Colonel,Joseph,Cook,J.,
TX002,CS,X.B. Debray,Colonel,X.B.,Debray,,
TX002,US,W.B. Renshaw,Commander,W.B.,Renshaw,,
TX003,CS,John B. Magruder,Major General,John,Magruder,B.,
TX003,US,Isaac S. Burrell,Colonel,Isaac,Burrell,S.,
TX003,US,W.B. Renshaw,Commander,W.B.,Renshaw,,
TX005,CS,"John S. ""Rip"" Ford",Colonel,John,Ford,S.,
TX005,US,Theodore H. Barrett,Colonel,Theodore,Barrett,H.,
TX006,CS,Richard W. Dowling,Lieutenant,Richard,Dowling,W.,
TX006,US,William B. Franklin,Major General,William,Franklin,B.,
TX006,US,Frederick Crocker,Captain (Naval),Frederick,Crocker,,
VA001,CS,Walter Gwynn,Brigadier General,Walter,Gwynn,,
VA001,CS,Peyton Colquitt,Captain,Peyton,Colquitt,,
VA001,US,D.L. Braine,Lieutenant (Naval),D.L.,Braine,,
VA002,CS,Daniel Ruggles,Colonel,Daniel,Ruggles,,
VA002,US,James H. Ward,Commander,James,Ward,H.,
VA003,CS,John B. Magruder,Colonel,John,Magruder,B.,
VA003,CS,D.H. Hill,Colonel,D.H.,Hill,,
VA003,US,Ebenezer Pierce,Brigadier General,Ebenezer,Pierce,,
VA004,CS,P.G.T. Beauregard,Brigadier General,P.G.T.,Beauregard,,
VA004,US,Irvin McDowell,Brigadier General,Irvin,McDowell,,
VA005,CS,Joseph E. Johnston,Brigadier General,Joseph,Johnston,E.,
VA005,CS,P.G.T. Beauregard,Brigadier General,P.G.T.,Beauregard,,
VA005,US,Irvin McDowell,Brigadier General,Irvin,McDowell,,
VA006,CS,Nathan Evans,Brigadier General,Nathan,Evans,,
VA006,US,Charles P. Stone,Brigadier General,Charles,Stone,P.,
VA006,US,Edward Baker,Colonel,Edward,Baker,,
VA007,CS,J.E.B. Stuart,Brigadier General,J.E.B.,Stuart,,
VA007,US,Edward O.C. Ord,Brigadier General,Edward,Ord,O.C.,
VA008,CS,Franklin Buchanan,Captain (Naval),Franklin,Buchanan,,
VA008,CS,Catesby R. Jones,Lieutenant,Catesby,Jones,R.,
VA008,US,John Worden,Lieutenant,John,Worden,,
VA009,CS,John B. Magruder,Major General,John,Magruder,B.,
VA009,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
VA009,US,George B. McClellan,Major General,George,McClellan,B.,
VA010,CS,James Longstreet,Major General,James,Longstreet,,
VA010,US,George B. McClellan,Major General,George,McClellan,B.,
VA011,CS,Gustavius W. Smith,Major General,Gustavius,Smith,W.,
VA011,US,William B. Franklin,Brigadier General,William,Franklin,B.,
VA012,CS,E. Farrand,Commander,E.,Farrand,,
VA012,CS,William Mahone,Brigadier General,William,Mahone,,
VA012,CS,S. S. Lee,Captain (Naval),S.,Lee,S.,
VA012,CS,John Taylor Wood,Lieutenant,John,Wood,Taylor,
VA012,US,John Rodgers,Commander,John,Rodgers,,
VA013,US,Fitz John Porter,Brigadier General,Fitz,Porter,John,
VA014,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
VA014,CS,Gustavius W. Smith,Major General,Gustavius,Smith,W.,
VA014,US,George B. McClellan,Major General,George,McClellan,B.,
VA015,CS,Robert E. Lee,General,Robert,Lee,E.,
VA015,US,George B. McClellan,Major General,George,McClellan,B.,
VA016,CS,Robert E. Lee,General,Robert,Lee,E.,
VA016,US,Fitz John Porter,Brigadier General,Fitz,Porter,John,
VA017,CS,Robert E. Lee,General,Robert,Lee,E.,
VA017,US,Fitz John Porter,Brigadier General,Fitz,Porter,John,
VA018,CS,John B. Magruder,Major General,John,Magruder,B.,
VA018,US,George B. McClellan,Major General,George,McClellan,B.,
VA019,CS,John B. Magruder,Major General,John,Magruder,B.,
VA019,US,Edwin Sumner,Major General,Edwin,Sumner,,
VA020,CS,Robert E. Lee,General,Robert,Lee,E.,
VA020,CS,Thomas J. Jackson,Major General,Thomas,Jackson,J.,
VA020,US,William Franklin,Major General,William,Franklin,,
VA020,US,George B. McClellan,Major General,George,McClellan,B.,
VA020A,CS,Thomas J. Jackson,Major General,Thomas,Jackson,J.,
VA020A,US,William B. Franklin,Major General,William,Franklin,B.,
VA020B,CS,Robert E. Lee,General,Robert,Lee,E.,
VA020B,US,George B. McClellan,Major General,George,McClellan,B.,
VA021,CS,Robert E. Lee,General,Robert,Lee,E.,
VA021,US,George B. McClellan,Major General,George,McClellan,B.,
VA022,CS,Thomas J. Jackson,Major General,Thomas,Jackson,J.,
VA022,US,Nathaniel P. Banks,Major General,Nathaniel,Banks,P.,
VA023,CS,Thomas J. Jackson,Major General,Thomas,Jackson,J.,
VA023,US,John Pope,Major General,John,Pope,,
VA024,CS,Thomas J. Jackson,Major General,Thomas,Jackson,J.,
VA024,US,G.W. Taylor,Brigadier General,G.W.,Taylor,,
VA025,CS,James Longstreet,Lieutenant General,James,Longstreet,,
VA025,US,James Ricketts,Brigadier General,James,Ricketts,,
VA026,CS,Robert E. Lee,General,Robert,Lee,E.,
VA026,CS,Thomas J. Jackson,Major General,Thomas,Jackson,J.,
VA026,US,John Pope,Major General,John,Pope,,
VA027,CS,Thomas J. Jackson,Major General,Thomas,Jackson,J.,
VA027,US,Philip Kearny,Major General,Philip,Kearny,,
VA027,US,Isaac Stevens,Major General,Isaac,Stevens,,
VA028,CS,Robert E. Lee,General,Robert,Lee,E.,
VA028,US,Ambrose E. Burnside,Major General,Ambrose,Burnside,E.,
VA029,CS,Fitzhugh Lee,Brigadier General,Fitzhugh,Lee,,
VA029,US,William W. Averell,Brigadier General,William,Averell,W.,
VA030,CS,James Longstreet,Lieutenant General,James,Longstreet,,
VA030,US,John Peck,Brigadier General,John,Peck,,
VA031,CS,James Longstreet,Lieutenant General,James,Longstreet,,
VA031,US,John Peck,Brigadier General,John,Peck,,
VA032,CS,Robert E. Lee,General,Robert,Lee,E.,
VA032,CS,Thomas J. Jackson,Major General,Thomas,Jackson,J.,
VA032,US,Joseph Hooker,Major General,Joseph,Hooker,,
VA033,CS,Robert E. Lee,General,Robert,Lee,E.,
VA033,US,John Sedgwick,Major General,John,Sedgwick,,
VA034,CS,Jubal A. Early,Major General,Jubal,Early,A.,
VA034,US,John Sedgwick,Major General,John,Sedgwick,,
VA035,CS,J.E.B. Stuart,Major General,J.E.B.,Stuart,,
VA035,US,Alfred Pleasonton,Major General,Alfred,Pleasonton,,
VA036,CS,Thomas Munford,Colonel,Thomas,Munford,,
VA036,US,H. Judson Kilpatrick,Brigadier General,H.,Kilpatrick,Judson,
VA037,CS,J.E.B. Stuart,Major General,J.E.B.,Stuart,,
VA037,US,David M. Gregg,Brigadier General,David,Gregg,M.,
VA038,CS,Wade Hampton,Brigadier General,Wade,Hampton,,
VA038,CS,Beverly Robertson,Brigadier General,Beverly,Robertson,,
VA038,US,Alfred Pleasonton,Major General,Alfred,Pleasonton,,
VA039,CS,J.E.B. Stuart,Major General,J.E.B.,Stuart,,
VA039,US,William H. French,Major General,William,French,H.,
VA040,CS,A.P. Hill,Lieutenant General,A.P.,Hill,,
VA040,US,G.K. Warren,Major General,G.K.,Warren,,
VA041,CS,J.E.B. Stuart,Major General,J.E.B.,Stuart,,
VA041,US,G.K. Warren,Major General,G.K.,Warren,,
VA042,CS,J.E.B. Stuart,Major General,J.E.B.,Stuart,,
VA042,US,H. Judson Kilpatrick,Major General,H.,Kilpatrick,Judson,
VA043,CS,Robert E. Lee,General,Robert,Lee,E.,
VA043,US,George G. Meade,Major General,George,Meade,G.,
VA044,CS,Robert E. Lee,General,Robert,Lee,E.,
VA044,US,George G. Meade,Major General,George,Meade,G.,
VA045,CS,Richard S. Ewell,Lieutenant General,Richard,Ewell,S.,
VA045,US,J.C. Caldwell,Brigadier General,J.C.,Caldwell,,
VA046,CS,Robert E. Lee,General,Robert,Lee,E.,
VA046,US,Ulysses S. Grant,Lieutenant General,Ulysses,Grant,S.,
VA046,US,George G. Meade,Major General,George,Meade,G.,
VA047,CS,Johnson Hagood,Brigadier General,Johnson,Hagood,,
VA047,US,Benjamin Butler,Major General,Benjamin,Butler,,
VA048,CS,Robert E. Lee,General,Robert,Lee,E.,
VA048,US,Ulysses S. Grant,Lieutenant General,Ulysses,Grant,S.,
VA048,US,George G. Meade,Major General,George,Meade,G.,
VA049,CS,Albert Jenkins,Brigadier General,Albert,Jenkins,,
VA049,US,George Crook,Brigadier General,George,Crook,,
VA050,CS,P.G.T. Beauregard,General,P.G.T.,Beauregard,,
VA050,US,Benjamin Butler,Major General,Benjamin,Butler,,
VA051,CS,P.G.T. Beauregard,General,P.G.T.,Beauregard,,
VA051,US,Benjamin Butler,Major General,Benjamin,Butler,,
VA052,CS,J.E.B. Stuart,Major General,J.E.B.,Stuart,,
VA052,US,Philip Sheridan,Major General,Philip,Sheridan,,
VA053,CS,P.G.T. Beauregard,General,P.G.T.,Beauregard,,
VA053,US,Benjamin Butler,Major General,Benjamin,Butler,,
VA054,CS,P.G.T. Beauregard,General,P.G.T.,Beauregard,,
VA054,US,Benjamin Butler,Major General,Benjamin,Butler,,
VA055,CS,Robert E. Lee,General,Robert,Lee,E.,
VA055,US,Ulysses S. Grant,Lieutenant General,Ulysses,Grant,S.,
VA055,US,George G. Meade,Major General,George,Meade,G.,
VA056,CS,Fitzhugh Lee,Major General,Fitzhugh,Lee,,
VA056,US,Edward Wild,Brigadier General,Edward,Wild,,
VA057,CS,Robert E. Lee,General,Robert,Lee,E.,
VA057,US,Ulysses S. Grant,Lieutenant General,Ulysses,Grant,S.,
VA057,US,George G. Meade,Major General,George,Meade,G.,
VA058,CS,Fitzhugh Lee,Major General,Fitzhugh,Lee,,
VA058,CS,Wade Hampton,Major General,Wade,Hampton,,
VA058,US,David M. Gregg,Brigadier General,David,Gregg,M.,
VA059,CS,Matthew C. Butler,Brigadier General,Matthew,Butler,C.,
VA059,US,Alfred Torbert,Brigadier General,Alfred,Torbert,,
VA062,CS,Robert E. Lee,General,Robert,Lee,E.,
VA062,US,Ulysses S. Grant,Lieutenant General,Ulysses,Grant,S.,
VA062,US,George G. Meade,Major General,George,Meade,G.,
VA063,CS,Robert E. Lee,General,Robert,Lee,E.,
VA063,CS,P.G.T. Beauregard,General,P.G.T.,Beauregard,,
VA063,US,Ulysses S. Grant,Lieutenant General,Ulysses,Grant,S.,
VA063,US,George G. Meade,Major General,George,Meade,G.,
VA064,CS,Jubal A. Early,Lieutenant General,Jubal,Early,A.,
VA064,US,David Hunter,Major General,David,Hunter,,
VA065,CS,Robert E. Lee,General,Robert,Lee,E.,
VA065,US,Ulysses S. Grant,Lieutenant General,Ulysses,Grant,S.,
VA065,US,George G. Meade,Major General,George,Meade,G.,
VA066,CS,Wade Hampton,Major General,Wade,Hampton,,
VA066,US,Philip Sheridan,Major General,Philip,Sheridan,,
VA067,CS,Wade Hampton,Major General,Wade,Hampton,,
VA067,US,James H. Wilson,Brigadier General,James,Wilson,H.,
VA067,US,August Kautz,Brigadier General,August,Kautz,,
VA068,CS,William Mahone,Major General,William,Mahone,,
VA068,CS,Fitzhugh Lee,Major General,Fitzhugh,Lee,,
VA068,US,James H. Wilson,Major General,James,Wilson,H.,
VA068,US,August Kautz,Brigadier General,August,Kautz,,
VA069,CS,Charles Field,Major General,Charles,Field,,
VA069,US,Winfield Scott Hancock,Major General,Winfield,Hancock,Scott,
VA070,CS,Robert E. Lee,General,Robert,Lee,E.,
VA070,US,Ambrose E. Burnside,Major General,Ambrose,Burnside,E.,
VA071,CS,Robert E. Lee,General,Robert,Lee,E.,
VA071,CS,Charles Field,Major General,Charles,Field,,
VA071,US,Winfield Scott Hancock,Major General,Winfield,Hancock,Scott,
VA072,CS,Robert E. Lee,General,Robert,Lee,E.,
VA072,CS,A.P. Hill,Lieutenant General,A.P.,Hill,,
VA072,CS,Henry Heth,Major General,Henry,Heth,,
VA072,CS,William Mahone,Major General,William,Mahone,,
VA072,US,G.K. Warren,Major General,G.K.,Warren,,
VA073,CS,Henry Heth,Major General,Henry,Heth,,
VA073,US,Winfield Scott Hancock,Major General,Winfield,Hancock,Scott,
VA074,CS,A.P. Hill,Lieutenant General,A.P.,Hill,,
VA074,CS,Wade Hampton,Major General,Wade,Hampton,,
VA074,US,George G. Meade,Major General,George,Meade,G.,
VA074,US,John G. Parke,Major General,John,Parke,G.,
VA074,US,G.K. Warren,Major General,G.K.,Warren,,
VA075,CS,Robert E. Lee,General,Robert,Lee,E.,
VA075,CS,Richard S. Ewell,Lieutenant General,Richard,Ewell,S.,
VA075,US,Benjamin Butler,Major General,Benjamin,Butler,,
VA076,CS,Alfred E. Jackson,Brigadier General,Alfred,Jackson,E.,
VA076,US,Stephen Burbridge,Brigadier General,Stephen,Burbridge,,
VA077,CS,Robert E. Lee,General,Robert,Lee,E.,
VA077,US,August Kautz,Brigadier General,August,Kautz,,
VA077,US,David Birney,Major General,David,Birney,,
VA078,CS,Richard Anderson,Lieutenant General,Richard,Anderson,,
VA078,US,Alfred H. Terry,Major General,Alfred,Terry,H.,
VA079,CS,Henry Heth,Major General,Henry,Heth,,
VA079,US,Winfield Scott Hancock,Major General,Winfield,Hancock,Scott,
VA080,CS,James Longstreet,Lieutenant General,James,Longstreet,,
VA080,US,Benjamin Butler,Major General,Benjamin,Butler,,
VA081,CS,John C. Breckinridge,Major General,John,Breckinridge,C.,
VA081,US,George Stoneman,Major General,George,Stoneman,,
VA082,CS,John C. Breckinridge,Major General,John,Breckinridge,C.,
VA082,US,George Stoneman,Major General,George,Stoneman,,
VA083,CS,John B. Gordon,Major General,John,Gordon,B.,
VA083,US,A.A. Humphreys,Major General,A.A.,Humphreys,,
VA083,US,G.K. Warren,Major General,G.K.,Warren,,
VA084,CS,Robert E. Lee,General,Robert,Lee,E.,
VA084,CS,John B. Gordon,Major General,John,Gordon,B.,
VA084,US,John G. Parke,Major General,John,Parke,G.,
VA085,CS,Bushrod R. Johnson,Major General,Bushrod,Johnson,R.,
VA085,US,G.K. Warren,Major General,G.K.,Warren,,
VA086,CS,George Pickett,Major General,George,Pickett,,
VA086,CS,Fitzhugh Lee,Major General,Fitzhugh,Lee,,
VA086,US,Philip Sheridan,Major General,Philip,Sheridan,,
VA087,CS,Robert E. Lee,General,Robert,Lee,E.,
VA087,CS,Richard Anderson,Lieutenant General,Richard,Anderson,,
VA087,US,G.K. Warren,Major General,G.K.,Warren,,
VA088,CS,George Pickett,Major General,George,Pickett,,
VA088,US,Philip Sheridan,Major General,Philip,Sheridan,,
VA089,CS,Robert E. Lee,General,Robert,Lee,E.,
VA089,US,Ulysses S. Grant,Lieutenant General,Ulysses,Grant,S.,
VA090,CS,Henry Heth,Major General,Henry,Heth,,
VA090,CS,Cadmus Wilcox,Major General,Cadmus,Wilcox,,
VA090,US,Nelson A. Miles,Major General,Nelson,Miles,A.,
VA091,CS,Thomas Rosser,Major General,Thomas,Rosser,,
VA091,CS,Fitzhugh Lee,Major General,Fitzhugh,Lee,,
VA091,US,George Crook,Major General,George,Crook,,
VA092,CS,James Longstreet,Lieutenant General,James,Longstreet,,
VA092,US,John Gibbon,Major General,John,Gibbon,,
VA093,CS,Richard S. Ewell,Lieutenant General,Richard,Ewell,S.,
VA093,CS,John B. Gordon,Major General,John,Gordon,B.,
VA093,US,Philip Sheridan,Major General,Philip,Sheridan,,
VA094,CS,Robert E. Lee,General,Robert,Lee,E.,
VA094,US,A.A. Humphreys,Major General,A.A.,Humphreys,,
VA095,US,T. Read,Colonel,T.,Read,,
VA096,CS,Lindsay Walker,Brigadier General,Lindsay,Walker,,
VA096,US,George A. Custer,Major General,George,Custer,A.,
VA097,CS,Robert E. Lee,General,Robert,Lee,E.,
VA097,US,Ulysses S. Grant,Lieutenant General,Ulysses,Grant,S.,
VA098,CS,P.G.T. Beauregard,General,P.G.T.,Beauregard,,
VA098,US,Quincy Gillmore,Major General,Quincy,Gillmore,,
VA099,CS,Wade Hampton,Major General,Wade,Hampton,,
VA099,US,Philip Sheridan,Major General,Philip,Sheridan,,
VA100,CS,Samuel G. French,Brigadier General,Samuel,French,G.,
VA100,US,R.H. Wyman,Lieutenant,R.H.,Wyman,,
VA101,CS,Thomas J. Jackson,Major General,Thomas,Jackson,J.,
VA101,US,Nathan Kimball,Colonel,Nathan,Kimball,,
VA102,CS,Thomas J. Jackson,Major General,Thomas,Jackson,J.,
VA102,US,Robert Milroy,Brigadier General,Robert,Milroy,,
VA102,US,Robert Schenck,Brigadier General,Robert,Schenck,,
VA103,CS,Thomas J. Jackson,Major General,Thomas,Jackson,J.,
VA103,US,John R. Kenly,Colonel,John,Kenly,R.,
VA104,CS,Thomas J. Jackson,Major General,Thomas,Jackson,J.,
VA104,US,Nathaniel P. Banks,Major General,Nathaniel,Banks,P.,
VA105,CS,Richard S. Ewell,Major General,Richard,Ewell,S.,
VA105,US,John C. Frémont,Major General,John,Frémont,C.,
VA106,CS,Thomas J. Jackson,Major General,Thomas,Jackson,J.,
VA106,US,Erastus Tyler,Brigadier General,Erastus,Tyler,,
VA107,CS,Richard S. Ewell,Lieutenant General,Richard,Ewell,S.,
VA107,US,Robert Milroy,Brigadier General,Robert,Milroy,,
VA108,CS,Richard Anderson,Major General,Richard,Anderson,,
VA108,US,William H. French,Major General,William,French,H.,
VA109,CS,William E. Jones,Brigadier General,William,Jones,E.,
VA109,US,William W. Averell,Brigadier General,William,Averell,W.,
VA110,CS,John C. Breckinridge,Major General,John,Breckinridge,C.,
VA110,US,Franz Sigel,Major General,Franz,Sigel,,
VA111,CS,William E. Jones,Brigadier General,William,Jones,E.,
VA111,US,David Hunter,Major General,David,Hunter,,
VA113,CS,"William H.F. ""Rooney"" Lee",Major General,William,Lee,H.F.,
VA113,US,James H. Wilson,Brigadier General,James,Wilson,H.,
VA113,US,August Kautz,Brigadier General,August,Kautz,,
VA114,CS,Jubal A. Early,Lieutenant General,Jubal,Early,A.,
VA114,US,Horatio Wright,Major General,Horatio,Wright,,
VA115,CS,S.D. Ramseur,Major General,S.D.,Ramseur,,
VA115,US,William W. Averell,Brigadier General,William,Averell,W.,
VA116,CS,Jubal A. Early,Lieutenant General,Jubal,Early,A.,
VA116,US,George Crook,Brigadier General,George,Crook,,
VA117,CS,Richard Anderson,Lieutenant General,Richard,Anderson,,
VA117,US,Wesley Merritt,Brigadier General,Wesley,Merritt,,
VA118,CS,Jubal A. Early,Lieutenant General,Jubal,Early,A.,
VA118,US,Philip Sheridan,Major General,Philip,Sheridan,,
VA119,CS,Jubal A. Early,Lieutenant General,Jubal,Early,A.,
VA119,US,Philip Sheridan,Major General,Philip,Sheridan,,
VA120,CS,Jubal A. Early,Lieutenant General,Jubal,Early,A.,
VA120,US,Philip Sheridan,Major General,Philip,Sheridan,,
VA121,CS,Thomas Rosser,Major General,Thomas,Rosser,,
VA121,US,Alfred Torbert,Brigadier General,Alfred,Torbert,,
VA122,CS,Jubal A. Early,Lieutenant General,Jubal,Early,A.,
VA122,US,Horatio Wright,Major General,Horatio,Wright,,
VA122,US,Philip Sheridan,Major General,Philip,Sheridan,,
VA123,CS,Jubal A. Early,Lieutenant General,Jubal,Early,A.,
VA123,US,Philip Sheridan,Major General,Philip,Sheridan,,
VA124,CS,Fitzhugh Lee,Major General,Fitzhugh,Lee,,
VA124,US,George A. Custer,Major General,George,Custer,A.,
VA125,CS,Wade Hampton,Major General,Wade,Hampton,,
VA125,US,H. Judson Kilpatrick,Brigadier General,H.,Kilpatrick,Judson,
VA125,US,Ulric Dahlgren,Colonel,Ulric,Dahlgren,,
WV001,CS,George A. Porterfield,Colonel,George,Porterfield,A.,
WV001,US,Thomas A. Morris,Colonel,Thomas,Morris,A.,
WV002,CS,Thomas J. Jackson,Brigadier General,Thomas,Jackson,J.,
WV002,US,Robert Patterson,Major General,Robert,Patterson,,
WV003,CS,John Pegram,Lieutenant Colonel,John,Pegram,,
WV003,CS,Robert S. Garnett,Brigadier General,Robert,Garnett,S.,
