battle,combatant,fullname,rank,first_name,last_name,middle_name,suffix
GA006,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
GA006,US,George H. Thomas,Major General,George,Thomas,H.,
GA007,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
GA007,US,William T. Sherman,Major General,William,Sherman,T.,
GA008,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
GA008,US,William T. Sherman,Major General,William,Sherman,T.,
GA009,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
GA009,US,William T. Sherman,Major General,William,Sherman,T.,
GA010,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
GA010,US,William T. Sherman,Major General,William,Sherman,T.,
GA010,US,Joseph Hooker,Major General,Joseph,Hooker,,
GA011,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
GA011,US,William T. Sherman,Major General,William,Sherman,T.,
GA012,CS,Patrick R. Cleburne,Major General,Patrick,Cleburne,R.,
GA012,US,Oliver O. Howard,Major General,Oliver,Howard,O.,
GA013,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
GA013,US,William T. Sherman,Major General,William,Sherman,T.,
GA014,CS,John Bell Hood,Lieutenant General,John,Hood,Bell,
GA014,US,John M. Schofield,Major General,John,Schofield,M.,
GA014,US,Joseph Hooker,Major General,Joseph,Hooker,,
GA015,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
GA015,US,William T. Sherman,Major General,William,Sherman,T.,
GA016,CS,John Bell Hood,General,John,Hood,Bell,
GA016,US,George H. Thomas,Major General,George,Thomas,H.,
GA017,CS,John Bell Hood,General,John,Hood,Bell,
GA017,US,William T. Sherman,Major General,William,Sherman,T.,
GA018,CS,John Bell Hood,General,John,Hood,Bell,
GA018,US,Oliver O. Howard,Major General,Oliver,Howard,O.,
GA019,CS,John Bell Hood,General,John,Hood,Bell,
GA019,US,John M. Schofield,Major General,John,Schofield,M.,
GA020,CS,Joseph Wheeler,Major General,Joseph,Wheeler,,
GA020,US,James B. Steedman,Major General,James,Steedman,B.,
GA021,CS,William H. Jackson,Brigadier General,William,Jackson,H.,
GA021,US,H. Judson Kilpatrick,Brigadier General,H.,Kilpatrick,Judson,
GA022,CS,William J. Hardee,Lieutenant General,William,Hardee,J.,
GA022,US,William T. Sherman,Major General,William,Sherman,T.,
GA023,CS,Samuel G. French,Major General,Samuel,French,G.,
GA023,US,John M. Corse,Brigadier General,John,Corse,M.,
GA025,CS,Pleasant J. Philips,Brigadier General,Pleasant,Philips,J.,
GA025,CS,Joseph Wheeler,Major General,Joseph,Wheeler,,
GA025,US,Charles C. Walcutt,Brigadier General,Charles,Walcutt,C.,
GA026,CS,Joseph Wheeler,Major General,Joseph,Wheeler,,
GA026,US,H. Judson Kilpatrick,Brigadier General,H.,Kilpatrick,Judson,
GA027,CS,Joseph Wheeler,Major General,Joseph,Wheeler,,
GA027,US,H. Judson Kilpatrick,Brigadier General,H.,Kilpatrick,Judson,
GA028,CS,George A. Anderson,Major,George,Anderson,A.,
GA028,US,William B. Hazen,Brigadier General,William,Hazen,B.,
ID001,I,Bear Hunter,Chief,Bear,Hunter,,
ID001,US,Patrick Edward Connor,Colonel,Patrick,Connor,Edward,
IN001,CS,John Hunt Morgan,Brigadier General,John,Morgan,Hunt,
IN001,US,Lewis Jordan,Brevet Colonel,Lewis,Jordan,,
KS001,CS,William C. Quantrill,Lieutenant Colonel,William,Quantrill,C.,
KS002,CS,William C. Quantrill,Lieutenant Colonel,William,Quantrill,C.,
KS002,US,James B. Pond,Lieutenant,James,Pond,B.,
KS002,US,James G. Blunt,Major General,James,Blunt,G.,
KS003,CS,John S. Marmaduke,Brigadier General,John,Marmaduke,S.,
KS003,CS,James F. Fagan,Major General,James,Fagan,F.,
KS003,US,Alfred Pleasonton,Major General,Alfred,Pleasonton,,
KS004,CS,John S. Marmaduke,Major General,John,Marmaduke,S.,
KS004,CS,James F. Fagan,Major General,James,Fagan,F.,
KS004,US,Alfred Pleasonton,Major General,Alfred,Pleasonton,,
KY001,CS,Joel A. Battle,Colonel,Joel,Battle,A.,
KY001,US,Isaac J. Black,Captain,Isaac,Black,J.,
KY002,CS,Felix Zollicoffer,Brigadier General,Felix,Zollicoffer,,
KY002,US,Albin F. Schoepf,Brigadier General,Albin,Schoepf,F.,
KY003,CS,John S. Williams,Colonel,John,Williams,S.,
KY003,US,William Nelson,Brigadier General,William,Nelson,,
KY003,US,Joshua W. Sill,Colonel,Joshua,Sill,W.,
KY004,CS,Thomas C. Hindman,Brigadier General,Thomas,Hindman,C.,
KY004,US,August Willich,Colonel,August,Willich,,
KY005,CS,Humphrey Marshall,Brigadier General,Humphrey,Marshall,,
KY005,US,James Garfield,Colonel,James,Garfield,,
KY006,CS,George B. Crittenden,Major General,George,Crittenden,B.,
KY006,US,George H. Thomas,Brigadier General,George,Thomas,H.,
KY007,CS,E. Kirby Smith,Major General,E.,Smith,Kirby,
KY007,US,William Nelson,Major General,William,Nelson,,
KY008,CS,James R. Chalmers,Brigadier General,James,Chalmers,R.,
KY008,CS,Braxton Bragg,General,Braxton,Bragg,,
KY008,US,Cyrus L. Dunham,Colonel,Cyrus,Dunham,L.,
KY008,US,John T. Wilder,Colonel,John,Wilder,T.,
KY009,CS,Braxton Bragg,General,Braxton,Bragg,,
KY009,US,Don Carlos Buell,Major General,Don,Buell,Carlos,
KY010,CS,Nathan Bedford Forrest,Major General,Nathan,Forrest,Bedford,
KY010,US,Stephen G. Hicks,Colonel,Stephen,Hicks,G.,
KY010,US,James W. Shirk,Lieutenant Commander,James,Shirk,W.,
KY011,CS,John Hunt Morgan,Brigadier General,John,Morgan,Hunt,
KY011,US,Stephen Gano Burbridge,Brigadier General,Stephen,Burbridge,Gano,
LA001,CS,Johnson K. Duncan,Brigadier General,Johnson,Duncan,K.,
LA001,CS,John K. Mitchell,Commander,John,Mitchell,K.,
LA001,US,David G. Farragut,Flag Officer,David,Farragut,G.,
LA002,CS,Mansfield Lovell,Major General,Mansfield,Lovell,,
LA002,US,David G. Farragut,Flag Officer,David,Farragut,G.,
LA002,US,Benjamin Franklin Butler,Major General,Benjamin,Butler,Franklin,
LA003,CS,John C. Breckinridge,Major General,John,Breckinridge,C.,
LA003,US,Thomas Williams,Brigadier General,Thomas,Williams,,
LA004,CS,Phillippe Landry,Captain,Phillippe,Landry,,
LA004,US,David G. Farragut,Rear Admiral,David,Farragut,G.,
LA005,CS,Alfred Mouton,Brigadier General,Alfred,Mouton,,
LA005,US,Godfrey Weitzel,Brigadier General,Godfrey,Weitzel,,
LA006,CS,Richard Taylor,Major General,Richard,Taylor,,
LA006,US,Nathaniel P. Banks,Major General,Nathaniel,Banks,P.,
LA007,CS,Richard Taylor,Major General,Richard,Taylor,,
LA007,US,Cuvier Grover,Brigadier General,Cuvier,Grover,,
LA008,CS,Richard Taylor,Major General,Richard,Taylor,,
LA008,US,Cuvier Grover,Brigadier General,Cuvier,Grover,,
