year,date,event1,event2,event3,event4,event5,event6,event7,event8,
1861,Fri 20 Dec,"Dranesville, Va.",,,,,,,,
1861,Wed 1 Jan,"Port Royal Ferry, S.C. (Coosawhatchie River)",,,,,,,,
1862,Fri 10 Jan,"Big Sandy River, Ky. (Middle Creek)",,,,,,,,
1862,Sun 19 Jan,"Mill Springs, Ky. (Logan's Cross Roads, Somerset I, Beech Grove, Fishing Creek)",,,,,,,,
1862,Thurs 6 Feb,"Fort Henry, Tenn. vs. USS Essex, Carondelet, Cincinnati, Conestoga, Tyler, St. Louis, and Lexington.",,,,,,,,
1862,Fri 7 Feb,"Roanoke Island, N.C. (Albemarle Sound Expedition, Burnside's Expedition)",,,,,,,,
1862,Sat 8 Feb,"Roanoke Island, N.C.",,,,,,,,
1862,Thurs 13 Feb,"Fort Donelson, Tenn. (USS St. Louis, Carondelet, Louisville, Pittsburgh, Tyler, and Conestoga)",,,,,,,,
1862,Fri 14 Feb,"Fort Donelson, Tenn. (Dover)",,,,,,,,
1862,Sat 15 Feb,"Fort Donelson, Tenn.",,,,,,,,
1862,Sun 16 Feb,"Fort Donelson, Tenn.",,,,,,,,
1862,Fri 21 Feb,"Valverde, N.Mex. Terr. (Fort Craig)",,,,,,,,
1862,Sat 22 Feb,"Inauguration of Jefferson Davis as President of the Confederate States at Richmond, Va.",,,,,,,,
1862,Tues 25 Feb,"Nashville I, Tenn.",,,,,,,,
1862,Tues 4 Mar,"Femandina, Fla. (USS Pawnee)",,,,,,,,
1862,Thurs 6 Mar,"Pea Ridge, Ark. (Elkhom Tavern, Bentonville, Leetown)",,,,,,,,
1862,Fri 7 Mar,"Pea Ridge, Ark.",,,,,,,,
1862,Sat 8 Mar,"Pea Ridge, Ark.@  USS Congress, Cumberland, and Minnesota vs. CSS Virginia, Hampton Roads, Va.",,,,,,,,
1862,Sun 9 Mar,"USS Monitor vs. CSS Virginia [ex-USS Merrimack], Hampton Roads, Va. @ New Bern I, N.C. Campaign commenced",,,,,,,,
1862,Mon 10 Mar,"New Bern I, N.C. Campaign",,,,,,,,
1862,Tues 11 Mar,"New Bern I, N.C. Campaign",,,,,,,,
1862,Wed 12 Mar,"New Bern I, N.C. Campaign",,,,,,,,
1862,Thurs 13 Mar,"New Bern I, N.C. Campaign",,,,,,,,
1862,Fri 14 Mar,"New Bern I, N.C. Campaign ended New Madrid, Mo.",,,,,,,,
1862,Sun 16 Mar,"Pound Gap I, Ky. Va.  Island No. 10, Tenn., Campaign commenced",,,,,,,,
1862,Mon 17 Mar,"Island No. 10, Tenn.",,,,,,,,
1862,Tues 18 Mar,"Island No. 10, Tenn.",,,,,,,,
1862,Wed 19 Mar,"Island No. 10, Tenn.",,,,,,,,
1862,Thurs 20 Mar,"Island No. 10, Tenn.",,,,,,,,
1862,Fri 21 Mar,"Island No. 10, Tenn.",,,,,,,,
1862,Sat 22 Mar,"Winchester I, Va. (Kernstown I)@ Island No. 10, Tenn.",,,,,,,,
1862,Sun 23 Mar,"Winchester I, Va. (Kernstown I)@ Island No. 10, Tenn.",,,,,,,,
1862,Mon 24 Mar,"Island No. 10, Tenn.",,,,,,,,
1862,Tues 25 Mar,"Island No. 10, Tenn.",,,,,,,,
1862,Wed 26 Mar,"Glorieta, N.Mex. Terr. (Apache Canyon, Glorieta Pass, Glorieta Canyon, Pigeon's Ranch, Johnson's Ranch)@  Island No. 10, Tenn.",,,,,,,,
1862,Thurs 27 Mar,"Glorieta, N.Mex. Terr. (Apache Canyon, Glorieta Pass, Glorieta Canyon, Pigeon's Ranch, Johnson's Ranch)@  Island No. 10, Tenn.",,,,,,,,
1862,Fri 28 Mar,"Glorieta, N.Mex. Terr. (Apache Canyon, Glorieta Pass, Glorieta Canyon, Pigeon's Ranch, Johnson's Ranch)@  Bealeton Station, Va. (Rappahannock Station)@  Island No. 10, Tenn.",,,,,,,,
1862,Sat 29 Mar,"Island No. 10, Tenn.",,,,,,,,
1862,Sun 30 Mar,"Island No. 10, Tenn.",,,,,,,,
1862,Mon 31 Mar,"Island No. 10, Tenn.",,,,,,,,
1862,Tues 1 Apr,"Island No. 10, Tenn.",,,,,,,,
1862,Wed 2 Apr,"Island No. 10, Tenn.",,,,,,,,
1862,Thurs 3 Apr,"Island No. 10, Tenn.",,,,,,,,
1862,Fri 4 Apr,"Island No. 10, Tenn.",,,,,,,,
1862,Sat 5 Apr,"Siege of Yorktown, Va. Commenced@ Island No. 10, Tenn.",,,,,,,,
1862,Sun 6 Apr,"Siege of Yorktown, Va.@  Shiloh, Tenn. (Pittsburg Landing)@ Island No. 10, Tenn.",,,,,,,,
1862,Mon 7 Apr,"Siege of Yorktown, Va.@  Shiloh, Tenn. (Pittsburg Landing)@  Island No. 10, Tenn. (New Madrid Bend, Tiptonville)",,,,,,,,
1862,Tues 8 Apr,"Siege of Yorktown, Va.@  Island No. 10, Tenn. campaign ended",,,,,,,,
1862,Wed 9 Apr,"Siege of Yorktown, Va.",,,,,,,,
1862,Thurs 10 Apr,"Siege of Yorktown, Va.@ Fort Pulaski, Ga.",,,,,,,,
