year,date,event1,event2,event3,event4,event5,event6,event7,event8,
1862,Mon 22 Dec,Forrest's Raid II ," Morgan's Raid III, Ky. (Tompkinsville II)"," Kelly's Ford I, Va.",,,,,,
1862,Tues 23 Dec,Forrest's Raid II ,"Morgan's Raid III, Ky.",,,,,,,
1862,Wed 24 Dec,Forrest's Raid II,"  Morgan's Raid III, Ky. (Glasgow II)",,,,,,,
1862,Thurs 25 Dec,Forrest's Raid II  ,"Morgan's Raid III, Ky. (Cave City)",,,,,,,
1862,Fri 26 Dec,Forrest's Raid II ," Morgan's Raid III, Ky. (Nolan, Upton, Munfordville, Bacon Creek)",,,,,,,
1862,Sat 27 Dec,Forrest's Raid II ," Morgan's Raid III, Ky. (Elizabethtown)",,,,,,,
1862,Sun 28 Dec,Forrest's Raid II  ,"Morgan's Raid III, Ky. (Lebanon Junction, Muldraugh's Hill)  ","Chickasaw Bayou, Miss. (Chickasaw Bluff, Walnut Hills)",,,,,,
1862,Mon 29 Dec,Forrest's Raid II  ,"Morgan's Raid III, Ky. (Boston, New Haven, Bardstown II)  ","Chickasaw Bayou, Miss.",,,,,,
1862,Tues 30 Dec,Forrest's Raid II  ,"Morgan's Raid III, Ky. (Springfield II)"," Carter's Station, Tenn. (Wautauga Bridge) ","Chickasaw Bayou, Miss.",,,,,
1862,Wed 31 Dec,"Forrest's Raid II (Parker's Crossroads, Tenn.) "," Morgan's Raid III, Ky. (Lebanon II, Camp-bellsville II) "," Stones River, Tenn. (Murfreesboro I)",,,,,,
1863,Thurs 1 Jan,"Stones River, Tenn. (Murfreesboro I) ","Morgan's Raid m, Ky. (Columbia I)"," Helena, Ark.  ","Galveston I, Tex. (USS Harriet Lane, Owasco, Corypheus, Sachem, Westfield, and Clifton vs. CSS Bayou City and Neptune)",,,,,
1863,Fri 2 Jan,"Stones River, Tenn. (Murfreesboro I) ","Morgan's Raid III, Ky. ended (Burkesville, Ky., Smithville, Tenn.)",,,,,,,
1863,Sat 10 Jan,"Arkansas Post, Ark. (Fort Hindman)",,,,,,,,
1863,Sun 11 Jan,"Arkansas Post, Ark. (USS Black Hawk) ","USS Hatteras vs. CSS Alabama off Galveston II, Tex.",,,,,,,
1863,Wed 14 Jan,"Bayou Teche II, La. (USS Calhoun, Diana, Estrella, and Kinsman vs. CSS Cotton)",,,,,,,,
1863,Tues 20 Jan,"The ""Mud March"" in Va.",,,,,,,,
1863,Wed 21 Jan,"Sabine Pass I, Tex. ","""Mud March""",,,,,,,
1863,Thurs 22 Jan,"""Mud March""",,,,,,,,
1863,Fri 23 Jan,"""Mud March""",,,,,,,,
1863,Sun 1 Feb,"Fort McAllister I, Ga.",,,,,,,,
1863,Tues 24 Feb,"Arizona Terr, organized ",Capture of USS Indianola,,,,,,,
1863,Sat 28 Feb,"USS Montauk vs. CSS Rattlesnake in Ossabaw Sound, Ga.",,,,,,,,
1863,Tues 3 Mar,"Idaho Terr, organized",,,,,,,,
1863,Wed 4 Mar,"Thompson's Station I, Tenn. (Spring Hill I, Unionville)",,,,,,,,
1863,Thurs 5 Mar,"Thompson's Station I, Tenn.",,,,,,,,
1863,Wed 11 Mar,"Fort Pemberton, Miss. (USS Chillicothe and Baron de Kalb)",,,,,,,,
1863,Sat 14 Mar,"Port Hudson, La. (USS Mississippi, Hartford, Richmond, Monongahela, Albatross, Genesee, and Kineo)",,,,,,,,
1863,Mon 16 Mar,"Steele's Bayou, Miss.",,,,,,,,
1863,Tues 17 Mar,"Kelly's Ford II, Va. (Kellysville) ","Steele's Bayou, Miss.",,,,,,,
1863,Wed 18 Mar,"Steele's Bayou, Miss.",,,,,,,,
1863,Thurs 19 Mar,"Steele's Bayou, Miss.",,,,,,,,
1863,Fri 20 Mar,"Steele's Bayou, Miss.",,,,,,,,
1863,Sat 21 Mar,"Fort Pemberton II, Miss. (USS Chillicothe and Baron de Kalb)  ","Steele's Bayou, Miss.",,,,,,,
1863,Sun 22 Mar,"Steele's Bayou, Miss.",,,,,,,,
1863,Mon 23 Mar,"Jacksonville I, Fla. (USS Paul Jones)",,,,,,,,
1863,Wed 25 Mar,"Brentwood I, Tenn.",,,,,,,,
1863,Tues 7 Apr,"Fort Sumter II, S.C. (USS Weehawken, Passaic, Montauk, Nantucket, Patapsco, Keokuk, Catskill, Nahant, and New Ironsides)",,,,,,,,
1863,Sat 11 Apr,"Siege of Suffolk, Va. commenced",,,,,,,,
1863,Sun 12 Apr,"Irish Bend, La. (Centreville, Fort Bisland, Bethel Place, Bayou Teche, Indian Ridge, Indian Bend)  ","Siege of Suffolk, Va.",,,,,,,
1863,Mon 13 Apr,"Irish Bend, La. (Centreville, Fort Bisland, Bethel Place, Bayou Teche, Indian' Ridge, Indian Bend) "," Siege of Suffolk, Va.",,,,,,,
1863,Tues 14 Apr,"Irish Bend, La. (Centreville, Fort Bisland, Bethel Place, Bayou Teche, Indian Ridge, Indian Bend)","  Siege of Suffolk, Va.",,,,,,,
1863,Wed 15 Apr,"Siege of Suffolk, Va.",,,,,,,,
1863,Thurs 16 Apr,"Siege of Suffolk, Va.",,,,,,,,
1863,Fri 17 Apr,"Grierson's Raid commenced (Lagrange, Tenn.)",  Marmaduke's Raid commenced .,"Siege of Suffolk, Va",,,,,,
1863,Sat 18 Apr,"Grierson's Raid (Ripley, Miss.)"," Marmaduke's Raid Siege of Suffolk, Va."," Fayetteville I, Ark.",,,,,,
1863,Sun 19 Apr,"Grierson's Raid (Pontotoc I, Miss.) ",Marmaduke's Raid ,"Fort Huger, N.C. "," Siege of Suffolk, Va.",,,,,
1863,Mon 20 Apr,Grierson's Raid  ,"Marmaduke's Raid (Patterson I, Mo.) ","Siege of Suffolk, Va.",,,,,,
1863,Tues 21 Apr,"Grierson's Raid (Palo Alto, Miss.) ",Marmaduke's Raid ,W. E. Jones' Va. Raid commenced ,"Imboden's Va. Raid commenced (Beverly, Va.)  ","Streight's Raid commenced (Eastport, Miss.)  ","Siege of Suffolk, Va.",,,
1863,Wed 22 Apr,"Grierson's Raid (Starkville, Miss.)  ","Marmaduke's Raid (Fredericktown I, Mo.)  ",W. E. Jones' Raid , Imboden's Raid  ,Streight's Raid  ,"Siege of Suffolk, Va.",,,
1863,Thurs 23 Apr,Grierson's Raid ,Marmaduke's Raid, W. E. Jones' Raid ,Imboden's Raid ,Streight's Raid ,"Siege of Suffolk, Va.",,,
1863,Fri 24 Apr,"Grierson's Raid (Garlandville, Morton, and Birmingham, Miss.)  ",Marmaduke's Raid  ,W. E. Jones' Raid ," Imboden's Raid (Beverly II, Va.)  ",Streight's Raid ,"Siege of Suffolk, Va.",,,
1863,Sat 25 Apr,Grierson's Raid ,Marmaduke's Raid ,W. E. Jones' Raid,Imboden's Raid ,Streight's Raid ,"Siege of Suffolk, Va. ",,,
1863,Sun 26 Apr,Grierson's Raid,"Marmaduke's Raid (Cape Girardeau, Jack-son, Mo.)  ","W. E. Jones' Raid (Altamont, Oakland, Cranberry Summit, Md.) ", Imboden's Raid  ,"Streight's Raid (Tuscumbia I, Ala.)  ","Siege of Suffolk, Va.  ",,,
1863,Mon 27 Apr,Grierson's Raid,"Marmaduke's Raid (Jackson I, Whitewater Bridge, Mo.)  ",W. E. Jones' Raid ,Imboden's Raid ,Streight's Raid," Siege of Suffolk, Va. ",,,
1863,Tues 28 Apr," Grierson's Raid (Union Church, Miss.)",Marmaduke's Raid ,W. E. Jones' Raid, Imboden's Raid ,"Streight's Raid (Mouton, Ala)  ","Siege of Suffolk, Va.  ",,,
1863,Wed 29 Apr,"Grierson's Raid (Brookhaven, Miss.)","Marmaduke's Raid (Castor River, Mo.) ","W. E. Jones' Raid (Fairmont, Va.) ",Imboden's Raid ,Streight's Raid ," Grand Gulf II, Miss. (USS Louisville, Carondelet, Mound City, Pittsburgh, Benton, Tuscumbia, and Lafayette) ","Siege of Suffolk, Va.  ","Stoneman's Raid I, Va. commenced ",
1863,Thurs 30 Apr,Grierson's Raid,"Marmaduke's Raid (Bloomfield, Mo.) ","W. E. Jones' Raid (Bridgeport, Va.) ",Imboden's Raid  ,"Streight's Raid (Day's Gap, Sand Mountain, Ala.)  ","Haines's Bluff, Miss. (Snyder's Mill) ","Siege of Suffolk, Va.  ","Stoneman's Raid I (Raccoon Ford, Va.) ",
1863,Fri 1 May,"Grierson's Raid (Amite River, Williams Bridge)", Marmaduke's Raid ,W. E. Jones' Raid," Streight's Raid (Blountsville, Ala.) ","Chancellorsville, Va. commenced ","Grant's Vicksburg Campaign commenced (Port Gibson, Grand Gulf HI, Thompson's Mill, Magnolia Hills, Miss.)"," Haines' Bluff, Miss.  ","Siege of Suffolk, Va.  ","Stoneman's Raid I (Rapidan Station, Va.)"
1863,Sat 2 May," Grierson's Raid ended (Baton Rouge, La.)",Marmaduke's Raid ended ,W. E. Jones' Raid, Imboden's Raid,"Streight's Raid (Black Creek, Gadsden Center, Blount's Plantation, Ala.) ","Chancellorsville, Va.",  Grant's Vicksburg Campaign ,"Siege of Suffolk, Va. "," Stoneman's Raid I (Louisa Courthouse,  Va.)"
1863,Sun 3 May,W. E. Jones' Raid ,Imboden's Raid  ,"Streight's Raid ended (Cedar Bluff, Ala.) ","Chancellorsville, Va. "," Fredericksburg, Va. II (Marye's Heights II, Salem Heights, Salem Church I)  ","Grant's Vicksburg Campaign (Grand Gulf IV, Miss.)  ","Siege of Suffolk, Va. ", Stoneman's Raid I,
1863,Mon 4 May,W. E. Jones' Raid, Imboden's Raid ,"Chancellorsville, Va. ended ","Fredericksburg, Va. II (Marye's Heights H, Salem Heights, Salem Church)  ",Grant's Vicksburg Campaign ,"Siege of Suffolk, Va. ended ",Stoneman's Raid I,,
1863,Tues 5 May,W. E. Jones' Raid ,Grant's Vicksburg Campaign," Tupelo I, Miss.  ",,,,,,
1863,Wed 6 May,W. E. Jones' Raid ,Grant's Vicksburg Campaign,Stoneman's Raid I,,,,,,
1863,Thurs 7 May,W. E. Jones' Raid ,Grant's Vicksburg Campaign," Alexandria I, La.",  Stoneman's Raid I ended,,,,,
1863,Fri 8 May,W. E. Jones' Raid ,Grant's Vicksburg Campaign,,,,,,,
1863,Sat 9 May,W. E. Jones' Raid ," Grant's Vicksburg Campaign (Utica, Miss.)",,,,,,,
1863,Sun 10 May,W. E. Jones' Raid ,Grant's Vicksburg Campaign,,,,,,,
1863,Mon 11 May,W. E. Jones' Raid ,Grant's Vicksburg Campaign,,,,,,,
1863,Tues 12 May,W. E. Jones' Raid  ,"Grant's Vicksburg Campaign (Raymond, Miss.)",,,,,,,
1863,Wed 13 May,W. E. Jones' Raid ,Grant's Vicksburg Campaign,,,,,,,
1863,Thurs 14 May,W. E. Jones' Raid ," Grant's Vicksburg Campaign (Jackson I, Miss.)",,,,,,,
1863,Fri 15 May,W. E. Jones' Raid ," Grant's Vicksburg Campaign (Edward's Station, Miss.)",,,,,,,
1863,Sat 16 May,W. E. Jones' Raid ," Grant's Vicksburg Campaign (Champion Hill, Baker's Creek, Edward's Station, Miss.)",,,,,,,
1863,Sun 17 May,W. E. Jones' Raid,"  Grant's Vicksburg Campaign (Big Black River I, Miss.)",,,,,,,
1863,Mon 18 May,W. E. Jones' Raid  ,Grant's Vicksburg Campaign (Siege of Vicksburg),,,,,,,
1863,Tues 19 May,W. E. Jones' Raid  ,Grant's Vicksburg Campaign (Siege of Vicksburg),,,,,,,
1863,Wed 20 May,W. E. Jones' Raid  ,Grant's Vicksburg Campaign (Siege of Vicksburg),,,,,,,
1863,Thurs 21 May,W. E. Jones' Raid ended ,Grant's Vicksburg Campaign (Siege of Vicksburg)  ,"Siege of Port Hudson, La. commenced",,,,,,
1863,Fri 22 May,Grant's Vicksburg Campaign (Siege of Vicksburg) ," Siege of Port Hudson, La.",,,,,,,
1863,Sat 23 May,Grant's Vicksburg Campaign (Siege of Vicksburg) ," Siege of Port Hudson, La.",,,,,,,
1863,Sun 24 May,Grant's Vicksburg Campaign (Siege of Vicksburg) ," Siege of Port Hudson, La.",,,,,,,
1863,Mon 25 May,Grant's Vicksburg Campaign (Siege of Vicksburg)  ,"Siege of Port Hudson, La.  ","Yazoo City I, Miss.",,,,,,
1863,Tues 26 May,Grant's Vicksburg Campaign (Siege of Vicksburg)  ,"Siege of Port Hudson, La. "," USS Cincinnati off Vicksburg, Miss.",,,,,,
1863,Wed 27 May,Grant's Vicksburg Campaign (Siege of Vicksburg) ," Siege of Port Hudson, La.",,,,,,,
1863,Thurs 28 May,Grant's Vicksburg Campaign (Siege of Vicksburg) ," Siege of Port Hudson, La.",,,,,,,
1863,Fri 29 May,Grant's Vicksburg Campaign (Siege of Vicksburg) ," Siege of Port Hudson, La.",,,,,,,
1863,Sat 30 May,Grant's Vicksburg Campaign (Siege of Vicksburg) ," Siege of Port Hudson, La.",,,,,,,
1863,Sun 31 May,Grant's Vicksburg Campaign (Siege of Vicksburg) ," Siege of Port Hudson, La.",,,,,,,
1863,Mon 1 June,Grant's Vicksburg Campaign (Siege of Vicksburg) ," Siege of Port Hudson, La.",,,,,,,
1863,Tues 2 June,Grant's Vicksburg Campaign (Siege of Vicksburg) ," Siege of Port Hudson, La.",,,,,,,
1863,Wed 3 June,Grant's Vicksburg Campaign (Siege of Vicksburg) ," Siege of Port Hudson, La.",,,,,,,
1863,Thurs 4 June,Grant's Vicksburg Campaign (Siege of Vicksburg),,,,,,,,
1863,Fri 5 June,"Siege of Port Hudson, La. "," Franklin I, Tenn.  ",Grant's Vicksburg Campaign (Siege of Vicksburg) ,,,,,,
1863,Sat 6 June," Siege of Port Hudson, La.  ",Grant's Vicksburg Campaign (Siege of Vicksburg),,,,,,,
1863,Sun 7 June,"Siege of Port Hudson, La.  ","Grant's Vicksburg Campaign (Siege of Vicksburg, Miss., and Miliken's Bend)",,,,,,,
1863,Mon 8 June,"Siege of Port Hudson, La. ", Grant's Vicksburg Campaign (Siege of Vicksburg),,,,,,,
1863,Tues 9 June,"Siege of Port Hudson, La.  ",Grant's Vicksburg Campaign (Siege of Vicksburg),,,,,,,
1863,Wed 10 June,"Siege of Port Hudson, La.  ","Brandy Station III, Va. (Fleetwood, Beverly Ford, Stevensburg)  ",Grant's Vicksburg Campaign (Siege of Vicksburg) ,,,,,,
1863,Thurs 11 June,"Siege of Port Hudson, La. ", Grant's Vicksburg Campaign (Siege of Vicksburg),,,,,,,
1863,Fri 12 June,"Siege of Port Hudson, La.  ",Grant's Vicksburg Campaign (Siege of Vicksburg),,,,,,,
1863,Sat 13 June,"Siege of Port Hudson, La.  ",Grant's Vicksburg Campaign (Siege of Vicksburg),,,,,,,
1863,Sun 14 June,"Siege of Port Hudson, La.  ","Berryville I, Va.  ",Grant's Vicksburg Campaign (Siege of Vicksburg) ,,,,,,
1863,Mon 15 June,"Siege of Port Hudson, La.  ","Winchester, Va. III (Stephenson's Depot I) ","Martinsburg I, Va.  ",Grant's Vicksburg Campaign (Siege of Vicksburg),,,,,
1863,Tues 16 June,"Siege of Port Hudson, La. "," Winchester, Va. IIl (Stephenson's Depot I)", Grant's Vicksburg Campaign (Siege of Vicksburg),,,,,,
1863,Wed 17 June,"Siege of Port Hudson, La. "," Gettysburg, Pa. Campaign commenced ",Grant's Vicksburg Campaign (Siege of Vicksburg) ,,,,,,
1863,Thurs 18 June,"Siege of Port Hudson, La.","  Gettysburg, Pa. Campaign (Aldie, Middle-burg, Va.)  ","Warsaw Sound, Ga. (USS Weehawken vs.  CSS Atlanta)  ",Grant's Vicksburg Campaign (Siege of,,,,,
1863,Fri 19 June,"Siege of Port Hudson, La.  ","Gettysburg, Pa. Campaign (Middleburg, Va.) ",Grant's Vicksburg Campaign (Siege of Vicksburg) ,"Siege of Port Hudson, La.  ","Gettysburg, Pa. Campaign (Middieburg, Va.)",,,,
1863,Sat 20 June,"West Virginia admitted to the Union @ Grant's Vicksburg Campaign (Siege of Vicksburg)  @ Siege of Port Hudson, La.  @ Gettysburg, Pa. Campaign",,,,,,,,
1863,Sun 21 June,"Grant's Vicksburg Campaign (Siege of Vicksburg) @  Siege of Port Hudson, La.@  Gettysburg, Pa. Campaign",,,,,,,,
1863,Mon 22 June,"Grant's Vicksburg Campaign (Siege of Vicksburg) @  Siege of Port Hudson, La.  @ Gettysburg, Pa. Campaign (Upperville, Va.)",,,,,,,,
1863,Tues 23 June,"Grant's Vicksburg Campaign (Siege of Vicksburg)@  Siege of Port Hudson, La. @ Gettysburg, Pa. Campaign @ Brashear City, La. @ Tullahoma, Tenn. Campaign commenced",,,,,,,,
1863,Wed 24 June,"Grant's Vicksburg Campaign (Siege of Vicksburg)  @ Siege of Port Hudson, La. (Bayou Boeuf)  @ Gettysburg, Pa. Campaign @  Tullahoma, Tenn. Campaign (Hoover's Gap)",,,,,,,,
1863,Thurs 25 June,"Grant's Vicksburg Campaign (Siege of Vicksburg)  @ Siege of Port Hudson, La. @  Gettysburg, Pa. Campaign @ Tullahoma, Tenn. Campaign (Liberty Gap)",,,,,,,,
1863,Fri 26 June,"Grant's Vicksburg Campaign (Siege of Vicksburg)  @ Siege of Port Hudson, La.  @ Gettysburg, Pa. Campaign @ Tullahoma, Tenn. Campaign",,,,,,,,
1863,Sat 27 June,"Grant's Vicksburg Campaign (Siege of Vicksburg)  @ Siege of Port Hudson, La. @ Gettysburg, Pa. Campaign @ Tullahoma, Tenn. Campaign @ Fairfax Court House H, Va.",,,,,,,,
1863,Sun 28 June,"Grant's Vicksburg Campaign (Siege of Vicksburg) @  Siege of Port Hudson, La.  @ Gettysburg, Pa. Campaign @ Tullahoma, Tenn. Campaign",,,,,,,,
1863,Mon 29 June,"Grant's Vicksburg Campaign (Siege of Vicksburg) @ Siege of Port Hudson, La. @ Gettysburg, Pa. Campaign @ Tullahoma, Tenn. Campaign",,,,,,,,
1863,Tues 30 June,"Grant's Vicksburg Campaign (Siege of Vicksburg)  @ Siege of Port Hudson, La. @ Gettysburg, Pa. Campaign (Hanover) @ Tullahoma, Tenn. Campaign ended",,,,,,,,
1863,Wed 1 July,"Grant's Vicksburg Campaign (Siege of Vicksburg)  @ Siege of Port Hudson, La.  @ Gettysburg, Pa.  @ Carlisle, Pa.",,,,,,,,
1863,Thurs 2 July,"Grant's Vicksburg Campaign (Siege of Vicksburg)  @ Siege of Port Hudson, La.  @ Gettysburg, Pa. @ Morgan's Raid IV commenced (Burkesville, Marrowbone, Ky.)",,,,,,,,
1863,Fri 3 July,"Grant's Vicksburg Campaign (Siege of Vicksburg)  @ Siege of Port Hudson, La. @Donaldsonville I, La.  @ Gettysburg, Pa. @ Morgan's Raid IV (Columbia II, Ky.)",,,,,,,,
1863,Sat 4 July,"Grant's Vicksburg Campaign ended @ Siege of Port Hudson, La. @ Helena, Ark. @ Gettysburg, Pa. @ Morgan's Raid IV (Tebb's Bend, Ky.)",,,,,,,,
1863,Sun 5 July,"Siege of Port Hudson, La. @ Birdsong Ferry, Miss. (Bolton Ferry) @ Morgan's Raid IV (Lebanon II, Ky.)",,,,,,,,
1863,Mon 6 July,"Siege of Port Hudson, La.  @ Morgan's Raid IV (Bardstown HI, Ky.) @ Williamsport, Md.  @ Hagerstown I, Md.",,,,,,,,
1863,Tues 7 July,"Siege of Port Hudson, La. @ Jackson II, Miss, commenced (Bolton, Miss.) @ Morgan's Raid IV (Gamettsville, Ky.)",,,,,,,,
1863,Wed 8 July,"Siege of Port Hudson, La.  @Jackson II, Miss. @ Morgan's Raid IV",,,,,,,,
1863,Thurs 9 July,"Siege of Port Hudson, La. Ended @ Jackson II, Miss.  @ Morgan's Raid IV (Brandenburg, Ky., Corydon, Ind.)",,,,,,,,
1863,Fri 10 July,"Jackson II, Miss.  @ Morgan's Raid IV (Salem, Ind.)  @ Battery Wagner I, S.C. commenced (Fort Wagner I)",,,,,,,,
1863,Sat 11 July,"Jackson II, Miss. @  Morgan's Raid IV (Pekin, Ind.) @ Battery Wagner I, S.C.",,,,,,,,
1863,Sun 12 July,"Jackson II, Miss. @ Morgan's Raid IV @ Battery Wagner I, S.C.",,,,,,,,
1863,Mon 13 July,"Jackson II, Miss. @  Morgan's Raid IV (Harrison, Ohio) @ Battery Wagner I, S.C.  @ Bayou La Fourche I, La. (Donaldsonville II, Cox's Plantation) @  Yazoo City II, Miss. (USS Baron de Kalb, Kenwood, New National and Signal)  @ New York Draft Riots",,,,,,,,
1863,Tues 14 July,"Jackson II, Miss. @ Morgan's Raid IV (Camp Dennison, Williamsburg, Ohio) @  Battery Wagner I, S.C.  @ Falling Waters, Md.",,,,,,,,
1863,Wed 15 July,"Jackson II, Miss. ",Morgan's Raid IV ,"Battery Wagner I, S.C.",,,,,,
1863,Thurs 16 July,"Jackson II, Miss. ",Morgan's Raid IV ,"Battery Wagner I, S.C.",,,,,,
1863,Fri 17 July,"Jackson II, Miss. ",Morgan's Raid IV ,"Battery Wagner I, S.C.",,,,,,
1863,Sat 18 July,Jackson II. Miss.  ,"Battery Wagner I, S.C.","Morgan's Raid IV (Pomeroy, Ohio) ",,,,,,
1863,Sun 19 July,"Jackson II, Miss. (Brandon, Miss.) ","Morgan's Raid IV (Buffington Island, Ohio)"," Battery Wagner I, S.C. ended",,,,,,
1863,Mon 20 July,"Jackson II, Miss. ",Morgan's Raid IV,,,,,,,
1863,Tues 21 July,"Jackson II, Miss. ",Morgan's Raid IV,,,,,,,
1863,Wed 22 July,"Jackson II, Miss. ",Morgan's Raid IV,,,,,,,
1863,Thurs 23 July,"Jackson II, Miss.  ","Wapping Heights, Va, (Manassas Gap) ",Morgan's Raid IV,,,,,,
1863,Fri 24 July,"Jackson II. Miss, ended ",Morgan's Raid IV ,"Battle Mountain, Va.",,,,,,
1863,Sat 25 July,Morgan's Raid IV,,,,,,,,
1863,Sun 26 July,"Morgan's Raid IV ended (New Lisbon, Salineville, Ohio)",,,,,,,,
1863,Sat 1 Aug,"Brandy Station IV, Va. (Culpeper, Rappahannock Station II)",,,,,,,,
1863,Sun 2 Aug,"Brandy Station IV, Va. (Culpeper, Rappahannock Station II)",,,,,,,,
1863,Mon 3 Aug,"Brandy Station IV, Va. (Culpeper, Rappahannock Station II)",,,,,,,,
1863,Tues 4 Aug,"Brandy Station IV, Va. (Culpeper, Rappahannock Station II)",,,,,,,,
1863,Mon 17 Aug,"Fort Sumter III, S.C. commenced ","Grenada, Miss.  ","Sparta III, Tenn.",,,,,,
1863,Tues 18 Aug,"Fort Sumter III, S.C.",,,,,,,,
1863,Wed 19 Aug,"Fort Sumter III, S.C.",,,,,,,,
1863,Thurs 20 Aug,"Fort Sumter III, S.C.",,,,,,,,
1863,Fri 21 Aug,"Fort Sumter III, S.C.","  Quantrill's Raid I (Lawrence, Kans.)",,,,,,,
1863,Sat 22 Aug,"Fort Sumter III, S.C. ended",,,,,,,,
1863,Wed 26 Aug,"Averell's Raid I (Rocky Gap, White Sulphur Springs, W.Va.)",,,,,,,,
1863,Mon 31 Aug,"Fort Smith E, Ark.",,,,,,,,
1863,Sun 6 Sept,"Battery Wagner E, S.C.",,,,,,,,
1863,Tues 8 Sept,"Sabine Pass E, Tex. (USS Arizona, Clifton, Granite City, and Sachem)  @ Telford Depot, Tenn.  @ Fort Moultrie I, S.C. (USS Weehawken and New Ironsides)",,,,,,,,
1863,Wed 9 Sept,"Chattanooga I, Tenn. @ Cumberland Gap III, Tenn.",,,,,,,,
1863,Thurs 10 Sept,"Little Rock, Ark. (Bayou La Fourche E)",,,,,,,,
1863,Sat 19 Sept,"Chickamauga, Ga.",,,,,,,,
1863,Sun 20 Sept,"Chickamauga, Ga.",,,,,,,,
1863,Tues 22 Sept,"Shelby Campaign, Ark. and Mo. @ Blountsville, Tenn.",,,,,,,,
1863,Wed 23 Sept,"Shelby Campaign, Ark. and Mo.",,,,,,,,
1863,Thurs 24 Sept,"Shelby Campaign, Ark. and Mo.",,,,,,,,
1863,Fri 25 Sept,"Shelby Campaign, Ark. and Mo.",,,,,,,,
1863,Sat 26 Sept,"Shelby Campaign, Ark. and Mo.",,,,,,,,
1863,Sun 27 Sept,"Shelby Campaign, Ark. and Mo. (Moffat's Station, Ark.)",,,,,,,,
1863,Mon 28 Sept,"Shelby Campaign, Ark. and Mo.",,,,,,,,
1863,Tues 29 Sept,"Shelby Campaign, Ark. and Mo. @ Morganzia, La.",,,,,,,,
1863,Wed 30 Sept,"Shelby Campaign, Ark. and Mo.",,,,,,,,
1863,Thurs 1 Oct,"Shelby Campaign, Ark. and Mo. @ Wheeler's Raid I, Tenn. commenced (Decatur)",,,,,,,,
1863,Fri 2 Oct,"Shelby Campaign, Ark. and Mo. @ Wheeler's Raid I, Tenn. (Anderson's Crossroads)",,,,,,,,
1863,Sat 3 Oct,"Shelby Campaign, Ark. and Mo. @ Wheeler's Raid I, Tenn. (McMinnville E)",,,,,,,,
1863,Sun 4 Oct,"Shelby Campaign, Ark. and Mo. (Neosho, Mo.)  @ Wheeler's Raid I, Tenn.",,,,,,,,
1863,Mon 5 Oct,"Shelby Campaign, Ark. and Mo. @ USS New Ironsides vs. CSS David (Charleston I, S.C.)  @ Wheeler's Raid I, Tenn.",,,,,,,,
1863,Tues 6 Oct,"Shelby Campaign, Ark. and Mo. @ Quantrill's Raid II (Baxter Springs, Kans.) @ Wheeler's Raid I, Tenn.",,,,,,,,
1863,Wed 7 Oct,"Shelby Campaign, Ark. and Mo. @ Wheeler's Raid I, Tenn. (Farmington, Shelbyville I)",,,,,,,,
1863,Thurs 8 Oct,"Shelby Campaign, Ark. and Mo. @ Wheeler's Raid I, Tenn.",,,,,,,,
1863,Fri 9 Oct,"Shelby Campaign, Ark. and Mo. (Cole Camp, Mo.) @  Bristoe, Va. Campaign commenced (Brandy Station III)  @ Wheeler's Raid I, Tenn. ended (Rogersville I)",,,,,,,,
1863,Sat 10 Oct,"Shelby Campaign, Ark. and Mo. (Tipton, Syracuse, Mine Bridge, Mo.)  @ Bristoe, Va. Campaign (Rapidan River) @ Blue Springs, Tenn. @  Cumberland Gap IV, Tenn.",,,,,,,,
1863,Sun 11 Oct,"Shelby Campaign, Ark. and Mo. (Boonville E, Mo.)  @ Bristoe, Va. Campaign",,,,,,,,
1863,Mon 12 Oct,"Shelby Campaign, Ark. and Mo. @ Bristoe, Va. Campaign",,,,,,,,
1863,Tues 13 Oct,"Shelby Campaign, Ark. and Mo. (Arrow Rock, Mo.)  @ Bristoe, Va. Campaign",,,,,,,,
1863,Wed 14 Oct,"Shelby Campaign, Ark. and Mo.",,,,,,,,
1863,Thurs 15 Oct,"Bristoe, Va. Campaign (Bristoe Station II, Auburn, Catlett's Station II) "," Shelby Campaign, Ark. and Mo.",,,,,,,
1863,Fri 16 Oct,"Bristoe, Va. Campaign ","Canton, Miss.  ","Shelby Campaign, Ark. and Mo.",,,,,,
1863,Sat 17 Oct,"Bristoe, Va. Campaign ","Shelby Campaign, Ark. and Mo.",,,,,,,
1863,Sun 18 Oct,"Bristoe, Va. Campaign"," Shelby Campaign, Ark. and Mo.",,,,,,,
1863,Mon 19 Oct,"Bristoe, Va. Campaign ","Charles Town, W.Va.  ","Shelby Campaign, Ark. and Mo.",,,,,,
1863,Tues 20 Oct,"Bristoe, Va. Campaign (Buckland Mills, Va.) "," Shelby Campaign, Ark. and Mo.",,,,,,,
1863,Wed 21 Oct,"Bristoe, Va. Campaign ended ","Shelby Campaign, Ark. and Mo.",,,,,,,
1863,Thurs 22 Oct,"Shelby Campaign, Ark. and Mo.",,,,,,,,
1863,Fri 23 Oct,"Rappahannock Bridge I, Va."," Shelby Campaign, Ark. and Mo.",,,,,,,
1863,Sat 24 Oct,"Shelby Campaign, Ark. and Mo. ended",,,,,,,,
1863,Sun 25 Oct,"Pine Bluff, Ark.",,,,,,,,
1863,Mon 26 Oct,"Charleston Harbor, S.C.",,,,,,,,
1863,Tues 27 Oct,"Charleston Harbor, S.C.",,,,,,,,
