battle,belligerent,fullname,rank,navy,first_name,last_name,middle_name,suffix
GA003,CS,Thomas C. Hindman,Major General,0,Thomas,Hindman,C.,
GA003,CS,John C. Breckinridge,Major General,0,John,Breckinridge,C.,
GA003,US,James Negley,Major General,0,James,Negley,,
GA004,CS,Braxton Bragg,General,0,Braxton,Bragg,,
GA004,CS,James Longstreet,Lieutenant General,0,James,Longstreet,,
GA004,US,William S. Rosecrans,Major General,0,William,Rosecrans,S.,
GA004,US,George H. Thomas,Major General,0,George,Thomas,H.,
GA005,CS,Patrick R. Cleburne,Major General,0,Patrick,Cleburne,R.,
GA005,US,Joseph Hooker,Major General,0,Joseph,Hooker,,
GA006,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
GA006,US,George H. Thomas,Major General,0,George,Thomas,H.,
GA007,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
GA007,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA008,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
GA008,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA009,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
GA009,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA010,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
GA010,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA010,US,Joseph Hooker,Major General,0,Joseph,Hooker,,
GA011,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
GA011,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA012,CS,Patrick R. Cleburne,Major General,0,Patrick,Cleburne,R.,
GA012,US,Oliver O. Howard,Major General,0,Oliver,Howard,O.,
GA013,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
GA013,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA014,CS,John Bell Hood,Lieutenant General,0,John,Hood,Bell,
GA014,US,John M. Schofield,Major General,0,John,Schofield,M.,
GA014,US,Joseph Hooker,Major General,0,Joseph,Hooker,,
GA015,CS,Joseph E. Johnston,General,0,Joseph,Johnston,E.,
GA015,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA016,CS,John Bell Hood,General,0,John,Hood,Bell,
GA016,US,George H. Thomas,Major General,0,George,Thomas,H.,
GA017,CS,John Bell Hood,General,0,John,Hood,Bell,
GA017,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA018,CS,John Bell Hood,General,0,John,Hood,Bell,
GA018,US,Oliver O. Howard,Major General,0,Oliver,Howard,O.,
GA019,CS,John Bell Hood,General,0,John,Hood,Bell,
GA019,US,John M. Schofield,Major General,0,John,Schofield,M.,
GA020,CS,Joseph Wheeler,Major General,0,Joseph,Wheeler,,
GA020,US,James B. Steedman,Major General,0,James,Steedman,B.,
GA021,CS,William H. Jackson,Brigadier General,0,William,Jackson,H.,
GA021,US,H. Judson Kilpatrick,Brigadier General,0,H.,Kilpatrick,Judson,
GA022,CS,William J. Hardee,Lieutenant General,0,William,Hardee,J.,
GA022,US,William T. Sherman,Major General,0,William,Sherman,T.,
GA023,CS,Samuel G. French,Major General,0,Samuel,French,G.,
GA023,US,John M. Corse,Brigadier General,0,John,Corse,M.,
GA025,CS,Pleasant J. Philips,Brigadier General,0,Pleasant,Philips,J.,
GA025,CS,Joseph Wheeler,Major General,0,Joseph,Wheeler,,
GA025,US,Charles C. Walcutt,Brigadier General,0,Charles,Walcutt,C.,
GA026,CS,Joseph Wheeler,Major General,0,Joseph,Wheeler,,
GA026,US,H. Judson Kilpatrick,Brigadier General,0,H.,Kilpatrick,Judson,
GA027,CS,Joseph Wheeler,Major General,0,Joseph,Wheeler,,
GA027,US,H. Judson Kilpatrick,Brigadier General,0,H.,Kilpatrick,Judson,
GA028,CS,George A. Anderson,Major,0,George,Anderson,A.,
GA028,US,William B. Hazen,Brigadier General,0,William,Hazen,B.,
ID001,I,Bear Hunter,,0,Bear Hunter,,,
ID001,US,Patrick Edward Connor,Colonel,0,Patrick,Connor,Edward,
IN001,CS,John Hunt Morgan,Brigadier General,0,John,Morgan,Hunt,
IN001,US,Lewis Jordan,Brevet Colonel,0,Lewis,Jordan,,
KS001,CS,William C. Quantrill,Lieutenant Colonel,0,William,Quantrill,C.,
KS002,CS,William C. Quantrill,Lieutenant Colonel,0,William,Quantrill,C.,
KS002,US,James B. Pond,Lieutenant,0,James,Pond,B.,
KS002,US,James G. Blunt,Major General,0,James,Blunt,G.,
KS003,CS,John S. Marmaduke,Brigadier General,0,John,Marmaduke,S.,
KS003,CS,James F. Fagan,Major General,0,James,Fagan,F.,
KS003,US,Alfred Pleasonton,Major General,0,Alfred,Pleasonton,,
KS004,CS,John S. Marmaduke,Major General,0,John,Marmaduke,S.,
KS004,CS,James F. Fagan,Major General,0,James,Fagan,F.,
KS004,US,Alfred Pleasonton,Major General,0,Alfred,Pleasonton,,
KY001,CS,Joel A. Battle,Colonel,0,Joel,Battle,A.,
KY001,US,Isaac J. Black,Captain,0,Isaac,Black,J.,
KY002,CS,Felix Zollicoffer,Brigadier General,0,Felix,Zollicoffer,,
KY002,US,Albin F. Schoepf,Brigadier General,0,Albin,Schoepf,F.,
KY003,CS,John S. Williams,Colonel,0,John,Williams,S.,
KY003,US,William Nelson,Brigadier General,0,William,Nelson,,
KY003,US,Joshua W. Sill,Colonel,0,Joshua,Sill,W.,
KY004,CS,Thomas C. Hindman,Brigadier General,0,Thomas,Hindman,C.,
KY004,US,August Willich,Colonel,0,August,Willich,,
KY005,CS,Humphrey Marshall,Brigadier General,0,Humphrey,Marshall,,
KY005,US,James Garfield,Colonel,0,James,Garfield,,
KY006,CS,George B. Crittenden,Major General,0,George,Crittenden,B.,
KY006,US,George H. Thomas,Brigadier General,0,George,Thomas,H.,
KY007,CS,E. Kirby Smith,Major General,0,E.,Smith,Kirby,
KY007,US,William Nelson,Major General,0,William,Nelson,,
KY008,CS,James R. Chalmers,Brigadier General,0,James,Chalmers,R.,
KY008,CS,Braxton Bragg,General,0,Braxton,Bragg,,
KY008,US,Cyrus L. Dunham,Colonel,0,Cyrus,Dunham,L.,
KY008,US,John T. Wilder,Colonel,0,John,Wilder,T.,
KY009,CS,Braxton Bragg,General,0,Braxton,Bragg,,
KY009,US,Don Carlos Buell,Major General,0,Don,Buell,Carlos,
KY010,CS,Nathan Bedford Forrest,Major General,0,Nathan,Forrest,Bedford,
KY010,US,Stephen G. Hicks,Colonel,0,Stephen,Hicks,G.,
KY010,US,James W. Shirk,Lieutenant Commander,1,James,Shirk,W.,
KY011,CS,John Hunt Morgan,Brigadier General,0,John,Morgan,Hunt,
KY011,US,Stephen Gano Burbridge,Brigadier General,0,Stephen,Burbridge,Gano,
