battle,belligerent,description,strength_min,strength_max,armies,corps,divisions,brigades,regiments,companies,cavalry_regiments,cavalry_brigades,cavalry_corps,cavalry_divisions,artillery_batteries,ships,ironclads,gunboats,wooden_ships,rams,casualties,killed,wounded,missing,captured
VA063,US,"62,000",62000,62000,,,,,,,,,,,,,,,,,8150,,,,
VA064,CS,,,,,,,,,,,,,,,,,,,,,,,,
VA064,US,,,,,,,,,,,,,,,,,,,,,,,,
VA065,CS,,,,,1,,,,,,,,,,,,,,,,,,,
VA065,US,,,,,1,,,,,,,,,,,,,,,,,,,
VA066,CS,,,,,,1,,,,,,,,,,,,,,,,,,
VA066,US,,,,,,1,,,,,,,,,,,,,,,,,,
VA067,CS,,,,,,1,,,,,,,,,,,,,,,,,,
VA067,US,,,,,,1,,,,,,,,,,,,,,,,,,
VA068,CS,,,,,,1,,,,,,,,,,,,,,,,,,
VA068,US,,,,,,1,,,,,,,,,,,,,,,,,,
VA069,CS,,,,,1,,,,,,,,,,,,,,,,,,,
VA069,US,,,,,1,,,,,,,,,,,,,,,,,,,
VA070,CS,elements of the Army of Northern Virginia,,,,,,,,,,,,,,,,,,,,,,,
VA070,US,IX Corps,,,,,,,,,,,,,,,,,,,,,,,
VA071,CS,,,,,1,,,,,,,,,,,,,,,,,,,
VA071,US,,,,,1,,,,,,,,,,,,,,,,,,,
VA072,CS,,,,,,,,,,,,,,,,,,,,1600,,,,
VA072,US,,,,,,,,,,,,,,,,,,,,4279,,,,
VA073,CS,,,,,1,,,,,,,,,,,,,,,,,,,
VA073,US,,,,,1,,,,,,,,,,,,,,,,,,,
VA074,CS,,,,,1,,,,,,,,,,,,,,,,,,,
VA074,US,,,,,1,,,,,,,,,,,,,,,,,,,
VA075,CS,,,,1,,,,,,,,,,,,,,,,,,,,
VA075,US,,,,1,,,,,,,,,,,,,,,,,,,,
VA076,CS,,,,,,,,,,,,,,,,,,,,,,,,
VA076,US,,,,,,,,,,,,,,,,,,,,,,,,
VA077,CS,,,,,1,,,,,,,,,,,,,,,,,,,
VA077,US,,,,,1,,,,,,,,,,,,,,,,,,,
VA078,CS,,,,,1,,,,,,,,,,,,,,,,,,,
VA078,US,,,,,1,,,,,,,,,,,,,,,,,,,
VA079,CS,,,,,,,,,,,,,,,,,,,,1300,,,,
VA079,US,,,,,,,,,,,,,,,,,,,,1758,,,,
VA080,CS,,,,,1,,,,,,,,,,,,,,,,,,,
VA080,US,,,,,1,,,,,,,,,,,,,,,,,,,
VA081,CS,,,,,,1,,,,,,,,,,,,,,,,,,
VA081,US,,,,,,1,,,,,,,,,,,,,,,,,,
VA082,CS,,,,,,1,,,,,,,,,,,,,,,,,,
VA082,US,,,,,,1,,,,,,,,,,,,,,,,,,
VA083,CS,"13,835",13835,13835,,,,,,,,,,,,,,,,,,,,,
VA083,US,"34,517",34517,34517,,,,,,,,,,,,,,,,,,,,,
VA084,CS,,,,,1,,,,,,,,,,,,,,,2900,,,,
VA084,US,,,,,1,,,,,,,,,,,,,,,950,,,,
VA085,CS,,,,,1,,,,,,,,,,,,,,,370,,,,
VA085,US,,,,,1,,,,,,,,,,,,,,,380,,,,
VA086,CS,"20,030",20030,20030,,,,,,,,,,,,,,,,,,,,,
VA086,US,"45,247",45247,45247,,,,,,,,,,,,,,,,,,,,,
VA087,CS,,,,,1,,,,,,,,,,,,,,,800,,,,
VA087,US,,,,,1,,,,,,,,,,,,,,,1870,,,,
VA088,CS,,,,,1,,,,,,,,,,,,,,,2950,,,,
VA088,US,,,,,1,,,,,,,,,,,,,,,830,,,,
VA089,CS,,,,1,,,,,,,,,,,,,,,,4250,,,,
VA089,US,,,,1,,,,,,,,,,,,,,,,3500,,,,
VA090,CS,,,,,,1,,,,,,,,,,,,,,600,,,,
VA090,US,,,,,,1,,,,,,,,,,,,,,370,,,,
VA091,CS,,,,,,1,,,,,,,,,,,,,,,,,,
VA091,US,,,,,,1,,,,,,,,,,,,,,,,,,
VA092,CS,,,,,1,,,,,,,,,,,,,,,,,,,
VA092,US,,,,,1,,,,,,,,,,,,,,,,,,,
VA093,CS,,,,,1,,,,,,,,,,,,,,,,,,,
VA093,US,,,,,1,,,,,,,,,,,,,,,,,,,
VA094,CS,,,,,1,,,,,,,,,,,,,,,255,,,,
VA094,US,,,,,1,,,,,,,,,,,,,,,655,,,,
VA095,CS,,,,,,1,,,,,,,,,,,,,,,,,,
VA095,US,,,,,,1,,,,,,,,,,,,,,,,,,
VA096,CS,,,,,,1,,,,,,,,,,,,,,,,,,
VA096,US,,,,,,1,,,,,,,,,,,,,,,,,,
VA097,CS,,,,1,,,,,,,,,,,,,,,,,,,,
VA097,US,,,,1,,,,,,,,,,,,,,,,,,,,
VA098,CS,"2,500",,,,,,,,,,,,,,,,,,,,,,,
VA098,US,"4,500",4500,4500,,,,,,,,,,,,,,,,,,,,,
VA099,CS,,,,,,1,,,,,,,,,,,,,,,,,,
VA099,US,,,,,,1,,,,,,,,,,,,,,,,,,
VA100,CS,battery garrison,,,,,,,,,,,,,,,,,,,0,,,,
VA100,US,Two gunboats,,,,,,,,,,,,,,,,2,,,0,,,,
VA101,CS,"3,800",3800,3800,,,,,,,,,,,,,,,,,718,,,,
VA101,US,"8,500",8500,8500,,,,,,,,,,,,,,,,,590,,,,
VA102,CS,"6,000",6000,6000,,,,,,,,,,,,,,,,,,,,,
VA102,US,"6,500",6500,6500,,,,,,,,,,,,,,,,,,,,,
VA103,CS,"3,000",3000,3000,,,,,,,,,,,,,,,,,56,,,,
VA103,US,"1,063",1063,1063,,,,,,,,,,,,,,,,,904,,,,
VA104,CS,"16,000",16000,16000,,,,,,,,,,,,,,,,,400,,,,
VA104,US,"6,500",6500,6500,,,,,,,,,,,,,,,,,2019,,,,
VA105,CS,"5,800",5800,5800,,,,,,,,,,,,,,,,,287,,,,
VA105,US,"11,500",11500,11500,,,,,,,,,,,,,,,,,664,,,,
VA106,CS,"6,000",6000,6000,,,,,,,,,,,,,,,,,816,,,,
VA106,US,"3,500",3500,3500,,,,,,,,,,,,,,,,,1002,,,,
VA107,CS,"12,500",12500,12500,,,,,,,,,,,,,,,,,266,,,,
VA107,US,"7,000",7000,7000,,,,,,,,,,,,,,,,,4443,,,,
VA108,CS,,,,,,1,,,,,,,,,,,,,,,,,,
VA108,US,,,,,,1,,,,,,,,,,,,,,,,,,
VA109,CS,,,,,,,1,,,,,,,,,,,,,,,,,
VA109,US,,,,,,,1,,,,,,,,,,,,,,,,,
VA110,CS,"4,090",4090,4090,,,,,,,,,,,,,,,,,540,,,,
