battle,belligerent,description,strength_min,strength_max,armies,corps,divisions,brigades,regiments,companies,cavalry_regiments,cavalry_brigades,cavalry_corps,cavalry_divisions,artillery_batteries,ships,ironclads,gunboats,wooden_ships,rams,casualties,killed,wounded,missing,captured
GA017,US,Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,3641,,,,
GA018,CS,two corps of Army of Tennessee,,,,2,,,,,,,,,,,,,,,3000,,,,
GA018,US,Army of the Tennessee,,,,,,,,,,,,,,,,,,,562,,,,
GA019,CS,Army of Tennessee,,,1,,,,,,,,,,,,,,,,,,,,
GA019,US,Army of the Ohio,,,1,,,,,,,,,,,,,,,,,,,,
GA020,CS,Wheeler's cavalry force,,,,,,,,,,,,,,,,,,,,,,,
GA020,US,District of Etowah,,,,,,,,,,,,,,,,,,,,,,,
GA021,CS,Jackson's Cavalry Division,,,,,,,,,,,,1,,,,,,,,,,,
GA021,US,Kilpatrick's Cavalry Division,,,,,,,,,,,,1,,,,,,,,,,,
GA022,CS,two corps,,,,2,,,,,,,,,,,,,,,2000,,,,
GA022,US,Six corps,,,,6,,,,,,,,,,,,,,,1149,,,,
GA023,CS,"one division (approx. 2,000 men)",2000,2000,,,,,,,,,,,,,,,,,799,,,,
GA023,US,"One brigade (1,944 men)",1944,1944,,,,,,,,,,,,,,,,,706,,,,
GA025,CS,"1st Division Georgia Militia and Cavalry Corps, Department of South Carolina, Georgia, and Florida",,,,,1,,,,,,,,,,,,,,650,,,,
GA025,US,"2nd Brigade, 1st Division, XV Corps, Army of the Tennessee and two regiments of cavalry",,,,,,1,,,2,,,,,,,,,,62,,,,
GA026,CS,"cavalry corps, Department of South Carolina, Georgia, and Florida",,,,,,,,,,,1,,,,,,,,600,,,,
GA026,US,"3rd Cavalry Division, Military Division of the Mississippi",,,,,1,,,,,,,,,,,,,,46,,,,
GA027,CS,"Cavalry Command, Army of Tennessee",,,,,,,,,,,,,,,,,,,250,,,,
GA027,US,"3rd Cavalry Division, Military Division of the Mississippi",,,,,,,,,,,,1,,,,,,,190,,,,
GA028,CS,Fort McAllister Garrison (120 men),120,120,,,,,,,,,,,,,,,,,71,,,,
GA028,US,"2nd Division, XV Corps, Army of the Tennessee",,,,,1,,,,,,,,,,,,,,134,,,,
ID001,I,Shoshoni Indians,,,,,,,,,,,,,,,,,,,384,,,,
ID001,US,District of Utah,,,,,,,,,,,,,,,,,,,67,,,,
IN001,CS,"1,800",1800,1800,,,,,,,,,,,,,,,,,41,,,,
IN001,US,400,400,400,,,,,,,,,,,,,,,,,360,,,,
KS001,CS,Quantrill's Raiders and other guerrillas,,,,,,,,,,,,,,,,,,,40,,,,
KS001,US,No Union troops,,,,,,,,,,,,,,,,,,,164,,,,
KS002,CS,Quantrill's Raiders (approx. 400),400,400,,,,,,,,,,,,,,,,,3,,,,
KS002,US,Detachments from three regiments and an escort,,,,,,,1.5,,,,,,,,,,,,103,,,,
KS003,CS,cavalry division,,,,,,,,,,,,1,,,,,,,1200,,,,
KS003,US,Provisional cavalry division,,,,,,,,,,,,1,,,,,,,100,,,,
KS004,CS,cavalry division,,,,,,,,,,,,1,,,,,,,,,,,
KS004,US,Provisional cavalry division,,,,,,,,,,,,1,,,,,,,,,,,
KY001,CS,detachment of approx. 800 men under command of Col. Joel A. Battle,800,800,,,,,,,,,,,,,,,,,5,,,,
KY001,US,Home Guard (approx. 300 men),300,300,,,,,,,,,,,,,,,,,15,,,,
KY002,CS,Zollicoffer's Brigade,,,,,,1,,,,,,,,,,,,,53,,,,
KY002,US,"Camp Wildcat Garrison and Schoepf's Brigade (approx. 7,000 men)",7000,7000,,,,,,,,,,,,,,,,,25,,,,
KY003,CS,"nine companies of infantry and two of mounted men (1,010 men)",1010,1010,,,,,,,,,,,,,,,,,263,,,,
KY003,US,Combination of detachments from twelve Union Ohio and Kentucky units,,,,,,,,,,,,,,,,,,,30,,,,
KY004,CS,"Terry's Texas Rangers, 7th Texas Cavalry and 1st Arkansas Battalion (approx. 1,350 men)",1350,1350,,,,,,,,,,,,,,,,,91,,,,
KY004,US,32nd Indiana Volunteer Infantry Regiment,,,,,,,1,,,,,,,,,,,,40,,,,
KY005,CS,brigade,,,,,,1,,,,,,,,,,,,,65,,,,
KY005,US,18th Brigade,,,,,,1,,,,,,,,,,,,,27,,,,
KY006,CS,division of two brigades,,,,,,2,,,,,,,,,,,,,439,,,,
KY006,US,"1st Division, Army of the Ohio, and Brig. Gen. A. Schoepf's Brigade (total of four brigades)",,,,,1,,,,,,,,,,,,,,232,,,,
KY007,CS,Army of Kentucky,,,1,,,,,,,,,,,,,,,,750,,,,
KY007,US,"1st and 2nd Brigades, Army of Kentucky",,,,,,2,,,,,,,,,,,,,4900,,,,
KY008,CS,Army of the Mississippi,,,1,,,,,,,,,,,,,,,,714,,,,
KY008,US,Union garrison,,,,,,,,,,,,,,,,,,,4148,,,,
KY009,CS,Army of the Mississippi,,,1,,,,,,,,,,,,,,,,3196,,,,
KY009,US,Army of the Ohio,,,,,,,,,,,,,,,,,,,4211,,,,
KY010,CS,Forrest's Cavalry Department,,,,,,,,,,,,,,,,,,,50,,,,
KY010,US,Union Garrison (approx. 650 men),650,650,,,,,,,,,,,,,,,,,90,,,,
KY011,CS,Morgan's Division,,,,,1,,,,,,,,,,,,,,1000,,,,
KY011,US,"168th Regiment Ohio Volunteer Infantry, 171st Ohio National Guard, and the Kentucky Harrison County Home Guards",,,,,,,3,,,,,,,,,,,,1092,,,,
LA001,CS,Garrisons of Forts Jackson and St. Philip and the crews of various ships,,,,,,,,,,,,,,,,,,,782,,,,
LA001,US,West Gulf Blockading Squadron,,,,,,,,,,,,,,,,,,,229,,,,
LA002,CS,Department No. 1,,,,,,,,,,,,,,,,,,,0,,,,
LA002,US,Department of the Gulf,,,,,,,,,,,,,,,,,,,0,,,,
LA003,CS,Breckinridge's Corps,,,,1,,,,,,,,,,,,,,,478,,,,
LA003,US,"2nd Brigade, Department of the Gulf",,,,,,1,,,,,,,,,,,,,371,,,,
LA004,CS,a few partisans,,,,,,,,,,,,,,,,,,,0,,,,
LA004,US,Three Navy ships,,,,,,,,,,,,,,3,,,,,0,,,,
LA005,CS,"18th Louisiana Infantry Regiment, Crescent Regiment, Ralston's Battery, Detachment of Cavalry, 33rd Louisiana Infantry Regiment, Terre Bonne Regiment Louisiana Militia, Semmes's Battery and 2nd Louisiana Cavalry Regiment (approx. 1,392 men)",1392,1392,,,,,,,,,,,,,,,,,229,,,,
LA005,US,"Reserve brigade, Department of the Gulf",,,,,,1,,,,,,,,,,,,,86,,,,
LA006,CS,District of Western Louisiana,,,,,,,,,,,,,,,,,,,450,,,,
LA006,US,"Banks's Department of the Gulf, XIX Army Corps",,,,,,,,,,,,,,,,,,,234,,,,
LA007,CS,"28th Louisiana Infantry, 2nd Louisiana Cavalry, 12th Louisiana Infantry Battalion, 4th Texas Cavalry, and Cornay's Louisiana Battery",,,,,,,1.5,,,,,1,1,,,,,,,,,,
LA007,US,"4th Division, XIX Army Corps",,,,,1,,,,,,,,,,,,,,353,,,,
LA008,CS,District of Western Louisiana,,,,,,,,,,,,,,,,,,,,,,,
LA008,US,"4th Division, XIX Army Corps, Army of the Gulf",,,,,1,,,,,,,,,,,,,,,,,,
LA009,CS,"small combined infantry, artillery, and cavalry force",,,,,,,,,,,,,,,,,,,100,,,,
LA009,US,"1st Division, XIX Army Corps and Cavalry Brigade",,,,,1,,,,,,,,,,,,,,150,,,,
LA010,CS,"Confederate forces, 3rd District, Department of Mississippi and East Louisiana, Port Hudson",,,,,,,,,,,,,,,,,,,7208,,,,
LA010,US,"XIX Army Corps, Army of the Gulf",,,,1,,,,,,,,,,,,,,,5000,,,,
LA011,CS,McCulloch's Brigade,,,,,,1,,,,,,,,,,,,,185,,,,
LA011,US,African Brigade and the 23rd Iowa Volunteer Infantry,,,,,,1,1,,,,,,,,,,,,652,,,,
LA012,CS,2nd Cavalry Brigade,,,,,,,,,,1,,,,,,,,,219,,,,
LA012,US,838 men from eight regiments,838,838,,,,,,,,,,,,,,,,,48,,,,
LA013,CS,Tom Green's Texas Brigade and Colonel James Patrick Major's Texas Brigade,,,,,,2,,,,,,,,,,,,,301,,,,
LA013,US,Fort Butler Garrison: two companies of the 28th Maine Volunteer Infantry and some convalescents from various regiments,,,,,,,,2,,,,,,,,,,,23,,,,
LA014,CS,"12th and 19th Texas cavalry Regiments, 15th Louisiana Cavalry Battalion, Cameron's Louisiana Battery, and Ralston's Mississippi Battery",,,,,,,2,,0.5,,,,2,,,,,,,,,,
LA014,US,"Mississippi Marine Brigade, Brigade of 1st Arkansas Volunteers (African Descent) and 10th Louisiana (African Descent)",,,,,,2,1,,,,,,,,,,,,120,,,,
LA015,CS,two understrength Confederate brigades,,,,,,1,,,,,,,,,,,,,33,,,,
LA015,US,"Godfrey Weitzel's and Cuvier Grover's Divisions, XIX Army Corps",,,,,2,,,,,,,,,,,,,,430,,,,
LA016,CS,forces on the Atchafalaya River,,,,,,,,,,,,,,,,,,,121,,,,
LA016,US,"2nd Division, XIII Army Corps",,,,,1,,,,,,,,,,,,,,454,,,,
LA017,CS,Fort DeRussy Garrison (approx. 350 men),350,350,,,,,,,,,,,,,,,,,269,,,,
LA017,US,"3rd Division, XVI Army Corps",,,,,1,,,,,,,,,,,,,,48,,,,
LA018,CS,District of West Louisiana (two divisions),,,,,2,,,,,,,,,,,,,,1500,,,,
LA018,US,Banks's Red River Expeditionary Force,,,,,,,,,,,,,,,,,,,2900,,,,
LA019,CS,District of West Louisiana,,,,,,,,,,,,,,,,,,,2000,,,,
LA019,US,Red River Expeditionary Force (Banks's Department of the Gulf),,,,,,,,,,,,,,,,,,,1100,,,,
LA020,CS,Green's Cavalry Division,,,,,,,,,,,,1,,,,,,,200,,,,
LA020,US,"Provisional division, XVII Army Corps, Army transports, and U.S. Navy Mississippi Squadron",,,,,1,,,,,,,,,,,,,,7,,,,
LA021,CS,Bee's Cavalry Division,,,,,,,,,,,,1,,,,,,,400,,,,
LA021,US,Red River Expeditionary Force (Banks's Department of the Gulf),,,,,,,,,,,,,,,,,,,200,,,,
LA022,CS,District of West Louisiana,,,,,,,,,,,,,,,,,,,,,,,
LA022,US,Banks's Red River Expeditionary Force,,,,,,,,,,,,,,,,,,,,,,,
LA023,CS,District of Western Louisiana,,,,,,,,,,,,,,,,,,,500,,,,
LA023,US,"1st and 3rd Divisions, XVI Army Corps",,,,,2,,,,,,,,,,,,,,360,,,,
MD001,CS,,,,,,,1,,,,,,,,,,,,,,,,,
MD001,US,,,,,,,1,,,,,,,,,,,,,,,,,
MD002,CS,,,,,1,,,,,,,,,,,,,,,,,,,
MD002,US,,,,,1,,,,,,,,,,,,,,,,,,,
MD003,CS,,,,1,,,,,,,,,,,,,,,,,,,,
MD003,US,,,,1,,,,,,,,,,,,,,,,,,,,
MD004,CS,,,,,,1,,,,,,,,,,,,,,,,,,
MD004,US,,,,,,1,,,,,,,,,,,,,,,,,,
MD006,CS,,,,,,1,,,,,,,,,,,,,,,,,,
MD006,US,,,,,,1,,,,,,,,,,,,,,,,,,
MD007,CS,,,,,1,,,,,,,,,,,,,,,,,,,
MD007,US,,,,,1,,,,,,,,,,,,,,,,,,,
MD008,CS,,,,,,1,,,,,,,,,,,,,,,,,,
MD008,US,,,,,,1,,,,,,,,,,,,,,,,,,
MN001,I,Santee Sioux,,,,,,,,,,,,,,,,,,,,,,,
MN001,US,Fort Ridgely Garrison and refugee civilians,,,,,,,,,,,,,,,,,,,16,,,,
MN002,I,Santee Sioux,,,,,,,,,,,,,,,,,,,,,,,
MN002,US,"Volunteer troops (about 1,500)",1500,1500,,,,,,,,,,,,,,,,,37,,,,
MO001,CS,State Guard Troops,,,,,,,,,,,,,,,,,,,50,,,,
MO001,US,"Combined force of Missouri troops and Regular U.S. Army (approx. 1,700)",1700,1700,,,,,,,,,,,,,,,,,31,,,,
MO002,CS,Missouri State Guard divisions,,,,,1,,,,,,,,,,,,,,200,,,,
MO002,US,Brigade,,,,,,1,,,,,,,,,,,,,44,,,,
MO003,CS,"4th Division, Missouri State Guard",,,,,1,,,,,,,,,,,,,,70,,,,
MO003,US,"Detachments of 3rd Iowa Infantry, Home Guards, and artillery (approx. 600 men)",600,600,,,,,,,,,,,,,,,,,56,,,,
MO004,CS,Missouri State Guard and McCulloch's Brigade,,,,,,,,,,,,,,,,,,,1095,,,,
MO004,US,Army of the West,,,1,,,,,,,,,,,,,,,,1235,,,,
MO005,CS,column of Missouri State Guard,,,,,,,,,,,,,,,,,,,,,,,
MO005,US,Kansas Cavalry Brigade (approx. 600),600,600,,,,,,,,,,,,,,,,,14,,,,
MO006,CS,"Missouri State Guard (12,000)",12000,12000,,,,,,,,,,,,,,,,,100,,,,
MO006,US,"Garrison (approx. 3,500)",3500,3500,,,,,,,,,,,,,,,,,1774,,,,
MO007,CS,Missouri State Guard,,,,,,,,,,,,,,,,,,,62,,,,
MO007,US,"Brigade size force (approx. 2,500-3,500)",2500,2500,,,,,,,,,,,,,,,,,,,,,
MO008,CS,Missouri State Guard troops,,,,,,,,,,,,,,,,,,,133,,,,
MO008,US,Prairie Scouts and Frémont's Body Guard,,,,,,,,,,,,,,,,,,,85,,,,
MO009,CS,division,,,,,1,,,,,,,,,,,,,,966,,,,
MO009,US,Division,,,,,1,,,,,,,,,,,,,,498,,,,
MO010,CS,unknown,,,,,,,,,,,,,,,,,,,210,,,,
MO010,US,Detachments of the 3rd Missouri Cavalry Regiment (approx. 240) and Birge's Sharpshooters (approx. 200),440,440,,,,,,,,,,,,,,,,,72,,,,
MO011,CS,unknown,,,,,,,,,,,,,,,,,,,80,,,,
MO011,US,"Detachments from the 1st and 2nd Missouri Cavalry, 4th Ohio Cavalry, and 1st Iowa Cavalry (450)",450,450,,,,,,,,,,,,,,,,,11,,,,
MO012,CS,Garrisons of New Madrid and Island No. 10,,,,,,,,,,,,,,,,,,,,,,,
MO012,US,Army of the Mississippi,,,1,,,,,,,,,,,,,,,,,,,,
MO013,CS,Missouri Brigade,,,,,,1,,,,,,,,,,,,,368,,,,
MO013,US,Combined force (cavalry and artillery),,,,,,,,,,,,,,,,,,,88,,,,
MO014,CS,700-800,700,700,,,,,,,,,,,,,,,,,,,,,
MO014,US,Garrison (approx. 300,344,344,,,,,,,,,,,,,,,,,344,,,,
MO015,CS,unknown,,,,,,,,,,,,,,,,,,,110,,,,
MO015,US,Detachments from fourteen companies of cavalry and a section of artillery (800 men),800,800,,,,,,,,,,,,,,,,,160,,,,
MO016,CS,Cooper's Division,,,,,1,,,,,,,,,,,,,,100,,,,
MO016,US,"Two brigades, Army of Kansas (1,500)",1500,1500,,,,,,,,,,,,,,,,,245,,,,
MO017,CS,"cavalry brigade (approx. 1,000 men)",1000,1000,,,,,,,,,,,,,,,,,,,,,
MO017,US,Detachments of 10th Illinois Cavalry and State Militia (approx. 100 men),113,113,,,,,,,,,,,,,,,,,113,,,,
MO018,CS,"4th Division, I Corps, Trans-Mississippi Department",,,,,1,,,,,,,,,,,,,,240,,,,
MO018,US,"Southwestern District of Missouri Troops (2,000)",2000,2000,,,,,,,,,,,,,,,,,163,,,,
MO019,CS,"4th Division, I Corps, Trans-Mississippi Department",,,,,1,,,,,,,,,,,,,,329,,,,
MO019,US,"Detachment of infantry, cavalry, and artillery (approx. 700)",700,700,,,,,,,,,,,,,,,,,78,,,,
MO020,CS,cavalry division,,,,,,,,,,,,1,,,,,,,325,,,,
MO020,US,Garrison plus some reinforcements,,,,,,,,,,,,,,,,,,,12,,,,
MO021,CS,Army of Missouri,,,1,,,,,,,,,,,,,,,,1500,,,,
MO021,US,Garrison,,,,,,,,,,,,,,,,,,,184,,,,
MO022,CS,unknown,,,,,,,,,,,,,,,,,,,50,,,,
MO022,US,Garrison (800),800,800,,,,,,,,,,,,,,,,,400,,,,
MO023,CS,Army of Missouri,,,1,,,,,,,,,,,,,,,,,,,,
MO023,US,"1st Division, Army of the Border",,,,,1,,,,,,,,,,,,,,,,,,
MO024,CS,Army of Missouri,,,1,,,,,,,,,,,,,,,,,,,,
MO024,US,"1st Division, Army of the Border",,,,,1,,,,,,,,,,,,,,,,,,
MO025,CS,"Fagan and Marmaduke's Divisions, Army of Missouri",,,,,2,,,,,,,,,,,,,,140,,,,
MO025,US,Provisional cavalry division,,,,,,,,,,,,1,,,,,,,,,,,
MO026,CS,Shelby and Marmaduke's Divisions,,,,,2,,,,,,,,,,,,,,,,,,
MO026,US,"1st Division, Army of the Border and provisional cavalry division",,,,,1,,,,,,,1,,,,,,,,,,,
MO027,CS,Army of Missouri,,,1,,,,,,,,,,,,,,,,1500,,,,
MO027,US,Army of the Border,,,1,,,,,,,,,,,,,,,,1500,,,,
MO028,CS,Army of Missouri,,,1,,,,,,,,,,,,,,,,,,,,
MO028,US,"Two brigades, provisional cavalry division",,,,,,2,,,,,,1,,,,,,,,,,,
MO029,CS,remnants of Price's Army of Missouri,,,,,,,,,,,,,,,,,,,250,,,,
MO029,US,Five brigades,,,,,,5,,,,,,,,,,,,,400,,,,
MS001,CS,"1st Division, Army of the West (approx. 3,200)",3200,3200,,,,,,,,,,,,,,,,,700,,,,
MS001,US,"2nd Division and cavalry division, Army of the Mississippi (approx. 4,000-4,500)",4000,4000,,,,,,,,,,,,,,,,,782,,,,
MS002,CS,Army of the West Tennessee,,,1,,,,,,,,,,,,,,,,4838,,,,
MS002,US,Army of the Mississippi,,,1,,,,,,,,,,,,,,,,2359,,,,
MS003,CS,Department of Mississippi and East Louisiana,,,,,,,,,,,,,,,,,,,207,,,,
MS003,US,"Right Wing, XIII Army Corps",,,,0.5,,,,,,,,,,,,,,,1776,,,,
MS004,CS,Bowen's Division and attached troops,,,,,1,,,,,,,,,,,,,,,,,,
MS004,US,"Mississippi Squadron and Companies A,B,D,F,G,H,K, 58th Ohio Volunteer Infantry Regiment",,,,,,,,,,,,,,,,,,,80,,,,
MS005,CS,Hébert's Brigade,,,,,,1,,,,,,,,,,,,,,,,,
MS005,US,"XV Army Corps, Department of the Tennessee",,,,1,,,,,,,,,,,,,,,,,,,
MS006,CS,Confederate forces in area (one reinforced division: four brigades),,,,,,4,,,,,,,,,,,,,787,,,,
MS006,US,Army of the Tennessee (comprising two corps),,,,2,,,,,,,,,,,,,,,861,,,,
MS007,CS,Gregg's Task Force (equivalent to a brigade),,,,,,1,,,,,,,,,,,,,569,,,,
MS007,US,"XVII Army Corps, Army of the Tennessee",,,,1,,,,,,,,,,,,,,,442,,,,
MS008,CS,Jackson Garrison,,,,,,,,,,,,,,,,,,,850,,,,
MS008,US,Army of the Tennessee,,,1,,,,,,,,,,,,,,,,286,,,,
MS009,CS,Department of Mississippi and East Louisiana,,,,,,,,,,,,,,,,,,,4300,,,,
MS009,US,Army of the Tennessee (three corps),,,,3,,,,,,,,,,,,,,,2457,,,,
MS010,CS,Bridgehead Defense Force (three brigades),,,,,,3,,,,,,,,,,,,,2000,,,,
MS010,US,"XIII Army Corps, Army of the Tennessee",,,,1,,,,,,,,,,,,,,,273,,,,
MS011,CS,Army of Vicksburg,,,1,,,,,,,,,,,,,,,,9091,,,,
MS011,US,Army of the Tennessee,,,1,,,,,,,,,,,,,,,,10142,,,,
MS012,CS,"Department of Alabama, Mississippi and East Louisiana",,,,,,,,,,,,,,,,,,,,,,,
MS012,US,Department of the Tennessee,,,,,,,,,,,,,,,,,,,,,,,
MS013,CS,Forrest's Cavalry Corps,,,,,,,,,,,1,,,,,,,,50,,,,
MS013,US,"Cavalry force (7,000)",7000,7000,,,,,,,,,,,,,,,,,100,,,,
MS014,CS,cavalry corps,,,,,,,,,,,1,,,,,,,,495,,,,
MS014,US,"Three-brigade division of infantry and a division of cavalry (about 8,500 )",8500,8500,,,,,,,,,,,,,,,,,2610,,,,
MS015,CS,"Department of Alabama, Mississippi, and East Louisiana",,,,,,,,,,,,,,,,,,,1300,,,,
MS015,US,"1st and 3rd Infantry Divisions and Cavalry Division, XVI Army Corps, and 1st Brigade, U.S. Colored Troops (14,000)",14000,14000,,,,,,,,,,,,,,,,,648,,,,
MS016,CS,Department No. 2,,,,,,,,,,,,,,,,,,,,,,,
MS016,US,Department of the Mississippi,,,,,,,,,,,,,,,,,,,,,,,
NC001,CS,Hatteras Island Garrison (900),900,900,,,,,,,,,,,,,,,,,770,,,,
NC001,US,"9th and 20th New York regiments (est. 2,000)",2000,2000,,,,,,,,,,,,,,,,,3,,,,
NC002,CS,"3,000",3000,3000,,,,,,,,,,,,,,,,,2643,23,58,62,2500
NC002,US,"7,500",7500,7500,,,,,,,,,,,,,,,,,264,37,214,13,0
NC003,CS,"5 regiments, militia",,,,,,,5,,,,,,,,,,,,,,,,
NC003,US,"Expeditionary Force and Foster's, Reno's, and Parke's Brigades",,,,,,,,,,,,,,,,,,,,,,,
NC004,CS,Fort Macon Garrison,,,,,,,,,,,,,,,,,,,480,,,,
NC004,US,"Parke's Division of Department of North Carolina, 3rd Division",,,,,,,,,,,,,,,,,,,10,,,,
NC005,CS,3rd Georgia,,,,,,,1,,,,,,,,,,,,,,,,
NC005,US,21st Massachusetts and 51st Pennsylvania,,,,,,,2,,,,,,,,,,,,,,,,
NC006,CS,,,,,,,,1,,,,,,,,,,,,,,,,
NC006,US,,,,,,,,1,,,,,,,,,,,,,,,,
NC007,CS,Evans's Brigade,,,,,,1,,,,,,,,,,,,,,,,,
NC007,US,"Department of North Carolina, 1st Division",,,,,1,,,,,,,,,,,,,,,,,,
NC008,CS,Robertson's Brigade,,,,,,1,,,,,,,,,,,,,,,,,
NC008,US,Amory's and Stevenson's Brigades,,,,,,2,,,,,,,,,,,,,,,,,
NC009,CS,Clingman's Brigade,,,,,,1,,,,,,,,,,,,,,,,,
NC009,US,"Department of North Carolina, 1st Division",,,,,1,,,,,,,,,,,,,,,,,,
NC010,CS,Hill's Division,,,,,1,,,,,,,,,,,,,,,,,,
NC010,US,"1st Division, XVIII Corps",,,,,1,,,,,,,,,,,,,,,,,,
NC011,CS,Hill's Division,,,,,1,,,,,,,,,,,,,,,,,,
NC011,US,6 regiments and artillery units,,,,,,,6,,,,,,,,,,,,,,,,
NC012,CS,Hoke's Division,,,,,1,,,,,,,,,,,,,,,,,,
NC012,US,Plymouth Garrison (4 infantry and artillery units),,,,,,,4,,,,,,,,,,,,,,,,
NC013,CS,Confederate ram,,,,,,,,,,,,,,1,,,,,,,,,
NC013,US,9 gunboats,,,,,,,,,,,,,,,,9,,,,,,,
NC014,CS,Hoke's Division and Fort Fisher Garrison,,,,,1,,,,,,,,,,,,,,,,,,
NC014,US,"Expeditionary Corps, Army of the James",,,,1,,,,,,,,,,,,,,,,,,,
NC015,CS,Hoke's Division and Fort Fisher Garrison,,,,,1,,,,,,,,,,,,,,,,,,
NC015,US,"Expeditionary Corps, Army of the James",,,,1,,,,,,,,,,,,,,,,,,,
NC016,CS,"Hoke's Division, Hagood's Brigade (6,600)",6600,6600,,,,,,,,,,,,,,,,,,,,,
NC016,US,"Cox's, Ames's, and Paine's Divisions (12,000)",12000,12000,,,,,,,,,,,,,,,,,,,,,
NC017,CS,"8,500",8500,8500,,,,,,,,,,,,,,,,,1500,,,,
NC017,US,"12,000",12000,12000,,,,,,,,,,,,,,,,,1101,,,,
NC018,CS,"Wheeler's and Hampton's Cavalry Division (3,000)",3000,3000,,,,,,,,,,,,,,,,,86,,,,
NC018,US,"Kilpatrick's Cavalry Division (1,850)",1850,1850,,,,,,,,,,,,,,,,,183,,,,
NC019,CS,"Hardee's Corps (5,400)",5400,5400,,,,,,,,,,,,,,,,,,,,,
NC019,US,"XX Corps and XIV Corps (25,992)",25992,25992,,,,,,,,,,,,,,,,,,,,,
NC020,CS,Johnston's Army,,,1,,,,,,,,,,,,,,,,3092,,,,
NC020,US,Sherman's Right Wing (XX and XIV Corps),,,,2,,,,,,,,,,,,,,,1646,,,,
ND001,I,Santee and Teton Sioux,,,,,,,,,,,,,,,,,,,13,,,,
ND001,US,District of Minnesota,,,,,,,,,,,,,,,,,,,,,,,
ND002,I,Santee and Teton Sioux,,,,,,,,,,,,,,,,,,,,,,,
ND002,US,District of Minnesota,,,,,,,,,,,,,,,,,,,,,,,
ND003,I,Santee and Teton Sioux,,,,,,,,,,,,,,,,,,,,,,,
ND003,US,District of Minnesota,,,,,,,,,,,,,,,,,,,,,,,
ND004,I,"Santee, Yankton, Cut-heads, Hunkapapa and Teton Sioux and Blackfeet (1,200-1,500)",1200,1200,,,,,,,,,,,,,,,,,750,,,,
ND004,US,Northwestern Expedition (600-700),600,600,,,,,,,,,,,,,,,,,72,,,,
ND005,I,Santee and Teton Sioux,,,,,,,,,,,,,,,,,,,,,,,
ND005,US,"Detachments from eight units (2,200)",2200,2200,,,,,,,,,,,,,,,,,,,,,
NM001,CS,Army of New Mexico,,,,,,,3,,,,,,,,,,,,187,,,,
NM001,US,Department of New Mexico (combination of regular and volunteer units),,,,,,,,,,,,,,,,,,,202,,,,
NM002,CS,"4th, 5th, and 7th Texas Cavalry Regiment, artillery, and a company of independent volunteers",,,,,,,3,,,,,,,,,,,,189,,,,
NM002,US,"Northern Division, Army of New Mexico",,,,,1,,,,,,,,,,,,,,142,,,,
OH001,CS,"1,700",1700,1700,,,,,,,,,,,,,,,,,900,,,,
OH001,US,"3,000",3000,3000,,,,,,,,,,,,,,,,,25,,,,
OH002,CS,400,400,400,,,,,,,,,,,,,,,,,364,,,,
OH002,US,"2,600",2600,2600,,,,,,,,,,,,,,,,,0,,,,
OK001,CS,Indian Department,,,,,,,,,,,,,,,,,,,,,,,
OK001,I,Creek and Seminole,,,,,,,,,,,,,,,,,,,,,,,
OK002,CS,Indian Department,,,,,,,,,,,,,,,,,,,,,,,
OK002,I,Creek and Seminole,,,,,,,,,,,,,,,,,,,,,,,
OK003,CS,McIntosh's and Douglas Cooper's brigades,,,,,,2,,,,,,,,,,,,,,,,,
OK003,I,Creek and Seminole,,,,,,,,,,,,,,,,,,,,,,,
OK004,CS,1st Brigade,,,,,,1,,,,,,,,,,,,,150,,,,
OK004,US,"1st Division, Army of the Frontier",,,,,1,,,,,,,,,,,,,,14,,,,
OK005,CS,"Seminole Battalion, Company A, 1st Choctaw and Chickasaw Cavalry Regiment, and a detachment of 20th Texas Regiment",,,,,,,1,,,,,,,,,,,,,,,,
OK005,US,Three companies of the 14th Kansas Cavalry Regiment and a section of Howitzers,,,,,,,,3,,,,,,,,,,,,,,,
OK006,CS,"two regiments and detachments from two other units (approx. 1,600-1,800)",1600,1600,,,,,,,,,,,,,,,,,65,,,,
OK006,US,Detachments from nine units,,,,,,,,,,,,,,,,,,,23,,,,
OK007,CS,"1st Brigade, Native American troops",,,,,,1,,,,,,,,,,,,,637,,,,
OK007,US,District of the Frontier,,,,,,,,,,,,,,,,,,,79,,,,
PA001,CS,,,,,,,1,,,,,,,,,,,,,,,,,
PA001,US,,,,,,,1,,,,,,,,,,,,,,,,,
PA002,CS,"75,054",75054,75054,,,,,,,,,,,,,,,,,28000,,,,
PA002,US,"83,289",83289,83289,,,,,,,,,,,,,,,,,23000,,,,
SC001,CS,500,500,500,,,,,,,,,,,,,,,,,0,,,,
SC001,US,80,80,80,,,,,,,,,,,,,,,,,0,,,,
SC002,CS,"2,000",2000,2000,,,,,,,,,,,,,,,,,204,,,,
SC002,US,"6,600",6600,6600,,,,,,,,,,,,,,,,,685,,,,
SC003,CS,,,,,,,,1,,,,,,,,,,,,0,,,,
SC003,US,,,,,,,,1,,,,,,,,,,,,0,,,,
SC004,CS,,,,,,,,,,,,,,,,,,,,14,,,,
SC004,US,,,,,,,,,,,,,,,,,,,,22,,,,
SC005,CS,,,,,,,1,,,,,,,,,,,,,12,,,,
SC005,US,,,,,,,1,,,,,,,,,,,,,339,,,,
