"battle","battle_name","belligerent","commander","commander_dbpedia","rank"
"GA003","Davis Cross Roads","CS","Thomas C. Hindman","http://dbpedia.org/resource/Thomas_C._Hindman","Major General"
"GA004","Chickamauga","CS","Braxton Bragg","http://dbpedia.org/resource/Braxton_Bragg","General"
"GA004","Chickamauga","US","George H. Thomas","http://dbpedia.org/resource/George_Henry_Thomas","Major General"
"GA004","Chickamauga","CS","James Longstreet","http://dbpedia.org/resource/James_Longstreet","Lieutenant General"
"GA004","Chickamauga","US","William S. Rosecrans","http://dbpedia.org/resource/William_Rosecrans","Major General"
"GA005","Ringgold Gap","US","Joseph Hooker","http://dbpedia.org/resource/Joseph_Hooker","Major General"
"GA005","Ringgold Gap","CS","Patrick R. Cleburne","http://dbpedia.org/resource/Patrick_Cleburne","Major General"
"GA006","Dalton I","US","George H. Thomas","http://dbpedia.org/resource/George_Henry_Thomas","Major General"
"GA006","Dalton I","CS","Joseph E. Johnston","http://dbpedia.org/resource/Joseph_E._Johnston","General"
"GA007","Rocky Face Ridge","CS","Joseph E. Johnston","http://dbpedia.org/resource/Joseph_E._Johnston","General"
"GA007","Rocky Face Ridge","US","William T. Sherman","http://dbpedia.org/resource/William_Tecumseh_Sherman","Major General"
"GA008","Resaca","CS","Joseph E. Johnston","http://dbpedia.org/resource/Joseph_E._Johnston","General"
"GA008","Resaca","US","William T. Sherman","http://dbpedia.org/resource/William_Tecumseh_Sherman","Major General"
"GA009","Adairsville","CS","Joseph E. Johnston","http://dbpedia.org/resource/Joseph_E._Johnston","General"
"GA009","Adairsville","US","William T. Sherman","http://dbpedia.org/resource/William_Tecumseh_Sherman","Major General"
"GA010","New Hope Church","CS","Joseph E. Johnston","http://dbpedia.org/resource/Joseph_E._Johnston","General"
"GA010","New Hope Church","US","Joseph Hooker","http://dbpedia.org/resource/Joseph_Hooker","Major General"
"GA010","New Hope Church","US","William T. Sherman","http://dbpedia.org/resource/William_Tecumseh_Sherman","Major General"
"GA011","Dallas","CS","Joseph E. Johnston","http://dbpedia.org/resource/Joseph_E._Johnston","General"
"GA011","Dallas","US","William T. Sherman","http://dbpedia.org/resource/William_Tecumseh_Sherman","Major General"
"GA012","Picketts Mill","US","Oliver O. Howard","http://dbpedia.org/resource/Oliver_O._Howard","Major General"
"GA012","Picketts Mill","CS","Patrick R. Cleburne","http://dbpedia.org/resource/Patrick_Cleburne","Major General"
"GA013","Marietta [Operations]","CS","Joseph E. Johnston","http://dbpedia.org/resource/Joseph_E._Johnston","General"
"GA013","Marietta [Operations]","US","William T. Sherman","http://dbpedia.org/resource/William_Tecumseh_Sherman","Major General"
"GA014","Kolbs Farm","CS","John Bell Hood","http://dbpedia.org/resource/John_Bell_Hood","Lieutenant General"
"GA014","Kolbs Farm","US","John M. Schofield","http://dbpedia.org/resource/John_Schofield","Major General"
"GA014","Kolbs Farm","US","Joseph Hooker","http://dbpedia.org/resource/Joseph_Hooker","Major General"
"GA015","Kennesaw Mountain","CS","Joseph E. Johnston","http://dbpedia.org/resource/Joseph_E._Johnston","General"
"GA015","Kennesaw Mountain","US","William T. Sherman","http://dbpedia.org/resource/William_Tecumseh_Sherman","Major General"
