"id_from","id_to","relation"
"LA016","http://dbpedia.org/resource/Battle_of_Stirling's_Plantation","="
"LA017","http://dbpedia.org/resource/Battle_of_Fort_De_Russy","="
"LA018","http://dbpedia.org/resource/Battle_of_Mansfield","="
"LA019","http://dbpedia.org/resource/Battle_of_Pleasant_Hill","="
"LA020","http://dbpedia.org/resource/Battle_of_Blair's_Landing","="
"LA021","http://dbpedia.org/resource/Battle_of_Monett's_Ferry","="
"LA022","http://dbpedia.org/resource/Battle_of_Mansura","="
"LA023","http://dbpedia.org/resource/Battle_of_Yellow_Bayou","="
"MD001","http://dbpedia.org/resource/Battle_of_Hancock","="
"MD002","http://dbpedia.org/resource/Battle_of_South_Mountain","="
"MD003","http://dbpedia.org/resource/Battle_of_Antietam","="
"MD004","http://dbpedia.org/resource/Battle_of_Williamsport","="
"MD006","http://dbpedia.org/resource/Battle_of_Boonsboro","="
"MD007","http://dbpedia.org/resource/Battle_of_Monocacy","="
"MD008","http://dbpedia.org/resource/Battle_of_Folck's_Mill","="
"MN001","http://dbpedia.org/resource/Battle_of_Fort_Ridgely","="
"MN002","http://dbpedia.org/resource/Battle_of_Wood_Lake","="
"MO001","http://dbpedia.org/resource/Battle_of_Boonville","="
"MO002","http://dbpedia.org/resource/Battle_of_Carthage_(1861)","="
"MO003","http://dbpedia.org/resource/Battle_of_Liberty","="
"MO004","http://dbpedia.org/resource/Battle_of_Wilson's_Creek","="
"MO005","http://dbpedia.org/resource/Battle_of_Dry_Wood_Creek","="
"MO006","http://dbpedia.org/resource/First_Battle_of_Lexington","="
"MO007","http://dbpedia.org/resource/Battle_of_Fredericktown","="
"MO008","http://dbpedia.org/resource/First_Battle_of_Springfield","="
"MO009","http://dbpedia.org/resource/Battle_of_Belmont","="
"MO010","http://dbpedia.org/resource/Battle_of_Mount_Zion_Church","="
"MO011","http://dbpedia.org/resource/Battle_of_Roan's_Tan_Yard","="
"MO012","http://dbpedia.org/resource/Battle_of_Island_Number_Ten","="
"MO013","http://dbpedia.org/resource/Battle_of_Kirksville","="
"MO014","http://dbpedia.org/resource/First_Battle_of_Independence","="
"MO015","http://dbpedia.org/resource/Battle_of_Lone_Jack","="
"MO016","http://dbpedia.org/resource/First_Battle_of_Newtonia","="
"MO017","http://dbpedia.org/resource/Battle_of_Clark's_Mill","="
"MO018","http://dbpedia.org/resource/Second_Battle_of_Springfield","="
"MO019","http://dbpedia.org/resource/Battle_of_Hartville","="
"MO020","http://dbpedia.org/resource/Battle_of_Cape_Girardeau","="
"MO021","http://dbpedia.org/resource/Battle_of_Fort_Davidson","="
"MO022","http://dbpedia.org/resource/Battle_of_Glasgow","="
"MO023","http://dbpedia.org/resource/Second_Battle_of_Lexington","="
"MO024","http://dbpedia.org/resource/Battle_of_Little_Blue_River","="
"MO025","http://dbpedia.org/resource/Second_Battle_of_Independence","="
"MO026","http://dbpedia.org/resource/Battle_of_Byram's_Ford","="
"MO027","http://dbpedia.org/resource/Battle_of_Westport","="
"MO028","http://dbpedia.org/resource/Battle_of_Marmiton_River","="
"MO029","http://dbpedia.org/resource/Second_Battle_of_Newtonia","="
"MS001","http://dbpedia.org/resource/Battle_of_Iuka","="
"MS002","http://dbpedia.org/resource/Second_Battle_of_Corinth","="
"MS003","http://dbpedia.org/resource/Battle_of_Chickasaw_Bayou","="
"MS004","http://dbpedia.org/resource/Battle_of_Grand_Gulf","="
"MS005","http://dbpedia.org/resource/Battle_of_Snyder's_Bluff","="
"MS006","http://dbpedia.org/resource/Battle_of_Port_Gibson","="
"MS007","http://dbpedia.org/resource/Battle_of_Raymond","="
"MS008","http://dbpedia.org/resource/Battle_of_Jackson,_Mississippi","="
"MS009","http://dbpedia.org/resource/Battle_of_Champion_Hill","="
"MS010","http://dbpedia.org/resource/Battle_of_Big_Black_River_Bridge","="
"MS011","http://dbpedia.org/resource/Siege_of_Vicksburg","="
"MS012","http://dbpedia.org/resource/Battle_of_Meridian","="
"MS013","http://dbpedia.org/resource/Battle_of_Okolona","="
"MS014","http://dbpedia.org/resource/Battle_of_Brice's_Crossroads","="
"MS015","http://dbpedia.org/resource/Battle_of_Tupelo","="
"MS016","http://dbpedia.org/resource/Siege_of_Corinth","="
"NC001","http://dbpedia.org/resource/Battle_of_Hatteras_Inlet_Batteries","="
"NC002","http://dbpedia.org/resource/Battle_of_Roanoke_Island","="
"NC003","http://dbpedia.org/resource/Battle_of_New_Bern","="
"NC004","http://dbpedia.org/resource/Battle_of_Fort_Macon","="
"NC005","http://dbpedia.org/resource/Battle_of_South_Mills","="
"NC006","http://dbpedia.org/resource/Battle_of_Tranter's_Creek","="
"NC007","http://dbpedia.org/resource/Battle_of_Kinston","="
"NC008","http://dbpedia.org/resource/Battle_of_White_Hall","="
"NC009","http://dbpedia.org/resource/Battle_of_Goldsboro_Bridge","="
"NC010","http://dbpedia.org/resource/Battle_of_Fort_Anderson","="
"NC011","http://dbpedia.org/resource/Battle_of_Washington","="
"NC012","http://dbpedia.org/resource/Battle_of_Plymouth_(1864)","="
"NC013","http://dbpedia.org/resource/Battle_of_Albemarle_Sound","="
"NC014","http://dbpedia.org/resource/First_Battle_of_Fort_Fisher","="
"NC015","http://dbpedia.org/resource/Second_Battle_of_Fort_Fisher","="
"NC016","http://dbpedia.org/resource/Battle_of_Wilmington","="
"NC017","http://dbpedia.org/resource/Battle_of_Wyse_Fork","="
"NC018","http://dbpedia.org/resource/Battle_of_Monroe's_Crossroads","="
"NC019","http://dbpedia.org/resource/Battle_of_Averasborough","="
"NC020","http://dbpedia.org/resource/Battle_of_Bentonville","="
"ND001","http://dbpedia.org/resource/Battle_of_Big_Mound","="
"ND002","http://dbpedia.org/resource/Battle_of_Dead_Buffalo_Lake","="
"ND003","http://dbpedia.org/resource/Battle_of_Stony_Lake","="
"ND004","http://dbpedia.org/resource/Battle_of_Whitestone_Hill","="
"ND005","http://dbpedia.org/resource/Battle_of_Killdeer_Mountain","="
"NM001","http://dbpedia.org/resource/Battle_of_Valverde","="
"NM002","http://dbpedia.org/resource/Battle_of_Glorieta_Pass","="
"OH001","http://dbpedia.org/resource/Battle_of_Buffington_Island","="
"OH002","http://dbpedia.org/resource/Battle_of_Salineville","="
"OK001","http://dbpedia.org/resource/Battle_of_Round_Mountain","="
"OK002","http://dbpedia.org/resource/Battle_of_Chusto-Talasah","="
"OK003","http://dbpedia.org/resource/Battle_of_Chustenahlah","="
"OK004","http://dbpedia.org/resource/Battle_of_Old_Fort_Wayne","="
"OK005","http://dbpedia.org/resource/Battle_of_Middle_Boggy_Depot","="
"OK006","http://dbpedia.org/resource/Battle_of_Cabin_Creek","="
"OK007","http://dbpedia.org/resource/Battle_of_Honey_Springs","="
"PA001","http://dbpedia.org/resource/Battle_of_Hanover","="
"PA002","http://dbpedia.org/resource/Battle_of_Gettysburg","="
"SC001","http://dbpedia.org/resource/Battle_of_Fort_Sumter","="
"SC002","http://dbpedia.org/resource/Battle_of_James_Island","="
"SC003","http://dbpedia.org/resource/Battle_of_Simmon's_Bluff","="
"SC004","http://dbpedia.org/resource/First_Battle_of_Charleston_Harbor","="
"SC005","http://dbpedia.org/resource/First_Battle_of_Fort_Wagner","="
