"from","to","relation"
"Perryville (October 08, 1862)","KY009","="
"New-Hope-Church (May 28, 1864)","GA011","="
"Bentonville (March 05, 1865)","NC020","="
"Fredericksburg (December 11, 1862)","VA028","="
"Chancellorsville (May 03, 1863)","VA032","="
"Seven Pines (May 31, 1862)","VA014","="
"Ringgold (November 23, 1863)","TN024","="
"Cold Harbor (June 03, 1864)","VA062","="
"Bull-Run (July 21, 1861)","VA005","="
"Peach-Tree-Creek (July 20, 1864)","GA016","="
"Vicksburg (May 19, 1863)","MS011","="
"Williamsburg (May 05, 1862)","VA010","="
"Lexington (September 20, 1861)","MO006","="
"Harper's Ferry (September 15, 1862)","WV010","="
"Drewry's Bluff (May 16, 1864)","VA053","="
"Petersburg (June 09, 1864)","VA098",">"
"Petersburg (June 09, 1864)","VA063",">"
"Petersburg (June 09, 1864)","VA065",">"
"Petersburg (June 09, 1864)","VA113",">"
"Petersburg (June 09, 1864)","VA067",">"
"Petersburg (June 09, 1864)","VA068",">"
"Petersburg (June 09, 1864)","VA069",">"
"Petersburg (June 09, 1864)","VA070",">"
"Petersburg (June 09, 1864)","VA071",">"
"Petersburg (June 09, 1864)","VA072",">"
"Petersburg (June 09, 1864)","VA073",">"
"Petersburg (June 09, 1864)","VA075",">"
"Petersburg (June 09, 1864)","VA074",">"
"Petersburg (June 09, 1864)","VA078",">"
"Petersburg (June 09, 1864)","VA080",">"
"Petersburg (June 09, 1864)","VA079",">"
"Petersburg (June 09, 1864)","VA085",">"
"Petersburg (June 09, 1864)","VA087",">"
"Petersburg (June 09, 1864)","VA086",">"
"Petersburg (June 09, 1864)","VA090",">"
"Petersburg (June 09, 1864)","VA083",">"
"Petersburg (June 09, 1864)","VA084",">"
"Petersburg (June 09, 1864)","VA088",">"
"Petersburg (June 09, 1864)","VA089",">"
"Antietam (September 17, 1862)","MD003","="
"Shiloh (April 06, 1862)","TN003","="
"Middletown (October 19, 1864)","VA122","="
"Atlanta (July 22, 1864)","GA017","="
"Chickahominy (June 25, 1862)","VA020B",">"
"Chickahominy (June 25, 1862)","VA016",">"
"Chickahominy (June 25, 1862)","VA017",">"
"Chickahominy (June 25, 1862)","VA018",">"
"Chickahominy (June 25, 1862)","VA020A",">"
"Chickahominy (June 25, 1862)","VA021",">"
"Chickahominy (June 25, 1862)","VA015",">"
"Chickahominy (June 25, 1862)","VA019",">"
"Murfreesborough (December 31, 1862)","TN010","="
"Boonsborough (September 14, 1862)","MD002","="
"Corinth (October 03, 1862)","MS002","="
"Winchester (June 15, 1863)","VA107","="
"Mobile (April 02, 1865)","AL006","="
"Wilderness (May 05, 1864)","VA046","="
"Pamunkey (May 22, 1864)","VA055","="
"Prairie-Grove (December 07, 1862)","AR005","="
"Arkansas Post (January 11, 1863)","AR006","="
"Champion's Hill (May 16, 1863)","MS009","="
"Bull-Run (August 29, 1862)","VA026","="
"Spotsylvania-Court-House (May 08, 1864)","VA048","="
"Charleston (April 01, 1863)","SC008",">"
"Charleston (April 01, 1863)","SC009",">"
"Charleston (April 01, 1863)","SC006",">"
"Charleston (April 01, 1863)","SC004",">"
"Appomattox-Court-House (April 09, 1865)","VA097","="
"Ezra-Church (July 28, 1864)","GA018","="
"Chickamauga (September 19, 1863)","GA004","="
"Franklin (November 30, 1864)","TN036","="
"Richmond (August 30, 1862)","KY007","="
"Chickasaw Bluffs (January 03, 1863)","MS003","="
"Winchester (September 19, 1864)","VA119","="
"Gettysburg (July 01, 1863)","PA002","="
"Cedar Mountain (August 09, 1862)","VA022","="
"Wilson's Creek (August 10, 1861)","MO004","="
"Kenesaw-Mountain (June 27, 1864)","GA015","="
"Fort Donelson (February 12, 1862)","TN002","="
"Nashville (December 15, 1864)","TN038","="
"Resaca (May 14, 1864)","GA008","="
"Pea Ridge (March 07, 1862)","AR001","="
