"from","to","relation"
"Charleston (April 01, 1863)","http://dbpedia.org/resource/Second_Battle_of_Charleston_Harbor",">"
"Charleston (April 01, 1863)","http://dbpedia.org/resource/Battle_of_Grimball's_Landing",">"
"Charleston (April 01, 1863)","http://dbpedia.org/resource/First_Battle_of_Charleston_Harbor",">"
"Appomattox-Court-House (April 09, 1865)","http://dbpedia.org/resource/Battle_of_Appomattox_Court_House","="
"Ezra-Church (July 28, 1864)","http://dbpedia.org/resource/Battle_of_Ezra_Church","="
"Chickamauga (September 19, 1863)","http://dbpedia.org/resource/Battle_of_Chickamauga","="
"Franklin (November 30, 1864)","http://dbpedia.org/resource/Battle_of_Franklin_(1864)","="
"Richmond (August 30, 1862)","http://dbpedia.org/resource/Battle_of_Richmond","="
"Chickasaw Bluffs (January 03, 1863)","http://dbpedia.org/resource/Battle_of_Chickasaw_Bayou","="
"Winchester (September 19, 1864)","http://dbpedia.org/resource/Battle_of_Opequon","="
"Gettysburg (July 01, 1863)","http://dbpedia.org/resource/Battle_of_Gettysburg","="
"Cedar Mountain (August 09, 1862)","http://dbpedia.org/resource/Battle_of_Cedar_Mountain","="
"Wilson's Creek (August 10, 1861)","http://dbpedia.org/resource/Battle_of_Wilson's_Creek","="
"Kenesaw-Mountain (June 27, 1864)","http://dbpedia.org/resource/Battle_of_Kennesaw_Mountain","="
"Fort Donelson (February 12, 1862)","http://dbpedia.org/resource/Battle_of_Fort_Donelson","="
"Nashville (December 15, 1864)","http://dbpedia.org/resource/Battle_of_Nashville","="
"Resaca (May 14, 1864)","http://dbpedia.org/resource/Battle_of_Resaca","="
"Pea Ridge (March 07, 1862)","http://dbpedia.org/resource/Battle_of_Pea_Ridge","="
