battle,belligerent,strength,infantry,cavalry,crewmen,corps,cavalry corps,divisions,cavalry divisions,brigades,companies,frigates,gunboats,ironclads,sloops,steamers,warships and transports,warships,wooden warships,guns,casualties,captured,killed,wounded,missing,killed_wounded,killed_missing,captured_missing,wounded_missing,guns lost,guns captured,small arms lost,small arms captured,warships sunk,warships damaged,gunboats sunk,gunboats captured,ironclads sunk,ironclads captured,forts captured,note
Chattanooga (Missionary Ridge),confed,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,
Ringgold Gap,union,12000,,,,,,,,,,,,,,,,,,,,100,,,,342,,,,,,,,,,,,,,,
Ringgold Gap,confed,4100,,,,,,,,,,,,,,,,,,,221,,,,,,,,,,,,,,,,,,,,
Knoxville (siege),union,25000,,,,,,,,,,,,,,,,,,,,,92,394,,,,207,,,,,,,,,,,,,
Knoxville (siege),confed,15000,,,,,,,,,,,,,,,,,,,1142,,,,,,,,,,,,,,,,,,,,
Knoxville (attack on Fort Sanders),union,440,,,,,,,,,,,,,,,,,,12,,,8,5,,,,,,,,,,,,,,,,,
Knoxville (attack on Fort Sanders),confed,3000,,,,,,,,,,,,,,,,,,,,226,129,458,,,,,,,,,,,,,,,,,
Chancellorsville,union,97382,,,,,,,,,,,,,,,,,,,,,1606,9762,,,,5919,,,,,,,,,,,,,
Chancellorsville,confed,60892,,,,,,,,,,,,,,,,,,,,,1665,9081,2081,,,,,,,,,,,,,,,,
Brandy Station,union,,,12000,,,,,,,,,,,,,,,,,,486,69,352,,,,,,,,,,,,,,,,,
Brandy Station,confed,,,10000,,,,,,,,,,,,,,,,,523,,,,,,,,,,,,,,,,,,,,
Winchester (second),union,5100,,,,,,,,,,,,,,,,,,,,,95,348,4058,,,,,23,,,,,,,,,,,
Winchester (second),confed,14000,,,,,,,,,,,,,,,,,,,269,,,,,,,,,,,,,,,,,,,,
Gettsyburg,union,88289,,,,,,,,,,,,,,,,,,,,,3155,14529,,,,5365,,,,,,,,,,,,,
Gettsyburg,confed,70226,,,,,,,,,,,,,,,,,,,,,3903,18735,,,,5425,,,,,,,,,,,,,
Bristoe Station,union,,,,,,,3,,,,,,,,,,,,,548,,,,,,,,,,,,,,,,,,,,
Bristoe Station,confed,,,,,,,,,2,,,,,,,,,,,,450,,,,1400,,,,,,,,,,,,,,,
Buckland,union,,,,,,,,1,,,,,,,,,,,,1251,,,,,,,,,,,,,,,,,,,,
Buckland,confed,,,,,,,,1,,,,,,,,,,,,408,,,,,,,,,,,,,,,,,,,,
Rappahannock Station,union,,,,,1,,,,,,,,,,,,,,,461,,,,,,,,,,,,,,,,,,,,
Rappahannock Station,confed,2800,,,,,,,,,,,,,,,,,,,2033,,,,,,,,,,,,,,,,,,,,
Mine Run,union,84274,,,,,,,,,,,,,,,,,,,1653,,,,,,,,,,,,,,,,,,,,
Mine Run,confed,48586,,,,,,,,,,,,,,,,,,,629,,,,,,,,,,,,,,,,,,,,
"Rich Mountain/Laurel Mountain, July 11-13, 1861",union,6000,,,,,,,,,,,,,,,,,,,,,12,49,,,,,,,,,,,,,,,,,
"Rich Mountain/Laurel Mountain, July 11-13, 1861",confed,5300,,,,,,,,,,,,,,,,,,,,554,,,,170,,,,,,,,,,,,,,,
"First Bull Run (Manassas), July 21, 1861",union,28452,,,,,,,,,,,,,,,,,,,,,460,1124,,,,1312,,,,,,,,,,,,,
"First Bull Run (Manassas), July 21, 1861",confed,32232,,,,,,,,,,,,,,,,,,,,,387,1582,13,,,,,,,,,,,,,,,,
"Ball's Bluff, October 21, 1861",union,1700,,,,,,,,,,,,,,,,,,,,714,49,158,,,,,,,,,,,,,,,,,
"Ball's Bluff, October 21, 1861",confed,3000,,,,,,,,,,,,,,,,,,,,,33,115,1,,,,,,,,,,,,,,,,
Sabine Crossroads,union,12000,,,,,,,,,,,,,,,,,,,,1397,108,643,,,,,,20,,,,,,,,,,,
Sabine Crossroads,confed,8800,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,
Pleasant Hill,union,12247,,,,,,,,,,,,,,,,,,,,,150,844,375,,,,,,,,,,,,,,,,
Pleasant Hill,confed,12500,,,,,,,,,,,,,,,,,,,1626,,,,,,,,,,,,,,,,,,,,
Yellow Bayou,union,5000,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,
Yellow Bayou,confed,5000,,,,,,,,,,,,,,,,,,,608,,,,,,,,,,,,,,,,,,,,
Jenkins Ferry,union,6000,,,,,,,,,,,,,,,,,,,,,64,378,86,,,,,,,,,,,,,,,,
Jenkins Ferry,confed,4000,,,,,,,,,,,,,,,,,,,,,86,356,1,,,,,,,,,,,,,,,,
