battle,belligerent,strength,infantry,cavalry,crewmen,corps,cavalry corps,divisions,cavalry divisions,brigades,companies,frigates,gunboats,ironclads,sloops,steamers,warships and transports,warships,wooden warships,guns,casualties,captured,killed,wounded,missing,killed_wounded,killed_missing,captured_missing,wounded_missing,guns lost,guns captured,small arms lost,small arms captured,warships sunk,warships damaged,gunboats sunk,gunboats captured,ironclads sunk,ironclads captured,forts captured,note
South Mountain,union,28480,,,,,,,,,,,,,,,,,,,,,325,1403,85,,,,,,,,,,,,,,,,
South Mountain,confed,17852,,,,,,,,,,,,,,,,,,,,,325,1560,,,,800,,,,,,,,,,,,,
Antietam (Sharpsburg),union,75316,,,,,,,,,,,,,,,,,,,,,2108,9549,753,,,,,,,,,,,,,,,,
Antietam (Sharpsburg),confed,39000,,,,,,,,,,,,,,,,,,,,,1546,7752,1018,,,,,,,,,,,,,,,,
Fredericksburg,union,106007,,,,,,,,,,,,,,,,,,,,,1284,9600,1769,,,,,,,,,,,,,,,,
Fredericksburg,confed,72497,,,,,,,,,,,,,,,,,,,,,595,4074,653,,,,,,,,,,,,,,,,
Pocataligo,union,4500,,,,,,,,,,,,,,,,,,,340,,,,,,,,,,,,,,,,,,,,
Pocataligo,confed,2200,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,
Batteries Wagner and Gregg,union,3000,,,,,,,,,,,,,,,,,,,,,49,123,,,,167,,,,,,,,,,,,,
Batteries Wagner and Gregg,confed,1500,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,
Battery Wagner,union,6000,,,,,,,,,,,,,,,,,,,,,246,890,391,,,,,,,,,,,,,,,,
Battery Wagner,confed,1300,,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,,,,,
Olustee,union,5115,,,,,,,,,,,,,,,,,,,,,231,1124,506,,,,,,,,,,,,,,,,
Olustee,confed,5200,,,,,,,,,,,,,,,,,,,,,,841,,,93,,,,,,,,,,,,,,
Wilderness,union,101895,,,,,,,,,,,,,,,,,,,,,2246,12037,,,,3383,,,,,,,,,,,,,
Wilderness,confed,61025,,,,,,,,,,,,,,,,,,,,,1957,7467,1701,,,,,,,,,,,,,,,,
Spotsylvania Court House,union,101000,,,,,,,,,,,,,,,,,,,,,2725,13416,2258,,,,,,,,,,,,,,,,
Spotsylvania Court House,confed,56000,,,,,,,,,,,,,,,,,,,,,1929,4803,5719,,,,,,,,,,,,,,,,
Yellow Tavern,union,10000,,,,,,,,,,,,,,,,,,,625,,,,,,,,,,,,,,,,,,,,
Yellow Tavern,confed,4500,,,,,,,,,,,,,,,,,,,,,106,332,178,,,,,,,,,,,,,,,,
North Anna River,union,100000,,,,,,,,,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,
North Anna River,confed,50000,,,,,,,,,,,,,,,,,,,,,198,618,734,,,,,,,,,,,,,,,,
Totopotomy Creek,union,100000,,,,,,,,,,,,,,,,,,,2103,,,,,,,,,,,,,,,,,,,,
Totopotomy Creek,confed,50000,,,,,,,,,,,,,,,,,,,,,342,882,367,,,,,,,,,,,,,,,,
Cold Harbor (assault),union,60000,,,,,,,,,,,,,,,,,,,7000,,,,,,,,,,,,,,,,,,,,
Cold Harbor (assault),confed,59000,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,
Cold Harbor,union,108000,,,,,,,,,,,,,,,,,,,,,1769,6752,1537,,,,,,,,,,,,,,,,
Cold Harbor,confed,59000,,,,,,,,,,,,,,,,,,,,,1057,3105,1132,,,,,,,,,,,,,,,,
Trevilian Station,union,8000,,,,,,,,,,,,,,,,,,,,,102,470,435,,,,,,,,,,,,,,,,
Trevilian Station,confed,5000,,,,,,,,,,,,,,,,,,,,,126,338,318,,,,,,,,,,,,,,,,
Cloyd's Mountain,union,6155,,,,,,,,,,,,,,,,,,,688,,,,,,,,,,,,,,,,,,,,
Cloyd's Mountain,confed,2400,,,,,,,,,,,,,,,,,,,543,,,,,,,,,,,,,,,,,,,,
New Market,union,5200,,,,,,,,,,,,,,,,,,,,,93,482,256,,,,,,,,,,,,,,,,
New Market,confed,3500,,,,,,,,,,,,,,,,,,,,,42,484,13,,,,,,,,,,,,,,,,
Piedmont,union,16000,,,,,,,,,,,,,,,,,,,,,130,650,,,,,,,,,,,,,,,,,
Piedmont,confed,8500,,,,,,,,,,,,,,,,,,,,1000,,,,460,,,,,,,,,,,,,,,
Drewry's Bluff,union,15800,,,,,,,,,,,,,,,,,,,,,390,2380,1390,,,,,,,,,,,,,,,,
Drewry's Bluff,confed,18025,,,,,,,,,,,,,,,,,,,,,355,2151,,,,,,,,,,,,,,,,,
Petersburg (first assault),union,63797,,,,,,,,,,,,,,,,,,,,,1688,8513,1185,,,,,,,,,,,,,,,,
Petersburg (first assault),confed,41499,,,,,,,,,,,,,,,,,,,4752,,,,,,,,,,,,,,,,,,,,
Monocacy River,union,6050,,,,,,,,,,,,,,,,,,,,,90,579,,,,1290,,,,,,,,,,,,,
Monocacy River,confed,14000,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,
Kernstown (second),union,8000,,,,,,,,,,,,,,,,,,,,479,,,,706,,,,,,,,,,,,,,,
Kernstown (second),confed,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opequon (Third Winchester),union,37711,,,,,,,,,,,,,,,,,,,,,697,3983,338,,,,,,,,,,,,,,,,
Opequon (Third Winchester),confed,17103,,,,,,,,,,,,,,,,,,,,,276,1827,,,,1818,,,,,,,,,,,,,
Fisher's Hill,union,30000,,,,,,,,,,,,,,,,,,,,,52,457,19,,,,,,,,,,,,,,,,
Fisher's Hill,confed,8000,,,,,,,,,,,,,,,,,,,,1100,,,,300,,,,25,,,,,,,,,,,
Cedar Creek,union,30829,,,,,,,,,,,,,,,,,,,,,644,3430,,,,1591,,,,,,,,,,,,,
Cedar Creek,confed,18410,,,,,,,,,,,,,,,,,,,,,320,1540,,,,1050,,25,,,,,,,,,,,
Petersburg (Battle of the Crater),union,20708,,,,,,,,,,,,,,,,,,,,,504,1181,,,,1413,,,,,,,,,,,,,
Petersburg (Battle of the Crater),confed,11466,,,,,,,,,,,,,,,,,,,1182,,,,,,,,,,,,,,,,,,,,
Deep Bottom Run,union,27974,,,,,,,,,,,,,,,,,,,2899,,,,,,,,,,,,,,,,,,,,
Deep Bottom Run,confed,20008,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,
Globe Tavern,union,20289,,,,,,,,,,,,,,,,,,,,,251,1148,,,,2879,,,,,,,,,,,,,
Globe Tavern,confed,14787,,,,,,,,,,,,,,,,,,,,,,,419,1200,,,,,,,,,,,,,,,
Reams Station,union,,,,,,,3,,,,,,,,,,,,,,2073,140,529,,,,,,,,,,,,,,,,,
Reams Station,confed,,,,,,,1,,,,,,,,,,,,,720,,,,,,,,,,,,,,,,,,,,
Fort Harrison (Chaffin's Bluff),union,19639,,,,,,,,,,,,,,,,,,,,,383,2299,645,,,,,,,,,,,,,,,,
Fort Harrison (Chaffin's Bluff),confed,10836,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,
Peebles Farm,union,,,,,,,4,,,,,,,,,,,,,,,187,900,1802,,,,,,,,,,,,,,,,
Peebles Farm,confed,,,,,,,3,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,
Hatcher's Run (first),union,42823,,,,,,,,,,,,,,,,,,,,,166,1028,564,,,,,,,,,,,,,,,,
Hatcher's Run (first),confed,20324,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,
Fair Oaks,union,40000,,,,,,,,,,,,,,,,,,,1103,,,,,,,,,,,,,,,,,,,,
Fair Oaks,confed,10000,,,,,,,,,,,,,,,,,,,451,,,,,,,,,,,,,,,,,,,,
