battle,dbpedia,relation
"First Bull Run (Manassas), July 21, 1861",http://dbpedia.org/resource/First_Battle_of_Bull_Run,=
"Ball's Bluff, October 21, 1861",http://dbpedia.org/resource/Battle_of_Ball%27s_Bluff,=
Pocataligo,http://dbpedia.org/resource/Battle_of_Pocotaligo,=
Batteries Wagner and Gregg,http://dbpedia.org/resource/First_Battle_of_Fort_Wagner,=
Battery Wagner,http://dbpedia.org/resource/Second_Battle_of_Fort_Wagner,=
Galveston,http://dbpedia.org/resource/Battle_of_Galveston,=
Honey Springs,http://dbpedia.org/resource/Battle_of_Honey_Springs,=
Fort Hindman (Arkansas Post),http://dbpedia.org/resource/Battle_of_Arkansas_Post,=
Port Hudson (siege),http://dbpedia.org/resource/Siege_of_Port_Hudson,=
Port Hudson (first assault),http://dbpedia.org/resource/Siege_of_Port_Hudson,<
Port Hudson (second assault),http://dbpedia.org/resource/Siege_of_Port_Hudson,<
Donaldsville,http://dbpedia.org/resource/Second_Battle_of_Donaldsonville,=
Donaldsville,http://dbpedia.org/resource/Battle_of_Kock%27s_Plantation,=
Port Gibson,http://dbpedia.org/resource/Battle_of_Port_Gibson,=
Raymond,http://dbpedia.org/resource/Battle_of_Raymond,=
Jackson,"http://dbpedia.org/resource/Battle_of_Jackson,_Mississippi",=
Champion's Hill,http://dbpedia.org/resource/Battle_of_Champion_Hill,=
Big Black River,http://dbpedia.org/resource/Battle_of_Big_Black_River_Bridge,=
Vicksburg (siege),http://dbpedia.org/resource/Siege_of_Vicksburg,=
Vicksburg (first assault),http://dbpedia.org/resource/Siege_of_Vicksburg,<
Vicksburg (second assault),http://dbpedia.org/resource/Siege_of_Vicksburg,<
Helena,http://dbpedia.org/resource/Battle_of_Helena,=
Jackson (siege),http://dbpedia.org/resource/Jackson_Expedition,=
Chickamagua,http://dbpedia.org/resource/Battle_of_Chickamagua,=
Chattanooga,http://dbpedia.org/resource/Chattanooga_Campaign,=
Chattanooga (Orchard Knob/Indian Hill),http://dbpedia.org/resource/Chattanooga_Campaign,<
Chattanooga (Lookout Mountain),http://dbpedia.org/resource/Battle_of_Lookout_Mountain,=
Chattanooga (Tunnel Hill),http://dbpedia.org/resource/Chattanooga_Campaign,<
Chattanooga (Missionary Ridge),http://dbpedia.org/resource/Battle_of_Missionary_Ridge,=
Ringgold Gap,http://dbpedia.org/resource/Battle_of_Ringgold_Gap,=
Knoxville (siege),http://dbpedia.org/resource/Knoxville_Campaign,<
Knoxville (attack on Fort Sanders),http://dbpedia.org/resource/Battle_of_Fort_Sanders,=
Sabine Crossroads,http://dbpedia.org/resource/Battle_of_Mansfield,=
Pleasant Hill,http://dbpedia.org/resource/Battle_of_Pleasant_Hill,=
Yellow Bayou,http://dbpedia.org/resource/Battle_of_Yellow_Bayou,=
Jenkins Ferry,http://dbpedia.org/resource/Battle_of_Jenkins%27_Ferry,=
Fort Davidson (Pilot Knob),http://dbpedia.org/resource/Battle_of_Fort_Davidson,=
Westport,http://dbpedia.org/resource/Battle_of_Westport,=
Mine Creek,http://dbpedia.org/resource/Battle_of_Mine_Creek,=
Fort Pillow,http://dbpedia.org/resource/Battle_of_Fort_Pillow,=
Brice's Crossroads,http://dbpedia.org/resource/Battle_of_Brice%27s_Crossroads,=
Tupelo,http://dbpedia.org/resource/Battle_of_Tupelo,=
Selma,http://dbpedia.org/resource/Battle_of_Selma,=
New Hope Church,http://dbpedia.org/resource/Battle_of_New_Hope_Church,=
Kennesaw Mountain,http://dbpedia.org/resource/Battle_of_Kennesaw_Mountain,=
Peachtree Creek,http://dbpedia.org/resource/Battle_of_Peachtree_Creek,=
Atlanta,http://dbpedia.org/resource/Battle_of_Atlanta,=
Ezra Church,http://dbpedia.org/resource/Battle_of_Ezra_Church,=
Jonesboro,http://dbpedia.org/resource/Battle_of_Jonesborough,=
Allatoona,http://dbpedia.org/resource/Battle_of_Allatoona,=
Franklin,http://dbpedia.org/resource/Battle_of_Franklin_(1864),=
Nashville,http://dbpedia.org/resource/Battle_of_Nashville,=
Griswoldville,http://dbpedia.org/resource/Griswoldville,=
Valverde,http://dbpedia.org/resource/Battle_of_Valverde,=
Apache Canyon/Glorieta Pass,http://dbpedia.org/resource/Battle_of_Glorieta_Pass,=
Pea Ridge,http://dbpedia.org/resource/Battle_of_Pea_Ridge,=
Prairie Grove,http://dbpedia.org/resource/Battle_of_Prairie_Grove,=
Mill Springs (Logan's Crossroads),http://dbpedia.org/resource/Battle_of_Mill_Springs,=
Fort Donelson,http://dbpedia.org/resource/Battle_of_Fort_Donelson,=
Shiloh (Pittsburg Landing),http://dbpedia.org/resource/Battle_of_Shiloh,=
New Orleans,http://dbpedia.org/resource/Battle_of_Forts_Jackson_and_St._Philip,=
Baton Rouge,http://dbpedia.org/resource/Battle_of_Baton_Rouge_(1862),=
Iuka,http://dbpedia.org/resource/Battle_of_Iuka,=
Corinth,http://dbpedia.org/resource/Second_Battle_of_Corinth,=
Chickasaw Bluffs,http://dbpedia.org/resource/Battle_of_Chickasaw_Bayou,=
Richmond (Kentucky),http://dbpedia.org/resource/Battle_of_Richmond,=
Perryville,http://dbpedia.org/resource/Battle_of_Perryville,=
Hartsville,http://dbpedia.org/resource/Battle_of_Hartsville,=
Stones River (Murfreesboro),http://dbpedia.org/resource/Battle_of_Stones_River,=
Mobile Bay,http://dbpedia.org/resource/Battle_of_Mobile_Bay,=
Fort Fisher,http://dbpedia.org/resource/Second_Battle_of_Fort_Fisher,=
