uri,union,confederate
http://dbpedia.org/resource/84th_Ohio_Infantry,0,0
http://dbpedia.org/resource/58th_Virginia_Infantry,0,0
http://dbpedia.org/resource/12th_Regiment_Kentucky_Volunteer_Infantry,0,0
http://dbpedia.org/resource/46th_Virginia_Infantry,0,0
http://dbpedia.org/resource/1st_New_Jersey_Volunteer_Infantry,0,0
http://dbpedia.org/resource/St._Clair_Augustine_Mulholland,0,0
http://dbpedia.org/resource/22nd_Ohio_Infantry,0,0
http://dbpedia.org/resource/Gabriel_Bouck,0,0
http://dbpedia.org/resource/71st_New_York_Infantry,0,0
http://dbpedia.org/resource/7th_Independent_Battery_Wisconsin_Light_Artillery,0,0
http://dbpedia.org/resource/List_of_Missouri_Confederate_Civil_War_units,0,0
http://dbpedia.org/resource/9th_Regiment_Kentucky_Volunteer_Infantry,0,0
http://dbpedia.org/resource/60th_Indiana_Infantry_Regiment,0,0
http://dbpedia.org/resource/2nd_Company_of_Minnesota_Sharpshooters,0,0
http://dbpedia.org/resource/Paulsen's_Independent_Battery,0,0
http://dbpedia.org/resource/22nd_Regiment_New_York_Volunteer_Cavalry,0,0
http://dbpedia.org/resource/John_Allen_Wilcox,0,0
http://dbpedia.org/resource/Confederate_Army_of_the_Northwest,0,0
http://dbpedia.org/resource/15th_New_Jersey_Volunteer_Infantry,0,0
http://dbpedia.org/resource/1st_Maine_Volunteer_Infantry_Regiment,0,0
http://dbpedia.org/resource/52nd_Virginia_Infantry,0,0
http://dbpedia.org/resource/1st_California_Mountaineers_Battalion,0,0
http://dbpedia.org/resource/5th_New_York_Volunteer_Infantry,0,0
http://dbpedia.org/resource/1st_Alabama_Cavalry_Regiment_(Union),0,0
http://dbpedia.org/resource/45th_Ohio_Infantry,0,0
http://dbpedia.org/resource/1st_Wisconsin_Volunteer_Cavalry_Regiment,0,0
http://dbpedia.org/resource/59th_Ohio_Infantry,0,0
http://dbpedia.org/resource/1st_Michigan_Volunteer_Infantry_Regiment_(3_Months),0,0
http://dbpedia.org/resource/21st_Wisconsin_Volunteer_Infantry_Regiment,0,0
http://dbpedia.org/resource/David_French_Boyd,0,0
http://dbpedia.org/resource/32nd_Iowa_Volunteer_Infantry_Regiment,0,0
http://dbpedia.org/resource/69th_Pennsylvania_Infantry,0,0
http://dbpedia.org/resource/134th_Indiana_Infantry_Regiment,0,0
http://dbpedia.org/resource/U.S._Military_Telegraph_Corps,0,0
http://dbpedia.org/resource/48th_Illinois_Volunteer_Infantry_Regiment,0,0
http://dbpedia.org/resource/18th_Virginia_Cavalry,0,0
http://dbpedia.org/resource/34th_New_York_Volunteer_Infantry_Regiment,0,0
http://dbpedia.org/resource/105th_Illinois_Volunteer_Infantry_Regiment,0,0
http://dbpedia.org/resource/15th_Missouri_Volunteer_Infantry,0,0
http://dbpedia.org/resource/14th_Vermont_Infantry,0,0
http://dbpedia.org/resource/11th_Independent_Battery_Wisconsin_Light_Artillery,0,0
http://dbpedia.org/resource/108th_Ohio_Infantry,0,0
http://dbpedia.org/resource/83rd_Illinois_Volunteer_Infantry_Regiment,0,0
http://dbpedia.org/resource/71st_Pennsylvania_Infantry,0,0
http://dbpedia.org/resource/8th_Indiana_Infantry_Regiment,0,0
http://dbpedia.org/resource/1st_California_Cavalry_Regiment,0,0
http://dbpedia.org/resource/4th_Regiment_Kentucky_Volunteer_Cavalry,0,0
http://dbpedia.org/resource/69th_Illinois_Volunteer_Infantry_Regiment,0,0
http://dbpedia.org/resource/Camp_Boone,0,0
"http://dbpedia.org/resource/20th_Independent_Battery,_New_York_Volunteer_Artillery",0,0
http://dbpedia.org/resource/4th_Connecticut_Infantry_Regiment,0,0
http://dbpedia.org/resource/2nd_California_Infantry_Regiment,0,0
http://dbpedia.org/resource/27th_Virginia_Infantry,0,0
http://dbpedia.org/resource/21st_Iowa_Volunteer_Infantry_Regiment,0,0
http://dbpedia.org/resource/30th_Georgia_Volunteer_Infantry,0,0
http://dbpedia.org/resource/24th_Michigan_Volunteer_Infantry_Regiment,0,0
http://dbpedia.org/resource/25th_Independent_Battery_Indiana_Light_Artillery,0,0
http://dbpedia.org/resource/14th_Virginia_Cavalry,0,0
http://dbpedia.org/resource/27th_Ohio_Infantry,0,0
"http://dbpedia.org/resource/29th_Regiment,_United_States_Colored_Infantry",0,0
http://dbpedia.org/resource/121st_Pennsylvania_Infantry,0,0
http://dbpedia.org/resource/13th_Ohio_Battery,0,0
http://dbpedia.org/resource/Solomon_Meredith,0,0
http://dbpedia.org/resource/1st_California_Infantry_Battalion_(Veteran),0,0
