from,to,relation
Battle_of_Tranter's_Creek,NC006,=
Battle_of_Kinston,NC007,=
Battle_of_White_Hall,NC008,=
Battle_of_Goldsboro_Bridge,NC009,=
Battle_of_Fort_Anderson,NC010,=
Battle_of_Washington,NC011,=
Battle_of_Plymouth_(1864),NC012,=
Battle_of_Albemarle_Sound,NC013,=
First_Battle_of_Fort_Fisher,NC014,=
Second_Battle_of_Fort_Fisher,NC015,=
Battle_of_Wilmington,NC016,=
Battle_of_Wyse_Fork,NC017,=
Battle_of_Monroe's_Crossroads,NC018,=
Battle_of_Averasborough,NC019,=
Battle_of_Bentonville,NC020,=
Battle_of_Valverde,NM001,=
Battle_of_Glorieta_Pass,NM002,=
Battle_of_Buffington_Island,OH001,=
Battle_of_Salineville,OH002,=
Battle_of_Round_Mountain,OK001,=
Battle_of_Chusto-Talasah,OK002,=
Battle_of_Chustenahlah,OK003,=
Battle_of_Old_Fort_Wayne,OK004,=
Battle_of_Middle_Boggy_Depot,OK005,=
Battle_of_Cabin_Creek,OK006,=
Battle_of_Honey_Springs,OK007,=
Battle_of_Hanover,PA001,=
Battle_of_Gettysburg,PA002,=
Battle_of_Fort_Sumter,SC001,=
Battle_of_James_Island,SC002,=
Battle_of_Simmon's_Bluff,SC003,=
First_Battle_of_Charleston_Harbor,SC004,=
First_Battle_of_Fort_Wagner,SC005,=
Battle_of_Grimball's_Landing,SC006,=
Second_Battle_of_Fort_Wagner,SC007,=
Second_Battle_of_Charleston_Harbor,SC008,=
Second_Battle_of_Fort_Sumter,SC009,=
Battle_of_Honey_Hill,SC010,=
Battle_of_Rivers'_Bridge,SC011,=
Battle_of_Fort_Henry,TN001,=
Battle_of_Fort_Donelson,TN002,=
Battle_of_Shiloh,TN003,=
Battle_of_Memphis,TN004,=
First_Battle_of_Chattanooga,TN005,=
First_Battle_of_Murfreesboro,TN006,=
Battle_of_Hatchie's_Bridge,TN007,=
Battle_of_Hartsville,TN008,=
"Battle_of_Jackson,_Tennessee",TN009,=
Battle_of_Stones_River,TN010,=
Battle_of_Parker's_Cross_Roads,TN011,=
Battle_of_Dover_(1863),TN012,=
Battle_of_Thompson's_Station,TN013,=
Battle_of_Vaught's_Hill,TN014,=
Battle_of_Brentwood,TN015,=
Battle_of_Franklin_(1863),TN016,=
Battle_of_Hoover's_Gap,TN017,=
Second_Battle_of_Chattanooga,TN018,=
Battle_of_Blountville,TN019,=
Battle_of_Blue_Springs,TN020,=
Battle_of_Wauhatchie,TN021,=
Battle_of_Collierville,TN022,=
Battle_of_Campbell's_Station,TN023,=
Battle_of_Lookout_Mountain,TN024,<
Battle_of_Missionary_Ridge,TN024,<
Battle_of_Fort_Sanders,TN025,=
Battle_of_Bean's_Station,TN026,=
Battle_of_Mossy_Creek,TN027,=
Battle_of_Dandridge,TN028,=
Battle_of_Fair_Garden,TN029,=
Battle_of_Fort_Pillow,TN030,=
Second_Battle_of_Memphis,TN031,=
Battle_of_Johnsonville,TN032,=
Battle_of_Bull's_Gap,TN033,=
Battle_of_Columbia,TN034,=
Battle_of_Spring_Hill,TN035,=
Battle_of_Franklin_(1864),TN036,=
Third_Battle_of_Murfreesboro,TN037,=
Battle_of_Nashville,TN038,=
First_Battle_of_Sabine_Pass,TX001,=
Battle_of_Galveston_Harbor_(1862),TX002,=
Battle_of_Galveston,TX003,=
Battle_of_Palmito_Ranch,TX005,=
