battle,id,strength,casualties,notes
http://en.wikipedia.org/wiki/Battle_of_Dranesville,,,,
http://en.wikipedia.org/wiki/Battle_of_Drewry's_Bluff,,,,
http://en.wikipedia.org/wiki/Battle_of_Droop_Mountain,,,,
http://en.wikipedia.org/wiki/Battle_of_Dry_Wood_Creek,,,,
http://en.wikipedia.org/wiki/Battle_of_Elkin's_Ferry,,,,
http://en.wikipedia.org/wiki/Battle_of_Eltham's_Landing,,,,
http://en.wikipedia.org/wiki/Battle_of_Ezra_Church,,,,
http://en.wikipedia.org/wiki/Battle_of_Fair_Garden,,,,
http://en.wikipedia.org/wiki/Battle_of_Fair_Oaks_&_Darbytown_Road,,,,
http://en.wikipedia.org/wiki/Battle_of_Fisher's_Hill,,,,
http://en.wikipedia.org/wiki/Battle_of_Five_Forks,,,,
http://en.wikipedia.org/wiki/Battle_of_Folck's_Mill,,,38,
http://en.wikipedia.org/wiki/Battle_of_Fort_Anderson,,,7,
http://en.wikipedia.org/wiki/Battle_of_Fort_Bisland,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_Blair,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_Blakely,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_Brooke,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_Davidson,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_De_Russy,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_Donelson,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_Henry,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_Hindman,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_Macon,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_McAllister_(1864),,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_McAllister_I,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_Pillow,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_Pulaski,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_Ridgely,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_Sanders,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_Stedman,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_Stevens,,,,
http://en.wikipedia.org/wiki/Battle_of_Fort_Sumter,,,,
http://en.wikipedia.org/wiki/Battle_of_Forts_Jackson_and_St._Philip,,,,
http://en.wikipedia.org/wiki/Battle_of_Franklin_(1863),,,,
http://en.wikipedia.org/wiki/Battle_of_Franklin_(1864),,,,
http://en.wikipedia.org/wiki/Battle_of_Fredericksburg,,,,
http://en.wikipedia.org/wiki/Battle_of_Fredericktown,,,,
