from,to,battle_name
1,VA101,First Kernstown
2,VA102,McDowell
3,VA103,Front Royal
4,VA104,First Winchester
5,VA105,Cross Keys
6,VA106,Port Republic
7,VA107,Second Winchester
8,VA110,New Market
9,VA111,Piedmont
10,VA114,Cool Spring
11,VA116,Second Kernstown
12,VA119,Opequon
13,VA120,Fisher's Hill
14,VA121,Tom's Brook
15,VA122,Cedar Creek
