from,to,relation
2287,http://dbpedia.org/resource/Battle_of_Chantilly,=
2284,http://dbpedia.org/resource/Second_Battle_of_Bull_Run,<
2285,http://dbpedia.org/resource/Second_Battle_of_Bull_Run,<
2282,http://dbpedia.org/resource/Battle_of_Cedar_Mountain,=
2283,http://dbpedia.org/resource/Battle_of_Compton's_Ferry,>
2283,http://dbpedia.org/resource/Battle_of_Moore's_Mill,>
2283,http://dbpedia.org/resource/Battle_of_Kirksville,>
2283,http://dbpedia.org/resource/Battle_of_Lone_Jack,>
2283,http://dbpedia.org/resource/First_Battle_of_Independence,>
2280,http://dbpedia.org/resource/Battle_of_Beaver_Dam_Creek,>
2280,http://dbpedia.org/resource/Battle_of_Gaines's_Mill,>
2280,http://dbpedia.org/resource/Battle_of_Garnett's_&_Golding's_Farm,>
2280,http://dbpedia.org/resource/Battle_of_Glendale,>
2280,http://dbpedia.org/resource/Battle_of_Malvern_Hill,>
2280,http://dbpedia.org/resource/Battle_of_Savage's_Station,>
2280,http://dbpedia.org/resource/Battle_of_White_Oak_Swamp,>
2281,http://dbpedia.org/resource/First_Battle_of_Murfreesboro,=
2332,http://dbpedia.org/resource/Battle_of_the_Wilderness,=
2333,http://dbpedia.org/resource/Battle_of_Rocky_Face_Ridge,=
2330,http://dbpedia.org/resource/Battle_of_Plymouth_(1864),=
2331,http://dbpedia.org/resource/Battle_of_Jenkins'_Ferry,=
2336,http://dbpedia.org/resource/Battle_of_Cloyd's_Mountain,=
2337,http://dbpedia.org/resource/Battle_of_Proctor's_Creek,=
2334,http://dbpedia.org/resource/Battle_of_Spotsylvania_Court_House,=
2335,http://dbpedia.org/resource/Battle_of_Swift_Creek,=
2338,http://dbpedia.org/resource/Battle_of_Resaca,=
2339,http://dbpedia.org/resource/Battle_of_New_Market,=
2387,http://dbpedia.org/resource/Battle_of_Nashville,=
2385,http://dbpedia.org/resource/Battle_of_Honey_Hill,=
2384,http://dbpedia.org/resource/Battle_of_Franklin_(1864),=
2382,http://dbpedia.org/resource/Battle_of_Fair_Oaks_&_Darbytown_Road,=
2381,http://dbpedia.org/resource/Battle_of_Boydton_Plank_Road,=
2380,http://dbpedia.org/resource/Battle_of_Cedar_Creek,=
2268,http://dbpedia.org/resource/Battle_of_Pea_Ridge,=
2389,http://dbpedia.org/resource/Second_Battle_of_Fort_Fisher,=
2269,http://dbpedia.org/resource/Battle_of_New_Bern,=
2343,http://dbpedia.org/resource/Battle_of_Cold_Harbor,=
2342,http://dbpedia.org/resource/Battle_of_Dallas,=
2341,http://dbpedia.org/resource/Battle_of_North_Anna,=
2340,http://dbpedia.org/resource/Battle_of_Ware_Bottom_Church,=
2347,http://dbpedia.org/resource/Battle_of_Cynthiana,=
2346,http://dbpedia.org/resource/Battle_of_Brice's_Crossroads,=
2345,http://dbpedia.org/resource/Battle_of_Marietta,>
2345,http://dbpedia.org/resource/Battle_of_Kolb's_Farm,>
2345,http://dbpedia.org/resource/Battle_of_Kennesaw_Mountain,>
2344,http://dbpedia.org/resource/Battle_of_Piedmont,=
2264,http://dbpedia.org/resource/First_Battle_of_Lexington,=
2265,http://dbpedia.org/resource/Battle_of_Ball's_Bluff,=
2349,http://dbpedia.org/resource/Second_Battle_of_Petersburg,=
2267,http://dbpedia.org/resource/Battle_of_Fort_Donelson,=
2266,http://dbpedia.org/resource/Battle_of_Belmont,=
2262,http://dbpedia.org/resource/First_Battle_of_Bull_Run,=
2263,http://dbpedia.org/resource/Battle_of_Wilson's_Creek,=
2348,http://dbpedia.org/resource/Battle_of_Trevilian_Station,=
2291,http://dbpedia.org/resource/Battle_of_Antietam,=
2290,http://dbpedia.org/resource/Battle_of_Munfordville,=
2293,http://dbpedia.org/resource/Second_Battle_of_Corinth,=
2292,http://dbpedia.org/resource/Battle_of_Iuka,=
2295,http://dbpedia.org/resource/Battle_of_Perryville,=
2294,http://dbpedia.org/resource/Battle_of_Hatchie's_Bridge,=
2297,http://dbpedia.org/resource/Battle_of_Hartsville,=
2296,http://dbpedia.org/resource/Battle_of_Prairie_Grove,=
2299,http://dbpedia.org/resource/Battle_of_Fredericksburg,=
2298,http://dbpedia.org/resource/Battle_of_Goldsboro_Bridge,>
2298,http://dbpedia.org/resource/Battle_of_Kinston,>
2298,http://dbpedia.org/resource/Battle_of_White_Hall,>
2350,http://dbpedia.org/resource/Battle_of_Lynchburg,=
2352,http://dbpedia.org/resource/Battle_of_Staunton_River_Bridge,>
2352,http://dbpedia.org/resource/Battle_of_Sappony_Church,>
2352,http://dbpedia.org/resource/First_Battle_of_Ream's_Station,>
2353,http://dbpedia.org/resource/Battle_of_Jerusalem_Plank_Road,=
2354,http://dbpedia.org/resource/Battle_of_Kennesaw_Mountain,=
2356,http://dbpedia.org/resource/Battle_of_Pace's_Ferry,=
2357,http://dbpedia.org/resource/Battle_of_Monocacy,=
2358,http://dbpedia.org/resource/Battle_of_Tupelo,=
2359,http://dbpedia.org/resource/Battle_of_Peachtree_Creek,=
