cwsac_id,battle_name,attacker,siege,naval
AL001,Day's Gap,Confederate,0,NA
AL002,Athens I,Confederate,0,NA
AL003,Mobile Bay,US,1,Yes
AL004,Decatur,Confederate,0,NA
AL005,Spanish Fort,US,1,NA
AL006,Fort Blakely,US,1,NA
AL007,Selma,US,0,NA
AL008,Athens II,Confederate,0,NA
AR001,Pea Ridge,Confederate,0,NA
AR002,Saint Charles,US,0,Partial
AR003,Hill's Plantation,US,0,NA
AR004,Cane Hill,US,0,NA
AR005,Prairie Grove,Confederate,0,NA
AR006,Arkansas Post,US,0,Partial
AR007,Chalk Bluff,US,0,NA
AR008,Helena,Confederate,0,NA
AR009,Devil's Backbone,Confederate,0,NA
AR010,Bayou Fourche,US,0,NA
AR011,Pine Bluff,Confederate,0,NA
AR012,Elkin's Ferry,US,0,NA
AR013,Prairie D'Ane,US,0,NA
AR014,Poison Spring,Confederate,0,NA
AR015,Marks' Mills,Confederate,0,NA
AR016,Jenkin's Ferry,Confederate,0,NA
AR017,Old River Lake,US,0,NA
AR018,Bayou Meto,US,0,NA
DC001,Fort Stevens,Confederate,0,NA
FL001,Santa Rosa Island,Confederate,0,NA
FL002,Tampa,US,0,Yes
FL003,Saint John's Bluff,US,0,NA
FL004,Fort Brooke,US,0,Partial
FL005,Olustee,US,0,NA
FL006,Natural Bridge,US,0,NA
GA001,Fort Pulaski,US,0,NA
GA002,Fort McAllister I,US,0,Yes
GA003,Davis' Cross Roads,Confederate,0,NA
GA004,Chickamauga,Confederate,0,NA
GA005,Ringgold Gap,US,0,NA
GA006,Dalton I,US,0,NA
GA007,Rocky Face Ridge,US,0,NA
GA008,Resaca,US,0,NA
GA009,Adairsville,US,0,NA
GA010,New Hope Church,US,0,NA
GA011,Dallas,Confederate,0,NA
GA012,Pickett's Mill,US,0,NA
GA013,Marietta,US,0,NA
GA014,Kolb's Farm,Confederate,0,NA
GA015,Kennesaw Mountain,US,0,NA
GA016,Peachtree Creek,Confederate,0,NA
GA017,Atlanta,Confederate,0,NA
GA018,Ezra Church,Confederate,0,NA
GA019,Utoy Creek,US,0,NA
GA020,Dalton II,Confederate,0,NA
GA021,Lovejoy's Station,US,0,NA
GA022,Jonesborough,Confederate,0,NA
