"date","battle","confederate","union"
1863-05-17,"Plains Store. LA - May 21",100,150
1863-05-24,"Battle of Port Hudson I, LA - May 27",500,2000
1863-05-24,"attrition",686,1034
1863-05-31,"attrition",686,1034
1863-06-07,"Milliken's Bend, LA - June 7",185,652
1863-06-07,"attrition",686,1034
1863-06-07,"Brandy Station, VA - June 9",515,868
1863-06-14,"Second Winchester. VA - June 13-15",266,4443
1863-06-14,"attrition",686,1034
1863-06-14,"Aldie, Middleburg, Upperville - June 17-21",510,827
1863-06-14,"Lafourche Crossing, 1 A - June 20-21",219,49
1863-06-21,"Hoover's flap TN - June 24-26",,583
1863-06-21,"attrition",686,1034
1863-06-28,"Donaldsville II. LA - June 28",301,23
1863-06-28,"attrition",686,1034
1863-06-28,"Goodrich's Landing, LA - June 29-30",6,150
1863-06-28,"Hanover. PA June 30",74,154
1863-06-28,"Cabin Creek, OK - July 1-2",59,21
1863-06-28,"Gettysburg, PA-July 1-3",28000,23000
1863-06-28,"Siege of Vicksburg, MS - July 4",32197,1636
1863-06-28,"Helena. AR - July 4",1636,239
1863-07-05,"Williamsport, MD - July 6",254,400
1863-07-05,"attrition",686,1034
1863-07-05,"Siege of Port Hudson, LA-May 22-July 9",7500,10000
1863-07-05,"Corydon, IN - July 9",51,360
1863-07-05,"Fort Wagner 1. SC - July 10-11",12,339
1863-07-12,"Kock’s Plantation. LA - July 12-13",33,465
1863-07-12,"attrition",686,1034
1863-07-12,"Boonesboro/Falling Waters, MD July 8 14",920,158
1863-07-12,"Grimball's Landing, SC - July 16",18,46
1863-07-12,"Honey Springs, OK - July 17",134,77
1863-07-12,"Furl Wagner 11. SC-July 18",222,1515
1863-07-19,"Buffington Island, Oil - July 19",900,25
1863-07-19,"attrition",686,1034
1863-07-19,"Manassas Gap, VA July 23",220,220
1863-07-19,"Big Mound, ND - July 24",80,7
1863-07-26,"Salineville, OH - July 26",364,0
1863-07-26,"attrition",686,1034
1863-07-26,"Dead Buffalo Lake. ND - July 26",9,1
1863-07-26,"Stoney Lake. ND - July 28",0,0
1863-08-02,"attrition",686,1034
1863-08-09,"attrition",686,1034
1863-08-16,"Lawrence, KS - August 21",,150
1863-08-16,"attrition",686,1034
1863-08-23,"attrition",686,1034
1863-08-30,"Devil's Backbone. AR - September 1",17,14
1863-08-30,"attrition",686,1034
1863-08-30,"Whitestonc Hill, ND - September 3-4",300,70
1863-09-06,"Charleston Harbor 11. SC - September 5-8",100,117
1863-09-06,"attrition",686,1034
1863-09-06,"Sabine Pass II. TX - September 8",0,350
1863-09-06,"Bayou Fourche. AR - September 10",64,72
1863-09-13,"Chickamauga, GA- September 18-20",18454,16170
1863-09-13,"attrition",686,1034
1863-09-20,"Blountville, TN September 22",165,27
1863-09-20,"attrition",686,1034
1863-09-27,"Stirling's Plantation, LA - September 29",121,515
1863-09-27,"attrition",686,1034
1863-10-04,"Baxter Springs. KS - October 6",3,103
1863-10-04,"attrition",686,1034
1863-10-04,"Blue Springs. TN - October 10",216,100
1863-10-11,"Auburn I & ll, VA - October 13 & 14",82,82
1863-10-11,"attrition",686,1034
1863-10-11,"Bristoe Station, VA - October 14",1380,540
1863-10-11,"Fort Brooke, FL - October 16-18",,16
1863-10-18,"Buckland Mills, VA - October 19",115,115
1863-10-18,"attrition",686,1034
1863-10-25,"Pine Bluff, AR - October 25",40,56
1863-10-25,"attrition",686,1034
1863-10-25,"Wauhatchie. TN - October 28-29",356,216
1863-11-01,"Collierville, TN - November 3",95,60
1863-11-01,"attrition",686,1034
1863-11-01,"Droop Mountain, WVA November 6",275,140
1863-11-01,"Rappahannock Station. VA - November 7",2041,461
1863-11-08,"attrition",686,1034
1863-11-15,"Campbell's Station. TN - November 16",570,400
1863-11-15,"attrition",686,1034
1863-11-22,"Chattanooga III. TN - November 23-25",6667,5815
1863-11-22,"attrition",686,1034
1863-11-22,"Ringgold Gap. GA - November 27",221,507
1863-11-29,"Fort Sanders, TN - November 29",800,15
1863-11-29,"attrition",686,1034
1863-11-29,"Mine Run, VA Nov 26 Dec. 2",795,1633
1863-12-06,"attrition",686,1034
1863-12-13,"Bean's Station, TN - December 14",222,115
1863-12-13,"attrition",686,1034
1863-12-20,"attrition",891,1344
1863-12-27,"Mossy Creek. TN - December 29",,151
1863-12-27,"attrition",891,1344
1864-01-03,"attrition",891,1344
1864-01-10,"attrition",891,1344
1864-01-17,"Dandridge, TN - January 17",,150
1864-01-17,"attrition",891,1344
1864-01-24,"Athens. AL - January 26",30,20
1864-01-24,"attrition",891,1344
1864-01-24,"Fair Garden, TN January 27 28",165,100
1864-01-31,"Morton's Ford, VA - February 6-7",362,362
1864-01-31,"attrition",891,1344
1864-02-07,"Middle Boggy, OK - February 13",47,0
1864-02-07,"attrition",891,1344
1864-02-14,"Meridian. MS - February 14",,170
1864-02-14,"attrition",891,1344
1864-02-14,"Olustee, FL - February 20",946,1861
1864-02-21,"Okolona, MS - February 22",144,388
1864-02-21,"attrition",891,1344
1864-02-21,"Dalton 1, GA - February 22-27",140,289
1864-02-28,"Walkerton. VA - March 2",0,100
1864-02-28,"attrition",891,1344
1864-03-06,"Fort DeRussy, LA - March 14",269,48
1864-03-06,"attrition",891,1344
1864-03-13,"attrition",891,1344
1864-03-20,"Paducah, KY March 25",50,90
1864-03-20,"attrition",686,1034
1864-03-27,"attrition",686,1034
1864-04-03,"Elkin's Ferry, AR - April 3-4",29,26
1864-04-03,"attrition",686,1034
1864-04-03,"Mansfield. LA-April 8",1000,2235
1864-04-03,"Pleasant Hill. LA - April 9",1626,1369
1864-04-10,"Prairie D’Ane, AR - April 10-13",50,100
1864-04-10,"attrition",686,1034
1864-04-10,"Fort Pillow, TN - April 12",100,549
1864-04-10,"Blair's Landing. LA-April 12",57,60
1864-04-17,"Plymouth. NC - April 17-20",300,2900
1864-04-17,"attrition",685,1034
1864-04-17,"Poison Spring. AR - April 18",114,301
1864-04-17,"Monett's Ferry, LA - April 23",400,200
1864-04-24,"Mark's Mills. AR - April 25",293,1500
1864-04-24,"attrition",685,1034
1864-04-24,"Jenkin’s Ferry, AR - April 30",1000,700
1864-05-01,"Alhermarle Sound, NC - May 5",44,44
1864-05-01,"attrition",685,1034
1864-05-01,"Battle of the Wilderness, VA - Mav 5-6",11125,18000
1864-05-01,"Port Walthall Junction, VA - May 6-7",275,275
1864-05-08,"Swift Creek & Fort Clifton. VA May 9",495,495
1864-05-08,"attrition",685,1034
1864-05-08,"Chester Station, VA - May 9",284,285
1864-05-08,"Cloyd's Mountain, VA - May 9",538,688
1864-05-08,"Rocky Face Ridge. GA - May 7-13",600,837
1864-05-08,"Resaca. GA - May 13-15",2800,2747
1864-05-08,"Cove Mountain, VA May 10",150,150
1864-05-08,"Yellow Tavern, VA - May 11",400,400
1864-05-15,"Proctor's Creek. VA - May 12-16",1000,3004
1864-05-15,"attrition",685,1034
1864-05-15,"New Market, VA - May 15",520,841
1864-05-15,"Adairsville, GA- May 17",,200
1864-05-15,"Yellow Bayou. 1 A - May 18",500,360
1864-05-15,"Spotsylvania C. H., VA - May 8-21",12451,18000
1864-05-15,"Warre Bottom Church Hewlett.VA-May20",750,750
1864-05-22,"North Anna, VA May 23-26",1550,2623
1864-05-22,"attrition",685,1034
1864-05-22,"Wilson’s Wharf, VA - May 24",140,26
1864-05-22,"New Hope Church, GA - May 25-26",350,665
1864-05-22,"Pickett's Mill. GA - May 27",450,1600
1864-05-22,"Dallas. GA - May 28",1250,380
1864-05-22,"Haw's Shop. VA May 28",400,344
1864-05-29,"Totopotomoy Ck/Bcthesda.VA-May28-30",1591,731
1864-05-29,"attrition",685,1034
1864-05-29,"Matadequin Creek, VA - May 30",,90
1864-05-29,"Cold Harbor, VA - May 31-June 12",5294,13000
1864-06-05,"Piedmont, VA - June 5",1600,875
1864-06-05,"attrition",685,1034
1864-06-05,"Ditch Bayou, AR June 6",37,133
1864-06-05,"Petersburg I, VA - June 9",60,60
1864-06-05,"Brices Cross Roads, MS - June 10",493,2612
1864-06-05,"Trevilian Station, VA- June 11-12",1071,1007
1864-06-05,"Cynthiana. KY - June 11-12",1000,1092
1864-06-12,"Petersburg 11, VA-June 15-18",4700,10600
1864-06-12,"attrition",685,1034
1864-06-12,"Lynchburg, VA - June 17-18",200,700
1864-06-19,"Kolb's Farm, GA - June 22",1000,350
1864-06-19,"attrition",685,1034
1864-06-19,"Jerusalem Plank Road, VA - June 21-23",572,2962
1864-06-19,"Samaria Church. VA - June 24",250,350
1864-06-19,"Staunton River Bridge, VA - June 25",75,75
1864-06-19,"Reams Station, VA - June 29",722,723
1864-06-26,"Kennesaw Mountain. GA-June 27",1000,3000
1864-06-26,"attrition",685,1034
1864-07-03,"Monocacy, MD - July 9",800,1294
1864-07-03,"attrition",685,1034
1864-07-10,"Fort Stevens, DC - July 11-12",500,373
1864-07-10,"attrition",685,1034
1864-07-10,"Tupelo. MS - July 14-15",1326,674
1864-07-17,"Cool Spring. VA - July 17-18",397,422
1864-07-17,"attrition",685,1034
1864-07-17,"Rutherford's Farm, VA - July 20",500,242
1864-07-17,"Peachtree Creek, GA - July 20",4796,1710
1864-07-17,"Atlanta. GA - July 22",8499,3641
1864-07-24,"Second Kernstown, VA - July 24",600,1185
1864-07-24,"attrition",685,1033
1864-07-24,"First Deep Bottom, VA July 27 29",500,500
1864-07-24,"Ezra Church, GA - July 28",4642,700
1864-07-24,"Killdeer Mountain, ND - July 28-29",31,15
1864-07-24,"The Crater. VA – July 30",1491,3798
1864-07-31,"Folck's Mill. MD - August 1",30,30
1864-07-31,"attrition",685,1033
1864-07-31,"Utoy Creek, GA - August 5-7",225,400
1864-08-07,"Morefield, W VA - August 7",500,31
1864-08-07,"attrition",685,1033
1864-08-14,"Guard Hill, VA - August 16",480,71
1864-08-14,"attrition",685,1033
1864-08-14,"Second Deep Bottom, VA - August 1 3-20",1300,2900
1864-08-14,"Globe Tavern, VA-July 18-21",1600,4455
1864-08-14,"Lovejoy's Station, GA - August 20",240,237
1864-08-21,"Summit Pt/Cameron's Dt, WVA Aug, 21",400,600
1864-08-21,"attrition",685,1033
1864-08-21,"Memphis II, TN - August 21",62,480
1864-08-21,"Mobile Bay, AI . - August 2-23",1500,327
1864-08-21,"Reams Station 11. VA - August 25",814,2742
1864-08-28,"Smithfield Crossing, WVA - Aug. 28-29",200,100
1864-08-28,"attrition",685,1033
1864-08-28,"Jonesboro, GA August 31 September 1",2000,1149
1864-08-28,"Berryville. VA September 3 4",195,312
1864-09-04,"attrition",685,1033
1864-09-11,"attrition",685,1033
1864-09-18,"Opequon (3rd Winchester), VA - Sept. 19",3610,5020
1864-09-18,"attrition",685,1033
1864-09-18,"Fisher's 1 lill. VA – Spctembcr 21 -22",1235,528
1864-09-25,"Pilot Knob. MO - September 26-28",900,213
1864-09-25,"attrition",685,1033
1864-09-25,"Chaffin's Farm. VA - September 29-30",1700,3300
1864-09-25,"New Market Heights. VA - Sept. 29-30",50,850
1864-10-02,"Peebles' Farm, VA - October 2",1300,2869
1864-10-02,"attrition",685,1033
1864-10-02,"Saltville I, VA - October 2",108,350
1864-10-02,"Allatoona, GA - October 5",897,706
1864-10-02,"Darbytown & New Market. VA - Oct 7",700,458
1864-10-09,"Tom's Brook, VA - October 9",350,57
1864-10-09,"attrition",685,1033
1864-10-09,"Darbytown Road, VA - October 13",50,437
1864-10-09,"Dalton III, GA - October 13",0,751
1864-10-09,"Glasgow, MO October 15",50,400
1864-10-16,"Cedar Creek, VA October 19",2910,5672
1864-10-16,"attrition",685,1033
1864-10-23,"Independence II, MO - October 22",140,
1864-10-23,"attrition",685,1033
1864-10-23,"Westport, MO October 23",1500,1500
1864-10-23,"Mine Creek, KS - October 25",800,150
1864-10-23,"Boydton Plank Road, VA - October 27",1300,1758
1864-10-23,"Decatur, AL - October 26-29",200,155
1864-10-23,"Fair Oaks & D'Town Rd, VA - Oct. 27-28",100,1603
1864-10-23,"Newtonia II. MO - October 28",24,26
1864-10-30,"attrition",685,1033
1864-11-06,"Bull's Gap, TN - November 11-14",100,324
1864-11-06,"attrition",685,1033
1864-11-13,"attrition",685,1033
1864-11-20,"Griswoldville, GA - November 22",650,62
1864-11-20,"attrition",685,1033
1864-11-27,"Buck Head Creek, GA - November 28",600,46
1864-11-27,"attrition",685,1033
1864-11-27,"Spring Hill, TN - November 29",500,350
1864-11-27,"Sand Creek, CO - November 29",150,48
1864-11-27,"Franklin II, TN - November 30",7300,2633
1864-11-27,"Honey Hill, SC - November 30",50,746
1864-12-04,"Waynesborough, GA December 4",250,190
1864-12-04,"attrition",685,1033
1864-12-04,"Murfreesboro II, T N December 5 7",214,208
1864-12-11,"Fort McAllister II, GA - December 13",230,134
1864-12-11,"attrition",685,1033
1864-12-11,"Nashville. TN - December 15-16",6500,3061
1864-12-11,"Marion. VA - December 16-18",150,150
1864-12-18,"Fort Fisher I. NC - December 7-27",160,160
1864-12-18,"attrition",685,1033
1864-12-25,"attrition",890,1343
1865-01-01,"attrition",890,1343
1865-01-08,"Fort Fisher II, NC - January 13-15",2533,1059
1865-01-08,"attrition",890,1343
1865-01-15,"attrition",890,1343
1865-01-22,"attrition",890,1343
1865-01-29,"Rivers Bridge, SC - February 2-3",170,92
1865-01-29,"attrition",890,1343
1865-02-05,"Hatcher's Run, VA - February 5-7",1000,1539
1865-02-05,"attrition",890,1343
1865-02-12,"attrition",890,1343
1865-02-19,"Wilmington, NC - February 12-22",575,575
1865-02-19,"attrition",890,1343
1865-02-26,"Waynesboro, VA - March 2",1600,30
1865-02-26,"attrition",890,1343
1865-03-05,"Natural Bridge, FL March 6",25,148
1865-03-05,"attrition",890,1343
1865-03-05,"Wyse Fork, NC - March 7-10",1500,1300
1865-03-05,"Monroe’s Cross Roads, NC - March 10",86,183
1865-03-12,"Averasboro, NC - March 16",865,682
1865-03-12,"attrition",890,1343
1865-03-19,"Bentonville. NC - March 19-21",2606,1527
1865-03-19,"attrition",890,1343
1865-03-19,"Fort Steadman, VA March 25",2681,1017
1865-03-26,"Lewis's Farm. VA - March 29",371,381
1865-03-26,"attrition",685,1033
1865-03-26,"Dinwiddie Court House, VA - March 31",760,354
1865-03-26,"White Oak Road, VA - March 31",1235,1781
1865-03-26,"Five Forks. VA - April 1",3000,830
1865-04-02,"Petersburg III. VA April 2",4852,3894
1865-04-02,"attrition",685,1033
1865-04-02,"Spanish Fort. AL - March 27-April 8",741,657
1865-04-02,"Selma, AL - April 2",2700,359
1865-04-02,"Sutherland Station. VA – April 2",600,366
1865-04-02,"Namozine Church. VA - April 3",,81
1865-04-02,"Amelia Springs, VA - April 5",,158
1865-04-02,"Sailor's Creek, VA - April 6",7700,1148
1865-04-02,"Rice's Station, VA - April 6",,66
1865-04-02,"High Bridge. VA-April 6-7",100,847
1865-04-02,"Cumberland Church, VA - April 7",,571
1865-04-02,"Appomattox Station, VA April 8",1000,48
1865-04-09,"Fort Blakely, AL - April 2-9",3700,775
1865-04-09,"attrition",685,1033
1865-04-09,"Appomattox Court House. VA-April 9",500,164
1865-04-16,"attrition",685,1033
1865-04-23,"Johnston surrenders - April 26",,
1865-04-23,"attrition",685,1033
1865-04-30,"Taylor surrenders - May 4",,
1865-04-30,"attrition",685,1033
1865-05-07,"Jefferson Davis captured - May 10",,
1865-05-07,"attrition",685,1033
1865-05-07,"Palmito Ranch, TX - May 12-13",118,30
1865-05-07,"attrition",0,0
1865-05-14,"attrition",0,0
1865-05-21,"Buckner surrenders - May 26",,
1865-05-21,"attrition",0,0
1865-05-28,"attrition",0,0
1865-06-04,"attrition",0,0
1865-06-11,"attrition",0,0
