"date","battle","confederate","union"
1861-04-07,"Fort Sumter, SC -April 12 - 14",4,11
1861-04-07,"attrition",0,0
1861-04-14,"attrition",0,0
1861-04-21,"attrition",0,0
1861-04-28,"attrition",0,0
1861-05-05,"attrition",0,0
1861-05-12,"Sewell's Point. VA - May 18-19",5,5
1861-05-12,"attrition",0,0
1861-05-19,"Ellsworth's death",,1
1861-05-19,"attrition",0,0
1861-05-26,"Aquia Creek, VA - Mav 29-June 1",5,5
1861-05-26,"attrition",0,0
1861-06-02,"Philippi, WVA - June 3",6,5
1861-06-02,"attrition",0,0
1861-06-09,"Big Bethel. VA - June 10",8,76
1861-06-09,"attrition",0,0
1861-06-16,"Boonville, MO - June 17",12,12
1861-06-16,"attrition",0,0
1861-06-23,"BEGIN DISEASE ATTRITION",,
1861-06-23,"attrition",926,1395
1861-06-30,"Hoke's Run, WVA - July 2",25,73
1861-06-30,"attrition",926,1395
1861-06-30,"Carthage, MO July 5",74,44
1861-07-07,"Rich Mountain, WVA - July 11",638,74
1861-07-07,"attrition",926,1395
1861-07-14,"Blackburn's Ford, VA - July 18",68,83
1861-07-14,"attrition",926,1395
1861-07-21,"1st Bull Run (Manassas). VA - July 21",1982,2896
1861-07-21,"attrition",926,1395
1861-07-28,"attrition",926,1395
1861-08-04,"Wilson's Creek, MO August 10",1222,1317
1861-08-04,"attrition",926,1395
1861-08-11,"attrition",926,1395
1861-08-18,"attrition",926,1395
1861-08-25,"Kessler's Cross Lancs. WVA - August 26",40,132
1861-08-25,"attrition",926,1395
1861-08-25,"Hattcras Inlet Forts, NC - August 28-29",670,3
1861-09-01,"Dry Wood Creek, MO",,14
1861-09-01,"attrition",926,1395
1861-09-08,"Camifex Ferry, WVA - September 10",32,158
1861-09-08,"attrition",926,1395
1861-09-08,"Cheat Mountain, WVA - September 12-15",100,71
1861-09-15,"Lexington I, MO - September 13-20",100,3500
1861-09-15,"attrition",926,1395
1861-09-15,"Liberty (Blue Mills), MO - September 17",70,56
1861-09-15,"Barbourville, KY September 19",5,15
1861-09-22,"attrition",926,1395
1861-09-29,"Greenbrier River, WVA - October 3",52,43
1861-09-29,"attrition",926,1395
1861-10-06,"Santa Rosa Island, FL - October 9",87,67
1861-10-06,"attrition",926,1395
1861-10-13,"attrition",926,1395
1861-10-20,"Ball’s Bluff. VA October 21",149,921
1861-10-20,"attrition",926,1395
1861-10-20,"Fredericktown, MO - October 21",62,
1861-10-20,"Camp Wildcat, KY - October 21",53,43
1861-10-20,"Springfield I, MO - October 25",133,85
1861-10-27,"attrition",926,1395
1861-11-03,"Belmont, MO - November 7",641,607
1861-11-03,"attrition",926,1395
1861-11-03,"Ivy Mountain, KY - November 8-9",263,30
1861-11-10,"attrition",926,1395
1861-11-17,"Round Mountain, OK - November 19",10,
1861-11-17,"attrition",926,1395
1861-11-24,"attrition",926,1395
1861-12-01,"attrition",926,1395
1861-12-08,"Chusto-Talasah. OK - December 9",52,412
1861-12-08,"attrition",926,1395
1861-12-08,"Camp Allegheny, WVA - Deccmher 1 3",146,137
1861-12-15,"Rowlett's Station. KY - December 17",91,40
1861-12-15,"attrition",926,1395
1861-12-15,"Drancsvillc, VA - December 20",230,71
1861-12-22,"Chustoenahlah, OK December 26",40,211
1861-12-22,"attrition",1203,1814
1861-12-22,"Mount Zion Church. MO - December 28",210,72
1861-12-29,"attrition",1203,1814
1862-01-05,"Hancock, MD & Morgan. WVA-Jan. 5-6",12,13
1862-01-05,"attrition",1203,1814
1862-01-05,"Roan's Tan Yard. MO January 8",80,11
1862-01-05,"Middle Creek. KY - January 10",65,27
1862-01-12,"attrition",1203,1814
1862-01-19,"Mill Springs. KY - January 19",529,262
1862-01-19,"attrition",1203,1814
1862-01-26,"attrition",1203,1814
1862-02-02,"Fort Henry, TN February 6",99,47
1862-02-02,"attrition",1203,1814
1862-02-02,"Roanoke Island, NC - February 7-8",2643,264
1862-02-09,"Fort Donelson, TN - February 12-16",17000,2832
1862-02-09,"attrition",1203,1814
1862-02-16,"Valverde. NM - February 20-21",187,263
1862-02-16,"attrition",1203,1814
1862-02-23,"attrition",1203,1814
1862-03-02,"Pea Ridge, AK - March 6-8",2000,1384
1862-03-02,"attrition",1203,1814
1862-03-02,"Hampton Roads, VA - March 8-9",24,409
1862-03-09,"New Madrid, MS, Is. # 10,TN – Feb28-April 8",7000,51
1862-03-09,"attrition",1203,1814
1862-03-09,"New Bern. NC - March 14",609,476
1862-03-16,"attrition",1203,1814
1862-03-23,"First Kernstown, VA March 23",718,590
1862-03-23,"attrition",926,1395
1862-03-23,"Gloncta Pass, NM - March 26-28",227,132
1862-03-30,"attrition",926,1395
1862-04-06,"Shiloh. TN - April 6-7",10699,13047
1862-04-06,"attrition",926,1395
1862-04-06,"Fort Pulaski. GA-April 10-11",1,1
1862-04-13,"Fts. Jackson & St. Philip, LA-April 16-28",782,229
1862-04-13,"attrition",1338,1562
1862-04-13,"South Mills, NC - April 19",25,114
1862-04-13,"Siege of Yorktown, VA-April 5-May 4",300,182
1862-04-20,"Fort Macon, NC - April 25-26",439,3
1862-04-20,"attrition",1338,1562
1862-04-27,"New Orleans. LA - April 25-May 1",0,0
1862-04-27,"attrition",1338,1562
1862-05-04,"Williamsburg. VA - May 5",1560,2283
1862-05-04,"attrition",1338,1562
1862-05-04,"Eltham's Landing, VA - May 7",48,186
1862-05-04,"McDowell, VA - May 8",500,256
1862-05-11,"Drewry’s Bluff, VA - May 15",15,24
1862-05-11,"attrition",1338,1562
1862-05-11,"Princeton Courthouse, WVA - May 15-17",16,129
1862-05-18,"Front Royal, VA - May 23",56,904
1862-05-18,"attrition",1338,1562
1862-05-18,"Siege of Corinth, TN April 29 May 30",1000,1000
1862-05-25,"First Winchester. VA - May 25",400,2019
1862-05-25,"attrition",1338,1562
1862-05-25,"Hanover Court House. VA - May 27",746,355
1862-05-25,"Seven Pines. VA - May 31-June 1",6100,5000
1862-06-01,"Tranter’s Creek. NC - June 5",20,20
1862-06-01,"attrition",1338,1562
1862-06-01,"Memphis I, TN June 6",180,1
1862-06-01,"Chanttanooga I, TN - June 7-8",3,
1862-06-08,"Cross Keys, VA - June 8",288,684
1862-06-08,"attrition",926,1395
1862-06-08,"Port Republic, VA - June 9",800,1000
1862-06-15,"Charleston, SC - June 16",204,683
1862-06-15,"attrition",926,1395
1862-06-15,"St Charles, AK - June 17",40,160
1862-06-22,"Oak Grove, VA - June 25",411,626
1862-06-22,"attrition",686,1034
1862-06-22,"Beaver Dam Creek. VA - June 26",1484,361
1862-06-22,"Gaines' Mill, VA - June 27",8750,6837
1862-06-22,"Garnett's & Goldmg's Farms,VA June 27-28",438,189
1862-06-29,"Savage's Station, VA - June 29",444,919
1862-06-29,"attrition",686,1034
1862-06-29,"Glendale While Oak Swamp,VA-June 30",3600,2700
1862-06-29,"Malvern Hill. VA-Julv 1",5355,3000
1862-07-06,"Hill's Plantation, AK - July 7",250,63
1862-07-06,"attrition",686,1034
1862-07-13,"Murfreesboro I, TN - July 13",150,1200
1862-07-13,"attrition",686,1034
1862-07-20,"attrition",686,1034
1862-07-27,"attrition",686,1034
1862-08-03,"Baton Rouge, LA - August 5",478,371
1862-08-03,"attrition",686,1034
1862-08-03,"Kirksville, MO - August 6-9",368,88
1862-08-03,"Cedar Mountain. VA August 9",1400,2500
1862-08-10,"Independence I. MO - August 11",,344
1862-08-10,"attrition",686,1034
1862-08-10,"Lone Jack. MO - August 15-16",,272
1862-08-17,"Rappahannock River, VA - Aug. 22-25",112,113
1862-08-17,"attrition",686,1034
1862-08-17,"Fort Ridgelv, MN - August 20-22",,26
1862-08-24,"Thoroughfare Gap, VA August 28",50,50
1862-08-24,"attrition",686,1034
1862-08-24,"Second Manassas, VA-August 28-30",8353,13826
1862-08-24,"Richmond, KY - August 29-30",600,5623
1862-08-31,"Chantilly. VA - September I",800,1300
1862-08-31,"attrition",686,1034
1862-09-07,"Harpers Ferry. WVA - September 12-15",286,12719
1862-09-07,"attrition",686,1034
1862-09-14,"South Mountain, MD - September 14",2300,2325
1862-09-14,"attrition",686,1034
1862-09-14,"Munfordville, KY - September 14-17",285,4148
1862-09-14,"Antietam, MD - September 17",10300,12400
1862-09-14,"luka, MS - September 19",594,790
1862-09-14,"Sheperdstown. WVA - September 19-20",291,363
1862-09-21,"Wood Lake, MN - September 23",25,41
1862-09-21,"attrition",686,1034
1862-09-28,"Newtonia, MO - September 30",78,245
1862-09-28,"attrition",686,1034
1862-09-28,"Corinth. MS - October 3-4",4800,2350
1862-10-05,"Davis Bridge, TN - October 6",400,500
1862-10-05,"attrition",686,1034
1862-10-05,"Perryville, KY - October 8",3396,4211
1862-10-12,"attrition",686,1034
1862-10-19,"Old Fort Wayne, OK - October 22",150,14
1862-10-19,"attrition",686,1034
1862-10-19,"Georgia Landing, LA - October 27",229,86
1862-10-26,"attrition",686,1034
1862-11-02,"Clark's Mill. MO - November 7",34,119
1862-11-02,"attrition",686,1034
1862-11-09,"attrition",686,1034
1862-11-16,"attrition",686,1034
1862-11-23,"Cane Hill. AR - November 28",45,41
1862-11-23,"attrition",686,1034
1862-11-30,"attrition",686,1034
1862-12-07,"Prairie Grove. AR - December 7",1317,1251
1862-12-07,"attrition",686,1034
1862-12-07,"Hartsvillc, TN – December 7",139,2096
1862-12-14,"Fredericksburg 1, VA December 11 15",5300,12600
1862-12-14,"attrition",686,1034
1862-12-14,"Kinston, NC - December 14",525,160
1862-12-14,"White Hall. NC - December 16",75,75
1862-12-14,"Goldsboro Bridge. NC - December 17",110,110
1862-12-14,"Jackson, TN – December 19",,6
1862-12-21,"Chickasaw Bayou. MS - December 26-29",187,1176
1862-12-21,"attrition",891,1344
1862-12-28,"Parker's Cross Roads. TN - December 31",500,237
1862-12-28,"attrition",891,1344
1862-12-28,"Galveston 11, TX January 1",50,600
1862-12-28,"Stones River, TN - January 2",10000,13000
1863-01-04,"Springfield 11, MO - January 8",240,163
1863-01-04,"attrition",891,1344
1863-01-04,"Hartville, MO - January 9-11",329,78
1863-01-04,"Arkansas Post, AR January 9 11",5004,1092
1863-01-11,"attrition",891,1344
1863-01-18,"attrition",891,1344
1863-01-25,"Bear River. ID - January 29",250,65
1863-01-25,"attrition",891,1344
1863-02-01,"Dover. TN - February 3",855,110
1863-02-01,"attrition",891,1344
1863-02-08,"attrition",891,1344
1863-02-15,"attrition",891,1344
1863-02-22,"attrition",891,1426
1863-03-01,"Fort McAllister. GA- January 27-March 3",1,0
1863-03-01,"attrition",891,1426
1863-03-01,"Thompson's Station. TN - March 4-5",357,1600
1863-03-08,"Fort Anderson, NC - March 13-15",3,4
1863-03-08,"attrition",891,1426
1863-03-15,"Kelly's Ford. VA - March 17",80,99
1863-03-15,"attrition",891,1426
1863-03-15,"Vaught's Hill, TN - March 20",150,38
1863-03-22,"Brentwood. TN - March 25",3,529
1863-03-22,"attrition",686,1115
1863-03-29,"attrition",686,1115
1863-04-05,"Charleston Harbor 1, SC April 7",14,22
1863-04-05,"attrition",686,1115
1863-04-05,"Franklin I, IN-April 10",137,100
1863-04-12,"Fort Bisland. LA-April 12-13",450,224
1863-04-12,"attrition",686,1115
1863-04-12,"Irish Bend. LA – April 14",,353
1863-04-12,"Washington, NC - March 30-April 20",50,50
1863-04-19,"Suffolk. VA - April 19",900,260
1863-04-19,"attrition",686,1034
1863-04-26,"Cape Girardeau, MO - April 26",325,12
1863-04-26,"attrition",686,1034
1863-04-26,"Grand Gulf, MS - April 29",,80
1863-04-26,"Day’s Gap, Al. - April 30",65,23
1863-04-26,"Port Gibson, MS - May 1",787,875
1863-04-26,"Chalk Bluff AR - May 1-2",45,45
1863-05-03,"Chancellorsville, VA - April 30-May 6",,18000
1863-05-03,"attrition",686,1034
1863-05-03,"Fredericksburg II, VA - May 3",,
1863-05-03,"Salem Church, VA - May 3-4",12800,
1863-05-10,"Raymond. MS - May 12",514,442
1863-05-10,"attrition",686,1034
1863-05-10,"Jackson, MS - May 14",850,286
1863-05-10,"Champion Hill, MS May 16",3840,2441
1863-05-17,"Big Black River Bridge, MS - May 17",1751,276
1863-05-17,"attrition",686,1034
1863-05-17,"Battle of Vicksburg, MS - May 18-22",500,3199
