date,battle,notbattle,casualties_union,attrition_union,weekly_union,cumsum_union,casualties_confed,attrition_confed,weekly_confed,cumsum_confed
1861/4/7,"Fort Sumter, SC -April 12 - 14",,11,0,11,11,4,0,4,4
1861/4/14,,,,0,0,11,,0,,4
1861/4/21,,,,0,0,11,,0,,4
1861/4/28,,,,0,0,11,,0,,4
1861/5/5,,,,0,0,11,,0,,4
1861/5/12,Sewell's Point. VA - May 18-19,,5,0,5,16,5,0,5,9
1861/5/19,Ellsworth's death,,1,0,1,17,,0,,9
1861/5/26,"Aquia Creek, VA - Mav 29-June 1",,5,0,5,22,5,0,5,14
1861/6/2,"Philippi, WVA - June 3",,5,0,5,27,6,0,6,20
1861/6/9,Big Bethel. VA - June 10,,76,0,76,103,8,0,8,28
1861/6/16,"Boonville, MO - June 17",,12,0,12,115,12,0,12,40
1861/6/23,BEGIN DISEASE ATTRITION,1,,1395,1395,1510,,926,926,966
1861/6/30,"Hoke's Run, WVA - July 2",,73,1395,,,25,926,1025,1991
1861/6/30,"Carthage, MO July 5",,44,,1512,3022,74,,,
1861/7/7,"Rich Mountain, WVA - July 11",,74,1395,1469,4491,638,926,1564,3555
1861/7/14,"Blackburn's Ford, VA - July 18",,83,1395,1478,5969,68,926,994,4549
1861/7/21,1st Bull Run (Manassas). VA - July 21,,2896,1395,4291,10260,1982,926,2908,7457
1861/7/28,,,,1395,1395,11655,,926,926,8383
1861/8/4,"Wilson's Creek, MO August 10",,1317,1395,2712,14367,1222,926,2148,10531
1861/8/11,,,,1395,1395,15762,,926,926,11457
1861/8/18,,,,1395,1395,17157,,926,926,12383
1861/8/25,Kessler's Cross Lancs. WVA - August 26,,132,1395,,,40,926,1636,14019
1861/8/25,"Hattcras Inlet Forts, NC - August 28-29",,3,,1530,18687,670,,,
1861/9/1,"Dry Wood Creek, MO",,14,1395,1409,20096,,926,926,14945
1861/9/8,"Camifex Ferry, WVA - September 10",,158,1395,,,32,926,1058,16003
1861/9/8,"Cheat Mountain, WVA - September 12-15",,71,,1624,21720,100,,,
1861/9/15,"Lexington I, MO - September 13-20",,3500,1395,,,100,926,1101,17104
1861/9/15,"Liberty (Blue Mills), MO - September 17",,56,,,,70,,,
1861/9/15,"Barbourville, KY September 19",,15,,4966,26686,5,,,
1861/9/22,,,,1395,1395,28081,,926,926,18030
1861/9/29,"Greenbrier River, WVA - October 3",,43,1395,1438,29519,52,926,978,19008
1861/10/6,"Santa Rosa Island, FL - October 9",,67,1395,1462,30981,87,926,1013,20021
1861/10/13,,,,1395,1395,32376,,926,926,20947
1861/10/20,Ball’s Bluff. VA October 21,,921,1395,,,149,926,1323,22270
1861/10/20,"Fredericktown, MO - October 21",,,,,,62,,,
