date,battle,notbattle,casualties_union,attrition_union,weekly_union,cumsum_union,casualties_confed,attrition_confed,weekly_confed,cumsum_confed
1861/10/20,"Camp Wildcat, KY - October 21",,43,,,,53,,,
1861/10/20,"Springfield I, MO - October 25",,85,,2444,34820,133,,,
1861/10/27,,,,1395,1395,36215,,926,926,23196
1861/11/3,"Belmont, MO - November 7",,607,1395,,,641,926,1830,25026
1861/11/3,"Ivy Mountain, KY - November 8-9",,30,,2032,38247,263,,,
1861/11/10,,,,1395,1395,39642,,926,926,25952
1861/11/17,"Round Mountain, OK - November 19",,,1395,1395,41037,10,926,936,26888
1861/11/24,,,,1395,1395,42432,,926,926,27814
1861/12/1,,,,1395,1395,43827,,926,926,28740
1861/12/8,Chusto-Talasah. OK - December 9,,412,1395,,,52,926,1124,29864
1861/12/8,"Camp Allegheny, WVA - Deccmher 1 3",,137,,1944,45771,146,,,
1861/12/15,Rowlett's Station. KY - December 17,,40,1395,1506,47277,91,926,1247,31111
1861/12/15,"Drancsvillc, VA - December 20",,71,,,,230,,,
1861/12/22,"Chustoenahlah, OK December 26",,211,1814,2097,49374,40,1203,1453,32564
1861/12/22,Mount Zion Church. MO - December 28,,72,,,,210,,,
1861/12/29,,,,1814,1814,51188,,1203,1203,33767
1862/1/5,"Hancock, MD & Morgan. WVA-Jan. 5-6",,13,1814,1865,53053,12,1203,1360,35127
1862/1/5,Roan's Tan Yard. MO January 8,,11,,,,80,,,
1862/1/5,Middle Creek. KY - January 10,,27,,,,65,,,
1862/1/12,,,,1814,1814,54867,,1203,1203,36330
1862/1/19,Mill Springs. KY - January 19,,262,1814,2076,56943,529,1203,1732,38062
1862/1/26,,,,1814,1814,58757,,1203,1203,39265
1862/2/2,"Fort Henry, TN February 6",,47,1814,2125,60882,99,1203,3945,43210
1862/2/2,"Roanoke Island, NC - February 7-8",,264,,,,2643,,,
1862/2/9,"Fort Donelson, TN - February 12-16",,2832,1814,4646,65528,17000,1203,18203,61413
1862/2/16,Valverde. NM - February 20-21,,263,1814,2077,67605,187,1203,1390,62803
1862/2/23,,,,1814,1814,69419,,1203,1203,64006
1862/3/2,"Pea Ridge, AK - March 6-8",,1384,1814,3607,73026,2000,1203,3227,67233
1862/3/2,"Hampton Roads, VA - March 8-9",,409,,,,24,,,
1862/3/9,"New Madrid, MS, Is. # 10,TN – Feb28-April 8",,51,1814,2341,75367,7000,1203,8812,76045
1862/3/9,New Bern. NC - March 14,,476,,,,609,,,
1862/3/16,,,,1814,1814,77181,,1203,1203,77248
1862/3/23,"First Kernstown, VA March 23",,590,1395,2117,79298,718,926,1871,79119
1862/3/23,"Gloncta Pass, NM - March 26-28",,132,,,,227,,,
1862/3/30,,,,1395,1395,80693,,926,926,80045
1862/4/6,Shiloh. TN - April 6-7,,13047,1395,14443,95136,10699,926,11626,91671
1862/4/6,Fort Pulaski. GA-April 10-11,,1,,,,1,,,
1862/4/13,"Fts. Jackson & St. Philip, LA-April 16-28",,229,1562,2087,97223,782,1338,2445,94116
1862/4/13,"South Mills, NC - April 19",,114,,,,25,,,
1862/4/13,"Siege of Yorktown, VA-April 5-May 4",,182,,,,300,,,
1862/4/20,"Fort Macon, NC - April 25-26",,3,1562,1565,98788,439,1338,1777,95893
1862/4/27,New Orleans. LA - April 25-May 1,,0,1562,1562,100350,0,1338,1338,97231
1862/5/4,Williamsburg. VA - May 5,,2283,1562,4287,104637,1560,1338,3446,100677
1862/5/4,"Eltham's Landing, VA - May 7",,186,,,,48,,,
1862/5/4,"McDowell, VA - May 8",,256,,,,500,,,
1862/5/11,"Drewry’s Bluff, VA - May 15",,24,1562,1715,106352,15,1338,1369,102046
1862/5/11,"Princeton Courthouse, WVA - May 15-17",,129,,,,16,,,
1862/5/18,"Front Royal, VA - May 23",,904,1562,3466,109818,56,1338,2394,104440
1862/5/18,"Siege of Corinth, TN April 29 May 30",,1000,,,,1000,,,
1862/5/25,First Winchester. VA - May 25,,2019,1562,8936,118754,400,1338,8584,113024
1862/5/25,Hanover Court House. VA - May 27,,355,,,,746,,,
1862/5/25,Seven Pines. VA - May 31-June 1,,5000,,,,6100,,,
1862/6/1,Tranter’s Creek. NC - June 5,,20,1562,1583,120337,20,1338,,
1862/6/1,"Memphis I, TN June 6",,1,,,,180,,,
1862/6/1,"Chanttanooga I, TN - June 7-8",,,,,,3,,1541,114565
1862/6/8,"Cross Keys, VA - June 8",,684,1395,3079,123416,288,926,,
1862/6/8,"Port Republic, VA - June 9",,1000,,,,800,,2014,116579
1862/6/15,"Charleston, SC - June 16",,683,1395,2238,125654,204,926,,
1862/6/15,"St Charles, AK - June 17",,160,,,,40,,1170,117749
1862/6/22,"Oak Grove, VA - June 25",,626,1034,9047,134701,411,686,,
1862/6/22,Beaver Dam Creek. VA - June 26,,361,,,,1484,,,
1862/6/22,"Gaines' Mill, VA - June 27",,6837,,,,8750,,,
1862/6/22,"Garnett's & Goldmg's Farms,VA June 27-28",,189,,,,438,,11769,129518
1862/6/29,"Savage's Station, VA - June 29",,919,1034,7653,142354,444,686,,
1862/6/29,"Glendale While Oak Swamp,VA-June 30",,2700,,,,3600,,,
1862/6/29,Malvern Hill. VA-Julv 1,,3000,,,,5355,,10085,139603
1862/7/6,"Hill's Plantation, AK - July 7",,63,1034,1097,143451,250,686,936,140539
1862/7/13,"Murfreesboro I, TN - July 13",,1200,1034,2234,145685,150,686,836,141375
1862/7/20,,,,1034,1034,146719,,686,686,142061
1862/7/27,,,,1034,1034,147753,,686,686,142747
1862/8/3,"Baton Rouge, LA - August 5",,371,1034,3993,151746,478,686,,
1862/8/3,"Kirksville, MO - August 6-9",,88,,,,368,,,
1862/8/3,Cedar Mountain. VA August 9,,2500,,,,1400,,2932,145679
1862/8/10,Independence I. MO - August 11,,344,1034,1650,153396,,686,,
1862/8/10,Lone Jack. MO - August 15-16,,272,,,,,,686,146365
1862/8/17,"Rappahannock River, VA - Aug. 22-25",,113,1034,1173,154569,112,686,,
1862/8/17,"Fort Ridgelv, MN - August 20-22",,26,,,,,,798,147163
1862/8/24,"Thoroughfare Gap, VA August 28",,50,1034,20533,175102,50,686,,
1862/8/24,"Second Manassas, VA-August 28-30",,13826,,,,8353,,,
1862/8/24,"Richmond, KY - August 29-30",,5623,,,,600,,9689,156852
1862/8/31,Chantilly. VA - September I,,1300,1034,2334,177436,800,686,1486,158338
1862/9/7,Harpers Ferry. WVA - September 12-15,,12719,1034,13753,191189,286,686,972,159310
1862/9/14,"South Mountain, MD - September 14",,2325,1034,21060,212249,2300,686,,
1862/9/14,"Munfordville, KY - September 14-17",,4148,,,,285,,,
1862/9/14,"Antietam, MD - September 17",,12400,,,,10300,,,
1862/9/14,"luka, MS - September 19",,790,,,,594,,,
1862/9/14,Sheperdstown. WVA - September 19-20,,363,,,,291,,14456,173766
1862/9/21,"Wood Lake, MN - September 23",,41,1034,1075,213324,25,686,711,174477
1862/9/28,"Newtonia, MO - September 30",,245,1034,3629,216953,78,686,,
1862/9/28,Corinth. MS - October 3-4,,2350,,,,4800,,5564,180041
1862/10/5,"Davis Bridge, TN - October 6",,500,1034,5745,222698,400,686,,
1862/10/5,"Perryville, KY - October 8",,4211,,,,3396,,4482,184523
1862/10/12,,,,1034,1034,223732,,686,686,185209
1862/10/19,"Old Fort Wayne, OK - October 22",,14,1034,1134,224866,150,686,,
1862/10/19,"Georgia Landing, LA - October 27",,86,,,,229,,1065,186274
1862/10/26,,,,1034,1034,225900,,686,686,186960
1862/11/2,Clark's Mill. MO - November 7,,119,1034,1153,227053,34,686,720,187680
1862/11/9,,,,1034,1034,228087,,686,686,188366
1862/11/16,,,,1034,1034,229121,,686,686,189052
1862/11/23,Cane Hill. AR - November 28,,41,1034,1075,230196,45,686,731,189783
1862/11/30,,,,1034,1034,231230,,686,686,190469
1862/12/7,Prairie Grove. AR - December 7,,1251,1034,4381,235611,1317,686,,
1862/12/7,"Hartsvillc, TN – December 7",,2096,,,,139,,2142,192611
1862/12/14,"Fredericksburg 1, VA December 11 15",,12600,1034,,,5300,686,,
1862/12/14,"Kinston, NC - December 14",,160,,,,525,,,
1862/12/14,White Hall. NC - December 16,,75,,,,75,,,
1862/12/14,Goldsboro Bridge. NC - December 17,,110,,,,110,,,
1862/12/14,"Jackson, TN – December 19",,6,,13985,249596,,,6696,199307
1862/12/21,Chickasaw Bayou. MS - December 26-29,,1176,1344,2520,252116,187,891,1078,200385
1862/12/28,Parker's Cross Roads. TN - December 31,,237,1344,,,500,891,,
1862/12/28,"Galveston 11, TX January 1",,600,,,,50,,,
1862/12/28,"Stones River, TN - January 2",,13000,,15181,267297,10000,,11441,211826
1863/1/4,"Springfield 11, MO - January 8",,163,1344,,,240,891,,
1863/1/4,"Hartville, MO - January 9-11",,78,,,,329,,,
1863/1/4,"Arkansas Post, AR January 9 11",,1092,,2677,269974,5004,,6464,218290
1863/1/11,,,,1344,1344,271318,,891,891,219181
1863/1/18,,,,1344,1344,272662,,891,891,220072
1863/1/25,Bear River. ID - January 29,,65,1344,1409,274071,250,891,1141,221213
1863/2/1,Dover. TN - February 3,,110,1344,1454,275525,855,891,1746,222959
1863/2/8,,,,1344,1344,276869,,891,891,223850
1863/2/15,,,,1344,1344,278213,,891,891,224741
1863/2/22,,,,1426,1426,279639,,891,891,225632
1863/3/1,Fort McAllister. GA- January 27-March 3,,0,1426,,,1,891,,
1863/3/1,Thompson's Station. TN - March 4-5,,1600,,3026,282665,357,,1249,226881
1863/3/8,"Fort Anderson, NC - March 13-15",,4,1426,1430,284095,3,891,894,227775
1863/3/15,Kelly's Ford. VA - March 17,,99,1426,,,80,891,,
1863/3/15,"Vaught's Hill, TN - March 20",,38,,1563,285658,150,,1121,228896
1863/3/22,Brentwood. TN - March 25,,529,1115,1644,287302,3,686,689,229585
1863/3/29,,,,1115,1115,288417,,686,686,230271
1863/4/5,"Charleston Harbor 1, SC April 7",,22,1115,,,14,686,,
1863/4/5,"Franklin I, IN-April 10",,100,,1237,289654,137,,837,231108
1863/4/12,Fort Bisland. LA-April 12-13,,224,1115,,,450,686,,
1863/4/12,Irish Bend. LA – April 14,,353,,,,,,,
1863/4/12,"Washington, NC - March 30-April 20",,50,,1742,291396,50,,1186,232294
1863/4/19,Suffolk. VA - April 19,,260,1034,1294,292690,900,686,1586,233880
1863/4/26,"Cape Girardeau, MO - April 26",,12,1034,,,325,686,,
1863/4/26,"Grand Gulf, MS - April 29",,80,,,,,,,
1863/4/26,"Day’s Gap, Al. - April 30",,23,,,,65,,,
1863/4/26,"Port Gibson, MS - May 1",,875,,,,787,,,
1863/4/26,Chalk Bluff AR - May 1-2,,45,,2069,294759,45,,1908,235788
1863/5/3,"Chancellorsville, VA - April 30-May 6",,18000,1034,,,,686,,
1863/5/3,"Fredericksburg II, VA - May 3",,,,,,,,,
1863/5/3,"Salem Church, VA - May 3-4",,,,19034,313793,12800,,13486,249274
1863/5/10,Raymond. MS - May 12,,442,1034,,,514,686,,
1863/5/10,"Jackson, MS - May 14",,286,,,,850,,,
1863/5/10,"Champion Hill, MS May 16",,2441,,4203,317996,3840,,5890,255164
1863/5/17,"Big Black River Bridge, MS - May 17",,276,1034,,,1751,686,,
1863/5/17,"Battle of Vicksburg, MS - May 18-22",,3199,,,,500,,,
1863/5/17,Plains Store. LA - May 21,,150,,4659,322655,100,,3037,258201
1863/5/24,"Battle of Port Hudson I, LA - May 27",,2000,1034,3034,325689,500,686,1186,259387
1863/5/31,,,,1034,1034,326723,,686,686,260073
1863/6/7,"Milliken's Bend, LA - June 7",,652,1034,,,185,686,,
1863/6/7,"Brandy Station, VA - June 9",,868,,2554,329277,515,,1386,261459
1863/6/14,Second Winchester. VA - June 13-15,,4443,1034,,,266,686,,
1863/6/14,"Aldie, Middleburg, Upperville - June 17-21",,827,,6353,335630,510,,,
1863/6/14,"Lafourche Crossing, 1 A - June 20-21",,49,,,,219,,1681,263140
1863/6/21,Hoover's flap TN - June 24-26,,583,1034,1617,337247,,686,686,263826
1863/6/28,Donaldsville II. LA - June 28,,23,1034,26257,363504,301,686,,
1863/6/28,"Goodrich's Landing, LA - June 29-30",,150,,,,6,,,
1863/6/28,Hanover. PA June 30,,154,,,,74,,,
1863/6/28,"Cabin Creek, OK - July 1-2",,21,,,,59,,,
1863/6/28,"Gettysburg, PA-July 1-3",,23000,,,,28000,,,
1863/6/28,"Siege of Vicksburg, MS - July 4",,1636,,,,32197,,,
1863/6/28,Helena. AR - July 4,,239,,,,1636,,62959,326785
1863/7/5,"Williamsport, MD - July 6",,400,1034,12133,375637,254,686,,
1863/7/5,"Siege of Port Hudson, LA-May 22-July 9",,10000,,,,7500,,,
1863/7/5,"Corydon, IN - July 9",,360,,,,51,,,
1863/7/5,Fort Wagner 1. SC - July 10-11,,339,,,,12,,8503,335288
1863/7/12,Kock’s Plantation. LA - July 12-13,,465,1034,3295,378932,33,686,,
1863/7/12,"Boonesboro/Falling Waters, MD July 8 14",,158,,,,920,,,
1863/7/12,"Grimball's Landing, SC - July 16",,46,,,,18,,,
1863/7/12,"Honey Springs, OK - July 17",,77,,,,134,,,
1863/7/12,Furl Wagner 11. SC-July 18,,1515,,,,222,,2013,337301
1863/7/19,"Buffington Island, Oil - July 19",,25,1034,1286,380218,900,686,,
1863/7/19,"Manassas Gap, VA July 23",,220,,,,220,,,
1863/7/19,"Big Mound, ND - July 24",,7,,,,80,,1886,339187
1863/7/26,"Salineville, OH - July 26",,0,1034,1035,381253,364,686,,
1863/7/26,Dead Buffalo Lake. ND - July 26,,1,,,,9,,,
1863/7/26,Stoney Lake. ND - July 28,,0,,,,0,,1059,340246
1863/8/2,,,,1034,1034,382287,,686,686,340932
1863/8/9,,,,1034,1034,383321,,686,686,341618
1863/8/16,"Lawrence, KS - August 21",,150,1034,1184,384505,,686,686,342304
1863/8/23,,,,1034,1034,385539,,686,686,342990
1863/8/30,Devil's Backbone. AR - September 1,,14,1034,1118,386657,17,686,,
1863/8/30,"Whitestonc Hill, ND - September 3-4",,70,,,,300,,1003,343993
1863/9/6,Charleston Harbor 11. SC - September 5-8,,117,1034,1573,388230,100,686,,
1863/9/6,Sabine Pass II. TX - September 8,,350,,,,0,,,
1863/9/6,Bayou Fourche. AR - September 10,,72,,,,64,,850,344843
1863/9/13,"Chickamauga, GA- September 18-20",,16170,1034,17204,405434,18454,686,19140,363983
1863/9/20,"Blountville, TN September 22",,27,1034,1061,406495,165,686,851,364834
1863/9/27,"Stirling's Plantation, LA - September 29",,515,1034,1549,408044,121,686,807,365641
1863/10/4,Baxter Springs. KS - October 6,,103,1034,1237,409281,3,686,,
1863/10/4,Blue Springs. TN - October 10,,100,,,,216,,905,366546
1863/10/11,"Auburn I & ll, VA - October 13 & 14",,82,1034,1672,410953,82,686,,
1863/10/11,"Bristoe Station, VA - October 14",,540,,,,1380,,,
1863/10/11,"Fort Brooke, FL - October 16-18",,16,,,,,,2148,368694
1863/10/18,"Buckland Mills, VA - October 19",,115,1034,1149,412102,115,686,801,369495
1863/10/25,"Pine Bluff, AR - October 25",,56,1034,1306,413408,40,686,,
1863/10/25,Wauhatchie. TN - October 28-29,,216,,,,356,,1082,370577
1863/11/1,"Collierville, TN - November 3",,60,1034,1695,415103,95,686,,
1863/11/1,"Droop Mountain, WVA November 6",,140,,,,275,,,
1863/11/1,Rappahannock Station. VA - November 7,,461,,,,2041,,3097,373674
1863/11/8,,,,1034,1034,416137,,686,686,374360
1863/11/15,Campbell's Station. TN - November 16,,400,1034,1434,417571,570,686,1256,375616
1863/11/22,Chattanooga III. TN - November 23-25,,5815,1034,7356,424927,6667,686,,
1863/11/22,Ringgold Gap. GA - November 27,,507,,,,221,,7574,383190
1863/11/29,"Fort Sanders, TN - November 29",,15,1034,2682,427609,800,686,,
1863/11/29,"Mine Run, VA Nov 26 Dec. 2",,1633,,,,795,,2281,385471
1863/12/6,,,,1034,1034,428643,,686,686,386157
1863/12/13,"Bean's Station, TN - December 14",,115,1034,1149,429792,222,686,908,387065
1863/12/20,,,,1344,1344,431136,,891,891,387956
1863/12/27,Mossy Creek. TN - December 29,,151,1344,1495,432631,,891,891,388847
1864/1/3,,,,1344,1344,433975,,891,891,389738
1864/1/10,,,,1344,1344,435319,,891,891,390629
1864/1/17,"Dandridge, TN - January 17",,150,1344,1494,436813,,891,891,391520
1864/1/24,Athens. AL - January 26,,20,1344,1464,438277,30,891,,
1864/1/24,"Fair Garden, TN January 27 28",,100,,,,165,,1086,392606
1864/1/31,"Morton's Ford, VA - February 6-7",,362,1344,1706,439983,362,891,1253,393859
1864/2/7,"Middle Boggy, OK - February 13",,0,1344,1344,441327,47,891,938,394797
1864/2/14,Meridian. MS - February 14,,170,1344,3375,444702,,891,,
1864/2/14,"Olustee, FL - February 20",,1861,,,,946,,1837,396634
1864/2/21,"Okolona, MS - February 22",,388,1344,2021,446723,144,891,,
1864/2/21,"Dalton 1, GA - February 22-27",,289,,,,140,,1175,397809
1864/2/28,Walkerton. VA - March 2,,100,1344,1444,448167,0,891,891,398700
1864/3/6,"Fort DeRussy, LA - March 14",,48,1344,1392,449559,269,891,1160,399860
1864/3/13,,,,1344,1344,450903,,891,891,400751
1864/3/20,"Paducah, KY March 25",,90,1034,1124,452027,50,686,736,401487
1864/3/27,,,,1034,1034,453061,,686,686,402173
1864/4/3,"Elkin's Ferry, AR - April 3-4",,26,1034,4664,457725,29,686,,
1864/4/3,Mansfield. LA-April 8,,2235,,,,1000,,,
1864/4/3,Pleasant Hill. LA - April 9,,1369,,,,1626,,3341,405514
1864/4/10,"Prairie D’Ane, AR - April 10-13",,100,1034,1743,459468,50,686,,
1864/4/10,"Fort Pillow, TN - April 12",,549,,,,100,,,
1864/4/10,Blair's Landing. LA-April 12,,60,,,,57,,893,406407
1864/4/17,Plymouth. NC - April 17-20,,2900,1034,4435,463903,300,685,,
1864/4/17,Poison Spring. AR - April 18,,301,,,,114,,,
1864/4/17,"Monett's Ferry, LA - April 23",,200,,,,400,,1499,107906
1864/4/24,Mark's Mills. AR - April 25,,1500,1034,3234,467137,293,685,,
1864/4/24,"Jenkin’s Ferry, AR - April 30",,700,,,,1000,,1978,409884
1864/5/1,"Alhermarle Sound, NC - May 5",,44,1034,19353,486490,44,685,,
1864/5/1,"Battle of the Wilderness, VA - Mav 5-6",,18000,,,,11125,,,
1864/5/1,"Port Walthall Junction, VA - May 6-7",,275,,,,275,,12129,422013
1864/5/8,Swift Creek & Fort Clifton. VA May 9,,495,1034,6636,493126,495,685,,
1864/5/8,"Chester Station, VA - May 9",,285,,,,284,,,
1864/5/8,"Cloyd's Mountain, VA - May 9",,688,,,,538,,,
1864/5/8,Rocky Face Ridge. GA - May 7-13,,837,,,,600,,,
1864/5/8,Resaca. GA - May 13-15,,2747,,,,2800,,,
1864/5/8,"Cove Mountain, VA May 10",,150,,,,150,,,
1864/5/8,"Yellow Tavern, VA - May 11",,400,,,,400,,5952,427965
1864/5/15,Proctor's Creek. VA - May 12-16,,3004,1034,,,1000,685,,
1864/5/15,"New Market, VA - May 15",,841,,,,520,,,
1864/5/15,"Adairsville, GA- May 17",,200,,,,,,,
1864/5/15,Yellow Bayou. 1 A - May 18,,360,,,,500,,,
1864/5/15,"Spotsylvania C. H., VA - May 8-21",,18000,,,,12451,,,
1864/5/15,Warre Bottom Church Hewlett.VA-May20,,750,,24189,517315,750,,15906,443871
1864/5/22,"North Anna, VA May 23-26",,2623,1034,,,1550,685,,
1864/5/22,"Wilson’s Wharf, VA - May 24",,26,,,,140,,,
1864/5/22,"New Hope Church, GA - May 25-26",,665,,,,350,,,
1864/5/22,Pickett's Mill. GA - May 27,,1600,,,,450,,,
1864/5/22,Dallas. GA - May 28,,380,,,,1250,,,
1864/5/22,Haw's Shop. VA May 28,,344,,6672,523987,400,,4825,448696
1864/5/29,Totopotomoy Ck/Bcthesda.VA-May28-30,,731,1034,,,1591,685,,
1864/5/29,"Matadequin Creek, VA - May 30",,90,,,,,,,
1864/5/29,"Cold Harbor, VA - May 31-June 12",,13000,,14855,538842,5294,,7570,456266
1864/6/5,"Piedmont, VA - June 5",,875,1034,,,1600,685,,
1864/6/5,"Ditch Bayou, AR June 6",,133,,,,37,,,
1864/6/5,"Petersburg I, VA - June 9",,60,,,,60,,,
1864/6/5,"Brices Cross Roads, MS - June 10",,2612,,,,493,,,
1864/6/5,"Trevilian Station, VA- June 11-12",,1007,,,,1071,,,
1864/6/5,Cynthiana. KY - June 11-12,,1092,,6813,545655,1000,,4946,461212
1864/6/12,"Petersburg 11, VA-June 15-18",,10600,1034,,,4700,685,,
1864/6/12,"Lynchburg, VA - June 17-18",,700,,12334,557989,200,,5585,466797
1864/6/19,"Kolb's Farm, GA - June 22",,350,1034,,,1000,685,,
1864/6/19,"Jerusalem Plank Road, VA - June 21-23",,2962,,,,572,,,
1864/6/19,Samaria Church. VA - June 24,,350,,,,250,,,
1864/6/19,"Staunton River Bridge, VA - June 25",,75,,,,75,,,
1864/6/19,"Reams Station, VA - June 29",,723,,5494,563483,722,,3304,470101
1864/6/26,Kennesaw Mountain. GA-June 27,,3000,1034,4034,567517,1000,685,1685,471786
1864/7/3,"Monocacy, MD - July 9",,1294,1034,2328,569845,800,685,1485,473271
1864/7/10,"Fort Stevens, DC - July 11-12",,373,1034,,,500,685,,
1864/7/10,Tupelo. MS - July 14-15,,674,,2081,571926,1326,,2511,475782
1864/7/17,Cool Spring. VA - July 17-18,,422,1034,,,397,685,,
1864/7/17,"Rutherford's Farm, VA - July 20",,242,,,,500,,,
1864/7/17,"Peachtree Creek, GA - July 20",,1710,,,,4796,,,
1864/7/17,Atlanta. GA - July 22,,3641,,7049,578975,8499,,14877,490659
1864/7/24,"Second Kernstown, VA - July 24",,1185,1033,,,600,685,,
1864/7/24,"First Deep Bottom, VA July 27 29",,500,,,,500,,,
1864/7/24,"Ezra Church, GA - July 28",,700,,,,4642,,,
1864/7/24,"Killdeer Mountain, ND - July 28-29",,15,,,,31,,,
1864/7/24,The Crater. VA – July 30,,3798,,7231,586206,1491,,7949,498608
1864/7/31,Folck's Mill. MD - August 1,,30,1033,,,30,685,,
1864/7/31,"Utoy Creek, GA - August 5-7",,400,,1463,587669,225,,940,499548
1864/8/7,"Morefield, W VA - August 7",,31,1033,1064,588733,500,685,1185,500733
1864/8/14,"Guard Hill, VA - August 16",,71,1033,,,480,685,,
1864/8/14,"Second Deep Bottom, VA - August 1 3-20",,2900,,,,1300,,,
1864/8/14,"Globe Tavern, VA-July 18-21",,4455,,,,1600,,,
1864/8/14,"Lovejoy's Station, GA - August 20",,237,,8696,597429,240,,4305,505038
1864/8/21,"Summit Pt/Cameron's Dt, WVA Aug, 21",,600,1033,,,400,685,,
1864/8/21,"Memphis II, TN - August 21",,480,,,,62,,,
1864/8/21,"Mobile Bay, AI . - August 2-23",,327,,,,1500,,,
1864/8/21,Reams Station 11. VA - August 25,,2742,,5182,602611,814,,3461,508499
1864/8/28,"Smithfield Crossing, WVA - Aug. 28-29",,100,1033,,,200,685,,
1864/8/28,"Jonesboro, GA August 31 September 1",,1149,,,,2000,,,
1864/8/28,Berryville. VA September 3 4,,312,,2594,605205,195,,3080,511579
1864/9/4,,,,1033,1033,606238,,685,685,512264
1864/9/11,,,,1033,1033,607271,,685,685,512949
1864/9/18,"Opequon (3rd Winchester), VA - Sept. 19",,5020,1033,,,3610,685,,
1864/9/18,Fisher's 1 lill. VA – Spctembcr 21 -22,,528,,6581,613852,1235,,5530,518479
1864/9/25,Pilot Knob. MO - September 26-28,,213,1033,,,900,685,,
1864/9/25,Chaffin's Farm. VA - September 29-30,,3300,,,,1700,,,
1864/9/25,New Market Heights. VA - Sept. 29-30,,850,,5396,619248,50,,3335,521814
1864/10/2,"Peebles' Farm, VA - October 2",,2869,1033,,,1300,685,,
1864/10/2,"Saltville I, VA - October 2",,350,,,,108,,,
1864/10/2,"Allatoona, GA - October 5",,706,,,,897,,,
1864/10/2,Darbytown & New Market. VA - Oct 7,,458,,5416,624664,700,,3690,525504
1864/10/9,"Tom's Brook, VA - October 9",,57,1033,,,350,685,,
1864/10/9,"Darbytown Road, VA - October 13",,437,,,,50,,,
1864/10/9,"Dalton III, GA - October 13",,751,,,,0,,,
1864/10/9,"Glasgow, MO October 15",,400,,2678,627342,50,,1135,526639
1864/10/16,"Cedar Creek, VA October 19",,5672,1033,6705,634047,2910,685,3595,530234
1864/10/23,"Independence II, MO - October 22",,,1033,,,140,685,,
1864/10/23,"Westport, MO October 23",,1500,,,,1500,,,
1864/10/23,"Mine Creek, KS - October 25",,150,,,,800,,,
1864/10/23,"Boydton Plank Road, VA - October 27",,1758,,,,1300,,,
1864/10/23,"Decatur, AL - October 26-29",,155,,,,200,,,
1864/10/23,"Fair Oaks & D'Town Rd, VA - Oct. 27-28",,1603,,,,100,,,
1864/10/23,Newtonia II. MO - October 28,,26,,6225,640272,24,,4749,534983
1864/10/30,,,,1033,1033,641305,,685,685,535668
1864/11/6,"Bull's Gap, TN - November 11-14",,324,1033,1357,642662,100,685,785,536453
