battle,combatant,description,strength,ships,guns,commanders,cavalry_regiments,strength_other,brigades,regiments,cavalry_brigades,companies,corps,divisions,armies,artillery_batteries,cavalry_divisions,cavalry_corps,artillery_regiments,artillery_sections,cavalry_companies,artillery_companies,infantry_regiments
KY004,US,,,,,,,,,,,,,,,,,,,,,,
VA052,CS,,,,,,,,,,,,,,,,,,,,,,
VA052,US,,,,,,,,,,,,,,,,,,,,,,
VA098,CS,,,,,,,,,,,,,,,,,,,,,,
VA098,US,,,,,,,,,,,,,,,,,,,,,,
LA011,CS,,,,,,,,,,,,,,,,,,,,,,
LA011,US,,,,,,,,,,,,,,,,,,,,,,
VA023,CS,,,,,,,,,,,,,,,,,,,,,,
VA023,US,,,,,,,,,,,,,,,,,,,,,,
VA002,CS,,,,,,,,,,,,,,,,,,,,,,
VA002,US,,,,,,,,,,,,,,,,,,,,,,
TN005,CS,,,,,,,,,,,,,,,,,,,,,,
TN005,US,,,,,,,,,,,,,,,,,,,,,,
AR015,CS,,,,,,,,,,,,,,,,,,,,,,
AR015,US,,,,,,,,,,,,,,,,,,,,,,
KS001,CS,,,,,,,,,,,,,,,,,,,,,,
KS001,US,,,,,,,,,,,,,,,,,,,,,,
VA123,CS,,,,,,,,,,,,,,,,,,,,,,
VA123,US,,,,,,,,,,,,,,,,,,,,,,
VA004,CS,,,,,,,,,,,,,,,,,,,,,,
VA004,US,,,,,,,,,,,,,,,,,,,,,,
VA027,CS,,,,,,,,,,,,,,,,,,,,,,
VA027,US,,,,,,,,,,,,,,,,,,,,,,
VA093,CS,,,,,,,,,,,,,,,,,,,,,,
VA093,US,,,,,,,,,,,,,,,,,,,,,,
VA113,CS,,,,,,,,,,,,,,,,,,,,,,
VA113,US,,,,,,,,,,,,,,,,,,,,,,
MS006,CS,,,,,,,,,,,,,,,,,,,,,,
MS006,US,,,,,,,,,,,,,,,,,,,,,,
GA027,CS,,,,,,,,,,,,,,,,,,,,,,
GA027,US,,,,,,,,,,,,,,,,,,,,,,
LA013,CS,,,,,,,,,,,,,,,,,,,,,,
LA013,US,,,,,,,,,,,,,,,,,,,,,,
FL002,CS,,,,,,,,,,,,,,,,,,,,,,
FL002,US,,,,,,,,,,,,,,,,,,,,,,
TN002,CS,,,,,,,,,,,,,,,,,,,,,,
TN002,US,,,,,,,,,,,,,,,,,,,,,,
TN027,CS,,,,,,,,,,,,,,,,,,,,,,
TN027,US,,,,,,,,,,,,,,,,,,,,,,
LA017,CS,,,,,,,,,,,,,,,,,,,,,,
LA017,US,,,,,,,,,,,,,,,,,,,,,,
GA023,CS,,,,,,,,,,,,,,,,,,,,,,
GA023,US,,,,,,,,,,,,,,,,,,,,,,
KY007,CS,,,,,,,,,,,,,,,,,,,,,,
